Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Orbulina suturalis,Neogloboquadrina incompta (sinsitral),Neogloboquadrina incompta (dextral),Neogloboquadrina cf. pachyderma,Neogloboquadrina acostaensis (sinistral),Neogloboquadrina acostaensis (dextral),Globorotaloides spp.,Globorotalia scitula (dextral),Globorotalia margaritae,Globigerinoides trilobus s.l.,Globigerinoides obliquus obliquus,Globigerinita glutinata,Globigerinids sp.,Globigerina quinqueloba,Globigerina nepenthes,Globigerina foliata,Globigerina falconensis,Globigerina decoraperta,Globigerina bulloides,Neogloboquadrina praehumerosa,Hastigerina siphonifera,Globorotalia scitula (sinistral),Globigerinoides trilobus,Globigerinella praecalida,Globigerina cf. woodi,Globoquadrina spp.,Globigerinoides ruber,Globigerinella pseudobesa,Globigerinella obesa,Globigerina apertura,Beella praedigitata,Orbulina bilobata,Globorotalia menardii group,Globigerinoides quadrilobatus,Globigerinoides obliquus extremus,Globigerinoides bulloideus,Globigerinoides sacculifer,Neogloboquadrina humerosa,Globigerinita uvula,Turborotalita sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 5, 116.00,    299.9600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,                                     ,F                                  ,                               ,                                        ,A16.4%                                ,F                   ,C8.5%                         ,                       ,F                            ,C                                ,C                      ,F                ,F                      ,R.3%                 ,                   ,F                      ,C                      ,C                    ,R                            ,R                      ,                                ,F                       ,                         ,                     ,                  ,                     ,F                        ,F                   ,                    ,                   ,                 ,                           ,C                            ,R                                ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 6,  40.00,    300.7000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,                                     ,F                                  ,                               ,R.7%                                    ,C14.7%                                ,R                   ,                              ,                       ,                             ,A                                ,A                      ,F                ,F                      ,F2.4%                ,                   ,                       ,C                      ,C                    ,F                            ,F                      ,                                ,                        ,                         ,                     ,                  ,                     ,F                        ,F                   ,                    ,                   ,                 ,                           ,                             ,R                                ,                          ,                          ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 6, 116.00,    301.4600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.6%                          ,F                ,F                 ,                                     ,F                                  ,                               ,R.3%                                    ,A16.6%                                ,F                   ,C7.2%                         ,                       ,R                            ,F                                ,A                      ,C                ,F                      ,F1.6%                ,R                  ,F                      ,C                      ,C                    ,R                            ,                       ,R1.6%                           ,R                       ,                         ,                     ,                  ,                     ,F                        ,R                   ,                    ,                   ,R                ,                           ,                             ,                                 ,                          ,                          ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 6, 126.00,    301.5600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.5%                          ,F                ,R                 ,                                     ,R                                  ,                               ,R.5%                                    ,C13.8%                                ,                    ,C9.2%                         ,                       ,                             ,C                                ,A                      ,C                ,F                      ,F1.6%                ,                   ,F                      ,C                      ,C                    ,R                            ,R                      ,R.2%                            ,                        ,                         ,                     ,                  ,                     ,R                        ,R                   ,R                   ,                   ,R                ,R                          ,R                            ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 6, 144.00,    301.7400,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.9%                         ,C                ,F                 ,                                     ,F                                  ,                               ,R.5%                                    ,C12.0%                                ,F                   ,F1.6%                         ,                       ,R                            ,F                                ,A                      ,C                ,F                      ,F2.2%                ,R                  ,R                      ,C                      ,C                    ,R                            ,                       ,                                ,                        ,                         ,                     ,                  ,                     ,                         ,F                   ,R                   ,R                  ,                 ,                           ,R                            ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 7,  15.00,    301.9500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.4%                         ,F                ,F                 ,                                     ,F                                  ,                               ,                                        ,C13.1%                                ,R                   ,F1.8%                         ,                       ,C                            ,A                                ,C                      ,F                ,R                      ,F2.5%                ,                   ,F                      ,C                      ,C                    ,R                            ,F                      ,R.7%                            ,                        ,                         ,                     ,                  ,                     ,                         ,                    ,                    ,                   ,R                ,                           ,C                            ,                                 ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 7,  35.00,    302.1500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.3%                          ,C                ,F                 ,                                     ,F                                  ,                               ,R.9%                                    ,A16.3%                                ,                    ,R.6%                          ,                       ,F                            ,C                                ,A                      ,C                ,F                      ,R.3%                 ,R                  ,F                      ,C                      ,C                    ,R                            ,F                      ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,C                   ,                    ,                   ,R                ,R                          ,F                            ,R                                ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X, 7,  40.00,    302.2000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.7%                         ,F                ,F                 ,                                     ,F                                  ,                               ,F1.1%                                   ,A16.9%                                ,R                   ,F2.9%                         ,                       ,F                            ,C                                ,A                      ,C                ,F                      ,F4.0%                ,                   ,F                      ,F                      ,C                    ,F                            ,R                      ,                                ,                        ,R                        ,                     ,                  ,R                    ,                         ,F                   ,                    ,                   ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X,CC,  16.00,    302.4600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.9%                          ,C                ,F                 ,F                                    ,R                                  ,                               ,F2.1%                                   ,A30.3%                                ,R                   ,R.9%                          ,                       ,R                            ,C                                ,C                      ,C                ,F                      ,F4.0%                ,F                  ,R                      ,C                      ,F                    ,R                            ,R                      ,R.3%                            ,R                       ,                         ,                     ,                  ,                     ,                         ,R                   ,                    ,                   ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X,CC,  37.00,    302.6700,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.8%                         ,F                ,R                 ,R                                    ,F                                  ,R                              ,                                        ,C10.8%                                ,F                   ,F4.8%                         ,                       ,F                            ,F                                ,C                      ,C                ,F                      ,F2.7%                ,R                  ,F                      ,C                      ,C                    ,R                            ,F                      ,R.6%                            ,                        ,                         ,R                    ,                  ,                     ,R                        ,F                   ,                    ,F                  ,R                ,                           ,F                            ,R                                ,                          ,R                         ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,   5.00,    302.4500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,R                                    ,F                                  ,                               ,                                        ,A17.6%                                ,F                   ,F2.2%                         ,                       ,                             ,F                                ,C                      ,F                ,F                      ,F2.8%                ,R                  ,C                      ,A                      ,A                    ,F                            ,                       ,R.9%                            ,                        ,                         ,                     ,                  ,                     ,R                        ,F                   ,R                   ,F                  ,                 ,                           ,                             ,                                 ,                          ,                          ,R                        ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  14.00,    302.5400,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.2%                         ,F                ,F                 ,                                     ,F                                  ,                               ,R.9%                                    ,C13.2%                                ,F                   ,C6.1%                         ,                       ,                             ,F                                ,C                      ,C                ,R                      ,R.9%                 ,                   ,F                      ,C                      ,A                    ,R                            ,R                      ,R.6%                            ,                        ,                         ,                     ,                  ,                     ,F                        ,F                   ,                    ,R                  ,                 ,                           ,R                            ,                                 ,                          ,R                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  25.00,    302.6500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F2.9%                         ,F                ,                  ,R                                    ,R                                  ,                               ,R1.0%                                   ,C9.6%                                 ,F                   ,                              ,                       ,R                            ,C                                ,C                      ,C                ,R                      ,F3.8%                ,R                  ,C                      ,C                      ,A                    ,F                            ,R                      ,                                ,R                       ,                         ,R                    ,                  ,                     ,F                        ,R                   ,R                   ,                   ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  35.00,    302.7500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.7%                          ,F                ,F                 ,R                                    ,F                                  ,                               ,F1.0%                                   ,C7.8%                                 ,F                   ,                              ,                       ,                             ,C                                ,A                      ,F                ,R                      ,C7.8%                ,                   ,C                      ,C                      ,A                    ,F                            ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,                         ,F                   ,                    ,F                  ,                 ,R                          ,R                            ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  40.00,    302.8000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.6%                          ,F                ,F                 ,                                     ,F                                  ,                               ,F1.8%                                   ,A16.7%                                ,                    ,R.9%                          ,                       ,                             ,C                                ,A                      ,C                ,F                      ,F2.3%                ,                   ,F                      ,C                      ,C                    ,R                            ,F                      ,                                ,R                       ,                         ,                     ,                  ,                     ,F                        ,R                   ,                    ,                   ,R                ,R                          ,                             ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  55.00,    302.9500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R1.0%                         ,F                ,R                 ,                                     ,F                                  ,R                              ,R1.0%                                   ,A17.3%                                ,R                   ,R1.0%                         ,                       ,F                            ,F                                ,A                      ,C                ,F                      ,C5.9%                ,                   ,C                      ,C                      ,C                    ,R                            ,R                      ,                                ,R                       ,                         ,                     ,                  ,                     ,                         ,R                   ,                    ,                   ,                 ,                           ,F                            ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  63.00,    303.0300,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.8%                          ,R                ,F                 ,                                     ,F                                  ,                               ,F1.9%                                   ,A21.7%                                ,R                   ,F1.4%                         ,                       ,F                            ,C                                ,A                      ,C                ,R                      ,R.5%                 ,                   ,F                      ,C                      ,C                    ,                             ,                       ,R.3%                            ,R                       ,                         ,                     ,                  ,                     ,                         ,R                   ,                    ,                   ,R                ,                           ,R                            ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  75.00,    303.1500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.9%                          ,F                ,F                 ,                                     ,F                                  ,R                              ,R.6%                                    ,A22.2%                                ,F                   ,R.3%                          ,                       ,                             ,C                                ,C                      ,C                ,F                      ,F1.5%                ,R                  ,C                      ,C                      ,C                    ,F                            ,R                      ,R.3%                            ,R                       ,                         ,                     ,R                 ,                     ,                         ,F                   ,                    ,R                  ,                 ,                           ,                             ,                                 ,                          ,                          ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  83.00,    303.2300,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.9%                          ,F                ,F                 ,                                     ,F                                  ,                               ,R.9%                                    ,C12.8%                                ,                    ,R.3%                          ,                       ,                             ,F                                ,A                      ,A                ,F                      ,R.6%                 ,R                  ,F                      ,C                      ,C                    ,                             ,R                      ,                                ,R                       ,                         ,                     ,                  ,                     ,R                        ,R                   ,                    ,                   ,                 ,                           ,R                            ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  95.00,    303.3500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.5%                          ,F                ,F                 ,R                                    ,F                                  ,R                              ,F2.4%                                   ,A17.3%                                ,F                   ,F3.2%                         ,                       ,F                            ,F                                ,A                      ,C                ,R                      ,F4.4%                ,R                  ,C                      ,C                      ,C                    ,R                            ,R                      ,                                ,R                       ,                         ,                     ,R                 ,                     ,R                        ,                    ,                    ,R                  ,                 ,R                          ,R                            ,                                 ,R                         ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 100.00,    303.4000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.9%                          ,F                ,R                 ,                                     ,R                                  ,                               ,F1.2%                                   ,C12.2%                                ,R                   ,F1.5%                         ,                       ,                             ,C                                ,A                      ,C                ,F                      ,F4.5%                ,                   ,F                      ,C                      ,C                    ,R                            ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,                    ,                    ,                   ,                 ,                           ,R                            ,                                 ,                          ,                          ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 117.00,    303.5700,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.1%                         ,F                ,F                 ,R                                    ,R                                  ,                               ,C5.2%                                   ,C10.6%                                ,R                   ,F2.6%                         ,                       ,                             ,C                                ,A                      ,A                ,F                      ,F3.2%                ,                   ,F                      ,C                      ,C                    ,                             ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,R                   ,                    ,R                  ,                 ,                           ,F                            ,R                                ,                          ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 125.00,    303.6500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F2.3%                         ,F                ,F                 ,F                                    ,R                                  ,                               ,C6.8%                                   ,C6.0%                                 ,F                   ,F3.7%                         ,                       ,                             ,C                                ,C                      ,C                ,F                      ,F3.7%                ,R                  ,F                      ,C                      ,C                    ,R                            ,R                      ,                                ,                        ,                         ,R                    ,R                 ,                     ,                         ,R                   ,                    ,R                  ,R                ,R                          ,R                            ,R                                ,                          ,                          ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 143.00,    303.8300,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F3.4%                         ,C                ,R                 ,F                                    ,R                                  ,                               ,C12.7%                                  ,C5.2%                                 ,R                   ,R.3%                          ,                       ,                             ,F                                ,C                      ,C                ,C                      ,F1.2%                ,                   ,F                      ,C                      ,C                    ,R                            ,R                      ,                                ,                        ,                         ,                     ,                  ,                     ,R                        ,F                   ,                    ,                   ,                 ,                           ,R                            ,                                 ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,   0.00,    303.9000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F1.9%                         ,C                ,F                 ,R                                    ,F                                  ,                               ,F4.1%                                   ,A22.5%                                ,R                   ,R.6%                          ,                       ,                             ,F                                ,C                      ,C                ,F                      ,F4.4%                ,R                  ,F                      ,C                      ,C                    ,F                            ,R                      ,                                ,                        ,                         ,                     ,R                 ,                     ,R                        ,F                   ,R                   ,                   ,                 ,                           ,R                            ,                                 ,R                         ,                          ,                         ,                   ,R                ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  10.00,    304.0000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,F                 ,R                                    ,F                                  ,R                              ,F2.0%                                   ,A19.6%                                ,R                   ,R.3%                          ,                       ,F                            ,F                                ,C                      ,F                ,F                      ,C9.2%                ,F                  ,F                      ,A                      ,C                    ,R                            ,R                      ,                                ,                        ,                         ,R                    ,                  ,                     ,                         ,R                   ,R                   ,R                  ,                 ,                           ,F                            ,                                 ,R                         ,F                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  20.00,    304.1000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,                              ,F                ,R                 ,                                     ,F                                  ,R                              ,R.3%                                    ,A15.4%                                ,R                   ,R.9%                          ,                       ,F                            ,A                                ,A                      ,F                ,R                      ,F4.2%                ,R                  ,R                      ,A                      ,F                    ,                             ,R                      ,                                ,                        ,                         ,F                    ,                  ,R                    ,R                        ,R                   ,                    ,                   ,                 ,                           ,                             ,                                 ,R                         ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  30.00,    304.2000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.3%                          ,C                ,F                 ,                                     ,R                                  ,                               ,F2.4%                                   ,C12.7%                                ,                    ,                              ,                       ,F                            ,A                                ,A                      ,F                ,F                      ,F1.2%                ,R                  ,                       ,F                      ,F                    ,R                            ,                       ,                                ,                        ,                         ,                     ,R                 ,                     ,                         ,                    ,                    ,                   ,R                ,                           ,F                            ,F                                ,                          ,R                         ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  40.00,    304.3000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.9%                          ,F                ,F                 ,F                                    ,R                                  ,                               ,C14.2%                                  ,F3.6%                                 ,R                   ,R.3%                          ,                       ,R                            ,C                                ,A                      ,F                ,F                      ,C7.4%                ,R                  ,F                      ,C                      ,C                    ,F                            ,R                      ,                                ,                        ,                         ,R                    ,R                 ,                     ,R                        ,R                   ,R                   ,                   ,                 ,                           ,                             ,                                 ,R                         ,                          ,                         ,R                  ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  46.00,    304.3600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R.3%                          ,F                ,F                 ,F                                    ,                                   ,                               ,A17.9%                                  ,F3.5%                                 ,R                   ,                              ,                       ,                             ,C                                ,A                      ,C                ,F                      ,F1.9%                ,                   ,                       ,C                      ,C                    ,                             ,                       ,                                ,                        ,                         ,                     ,                  ,                     ,                         ,F                   ,                    ,                   ,                 ,                           ,                             ,F                                ,                          ,                          ,                         ,                   ,                 ,from 161SR. Ch.15. Table 4 and Appendix C.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
