Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Stephanopyxis spp.,Stephanopyxis dimorpha,Proboscia barboi,Neodenticula seminae,Neodenticula koizumii,Coscinodiscus marginatus,Actinocyclus oculatus,Fragilariopsis doliolus,Actinoptychus senarius,Actinocyclus curvatulus,Thalassiosira eccentrica,Hemidiscus cuneiformis,Fragilariopsis reinholdii,Proboscia curvirostris,Neodenticula kamtschatica,Thalassiosira oestrupii,Thalassiosira leptopus,Thalassiosira antiqua,Delphineis surirella,Thalassiosira nordenskioeldii,Delphineis angustata,Rhizosolenia hebetata,Pyxidicula horridus,Rhizosolenia styliformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B,  7,H,CC,  39.00,     66.3000,Watanabe ,Diatoms                                      ,F              ,M                 ,R                          ,R                 ,F                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B,  8,H,CC,  35.00,     75.2500,Watanabe ,Diatoms                                      ,C              ,P                 ,R                          ,R                 ,F                     ,                ,R                   ,                     ,F                       ,                     ,                       ,R                     ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 10,H,CC,  15.00,     92.4600,Watanabe ,Diatoms                                      ,A              ,M                 ,R                          ,R                 ,C                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,T                        ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,T                  ,T                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 11,H,CC,  25.00,    102.0600,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 13,H,CC,  30.00,    115.6900,Watanabe ,Diatoms                                      ,F              ,M                 ,R                          ,R                 ,F                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,T                   ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 14,H,CC,  46.00,    124.2100,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,R                 ,R                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 15,H,CC,  24.00,    133.5200,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,R                 ,R                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 16,H,CC,  31.00,    143.3200,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,R                 ,R                     ,                ,R                   ,                     ,T                       ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 17,H,CC,  23.00,    152.3700,Watanabe ,Diatoms                                      ,B              ,                  ,                           ,                  ,                      ,                ,+                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 19,H, 1,  74.00,    156.3400,Watanabe ,Diatoms                                      ,C              ,P                 ,F                          ,R                 ,F                     ,                ,F                   ,                     ,                        ,                     ,T                      ,                      ,T                      ,                        ,T                     ,                         ,                      ,                         ,                       ,                      ,T                    ,                    ,                             ,                    ,T                    ,+                  ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 19,H,CC,  35.00,    163.6500,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,R                 ,R                     ,                ,R                   ,T                    ,T                       ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,T                        ,T                      ,                      ,                     ,                    ,+                            ,T                   ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 20,H,CC,   0.00,    171.7600,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,R                 ,R                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,T                     ,                         ,                       ,                      ,                     ,T                   ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 22,H,CC,  36.00,    180.5400,Watanabe ,Diatoms                                      ,T              ,P                 ,                           ,                  ,T                     ,                ,                    ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 23,H,CC,  36.00,    188.9400,Watanabe ,Diatoms                                      ,R              ,P                 ,T                          ,R                 ,R                     ,                ,T                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,T                     ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 26,X,CC,  62.00,    212.2400,Watanabe ,Diatoms                                      ,F              ,P                 ,T                          ,R                 ,F                     ,                ,R                   ,                     ,R                       ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,T                    ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 27,X, 1,  74.00,    214.2400,Watanabe ,Diatoms                                      ,F              ,M                 ,R                          ,F                 ,F                     ,                ,R                   ,                     ,T                       ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,T                     ,                         ,                       ,                      ,T                    ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 27,X,CC,  55.00,    222.9200,Watanabe ,Diatoms                                      ,C              ,P                 ,T                          ,R                 ,R                     ,                ,R                   ,                     ,R                       ,                     ,R                      ,                      ,                       ,                        ,                      ,                         ,R                     ,                         ,                       ,R                     ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 28,X,CC,  72.00,    230.9500,Watanabe ,Diatoms                                      ,T              ,P                 ,T                          ,T                 ,T                     ,                ,                    ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 29,X,CC,  67.00,    239.1300,Watanabe ,Diatoms                                      ,R              ,P                 ,                           ,T                 ,R                     ,                ,T                   ,                     ,T                       ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 30,X,CC,  29.00,    248.4900,Watanabe ,Diatoms                                      ,T              ,P                 ,                           ,T                 ,T                     ,                ,                    ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 31,X,CC,  69.00,    258.3400,Watanabe ,Diatoms                                      ,C              ,M                 ,R                          ,R                 ,F                     ,                ,F                   ,                     ,                        ,                     ,T                      ,                      ,T                      ,                        ,                      ,                         ,T                     ,T                        ,T                      ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 34,X, 3,  71.00,    284.6900,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,T                 ,F                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,T                        ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 34,X,CC,  24.00,    289.1200,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,R                 ,R                     ,                ,T                   ,                     ,T                       ,                     ,                       ,                      ,T                      ,                        ,                      ,                         ,T                     ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 36,X,CC,  32.00,    300.6000,Watanabe ,Diatoms                                      ,T              ,P                 ,T                          ,T                 ,T                     ,                ,                    ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 39,X, 6,  57.00,    327.9700,Watanabe ,Diatoms                                      ,C              ,M                 ,R                          ,R                 ,F                     ,R               ,F                   ,                     ,                        ,R                    ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 39,X,CC,  35.00,    329.5400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                ,F                   ,                     ,                        ,                     ,T                      ,                      ,                       ,                        ,                      ,                         ,T                     ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 41,X,CC,  38.00,    338.2400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,R                     ,T               ,F                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,T                     ,T                        ,T                     ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 42,X,CC,  11.00,    348.3800,Watanabe ,Diatoms                                      ,C              ,M                 ,R                          ,R                 ,R                     ,                ,F                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,T                     ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 43,X,CC,  20.00,    357.8000,Watanabe ,Diatoms                                      ,C              ,P                 ,R                          ,R                 ,F                     ,                ,F                   ,                     ,                        ,T                    ,                       ,                      ,                       ,T                       ,T                     ,T                        ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 44,X,CC,  54.00,    367.3100,Watanabe ,Diatoms                                      ,B              ,                  ,                           ,                  ,                      ,                ,+                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 45,X,CC,  13.00,    377.6000,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,R                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 46,X,CC,  28.00,    386.9800,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,R                     ,                ,R                   ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 49,X,CC,  42.00,    405.9100,Watanabe ,Diatoms                                      ,T              ,P                 ,                           ,T                 ,T                     ,                ,                    ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 50,X,CC,  54.00,    415.2200,Watanabe ,Diatoms                                      ,T              ,P                 ,                           ,                  ,T                     ,                ,                    ,                     ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 51,X,CC, 135.00,    426.1600,Watanabe ,Diatoms                                      ,C              ,M                 ,R                          ,F                 ,F                     ,                ,F                   ,                     ,                        ,T                    ,                       ,T                     ,T                      ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 52,X,CC,  52.00,    434.7500,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,F                 ,F                     ,T               ,F                   ,                     ,                        ,T                    ,T                      ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 53,X, 5,  50.00,    441.2100,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,F                 ,F                     ,T               ,F                   ,R                    ,                        ,                     ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1251,B, 53,X,CC,  56.00,    442.6000,Watanabe ,Diatoms                                      ,C              ,M                 ,R                          ,R                 ,C                     ,R               ,F                   ,R                    ,T                       ,T                    ,                       ,                      ,                       ,                        ,                      ,                         ,                      ,                         ,                       ,                      ,                     ,                    ,                             ,                    ,                     ,                   ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
