Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira torokina,Thalassiosira inura,Actinocyclus karstenii,Thalassiosira oliverana var. sparsa,Thalassiosira oliverana,Thalassiosira oestrupii,Simonseniella barboi,Nitzschia praecurta,Nitzschia aurica,Thalassiosira complicata,Nitzschia praeinterfrigidaria,Nitzschia barronii,Nitzschia interfrigidaria,Actinocyclus ingens,Thalassiosira striata,Rouxia californica,Thalassiosira fasciculata,Azpeitia tabularis,Thalassiosira lentiginosa,Thalassiosira vulnifica,Thalassiosira kolbei,Thalassiosira insigna,Nitzschia ritscherii,Thalassiosira ritscherii,Eucampia antarctica,Paralia sulcata,Odontella aurita,Denticulopsis simonsenii,Comment
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C,  6,X,CC,  41.00,    228.9300,Winter   ,Diatoms                                      ,F              ,MP                ,F                     ,                   ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,R                       ,T                            ,R                 ,                         ,                   ,R                    ,                  ,                         ,                  ,                         ,                       ,                    ,T                    ,                    ,                        ,T                  ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  7,X,CC,  31.00,    262.2600,Iwai     ,Diatoms                                      ,A              ,M                 ,+                     ,+                  ,+                     ,                                   ,+                      ,+                      ,                    ,                   ,                ,                        ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,+                      ,                    ,F                    ,+                   ,+                       ,                   ,               ,                ,                        ,+ T. oliverana var. umbonatus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  8,X,CC,  32.00,    270.6800,Winter   ,Diatoms                                      ,A              ,P                 ,                      ,                   ,+                     ,                                   ,                       ,                       ,                    ,                   ,                ,                        ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,+                   ,+                    ,+                   ,                        ,                   ,               ,                ,                        ,A - frags + T. oliverana var umbonatus + Porosira spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C,  9,X,CC,  36.00,    280.3700,Winter   ,Diatoms                                      ,F              ,M                 ,+                     ,+                  ,+                     ,                                   ,+                      ,+                      ,                    ,                   ,                ,                        ,                             ,+                 ,                         ,                   ,                     ,                  ,                         ,                  ,+                        ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,< 3.8??
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 11,X,CC,  42.00,    299.5100,Winter   ,Diatoms                                      ,F              ,M                 ,+                     ,                   ,                      ,                                   ,                       ,+                      ,                    ,+                  ,+               ,                        ,                             ,+                 ,                         ,                   ,+                    ,                  ,+                        ,                  ,+                        ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,< 4.48 - F. barronii < 4.2 - T. lentiginosa > 4.07 - F. aurica
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 12,X,CC,  35.00,    309.1400,Winter   ,Diatoms                                      ,C              ,MP                ,                      ,+                  ,                      ,                                   ,+                      ,+                      ,                    ,+                  ,                ,                        ,                             ,+                 ,                         ,                   ,                     ,                  ,+                        ,                  ,+                        ,+                      ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,+ T. lent. var ovalis in >20 fraction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 13,X,CC,  32.00,    317.0300,Winter   ,Diatoms                                      ,F              ,MP                ,                      ,+                  ,+                     ,                                   ,+                      ,+                      ,                    ,                   ,                ,                        ,                             ,+                 ,                         ,                   ,                     ,                  ,+                        ,                  ,+                        ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 14,X,CC,  30.00,    328.3400,Winter   ,Diatoms                                      ,F              ,MP                ,                      ,+                  ,                      ,                                   ,                       ,                       ,                    ,+                  ,                ,                        ,                             ,+                 ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 18,X,CC,  43.00,    366.7200,Winter   ,Diatoms                                      ,A              ,MG                ,                      ,F                  ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,R                       ,                             ,F                 ,R                        ,                   ,                     ,                  ,R                        ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 19,X,CC,  67.00,    376.9500,Winter   ,Diatoms                                      ,C              ,MP                ,                      ,R                  ,                      ,                                   ,R                      ,                       ,                    ,                   ,                ,R                       ,                             ,R                 ,T                        ,                   ,                     ,                  ,R                        ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 20,X,CC,  11.00,    378.1100,Winter   ,Diatoms                                      ,C              ,P                 ,R                     ,F                  ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,R                       ,T                            ,R                 ,R                        ,                   ,                     ,                  ,R                        ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 21,X,CC,  45.00,    395.5000,Winter   ,Diatoms                                      ,C              ,MP                ,                      ,                   ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,                        ,R                            ,R                 ,R                        ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 22,X,CC,  42.00,    405.7000,Winter   ,Diatoms                                      ,C              ,M                 ,F                     ,R                  ,                      ,                                   ,R                      ,                       ,                    ,                   ,                ,R                       ,                             ,R                 ,R                        ,                   ,                     ,                  ,R                        ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 23,X,CC,  20.00,    414.3800,Winter   ,Diatoms                                      ,F              ,P                 ,                      ,                   ,                      ,                                   ,T                      ,                       ,                    ,                   ,                ,R                       ,R                            ,                  ,                         ,                   ,                     ,                  ,T                        ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 24,X,CC,  26.00,    418.7000,Winter   ,Diatoms                                      ,A              ,P                 ,                      ,+                  ,                      ,                                   ,                       ,                       ,                    ,+                  ,                ,                        ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,A Frags! - X whole + Rouxia spp. frags.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 25,X,CC,  16.00,    434.3900,Winter   ,Diatoms                                      ,F              ,MG                ,F                     ,                   ,                      ,                                   ,+                      ,+                      ,                    ,                   ,                ,                        ,                             ,                  ,                         ,                   ,                     ,                  ,R                        ,F                 ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,> 25 microns
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 26,X,CC,  14.00,    436.7700,Winter   ,Diatoms                                      ,F              ,MP                ,F                     ,                   ,R                     ,                                   ,R                      ,                       ,                    ,                   ,                ,                        ,+                            ,R                 ,                         ,                   ,R                    ,                  ,R                        ,R                 ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 27,X,CC,  27.00,    453.5800,Winter   ,Diatoms                                      ,F              ,M                 ,R                     ,R                  ,R                     ,                                   ,R                      ,R                      ,                    ,                   ,                ,R                       ,                             ,R                 ,                         ,                   ,R                    ,                  ,R                        ,R                 ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 28,X,CC,  42.00,    463.6500,Winter   ,Diatoms                                      ,F              ,M                 ,                      ,+                  ,                      ,                                   ,+                      ,                       ,                    ,                   ,                ,                        ,+                            ,+                 ,+                        ,                   ,                     ,+                 ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 29,X,CC,  48.00,    473.1400,Winter   ,Diatoms                                      ,F              ,M                 ,+                     ,+                  ,                      ,                                   ,+                      ,+                      ,                    ,                   ,                ,+                       ,+                            ,+                 ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 30,X,CC,  39.00,    482.7500,Winter   ,Diatoms                                      ,F              ,M                 ,                      ,+                  ,                      ,                                   ,                       ,+                      ,                    ,+                  ,                ,+                       ,                             ,+                 ,+                        ,                   ,+                    ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 31,X,CC,  45.00,    492.3300,Winter   ,Diatoms                                      ,C              ,M                 ,                      ,                   ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,                        ,R                            ,F                 ,T                        ,R                  ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 32,X,CC,  38.00,    501.7900,Winter   ,Diatoms                                      ,C              ,M                 ,F                     ,R                  ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,                        ,R                            ,F                 ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 33,X,CC,  30.00,    509.0000,Winter   ,Diatoms                                      ,A              ,M                 ,                      ,F                  ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,T                       ,R                            ,F                 ,R                        ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,                  ,              ,178,1096,C, 34,X,CC,  66.00,    521.3400,Winter   ,Diatoms                                      ,F              ,P                 ,                      ,T                  ,                      ,T                                  ,                       ,                       ,                    ,                   ,                ,T                       ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 35,X,CC,  21.00,    527.4700,Winter   ,Diatoms                                      ,R              ,P                 ,                      ,                   ,                      ,                                   ,                       ,                       ,                    ,                   ,                ,+                       ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,only fragments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 36,X,CC,  27.00,    540.0100,Winter   ,Diatoms                                      ,F              ,P                 ,                      ,                   ,                      ,                                   ,+                      ,+                      ,                    ,                   ,                ,+                       ,                             ,+                 ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 37,X,CC,  47.00,    550.2500,Winter   ,Diatoms                                      ,R              ,MP                ,+                     ,R                  ,                      ,                                   ,+                      ,R                      ,+                   ,                   ,                ,                        ,+                            ,+                 ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 38,X,CC,  26.00,    559.3700,Winter   ,Diatoms                                      ,R              ,P                 ,+                     ,                   ,+                     ,                                   ,                       ,                       ,+                   ,+                  ,                ,+                       ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 40,X,CC,  28.00,    573.4700,Winter   ,Diatoms                                      ,F              ,MG                ,F                     ,R                  ,F                     ,R                                  ,R                      ,R                      ,R                   ,+                  ,R               ,                        ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,C, 41,X,CC,   0.00,    588.5000,Winter   ,Diatoms                                      ,R              ,P                 ,+                     ,+                  ,+                     ,                                   ,                       ,                       ,                    ,                   ,                ,                        ,                             ,                  ,                         ,                   ,                     ,                  ,                         ,                  ,                         ,                       ,                    ,                     ,                    ,                        ,                   ,               ,                ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
