Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Lithopera neotera,Theocyrtis sp. A,Theocorys spongoconus,Stichocorys delmontensis,Lychnocanoma elongata,Lychnocanium nipponicum,Dorcadospyris alata,Carpocanium kinugasense,Calocycletta costata,Stylacontarium acquilonium,Lamprocyclas margatensis,Anthocyrtidium ophirense,Astrophacus sp.,Didymocyrtis sp.,Dictyocoryne profunda,Botryostrobus auritus group,Saturnalis circularis,Peripyramis circumtexta,Liriospyris mutuaria,Lamprocyclas sp. A,Eucyrtidium hexagonatum,Stylotrochus sol,Hexacontium arachnoidale,Didymocyrtis laticonus,Theocorythium vetulum,Siphonosphaera spinosa,Pterocanium orcinum,Heliodiscus asteriscus,Diartus petterssoni,Stichocorys sp. B,Dictyophimus crisiae,Otosphaera auriculata,Didymocyrtis sp. A,Stichocorys sp. A,Siphostichartus corona,Didymocyrtis penultima,Didymocyrtis antepenultima,Diartus sp. cf. D. petterssoni,Stichocorys peregrina,Cornutella bimarginata,Haeckeliella sp.,Clathrocyclas bicornis,Pterocanium praetextum eucolpum,Eucyrtidium matuyamai,Cornutella profunda,Spongocore cylindrica,Lamprocyclas junonis,Lamprocyclas maritalis maritalis,Hexacontium axotrias,Pterocanium bicorne,Spongaster tetras tetras,Pterocanium korotnevi,Eucyrtidium punctatum,Eucyrtidium hexasticum,Pterocanium sp. B,Pterocanium sp.,Axoprunum angelinum,Dictyocoryne truncatum,Actinomma sp.,Actinomma boreale,Amphirhopalum ypsilon,Spongaster pentas,Hexacontium heracliti,Lamprocyclas maritalis polypora,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,              ,125, 784,A,  6,R,CC,   5.00,     47.8700,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,                          ,                        ,                        ,               ,                ,F                    ,F                          ,F                    ,F                      ,                    ,                  ,F                      ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,R                   ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,R                              ,F                    ,F                  ,F                    ,                    ,F                               ,                    ,                   ,F                       ,F                    ,F                    ,                      ,                 ,               ,                   ,                      ,             ,F                ,R                    ,R                ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,              ,125, 784,A,  7,R,CC,   5.00,     53.3600,Wang     ,Radiolarians                                 ,C              ,G                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,                        ,               ,                ,F                    ,R                          ,                     ,R                      ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,F                     ,                ,R                     ,                               ,F                    ,                   ,F                    ,                    ,F                               ,                    ,                   ,R                       ,                     ,F                    ,                      ,                 ,               ,                   ,F                     ,             ,                 ,                     ,R                ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,              ,125, 784,A,  8,R,CC,   2.00,     66.6200,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,                        ,               ,                ,F                    ,R                          ,F                    ,R                      ,                    ,                  ,                       ,                ,                        ,                      ,                     ,F                     ,                   ,F                     ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,F                     ,                ,R                     ,                               ,F                    ,                   ,F                    ,                    ,F                               ,                    ,F                  ,F                       ,                     ,F                    ,                      ,                 ,               ,                   ,                      ,             ,                 ,R                    ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,              ,125, 784,A,  9,R,CC,   5.00,     75.3200,Wang     ,Radiolarians                                 ,C              ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,                        ,               ,                ,                     ,                           ,                     ,R                      ,                    ,                  ,F                      ,                ,                        ,                      ,                     ,F                     ,                   ,F                     ,                   ,                 ,R                   ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,F                    ,                   ,F                    ,                    ,F                               ,                    ,                   ,R                       ,                     ,F                    ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,              ,125, 784,A, 10,R,CC,   5.00,     83.8500,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,                          ,                        ,F                       ,               ,                ,C                    ,F                          ,F                    ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,                     ,F                     ,                   ,F                     ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,F                     ,                ,                      ,F                              ,F                    ,                   ,F                    ,F                   ,F                               ,                    ,                   ,F                       ,F                    ,F                    ,                      ,                 ,               ,                   ,C                     ,R            ,F                ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. pentas         ,              ,125, 784,A, 11,R,CC,   5.00,     87.8500,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,                        ,                     ,F                      ,                   ,                       ,                    ,F                         ,                        ,F                       ,               ,                ,C                    ,F                          ,F                    ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,F                    ,F                     ,                   ,F                     ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,F                    ,                      ,                ,                      ,F                              ,F                    ,F                  ,C                    ,F                   ,F                               ,                    ,F                  ,F                       ,                     ,R                    ,F                     ,F                ,               ,F                  ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 12,R,CC,   5.00,     99.8700,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,                        ,               ,                ,C                    ,F                          ,F                    ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,                     ,F                     ,                   ,F                     ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,R                    ,                      ,                ,F                     ,                               ,F                    ,F                  ,F                    ,                    ,F                               ,                    ,F                  ,F                       ,                     ,F                    ,F                     ,F                ,F              ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 13,R,CC,   5.00,    107.7300,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,                        ,                     ,R                      ,                   ,                       ,                    ,F                         ,                        ,                        ,               ,                ,C                    ,F                          ,C                    ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,F                    ,                      ,                   ,                      ,                   ,                 ,F                   ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,F                              ,F                    ,F                  ,C                    ,                    ,                                ,                    ,                   ,F                       ,F                    ,F                    ,F                     ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 14,R,CC,   3.00,    123.7100,Wang     ,Radiolarians                                 ,C              ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,F                       ,               ,                ,F                    ,F                          ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,F                    ,                      ,                   ,F                     ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,R                    ,F                     ,                ,                      ,                               ,F                    ,F                  ,                     ,                    ,F                               ,                    ,F                  ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 15,R,CC,   5.00,    136.0600,Wang     ,Radiolarians                                 ,C              ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,                        ,               ,                ,F                    ,F                          ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,                     ,F                     ,                   ,                      ,                   ,                 ,F                   ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,R                    ,F                     ,                ,                      ,                               ,F                    ,F                  ,F                    ,                    ,F                               ,R                   ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 16,R,CC,   5.00,    145.6500,Wang     ,Radiolarians                                 ,C              ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,                        ,               ,                ,                     ,F                          ,                     ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,                      ,                   ,                 ,F                   ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,F                     ,                ,F                     ,                               ,F                    ,F                  ,F                    ,F                   ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 17,R,CC,   4.00,    153.0900,Wang     ,Radiolarians                                 ,C              ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,F                       ,               ,                ,                     ,F                          ,                     ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,                     ,                      ,                   ,F                     ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,F                              ,F                    ,F                  ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 18,R,CC,   5.00,    165.0300,Wang     ,Radiolarians                                 ,F              ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,                        ,F                       ,               ,                ,                     ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,                     ,F                     ,                   ,F                     ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,R                    ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 19,R,CC,   5.00,    168.1500,Wang     ,Radiolarians                                 ,C              ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,F                         ,F                       ,F                       ,               ,                ,                     ,                           ,                     ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,                     ,F                     ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,F                    ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 20,R, 6,   7.00,    182.2700,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,F                       ,                     ,                       ,                   ,                       ,                    ,F                         ,F                       ,                        ,               ,                ,                     ,                           ,                     ,F                      ,                    ,                  ,                       ,                ,                        ,                      ,F                    ,                      ,                   ,F                     ,                   ,                 ,                    ,                     ,F                 ,                 ,                      ,                      ,                          ,                              ,F                    ,F                     ,R               ,F                     ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 784,A, 21,R,CC,   3.00,    192.7300,Wang     ,Radiolarians                                 ,               ,M                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,                          ,F                       ,F                       ,               ,                ,                     ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,F                    ,F                     ,                   ,                      ,                   ,                 ,                    ,                     ,F                 ,                 ,                      ,                      ,                          ,                              ,F                    ,F                     ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. antepenultima RN7,D. penultima (RN8),125, 784,A, 22,R, 6, 110.00,    202.6000,Wang     ,Radiolarians                                 ,F              ,M                 ,                 ,                ,                     ,F                       ,                     ,                       ,                   ,                       ,                    ,                          ,F                       ,                        ,               ,                ,                     ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,                      ,F                    ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,F                 ,                 ,                      ,                      ,                          ,                              ,F                    ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. antepenultima RN7,D. penultima (RN8),125, 784,A, 23,R, 3,  79.00,    207.3900,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,                        ,                     ,                       ,                   ,                       ,                    ,                          ,F                       ,F                       ,               ,R               ,F                    ,                           ,                     ,                       ,                    ,                  ,                       ,                ,                        ,C                     ,F                    ,F                     ,                   ,F                     ,                   ,                 ,                    ,F                    ,F                 ,R                ,F                     ,C                     ,F                         ,F                             ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,125, 784,A, 23,R,CC,   0.00,    207.4200,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,F                       ,                     ,F                      ,                   ,                       ,                    ,                          ,F                       ,F                       ,               ,                ,F                    ,                           ,                     ,F                      ,                    ,                  ,F                      ,                ,                        ,C                     ,F                    ,F                     ,                   ,F                     ,F                  ,                 ,                    ,F                    ,F                 ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,125, 784,A, 24,R,CC,   4.00,    222.6200,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,F                    ,F                       ,                     ,F                      ,                   ,                       ,                    ,F                         ,F                       ,F                       ,               ,R               ,F                    ,F                          ,                     ,                       ,                    ,                  ,                       ,                ,                        ,F                     ,F                    ,F                     ,                   ,F                     ,F                  ,R                ,F                   ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 25,R,CC,   5.00,    223.9600,Wang     ,Radiolarians                                 ,A              ,G                 ,                 ,                ,                     ,F                       ,                     ,                       ,                   ,                       ,                    ,                          ,F                       ,F                       ,               ,F               ,                     ,                           ,F                    ,                       ,                    ,                  ,                       ,F               ,                        ,F                     ,F                    ,F                     ,R                  ,F                     ,F                  ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 784,A, 26,R,CC,   5.00,    236.7000,Wang     ,Radiolarians                                 ,A              ,M                 ,                 ,                ,                     ,F                       ,                     ,                       ,R                  ,                       ,                    ,F                         ,F                       ,F                       ,               ,F               ,F                    ,                           ,                     ,F                      ,                    ,                  ,                       ,F               ,F                       ,F                     ,                     ,                      ,                   ,                      ,                   ,                 ,                    ,                     ,                  ,                 ,                      ,                      ,                          ,                              ,                     ,                      ,                ,                      ,                               ,                     ,                   ,                     ,                    ,                                ,                    ,                   ,                        ,                     ,                     ,                      ,                 ,               ,                   ,                      ,             ,                 ,                     ,                 ,                     ,                               ,from 125SR. Chapter 6. Table 2. pages 99 - 102.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
