Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygabikodinium lenticulatum	Xandarodinium xanthum	Tuberculodinium vancampoae	Trinovantedinium capitatum	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium pellitum	Stelladinium reidii	Spiniferites spp.	Spiniferites scabratus	Spiniferites elongatus	Spiniferites bentorii	Selenopemphix quanta	Selenopemphix nephroides	Quinquecuspis spp.	Polysphaeridium zoharyi	Peridinium faeroense	Pediastrum sp.	Operculodinium israelianum	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Multispinula minuta	Lingulodinium machaerophorum	Impagidinium spp.	Impagidinium sphaericum	Impagidinium multiplexum	Filisphaera filifera	Cordosphaeridium sp. 1	Brigantedinium sp. group. H	Brigantedinium sp. group B	Brigantedinium simplex	Bitectatodinium tepikiense	Ataxiodinium choanum	Achomosphaera ramulifera	Achomosphaera andalousiensis	Comment
  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  4	H	 3	  86.00	     27.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  4	H	 5	  86.00	     30.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	R                	-                     	R                     	-                    	-                   	-                       	-                 	R                      	-                   	-             	-                         	R                          	-                           	R                            	R                  	-                           	R                	-                      	R                       	-                   	-                     	C                          	-                         	A                     	R                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  5	H	 1	  86.00	     33.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	R                      	-                   	-             	-                         	R                          	-                           	R                            	-                  	-                           	R                	-                      	R                       	-                   	-                     	R                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  5	H	 2	  86.00	     35.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	R                     	-                  	C                	-                     	R                     	R                    	-                   	-                       	-                 	R                      	-                   	-             	-                         	C                          	-                           	C                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	C                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  5	H	 3	  86.00	     36.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	C                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	A                          	-                         	C                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  5	H	 4	  86.00	     38.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	C                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	-                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  5	H	CC	  13.00	     39.0100	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	C                          	-                           	-                            	-                  	R                           	-                	-                      	-                       	-                   	-                     	A                          	-                         	-                     	C                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  6	H	 1	  86.00	     43.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	-                   	-                  	-                     	-                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	A                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  6	H	 2	  86.00	     44.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	-                         	C                   	-                  	-                     	-                  	R                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	-                   	-             	-                         	-                          	-                           	-                            	R                  	R                           	-                	-                      	-                       	-                   	-                     	C                          	-                         	C                     	-                         	-                   	-                       	R                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  6	H	 3	  86.00	     46.4600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                          	-                    	-                         	R                         	R                   	-                  	-                     	R                  	-                	-                     	-                     	-                    	-                   	-                       	-                 	-                      	R                   	R             	-                         	A                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	R                          	-                         	-                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

  SR	Pleistocene      	                 	PM1 (Mudie1989)   	              	104	 644	B	  6	H	 4	  86.00	     47.9600	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                          	R                    	-                         	-                         	R                   	-                  	-                     	R                  	-                	R                     	-                     	-                    	-                   	-                       	-                 	R                      	-                   	C             	-                         	C                          	-                           	-                            	-                  	-                           	-                	-                      	-                       	-                   	-                     	A                          	-                         	C                     	-                         	-                   	-                       	-                           	from ODP 104 SR Chapter 31  Figure 10  p 599

