Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira marujamica	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rouxia californica	Rhizosolenia styliformis	Rhizosolenia hebetata	Rhizosolenia barboi	Paralia sulcata	Nitzschia sp. 1	Neodenticula kamtschatica	Grammatophora spp.	Denticulopsis hustedtii	Denticulopsis dimorpha	Delphineis simonsenii	Coscinodiscus oculus-iridis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis pseudomarginatus	Cocconeis disculus	Cocconeis costata	Cocconeis californica	Chaetoceros spp.	Amphora ovalis	Actinoptychus senarius	Actinocyclus octonarius	Thalassiosira sp. 1	Thalassiosira jacksonii	Thalassiosira eccentrica	Thalassiosira antiqua	Roperia tesselata	Rhabdonema japonicum	Plagiogramma staurophorum	Odontella aurita	Navicula pygmaea	Mediaria splendida	Goniothecium tenue	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Coscinodiscus elegans	Rhizosolenia alata	Diploneis smithii	Diploneis bombus	Charcotia actinochilus	Azpeitia endoi	Aulacoseira granulata	Actinocyclus ingens	Trachyneis aspera	Thalassiosira trifulta	Thalassiosira hyalina	Rhizosolenia setigera	Nitzschia rolandii	Delphineis angustata	Thalassiosira sp. g	Thalassiosira oestrupii	Thalassiosira leptopus	Thalassiosira gravida	Thalassionema bacillaris	Melosira albicans	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiothrix frauenfeldii	Thalassiosira nidulus	Thalassiosira lineata	Delphineis ischaboensis	Stephanodiscus astraea	Cocconeis decipiens	Actinocyclus curvatulus	Cocconeis vitrea	Azpeitia nodulifer	Achnanthes groenlandica	Thalassionema hirosakiensis	Campyloneis grevillei	Asteromphalus flabellatus	Rossiella tatsunokuchiensis	Cyclotella kutzingiana	Coscinodiscus radiatus	Actinocyclus oculatus	Thalassiosira nordenskioeldii	Rhaphoneis amphiceros	Opephora martyi	Nitzschia reinholdii	Actinocyclus ochotensis	Nitzschia cylindrica	Hemidiscus cuneiformis	Bacterosira fragilis	Delphineis margalitalimbata	Thalassiosira pacifica	Thalassiosira burckliana	Nitzschia fossilis	Bacillaria paradoxa	Thalassiosira convexa	Synedra jouseana	Neodenticula koizumii	Nitzschia grunowii	Neodenticula seminae	Thalassiosira temperei	Pseudopodosira elegans	Porosira glacialis	Nitzschia granulata	Navicula mutica	Cyclotella comta	Cyclotella chaetoceras	Tetracyclus lacustris	Rhizosolenia curvirostris	Pseudosolenia calcar-avis	Pseudoeunotia doliolus	Nitzschia sicula	Nitzschia marina	Fragilaria construens	Cyclotella striata	Coscinodiscus subtilis	Pinnularia borealis	Diploneis ovalis	Diploneis oculata	Delphineis kippae	Pinnularia molaris	Denticulopsis lauta	Rhopalodia gibberula	Gomphonema spp.	Gomphonema angustatum	Fragilaria pinnata	Diploneis suborbicularis	Comment

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  4	H	 1	  83.00	     23.0300	Koizumi  	Diatoms                                      	               	                  	7                        	                        	                        	8                          	28                  	10                	                  	1                       	6                    	7                  	1              	               	r2                       	                  	r1                     	                      	                     	2                          	7                       	1                  	                          	                  	                 	                     	435             	              	                      	                       	                   	                       	                        	                     	                 	                    	                         	                	                	                  	                  	                     	2                   	                	                           	                      	                     	                  	                 	1               	                      	              	                     	                   	                 	30                    	                     	                     	                  	                    	                   	                       	                      	                     	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	9                      	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	4                      	                    	                      	                    	                           	2                     	                        	                  	                   	                     	                	r2                   	                  	46                  	                      	                      	4                 	                   	               	                	                      	                     	19                       	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	1                 	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  4	H	 5	 120.00	     29.4000	Koizumi  	Diatoms                                      	               	                  	4                        	r1                      	r1                      	25                         	28                  	3                 	                  	2                       	1                    	                   	               	               	50                       	                  	r1                     	                      	12                   	                           	22                      	                   	                          	                  	8                	                     	28              	3             	1                     	                       	                   	                       	                        	r2                   	                 	                    	                         	                	1               	                  	                  	                     	                    	                	                           	                      	                     	1                 	                 	                	                      	              	                     	                   	1                	2                     	1                    	                     	                  	                    	                   	4                      	                      	1                    	                        	1                	                       	                                  	                           	2                    	                     	1                      	                      	                   	1                      	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	2                      	                    	                      	3                   	                           	                      	                        	                  	                   	                     	                	                     	                  	7                   	                      	                      	                  	                   	               	                	                      	                     	6                        	                         	                      	                	                	                     	1                 	                      	                   	                	                 	4                	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  5	H	 3	  84.00	     35.5400	Koizumi  	Diatoms                                      	               	                  	10                       	                        	                        	37                         	26                  	7                 	                  	1                       	1                    	                   	               	               	r3                       	1                 	                       	                      	                     	                           	1                       	4                  	                          	                  	9                	                     	560             	              	                      	                       	                   	                       	                        	                     	                 	                    	                         	                	4               	                  	                  	                     	                    	                	1                          	                      	                     	1                 	                 	                	                      	              	                     	                   	                 	16                    	1                    	1                    	                  	                    	                   	14                     	2                     	6                    	                        	                 	                       	                                  	                           	                     	6                    	                       	                      	1                  	4                      	                	                  	1                      	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	3                      	2                   	                      	                    	                           	                      	                        	                  	                   	                     	                	7                    	                  	13                  	                      	                      	11                	                   	               	                	                      	                     	3                        	                         	                      	                	                	                     	                  	1                     	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  6	H	 1	  26.00	     41.4600	Koizumi  	Diatoms                                      	               	                  	                         	                        	r1                      	73                         	15                  	2                 	                  	1                       	2                    	                   	5              	               	r5                       	1                 	                       	                      	                     	2                          	9                       	4                  	1                         	                  	13               	                     	348             	              	3                     	                       	                   	                       	5                       	r1                   	                 	                    	                         	1               	1               	                  	r1                	                     	6                   	                	                           	                      	                     	                  	1                	1               	                      	              	                     	r1                 	                 	4                     	1                    	                     	                  	                    	                   	1                      	                      	3                    	                        	1                	                       	                                  	2                          	                     	1                    	                       	                      	3                  	3                      	                	                  	                       	                           	                     	                         	                           	2                     	                      	1                    	                             	1                    	1              	                    	                       	                    	                      	                    	                           	2                     	                        	                  	                   	                     	                	4                    	                  	7                   	                      	                      	1                 	                   	               	                	                      	                     	1                        	                         	                      	                	                	                     	1                 	                      	                   	1               	2                	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  6	H	 4	  55.00	     46.2500	Koizumi  	Diatoms                                      	               	                  	2                        	                        	                        	40                         	44                  	6                 	                  	3                       	1                    	2                  	20             	               	r7                       	1                 	r2                     	                      	                     	3                          	4                       	1                  	                          	                  	1                	                     	299             	              	                      	1                      	                   	                       	                        	                     	                 	                    	                         	                	                	                  	                  	                     	2                   	                	                           	                      	                     	                  	                 	3               	                      	              	                     	                   	                 	2                     	                     	1                    	                  	                    	                   	4                      	                      	4                    	4                       	1                	                       	                                  	1                          	2                    	1                    	                       	                      	                   	3                      	                	                  	                       	                           	                     	1                        	                           	                      	                      	11                   	                             	                     	1              	2                   	                       	                    	                      	                    	                           	1                     	                        	1                 	                   	                     	                	5                    	                  	10                  	                      	                      	1                 	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	1                  	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  6	H	 7	  50.00	     50.7000	Koizumi  	Diatoms                                      	               	                  	2                        	r1                      	                        	40                         	14                  	3                 	                  	1                       	                     	1                  	35             	               	r4                       	                  	                       	                      	                     	2                          	8                       	                   	                          	                  	1                	                     	120             	              	2                     	                       	                   	                       	1                       	                     	1                	                    	                         	                	                	                  	                  	                     	2                   	                	                           	                      	                     	                  	                 	3               	                      	              	4                    	                   	                 	3                     	                     	3                    	                  	                    	                   	16                     	                      	6                    	5                       	                 	                       	                                  	7                          	1                    	3                    	                       	1                     	                   	3                      	                	                  	                       	                           	                     	                         	                           	                      	4                     	3                    	                             	                     	               	1                   	                       	                    	1                     	                    	                           	                      	                        	                  	                   	                     	                	2                    	                  	1                   	                      	                      	                  	                   	               	                	                      	1                    	1                        	2                        	1                     	1               	1               	1                    	2                 	3                     	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  8	H	 4	 121.00	     57.4100	Koizumi  	Diatoms                                      	               	                  	                         	r1                      	r2                      	11                         	14                  	1                 	                  	4                       	                     	                   	3              	               	14                       	1                 	                       	r1                    	                     	                           	8                       	                   	1                         	                  	1                	                     	24              	              	3                     	                       	                   	r1                     	                        	r2                   	                 	                    	                         	1               	                	                  	                  	                     	1                   	                	                           	                      	                     	                  	                 	                	2                     	              	6                    	                   	                 	2                     	                     	                     	3                 	                    	                   	2                      	                      	1                    	                        	                 	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	r1                         	                     	                         	                           	1                     	                      	                     	                             	                     	               	                    	1                      	                    	1                     	                    	                           	1                     	                        	                  	                   	                     	                	2                    	                  	                    	                      	                      	                  	                   	               	1               	1                     	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	  9	X	CC	  18.00	     63.3600	Koizumi  	Diatoms                                      	               	                  	2                        	                        	                        	20                         	14                  	1                 	r1                	3                       	                     	                   	6              	               	r5                       	                  	r3                     	                      	                     	2                          	3                       	6                  	                          	                  	10               	2                    	98              	              	4                     	                       	                   	                       	2                       	                     	                 	                    	                         	1               	1               	                  	                  	r1                   	                    	                	                           	                      	                     	                  	                 	                	                      	              	1                    	                   	                 	                      	2                    	                     	                  	                    	                   	34                     	                      	6                    	2                       	                 	                       	                                  	                           	12                   	                     	2                      	                      	                   	2                      	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	1                    	               	                    	                       	2                   	                      	2                   	                           	                      	                        	                  	                   	                     	                	20                   	                  	13                  	r1                    	1                     	12                	1                  	1              	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koizumii       	R. curvirostris	127	 796	A	 10	X	 1	  40.00	     68.8000	Koizumi  	Diatoms                                      	               	                  	2                        	                        	                        	24                         	27                  	1                 	                  	2                       	                     	16                 	9              	               	r4                       	2                 	                       	                      	                     	1                          	6                       	5                  	1                         	3                 	12               	1                    	112             	              	1                     	                       	                   	                       	1                       	5                    	                 	                    	                         	1               	2               	                  	                  	                     	2                   	                	                           	                      	                     	                  	1                	                	                      	              	                     	r1                 	                 	8                     	1                    	                     	                  	1                   	                   	4                      	                      	5                    	                        	1                	                       	                                  	                           	2                    	                     	                       	1                     	1                  	4                      	                	                  	                       	                           	                     	                         	                           	                      	                      	3                    	                             	2                    	2              	1                   	15                     	1                   	                      	                    	1                          	                      	                        	                  	                   	                     	                	8                    	1                 	5                   	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koiz./N. kamtsch.	              	127	 796	A	 11	X	 1	  40.00	     78.7000	Koizumi  	Diatoms                                      	               	                  	2                        	                        	                        	22                         	69                  	3                 	                  	2                       	1                    	                   	1              	2              	51                       	                  	r2                     	                      	                     	1                          	3                       	2                  	                          	                  	3                	1                    	112             	              	1                     	                       	                   	                       	                        	2                    	                 	                    	                         	1               	                	                  	                  	                     	                    	                	                           	                      	                     	                  	                 	1               	                      	              	                     	                   	                 	4                     	1                    	                     	                  	                    	1                  	3                      	                      	5                    	                        	2                	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	                      	                    	                           	                      	                        	                  	                   	                     	                	16                   	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Late Pliocene    	Quaternary       	N. koiz./N. kamtsch.	              	127	 796	A	 12	X	 1	  41.00	     88.5100	Koizumi  	Diatoms                                      	               	                  	1                        	2                       	                        	25                         	70                  	4                 	                  	                        	                     	2                  	3              	1              	45                       	                  	                       	                      	                     	                           	6                       	1                  	                          	                  	                 	1                    	64              	              	1                     	                       	                   	                       	                        	4                    	                 	                    	                         	                	                	                  	                  	                     	                    	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	2                     	                     	                     	                  	                    	3                  	8                      	                      	2                    	                        	5                	                       	                                  	                           	1                    	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	1                     	                      	                     	                             	                     	1              	                    	                       	                    	1                     	                    	                           	                      	                        	                  	                   	1                    	r1              	11                   	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 12	X	 7	  41.00	     94.5100	Koizumi  	Diatoms                                      	               	                  	1                        	3                       	                        	33                         	31                  	2                 	                  	1                       	                     	                   	3              	3              	80                       	3                 	                       	r1                    	                     	                           	10                      	1                  	                          	                  	                 	                     	39              	              	9                     	                       	                   	                       	                        	2                    	                 	                    	                         	2               	1               	                  	                  	                     	1                   	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	2                     	                     	                     	                  	                    	                   	4                      	                      	1                    	                        	3                	                       	                                  	                           	                     	                     	                       	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	1                            	                     	               	                    	1                      	                    	1                     	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 14	X	 1	  40.00	    108.0000	Koizumi  	Diatoms                                      	               	                  	2                        	1                       	3                       	20                         	23                  	1                 	                  	4                       	                     	                   	2              	               	69                       	                  	                       	                      	                     	                           	6                       	                   	                          	                  	1                	1                    	39              	              	6                     	                       	                   	                       	                        	3                    	                 	                    	                         	5               	                	                  	                  	                     	1                   	2               	                           	                      	                     	                  	1                	                	                      	              	                     	                   	                 	7                     	2                    	2                    	                  	                    	1                  	9                      	                      	2                    	                        	2                	                       	                                  	                           	4                    	1                    	5                      	                      	                   	                       	                	                  	2                      	                           	                     	                         	1                          	                      	                      	                     	                             	                     	               	                    	1                      	                    	2                     	                    	                           	1                     	4                       	1                 	1                  	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 14	X	 5	  40.00	    114.0000	Koizumi  	Diatoms                                      	               	                  	                         	                        	1                       	24                         	44                  	2                 	                  	1                       	                     	                   	1              	               	72                       	                  	                       	                      	                     	                           	9                       	2                  	                          	                  	3                	1                    	62              	              	4                     	                       	                   	                       	                        	1                    	                 	                    	                         	2               	                	                  	r1                	                     	3                   	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	4                     	                     	                     	1                 	                    	                   	9                      	                      	4                    	                        	4                	                       	                                  	                           	2                    	1                    	                       	                      	                   	                       	                	                  	1                      	                           	                     	                         	                           	                      	                      	                     	2                            	                     	               	                    	                       	                    	                      	                    	1                          	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 15	X	 1	  40.00	    117.6000	Koizumi  	Diatoms                                      	               	                  	2                        	                        	                        	22                         	46                  	4                 	                  	1                       	                     	                   	8              	1              	71                       	                  	                       	                      	                     	1                          	7                       	1                  	                          	                  	6                	                     	41              	              	3                     	                       	                   	                       	                        	1                    	                 	                    	                         	1               	                	                  	r1                	                     	3                   	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	5                     	                     	                     	                  	                    	3                  	5                      	                      	3                    	                        	3                	                       	                                  	                           	                     	2                    	1                      	                      	                   	                       	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	1              	                    	1                      	                    	3                     	1                   	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 15	X	CC	  20.00	    122.9000	Koizumi  	Diatoms                                      	               	                  	1                        	2                       	                        	19                         	45                  	5                 	r1                	1                       	                     	                   	4              	               	66                       	                  	r2                     	                      	                     	                           	17                      	1                  	2                         	                  	2                	                     	34              	              	13                    	                       	                   	                       	                        	1                    	                 	1                   	                         	                	                	                  	                  	                     	3                   	                	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	4                     	1                    	                     	                  	                    	1                  	1                      	                      	1                    	                        	1                	                       	                                  	                           	                     	1                    	2                      	                      	                   	1                      	                	                  	                       	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	                    	6                     	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 796	A	 16	X	CC	  17.00	    130.4400	Koizumi  	Diatoms                                      	               	                  	                         	                        	                        	17                         	47                  	2                 	r1                	                        	                     	                   	               	1              	88                       	                  	                       	                      	                     	                           	8                       	1                  	                          	                  	2                	                     	32              	              	3                     	                       	                   	                       	                        	                     	                 	1                   	                         	3               	                	                  	                  	                     	2                   	1               	                           	                      	                     	                  	                 	                	                      	              	                     	                   	                 	2                     	                     	                     	                  	                    	                   	3                      	                      	2                    	                        	13               	                       	                                  	                           	                     	                     	                       	                      	1                  	                       	                	                  	1                      	                           	                     	                         	                           	                      	                      	                     	                             	                     	               	                    	                       	1                   	                      	                    	                           	                      	                        	                  	                   	                     	                	                     	                  	                    	                      	                      	                  	                   	               	                	                      	                     	                         	                         	                      	                	                	                     	                  	                      	                   	                	                 	                 	                  	                   	                    	               	                     	                  	                        	from ODP Legs 127&128 Chapter 15 Table 3 p 270-275

