Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus spp.	Scyphosphaera spp.	Reticulofenestra spp.	Reticulofenestra pseudoumbilica	Pontosphaera spp.	Placolith (small)	Helicosphaera carteri	Discoaster variabilis	Discoaster spp.	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Rhabdosphaera clavigera	Helicosphaera spp.	Hayaster perplexus	Discoaster surculus	Triquetrorhabdulus rugosus	Oolithotus fragilis	Amaurolithus spp.	Amaurolithus delicatus/primus intergrade	Discoaster sp. aff. D. pentaradiatus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus tricorniculatus	Helicosphaera sp. aff. H. intermedia	Helicosphaera sellii	Discoaster pansus	Calcidiscus macintyrei	Amaurolithus ninae	Discoaster intercalaris	Discoaster challengeri	Minylitha convallis	Discoaster exilis	Discoaster archipelagoensis	Dictyococcites spp. (<4 microns)	Dictyococcites spp.	Ceratolithus rugosus	Discoaster tamalis	Discoaster blackstockae	Discoaster asymmetricus	Calcidiscus sp. A	Amaurolithus bizarrus	Pseudoemiliania lacunosa	Emiliania ovata	Umbellosphaera irregularis	Discoaster triradiatus	Discoaster dilatus	Discoaster quadramus	Triquetrorhabdulus farnsworthii	Gephyrocapsids (small with bars)	Comment

  SR	Late Pliocene    	                 	CN12aC            	              	135	 840	C	  4	H	 2	  97.00	     68.9700	Quinterno	Nannofossils                                 	V              	M                 	                 	C                 	                     	                               	C                	V                	C                    	                     	A              	                       	A                       	A                  	F                    	A                     	                   	                      	A                      	                  	C                 	A                  	                          	A                  	                 	                                        	                                    	                    	                   	                            	                                    	C                   	                 	C                     	                  	                       	                      	                   	                 	                           	                                	                   	C                   	A                 	                       	C                      	F                	                     	A                       	A              	                          	                      	C                 	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 287

  SR	Late Pliocene    	                 	CN12aC            	              	135	 840	C	  4	H	 4	  69.00	     71.6900	Quinterno	Nannofossils                                 	V              	G                 	                 	C                 	                     	                               	C                	V                	C                    	                     	C              	                       	A                       	C                  	F                    	A                     	                   	                      	A                      	C                 	C                 	A                  	                          	A                  	                 	                                        	C                                   	                    	                   	                            	                                    	A                   	                 	C                     	                  	                       	                      	                   	                 	C                          	                                	                   	                    	C                 	                       	C                      	A                	                     	A                       	A              	C                         	F                     	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 288

  SR	Late Pliocene    	                 	CN12aB            	              	135	 840	C	  4	H	CC	  16.00	     74.5700	Quinterno	Nannofossils                                 	A              	G                 	                 	F                 	                     	                               	F                	A                	C                    	R                    	C              	                       	C                       	F                  	F                    	C                     	                   	                      	F                      	C                 	C                 	F                  	                          	F                  	                 	                                        	                                    	                    	                   	                            	                                    	C                   	                 	F                     	                  	                       	                      	                   	                 	                           	                                	                   	                    	F                 	                       	F                      	F                	                     	C                       	C              	                          	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Early Pliocene   	                 	CN10d             	              	135	 840	C	  5	H	 1	  53.00	    124.5300	Quinterno	Nannofossils                                 	V              	M                 	A                	F                 	A                    	F                              	C                	V                	C                    	R                    	C              	                       	C                       	F                  	C                    	A                     	                   	R                     	C                      	C                 	C                 	F                  	                          	C                  	R                	                                        	C                                   	                    	                   	R                           	                                    	C                   	                 	                      	                  	F                      	                      	rR                 	                 	C                          	                                	                   	                    	                  	                       	R                      	C                	                     	                        	               	                          	                      	                  	                    	                               	                                	uncertain identity of Minylitha convallis; from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Early Pliocene   	                 	CN10c             	              	135	 840	C	  5	H	 2	 127.00	    126.7700	Quinterno	Nannofossils                                 	V              	M                 	A                	F                 	C                    	                               	F                	V                	C                    	C                    	C              	                       	C                       	C                  	C                    	A                     	                   	R                     	C                      	                  	                  	C                  	                          	F                  	                 	                                        	C                                   	                    	                   	R                           	F                                   	                    	C                	F                     	                  	                       	C                     	rF                 	                 	F                          	                                	                   	                    	R                 	C                      	R                      	F                	R                    	                        	               	                          	                      	                  	                    	                               	                                	uncertain identities of M. convallis & D. convallis & D. asymmetricus; from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Early Pliocene   	                 	CN10c             	              	135	 840	C	  5	H	CC	  16.00	    128.9200	Quinterno	Nannofossils                                 	A              	M                 	C                	F                 	C                    	                               	R                	A                	F                    	                     	F              	                       	F                       	C                  	F                    	C                     	                   	                      	                       	                  	                  	C                  	                          	R                  	                 	                                        	C                                   	                    	                   	R                           	                                    	                    	                 	                      	                  	                       	                      	rF                 	rR               	F                          	A                               	C                  	R                   	                  	                       	                       	                 	                     	                        	               	                          	                      	                  	                    	                               	                                	uncertain identity of Minylitha convallis; from ODP Leg 135 Chapter 17 Table 4 p 274-275

  SR	Early Pliocene   	                 	CN10b             	CN10c         	135	 840	C	  7	H	CC	  20.00	    150.8300	Quinterno	Nannofossils                                 	A              	M                 	C                	R                 	C                    	                               	                 	A                	C                    	F                    	               	                       	C                       	F                  	C                    	C                     	                   	R                     	R                      	                  	R                 	F                  	rR                        	                   	R                	R                                       	R                                   	                    	R                  	R                           	                                    	                    	                 	R                     	R                 	R                      	R                     	                   	                 	                           	                                	                   	                    	                  	                       	                       	                 	                     	                        	               	                          	                      	                  	                    	                               	                                	uncertain identity of Ceratolithus acutus; from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Early Pliocene   	                 	CN10b             	              	135	 840	C	  8	H	CC	  17.00	    159.6200	Quinterno	Nannofossils                                 	V              	M                 	A                	C                 	A                    	                               	C                	V                	C                    	C                    	               	                       	A                       	F                  	C                    	A                     	                   	F                     	C                      	C                 	C                 	C                  	                          	                   	                 	R                                       	                                    	R                   	R                  	R                           	C                                   	R                   	F                	F                     	R                 	                       	                      	                   	                 	                           	                                	                   	                    	                  	                       	                       	                 	                     	                        	               	                          	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Early Pliocene   	                 	CN10b             	              	135	 840	C	 10	H	CC	  19.00	    177.5500	Quinterno	Nannofossils                                 	V              	M                 	A                	A                 	A                    	F                              	C                	V                	A                    	A                    	               	                       	A                       	C                  	A                    	A                     	R                  	F                     	F                      	                  	                  	C                  	                          	                   	                 	R                                       	R                                   	R                   	F                  	R                           	                                    	                    	                 	                      	                  	                       	                      	                   	                 	                           	                                	                   	                    	                  	                       	                       	                 	                     	                        	               	                          	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Early Pliocene   	                 	CN10a             	              	135	 840	C	 11	H	CC	  17.00	    182.0900	Quinterno	Nannofossils                                 	A              	M                 	A                	                  	A                    	F                              	F                	A                	C                    	F                    	C              	                       	F                       	F                  	C                    	C                     	                   	F                     	F                      	C                 	R                 	R                  	R                         	F                  	R                	R                                       	                                    	                    	                   	                            	                                    	                    	                 	                      	                  	                       	                      	                   	                 	                           	                                	                   	                    	                  	                       	                       	                 	                     	                        	               	                          	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Early Pliocene   	                 	CN10a             	              	135	 840	C	 12	H	CC	  13.00	    194.4500	Quinterno	Nannofossils                                 	A              	P                 	C                	R                 	C                    	R                              	R                	C                	F                    	F                    	C              	                       	F                       	F                  	R                    	F                     	                   	R                     	C                      	F                 	R                 	R                  	                          	                   	                 	                                        	                                    	                    	                   	                            	                                    	                    	                 	                      	                  	                       	                      	                   	                 	                           	                                	                   	                    	                  	                       	                       	                 	                     	                        	               	                          	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

  SR	Late Miocene     	                 	CN9b              	              	135	 840	C	 13	H	CC	  18.00	    254.3400	Quinterno	Nannofossils                                 	A              	P                 	C                	R                 	C                    	F                              	F                	A                	C                    	F                    	F              	R                      	F                       	R                  	F                    	C                     	F                  	R                     	                       	                  	                  	                   	                          	                   	                 	                                        	                                    	                    	                   	                            	                                    	                    	                 	                      	                  	                       	                      	                   	                 	                           	                                	                   	                    	                  	                       	                       	                 	                     	                        	               	                          	                      	                  	                    	                               	                                	from ODP Leg 135 Chapter 17 Table 4 p 274-275 & Table 7 p 289

