Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina hispidocostata	Stilostomella sp.	Sigmoilopsis schlumbergeri	Pyrgo murrhina	Pullenia bulloides	Pleurostomella spp.	Melonis barleeanus	Fissurina sp.	Cibicidoides wuellerstorfi	Cibicidoides sp.	Tosaia hanzawai	Sphaeroidina bulloides	Melonis pompilioides	Globocassidulina sp.	Bulimina barbata	Oridorsalis umbonatus	Martinottiella spp.	Cassidulina sp.	Bulimina striata	Hoeglundina elegans	Bulimina aculeata	Epistominella exigua	Bolivina pusilla	Uvigerina senticosa	Lenticulina sp.	Globobulimina affinis	Chilostomella oolina	Comment
  SR	                 	                 	                  	              	126	 791	B	 24	R	CC	   4.00	    609.5900	Kaiho    	Benthic Foraminifers                         	               	                  	C                       	                 	                          	R             	                  	                   	                  	             	F                         	                	               	F                     	A                   	F                   	                	C                    	                   	               	                	F                  	                 	                    	F               	                   	R              	R                    	F                   	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 25	R	CC	  10.00	    621.0600	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	                          	              	C                 	                   	C                 	             	C                         	C               	R              	C                     	R                   	                    	C               	                     	                   	               	C               	A                  	                 	                    	R               	C                  	               	R                    	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 26	R	CC	   0.00	    628.6100	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	                          	R             	                  	                   	C                 	             	F                         	                	               	                      	C                   	                    	F               	C                    	                   	               	                	A                  	                 	                    	                	C                  	               	F                    	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 27	R	CC	   0.00	    637.8100	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	R                         	              	F                 	                   	R                 	             	C                         	R               	               	R                     	                    	                    	                	                     	                   	               	                	C                  	                 	                    	                	R                  	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 28	R	CC	  10.00	    652.3900	Kaiho    	Benthic Foraminifers                         	               	                  	                        	                 	                          	F             	C                 	                   	C                 	R            	                          	R               	               	                      	R                   	R                   	F               	                     	                   	               	C               	A                  	                 	                    	                	A                  	               	F                    	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 29	R	CC	   0.00	    656.4800	Kaiho    	Benthic Foraminifers                         	               	                  	C                       	                 	R                         	F             	                  	                   	A                 	F            	                          	                	F              	F                     	                    	                    	C               	                     	                   	               	R               	C                  	R                	                    	                	R                  	R              	C                    	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 30	R	CC	   9.00	    671.8900	Kaiho    	Benthic Foraminifers                         	               	                  	                        	                 	                          	              	F                 	                   	C                 	R            	C                         	F               	               	C                     	C                   	                    	                	C                    	R                  	               	F               	C                  	                 	                    	                	A                  	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 31	R	CC	   7.00	    680.4700	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                 	R                         	              	A                 	                   	C                 	F            	C                         	                	R              	R                     	F                   	                    	                	                     	                   	F              	F               	F                  	F                	                    	                	R                  	F              	F                    	C                   	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 34	R	CC	  11.00	    711.1100	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	                 	R                         	              	F                 	                   	C                 	             	C                         	                	F              	                      	C                   	F                   	R               	A                    	                   	C              	C               	F                  	                 	F                   	                	C                  	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 35	R	CC	   0.00	    715.4700	Kaiho    	Benthic Foraminifers                         	               	                  	                        	                 	                          	R             	R                 	                   	F                 	C            	                          	                	               	A                     	C                   	                    	                	C                    	                   	               	C               	                   	                 	                    	                	A                  	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 36	R	CC	  11.00	    729.9400	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	R                	R                         	A             	R                 	                   	A                 	C            	A                         	F               	F              	F                     	R                   	A                   	                	C                    	                   	C              	F               	F                  	C                	F                   	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 37	R	CC	   8.00	    735.7600	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	R                	                          	              	                  	F                  	A                 	F            	C                         	F               	F              	                      	                    	F                   	                	F                    	                   	R              	                	F                  	C                	                    	R               	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 38	R	CC	  12.00	    748.0000	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	R                	R                         	R             	F                 	F                  	R                 	C            	                          	C               	F              	C                     	                    	A                   	                	C                    	                   	R              	                	                   	                 	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 39	R	CC	  21.00	    755.4900	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	F                	                          	R             	R                 	                   	C                 	F            	F                         	F               	F              	F                     	                    	A                   	                	A                    	                   	R              	                	                   	                 	A                   	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 40	R	CC	  10.00	    765.7900	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	C                	R                         	R             	                  	                   	C                 	F            	R                         	R               	               	                      	                    	C                   	                	A                    	                   	R              	                	R                  	R                	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 41	R	CC	  21.00	    776.0400	Kaiho    	Benthic Foraminifers                         	               	                  	F                       	C                	                          	F             	F                 	R                  	                  	A            	R                         	C               	               	F                     	                    	F                   	                	A                    	                   	A              	                	R                  	                 	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 43	R	CC	  14.00	    792.6000	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	A                	R                         	F             	C                 	                   	C                 	             	C                         	C               	R              	F                     	                    	A                   	                	A                    	                   	               	                	                   	                 	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 44	R	CC	   7.00	    803.4100	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	F                	                          	              	                  	F                  	                  	A            	R                         	                	R              	F                     	                    	A                   	F               	A                    	R                  	F              	R               	                   	                 	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 45	R	CC	  16.00	    813.6100	Kaiho    	Benthic Foraminifers                         	               	                  	C                       	F                	                          	F             	C                 	R                  	F                 	C            	A                         	                	C              	F                     	C                   	C                   	R               	                     	                   	               	                	                   	                 	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 46	R	CC	  18.00	    822.8000	Kaiho    	Benthic Foraminifers                         	               	                  	F                       	A                	                          	C             	F                 	C                  	                  	R            	C                         	                	F              	F                     	F                   	                    	                	                     	                   	               	                	                   	                 	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

  SR	                 	                 	                  	              	126	 791	B	 47	R	 1	  41.00	    830.0100	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	C                	F                         	F             	R                 	F                  	F                 	A            	A                         	C               	               	                      	                    	                    	                	                     	                   	               	                	                   	                 	                    	                	                   	               	                     	                    	from ODP Leg 126 SR Chapter 19 Table Fig 4 p 293

