Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina cf. continuosa,Globorotalia cibaoensis,Globigerinita glutinata,Globigerina woodi,Globigerina quinqueloba,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Globigerina cf. bulloides,Neogloboquadrina pachyderma (sin.),Globorotalia sp. aff. G.sphericonomiozea,Globorotalia sp. aff. G. juanai,Globorotalia scitula,Globigerinella obesa,Globigerina clarkei,Globigerina aff. bulloides,Globorotalia sphericomiozea,Globorotalia juanai,Globorotalia sp. aff. G. puncticulata,Globorotalia sp. cf. G.pliozea,Globigerinita uvula,Neogloboquadrina pachyderma (dex.),Neogloboquadrina sp. A,Globorotalia theyeri,Globorotalia crassaformis,Globigerinella calida,Globorotalia cf. Gr. margaritae,Globorotalia puncticulata var. A,Globorotalia puncticulata puncticulata,Globorotalia puncticulata,Globigerina falconensis,Globigerina cariacoensis,Globigerinita cf. uvula,Globigerinita iota,Globigerina eamesi,Globorotalia inflata,Globigerina rubescens,Globorotalia tosaensis,Globigerina sp. A,Beella praedigitata,Neogloboquadrina pachyderma sp. 1 left-coiling,Globorotalia crassula,Globorotalia sp. A,Globigerina bulloides umbilicata,Globorotalia cf. Gr. tosaensis,Globorotalia blowi,Globorotaloides hexagona,Beella digitata,Sphaeroidinellopsis sp. cf. S. seminulina,Globigerinella pseudobesa,Globorotalia truncatulinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  6,H, 7,  28.00,     54.4800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,+                   ,+                        ,+                    ,                               ,+                               ,+                                     ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,+                             ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  7,H, 2,  70.00,     56.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,                    ,+                        ,+                    ,                               ,                                ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,+                  ,                                              ,                     ,+                 ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  7,H, 3,  68.00,     58.3800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,                    ,+                        ,+                    ,                               ,+                               ,+                                     ,                         ,+                      ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  7,H, 4,  71.00,     59.9100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,                      ,                    ,                         ,                     ,                               ,+                               ,+                                     ,                         ,                       ,                        ,+                      ,                  ,                  ,+                   ,                     ,                      ,+                ,                   ,                                              ,                     ,+                 ,+                               ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  7,H, 5,  70.00,     61.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,+                ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  7,H, 6,  73.00,     62.9300,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,                      ,+                   ,+                        ,+                    ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  8,H, 1,  69.00,     64.8900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,                      ,                    ,+                        ,                     ,                               ,+                               ,+                                     ,                         ,+                      ,                        ,+                      ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  8,H, 2,  21.00,     65.9100,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,                     ,                         ,72.0%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,.4%                      ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,27.5%                                         ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,8800 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  8,H, 2,  69.00,     66.3900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,+                        ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,+                                     ,                         ,+                      ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,+                    ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  8,H, 3,  69.00,     67.8900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  8,H, 4,  21.00,     68.9100,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,.8%                    ,                       ,                     ,.8%                  ,                         ,89.3%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,3.5%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,5.3%                                          ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,7200 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  8,H, 4,  69.00,     69.3900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,+                                     ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,+                ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  8,H, 5,  69.00,     70.8900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,+                ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  8,H, 6,  18.00,     71.8800,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,.2%                    ,                 ,.2%                    ,                       ,                     ,.9%                  ,                         ,73.0%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,9.7%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,15.0%                                         ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,44500 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  8,H, 6,  69.00,     72.3900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,+                   ,+                        ,+                    ,                               ,                                ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  9,H, 1,  68.00,     74.3800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,+                   ,                         ,+                    ,                               ,                                ,+                                     ,                         ,+                      ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  9,H, 1,  76.00,     74.4600,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,.5%                  ,                         ,61.3%                             ,                                        ,                               ,                    ,                    ,                   ,.5%                       ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,5.3%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,32.1%                                         ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,69300 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  9,H, 2,  68.00,     75.8800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,+                        ,+                    ,                               ,+                               ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,+                ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  9,H, 3,  68.00,     77.3800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,                    ,                         ,+                    ,                               ,+                               ,+                                     ,                         ,+                      ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  9,H, 4,  68.00,     78.8800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,+                      ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,+                   ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,+                  ,                                  ,+                     ,                    ,+                        ,+                    ,                               ,+                               ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,+                   ,                     ,+                     ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  9,H, 4,  76.00,     78.9600,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,.1%                    ,                 ,1.0%                   ,                       ,                     ,6.0%                 ,                         ,55.6%                             ,                                        ,                               ,                    ,                    ,                   ,1.0%                      ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,14.0%                    ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,22.0%                                         ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,457000 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  9,H, 5,  68.00,     80.3800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,+                    ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,+                    ,                               ,                                ,                                      ,                         ,+                      ,                        ,                       ,                  ,                  ,+                   ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  9,H, 6,  68.00,     81.8800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,                     ,                               ,+                               ,                                      ,                         ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A,  9,H, 7,   8.00,     82.7800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,+                              ,                       ,                       ,                 ,                       ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,+                    ,                               ,                                ,                                      ,                         ,+                      ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A,  9,H, 7,  30.00,     83.0000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,.4%                    ,                       ,                     ,2.8%                 ,                         ,61.2%                             ,                                        ,                               ,                    ,                    ,                   ,2.4%                      ,                           ,                   ,                                     ,                              ,.3%                ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,1.2%                     ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,31.8%                                         ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,26400 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. inflata        ,              ,114, 704,A, 10,H, 1,  68.00,     83.8800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                 ,+                          ,                               ,                       ,                       ,                 ,+                      ,                       ,                     ,                     ,                         ,                                  ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,+                             ,                   ,                                  ,+                     ,                    ,                         ,+                    ,                               ,                                ,                                      ,                         ,+                      ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,from ODP Leg 114 SR Chapter 10 Table 3 p.204-208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,114, 704,A, 10,H, 1,  90.00,     84.1000,Pujol    ,Planktonic Foraminifers                      ,               ,                  ,                 ,                           ,                               ,                       ,                       ,                 ,                       ,                       ,                     ,2.5%                 ,                         ,96.8%                             ,                                        ,                               ,                    ,                    ,                   ,                          ,                           ,                   ,                                     ,                              ,                   ,                                  ,                      ,                    ,                         ,                     ,                               ,                                ,                                      ,.3%                      ,                       ,                        ,                       ,                  ,                  ,                    ,                     ,                      ,                 ,                   ,                                              ,                     ,                  ,                                ,                              ,                  ,                        ,               ,                                         ,                         ,                             ,6400 specimens per 10 g; from ODP Leg 114 SR Chapter 11 Table 3 p.220-221
