Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia bulloides,Miliammina echigoensis,Melonis pompilioides,Martinottiella sp.,Martinottiella nodulosa,Martinottiella communis,Eggerella bradyi,Calcareous spp. (indeterminate),Ammodiscus spp.,Agglutinated spp. (indeterminate),Oolina globosa,Globocassidulina subglobosa,Globocassidulina spp.,Globobulimina elongata,Globobulimina auriculata,Cibicides sp. A,Chilostomella oolina,Parafissurina curta,Fissurina cf. F. orbignyana,Eggerella sp. A,Uvigerina hispidocostata,Quinqueloculina cf. Q. vulgaris,Quinqueloculina akneriana,Fissurina sp. B,Comment
  SR,                 ,                 ,                  ,              ,127, 796,A, 12,X,CC,  14.00,     94.8800,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,1                     ,                    ,                  ,                       ,                       ,                ,                               ,               ,                                 ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 15,X,CC,  20.00,    122.9000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,3                     ,                    ,                  ,                       ,10                     ,                ,                               ,               ,                                 ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 17,X,CC,  37.00,    143.6900,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,1                     ,                    ,                  ,                       ,13                     ,                ,                               ,               ,                                 ,              ,                           ,                     ,                      ,3                       ,               ,                    ,1                  ,1                          ,1              ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 18,X,CC,  36.00,    155.9700,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                    ,                  ,                       ,                       ,9               ,                               ,               ,                                 ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 21,X,CC,  37.00,    183.9300,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,1                     ,                    ,                  ,                       ,                       ,2               ,                               ,               ,                                 ,1             ,6                          ,3                    ,1                     ,7                       ,1              ,8                   ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 22,X,CC,  35.00,    192.0000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                    ,                  ,                       ,1                      ,                ,                               ,               ,                                 ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 24,X,CC,  37.00,    206.6700,Brunner  ,Benthic Foraminifers                         ,               ,                  ,                  ,                      ,                    ,                  ,                       ,1                      ,                ,                               ,               ,                                 ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 796,A, 27,X,CC,  36.00,    234.0000,Brunner  ,Benthic Foraminifers                         ,               ,                  ,1                 ,1                     ,3                   ,2                 ,1                      ,3                      ,1               ,1                              ,3              ,3                                ,              ,                           ,                     ,                      ,                        ,               ,                    ,                   ,                           ,               ,                        ,                               ,                         ,               ,from ODP Leg 127&128 SR Chapter 12 Table 4 p 198-200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
