Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa muellerae,Emiliania huxleyi,Coccolithus pelagicus,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Syracosphaera spp.(small),Pontosphaera spp.,Calcidiscus leptoporus,Reticulofenestra productella,Braarudosphaera bigelowii,Syracosphaera pulchra,Comment
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  3,H, 1, 120.00,     16.1000,Su       ,Nannofossils                                 ,P              ,M                 ,                      ,                 ,A                    ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  4,H, 1,  75.00,     25.1500,Su       ,Nannofossils                                 ,T              ,G                 ,15.6%                 ,84.0%            ,                     ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  4,H, 4,  80.00,     29.7000,Su       ,Nannofossils                                 ,R              ,G                 ,44.3%                 ,28.0%            ,23.0%                ,2.0%                     ,                         ,                         ,3.0%             ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  5,H, 2,  30.00,     35.7000,Su       ,Nannofossils                                 ,P              ,M-G               ,72.7%                 ,18.0%            ,9.0%                 ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  5,H, 6, 100.00,     42.4000,Su       ,Nannofossils                                 ,T              ,M-G               ,52.6%                 ,32.0%            ,16.0%                ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  6,H, 1,  83.00,     44.2300,Su       ,Nannofossils                                 ,P              ,G                 ,66.6%                 ,33.0%            ,                     ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  6,H, 4,  50.00,     48.4000,Su       ,Nannofossils                                 ,P              ,M-G               ,40.0%                 ,40.0%            ,20.0%                ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  7,H, 1, 120.00,     54.1000,Su       ,Nannofossils                                 ,P              ,M-G               ,69.8%                 ,                 ,30.0%                ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  7,H, 3, 121.00,     57.1100,Su       ,Nannofossils                                 ,R              ,M-G               ,48.9%                 ,25.0%            ,23.0%                ,                         ,                         ,4.0%                     ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  7,H, 5, 102.00,     59.9200,Su       ,Nannofossils                                 ,T              ,VG                ,68.5%                 ,15.0%            ,13.0%                ,                         ,4.0%                     ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,168,1026,A,  7,H, 7,  45.00,     62.3500,Su       ,Nannofossils                                 ,T              ,G                 ,59.0%                 ,35.0%            ,6.0%                 ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  8,H, 2, 124.00,     65.1400,Su       ,Nannofossils                                 ,T              ,M-G               ,64.7%                 ,23.0%            ,8.0%                 ,                         ,6.0%                     ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  8,H, 4, 100.00,     67.9000,Su       ,Nannofossils                                 ,T              ,G                 ,38.0%                 ,29.0%            ,9.0%                 ,5.0%                     ,19.0%                    ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  8,H, 6,  18.00,     70.0800,Su       ,Nannofossils                                 ,P              ,G                 ,58.2%                 ,1.0%             ,14.0%                ,                         ,29.0%                    ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  8,H,CC,  33.00,     72.6100,Su       ,Nannofossils                                 ,P              ,M-G               ,77.2%                 ,3.0%             ,19.0%                ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A,  9,H, 5,  55.00,     78.4500,Su       ,Nannofossils                                 ,T              ,VG                ,32.0%                 ,68.0%            ,                     ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A, 10,H, 2,  42.00,     83.3200,Su       ,Nannofossils                                 ,T              ,G                 ,43.7%                 ,50.0%            ,                     ,                         ,6.0%                     ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A, 10,H, 7,  61.00,     91.0100,Su       ,Nannofossils                                 ,P              ,M                 ,75.0%                 ,                 ,13.0%                ,13.0%                    ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A, 11,H, 6,  60.00,     99.0000,Su       ,Nannofossils                                 ,T              ,VG                ,40.9%                 ,59.0%            ,                     ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A, 11,H, 7,  55.00,    100.4500,Su       ,Nannofossils                                 ,T              ,M-G               ,79.2%                 ,4.0%             ,4.0%                 ,8.0%                     ,4.0%                     ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NN21A             ,              ,168,1026,A, 12,H,CC,  17.00,    101.3500,Su       ,Nannofossils                                 ,P              ,M-G               ,C                     ,C                ,C                    ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,A, 12,H,CC,  25.00,    101.4300,Su       ,Nannofossils                                 ,P              ,G                 ,C                     ,C                ,                     ,                         ,                         ,                         ,                 ,                      ,                            ,                         ,                     ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
