Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globigerina quinqueloba,Neogloboquadrina pachyderma (dextral),Comment
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A,  9,H,CC,  34.00,     78.7200,Flower   ,Planktonic Foraminifers                      ,R              ,P/M               ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 10,H,CC,  45.00,     89.1400,Flower   ,Planktonic Foraminifers                      ,R/F            ,P/M               ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 11,H,CC,  60.00,     96.1100,Flower   ,Planktonic Foraminifers                      ,R              ,M                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 12,H,CC,  22.00,    102.7500,Flower   ,Planktonic Foraminifers                      ,R              ,M                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 13,H,CC,  31.00,    105.6000,Flower   ,Planktonic Foraminifers                      ,F              ,M                 ,D                                      ,                       ,T                                    ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 14,H,CC,  23.00,    114.3100,Flower   ,Planktonic Foraminifers                      ,R              ,M                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 15,X,CC,  17.00,    119.8300,Flower   ,Planktonic Foraminifers                      ,C              ,M/G               ,D                                      ,T                      ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 16,X,CC,  26.00,    124.9600,Flower   ,Planktonic Foraminifers                      ,R              ,M                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 17,X,CC,  59.00,    137.7300,Flower   ,Planktonic Foraminifers                      ,R              ,M                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N.pachyderma(s. W&C),162, 986,A, 22,X, 1,  73.00,    177.9300,Flower   ,Planktonic Foraminifers                      ,R              ,M                 ,D                                      ,                       ,                                     ,from 162SR.Ch 2.Table 10.
,,,,,,,,,,,,,,,,,,,,
