Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gyroidinoides primitiva,Praebulimina nannina,Dentalina nana,Indeterminate ostracodes,Indeterminate nodosariidae,Indeterminate mollusc debris,Indeterminate echinoid debris,Gaudryina dividens,Verneuilina howchini,Ramulina aculeata,Lingulogavelinella? sp.,Lenticulina spp.,Lenticulina oligostegia,Lenticulina gaultina,Gyroidinoides subglobosus,Gyroidinoides crassa,Gavelinella schloenbachi,Gavelinella barremiana,Clavulina gabonica,Astacolus incurvata,Dorothia zedlerae,Textularia wilgunyaensis,Haplophragmoides chapmani,Indeterminate radiolarians,Lenticulina muensteri,Gyroidinoides nitidus,Eggerellina sp. 1,Reophax minuta,Nuttallides truempyi,Aragonia ouezzanensis,Osangularia cordieriana,Adercotryma glomerata,Gaudryina pyramidata,Nuttallides bronnimanni,Stensioina beccariiformis,Praebulimina obtusa,Clavulinoides whitei,Pleurostomella subnodosa,Globorotalites conicus,Eponides beiselli,Aragonia velascoensis,Aragonia aragonensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 21,R, 5, 111.00,    887.0100,Sikora   ,Benthic Foraminifers                         ,R              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,R                         ,                     ,R                    ,                 ,              ,                    ,R                    ,T                      ,                     ,                    ,                       ,T                        ,T                  ,T                   ,                        ,                      ,                 ,                     ,                    ,Thin-section #166; PB very questionable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 22,R, 1,  55.00,    890.0500,Sikora   ,Benthic Foraminifers                         ,R              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,T                    ,                 ,              ,                    ,R                    ,T                      ,                     ,                    ,T                      ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #167; PB very questionable
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 23,R, 2,  47.00,    901.0700,Sikora   ,Benthic Foraminifers                         ,T              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,T                   ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #168; bethic spp. nearly absent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 24,R, 2,  72.00,    910.9200,Sikora   ,Benthic Foraminifers                         ,T              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,R                    ,T                      ,T                    ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #169; very rare abyssal spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 25,R, 5,  50.00,    924.8000,Sikora   ,Benthic Foraminifers                         ,R              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,T             ,T                   ,T                    ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #170; very rare abyssal spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 26,R, 2,  73.00,    930.2300,Sikora   ,Benthic Foraminifers                         ,R              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,R             ,R                   ,R                    ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #171; very rare
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 26,R, 3,  77.00,    931.1400,Sikora   ,Benthic Foraminifers                         ,R              ,P                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,R                         ,T                    ,T                    ,R                ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #173; very rare
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 27,R, 1,  37.00,    937.9700,Sikora   ,Benthic Foraminifers                         ,T              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,A                         ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,plus rare agglutinates resembling A. obesa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 28,R, 2, 136.00,    950.0600,Sikora   ,Benthic Foraminifers                         ,F              ,M                 ,                       ,                    ,              ,                        ,R                         ,                            ,T                            ,R                 ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,R                 ,                   ,                 ,T                       ,C                        ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #175; agglutinates comparable to slope facies off Western Australia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 29,R, 1,  68.00,    957.4800,Sikora   ,Benthic Foraminifers                         ,T              ,M                 ,                       ,                    ,              ,                        ,                          ,                            ,F                            ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,T                ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Residue almost barren of benthic species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 29,R, 1, 148.00,    958.2800,Sikora   ,Benthic Foraminifers                         ,R              ,M                 ,                       ,                    ,              ,T                       ,R                         ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,R                   ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Residue almost barren of benthic species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 29,R, 2,  73.00,    959.0300,Sikora   ,Benthic Foraminifers                         ,T              ,P                 ,                       ,                    ,              ,R                       ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,T                   ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Residue almost barren of benthic species
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 29,R,CC,  17.00,    959.8800,Sikora   ,Benthic Foraminifers                         ,C              ,M                 ,T                      ,                    ,R             ,                        ,F                         ,F                           ,R                            ,                  ,                    ,                 ,                       ,                ,R                      ,                    ,R                        ,R                   ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Residue mainly composed of allochthonous shallow-water components
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 30,R, 1,  11.00,    966.5100,Sikora   ,Benthic Foraminifers                         ,A              ,G                 ,T                      ,                    ,R             ,R                       ,C                         ,R                           ,T                            ,                  ,R                   ,R                ,T                      ,R               ,R                      ,R                   ,F                        ,R                   ,T                       ,F                     ,R                 ,R                  ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Residue mainly composed of allochthonous shallow-water components
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 30,R, 1,  28.00,    966.6800,Sikora   ,Benthic Foraminifers                         ,R              ,M                 ,                       ,                    ,T             ,T                       ,T                         ,R                           ,T                            ,T                 ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,"Thin-section #177; mostly shallow-water facies as in Site 1183, but presumably allochthonous"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 30,R, 1,  43.00,    966.8300,Sikora   ,Benthic Foraminifers                         ,               ,                  ,                       ,T                   ,T             ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1186,A, 32,R, 3,  79.00,    979.9600,Sikora   ,Benthic Foraminifers                         ,T              ,P                 ,T                      ,                    ,              ,                        ,                          ,                            ,                             ,                  ,                    ,                 ,                       ,                ,                       ,                    ,                         ,                    ,                        ,                      ,                  ,                   ,                 ,                        ,                         ,                          ,                     ,                     ,                 ,              ,                    ,                     ,                       ,                     ,                    ,                       ,                         ,                   ,                    ,                        ,                      ,                 ,                     ,                    ,Thin-section #186; early Aptian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
