Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies	Discoaster prepentaradiatus	Discoaster brouweri	Calcidiscus leptoporus	Discoaster pentaradiatus	Reticulofenestra minuta	Discoaster variabilis	Reticulofenestra pseudoumbilica	Discoaster subsurculus	Discoaster pseudovariabilis	Discoaster pansus	Discoaster bollii	Discoaster asymmetricus	Coccolithus pelagicus	Catinaster coalitus	Catinaster calyculus	Calcidiscus tropicus	Thoracosphaera spp.	Discoaster hamatus	Reticulofenestra minutula	Helicosphaera carteri	Dictyococcites productellus	Triquetrorhabdulus rugosus	Sphenolithus compactus	Lithostromation perdurum	Discoaster neohamatus	Discoaster calcaris	Discoaster intercalaris	Sphenolithus moriformis	Discolithina multipora	Discolithina discopora	Discoaster moorei	Discoaster challengeri	Discoaster triradiatus	Umbilicosphaera sibogae	Sphenolithus verensis	Sphenolithus grandis	Rhabdosphaera clavigera	Hayaster perplexus	Discoaster quinqueramus	Discoaster neorectus	Discoaster tamalis	Discoaster berggrenii	Discoaster signus	Discoaster surculus	Discoaster blackstockae	Syracosphaera pulchra	Cyclicargolithus floridanus	Scyphosphaera pulcherrima	Pseudoemiliania lacunosa	Oolithotus antillarum	Helicosphaera wallichii	Gephyrocapsa spp. (small)	Discolithina japonica	Ceratolithus cristatus	Helicosphaera sellii	Discolithina syracusana	Cyclolithella annula	Scapholithus fossilis	Discoaster quadramus	Discoaster deflandrei	Dictyococcites bisectus	Gephyrocapsa margerelii	Syracosphaera lamina	Cricosphaera quadrilaminata	Holodiscolithus macroporus	Gephyrocapsa caribbeanica	Discosphaera tubifera	Ceratolithus rugosus	Gephyrocapsa oceanica s.l.	Gephyrocapsa oceanica (>6 microns)	Scyphosphaera spp.	Umbellosphaera irregularis	Helicosphaera neogranulata	Discolithina globulosa	Syracosphaera nodosa	Helicosphaera inversa	Ceratolithus telesmus	Emiliania huxleyi	Comment

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  2	H	 3	  40.00	      8.8000	Shyu     	Nannofossils                                 	               	                  	                  	                           	                   	F                     	                        	R                      	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	VR                  	F                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	R                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	VR                      	F                    	R                      	C                        	F                    	R                     	                    	                       	R                   	R                    	                    	                     	                       	                       	R                   	                           	                          	                         	                     	                    	C                         	                                  	                  	R                         	                          	                      	                    	R                    	                     	R                	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  2	H	 5	  40.00	     11.8000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	                        	                       	                     	VR                             	                      	                           	                 	                 	                       	                     	                   	                    	VR                  	R                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	F                      	                  	                       	                    	                  	                     	                 	VR                 	                       	F                    	                           	                         	                        	F                    	R                      	C                        	VR                   	VR                    	                    	                       	R                   	F                    	                    	                     	                       	                       	R                   	                           	                          	                         	R                    	                    	C                         	                                  	                  	VR                        	                          	                      	                    	                     	                     	R                	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  2	H	CC	  25.00	     15.3500	Shyu     	Nannofossils                                 	               	                  	                  	                           	VR                 	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	F                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	F                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	                     	F                      	C                        	VR                   	R                     	                    	                       	R                   	F                    	                    	                     	                       	                       	R                   	                           	                          	                         	                     	                    	A                         	VR                                	                  	R                         	                          	                      	                    	VR                   	                     	VR               	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  3	H	 1	  40.00	     15.3000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	VR                  	R                  	                  	                         	F                    	F                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	R                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	R                    	                       	A                        	VR                   	R                     	                    	                       	VR                  	R                    	                    	                     	                       	                       	VR                  	                           	                          	                         	                     	                    	A                         	                                  	                  	VR                        	                          	                      	                    	                     	                     	VR               	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  3	H	 3	  40.00	     18.3000	Shyu     	Nannofossils                                 	               	                  	                  	                           	VR                 	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	F                          	                          	                      	                        	                     	                   	                       	                       	                      	R                     	                 	                      	                      	F                      	                     	                    	R                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	F                    	VR                     	A                        	VR                   	VR                    	                    	                       	R                   	F                    	                    	                     	                       	                       	R                   	                           	                          	                         	                     	                    	A                         	                                  	                  	VR                        	                          	                      	VR                  	VR                   	                     	R                	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  3	H	 4	  40.00	     19.8000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	VR                 	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	C                    	F                          	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	VR                     	                  	                       	                    	                  	                     	                 	                   	                       	F                    	VR                         	                         	                        	F                    	                       	C                        	VR                   	                      	                    	                       	R                   	F                    	                    	                     	                       	                       	F                   	                           	                          	                         	VR                   	                    	A                         	                                  	                  	VR                        	                          	                      	                    	                     	                     	VR               	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN21              	              	124	 769	B	  3	H	 5	  40.00	     21.3000	Shyu     	Nannofossils                                 	               	                  	                  	                           	VR                 	F                     	VR                      	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	F                          	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	F                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	F                    	R                      	C                        	R                    	R                     	                    	                       	R                   	F                    	                    	                     	                       	                       	R                   	                           	                          	                         	R                    	                    	A                         	                                  	                  	R                         	                          	                      	                    	F                    	                     	VR               	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN20              	              	124	 769	B	  3	H	 6	  40.00	     22.8000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	R                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	F                    	F                      	A                        	VR                   	VR                    	                    	                       	F                   	F                    	                    	                     	                       	                       	VR                  	                           	                          	                         	                     	                    	A                         	VR                                	                  	VR                        	                          	                      	VR                  	F                    	VR                   	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN20              	              	124	 769	B	  3	H	CC	  23.00	     24.6800	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	                       	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	VR                   	VR                     	A                        	VR                   	VR                    	                    	                       	F                   	R                    	                    	                     	                       	VR                     	R                   	                           	                          	                         	                     	                    	A                         	VR                                	                  	VR                        	                          	                      	VR                  	VR                   	R                    	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN20              	              	124	 769	B	  4	H	 1	  40.00	     24.8000	Shyu     	Nannofossils                                 	               	                  	                  	                           	                   	C                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	R                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	R                    	F                      	C                        	VR                   	R                     	                    	                       	R                   	R                    	                    	                     	                       	                       	VR                  	                           	                          	                         	                     	                    	A                         	F                                 	                  	R                         	                          	                      	                    	                     	                     	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN20              	              	124	 769	B	  4	H	 3	  40.00	     27.8000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	R                      	                  	                       	                    	                  	                     	                 	                   	                       	F                    	                           	                         	                        	F                    	R                      	C                        	                     	VR                    	                    	                       	R                   	R                    	                    	                     	                       	                       	R                   	                           	                          	VR                       	                     	                    	A                         	                                  	                  	R                         	                          	                      	R                   	R                    	VR                   	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN20              	              	124	 769	B	  4	H	 5	  40.00	     30.8000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	                   	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	                       	                  	                       	                    	                  	                     	                 	                   	                       	R                    	                           	                         	                        	R                    	R                      	C                        	                     	                      	                    	                       	                    	VR                   	                    	                     	                       	                       	                    	                           	                          	                         	                     	                    	A                         	                                  	                  	                          	VR                        	                      	                    	VR                   	                     	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN20              	              	124	 769	B	  4	H	CC	  30.00	     34.4300	Shyu     	Nannofossils                                 	               	                  	VR                	                           	VR                 	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	                       	                  	                       	                    	                  	                     	                 	                   	                       	VR                   	                           	                         	                        	F                    	                       	C                        	                     	                      	                    	                       	VR                  	R                    	                    	                     	                       	                       	VR                  	                           	                          	                         	                     	                    	A                         	                                  	                  	R                         	                          	                      	                    	                     	                     	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN20              	              	124	 769	B	  5	H	 1	  30.00	     34.2000	Shyu     	Nannofossils                                 	               	                  	R                 	                           	                   	F                     	                        	                       	                     	VR                             	                      	                           	                 	                 	                       	VR                   	                   	                    	                    	R                  	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	                      	                 	                      	                      	F                      	                     	                    	R                      	                  	                       	                    	                  	                     	                 	                   	                       	R                    	                           	                         	                        	VR                   	                       	C                        	                     	VR                    	                    	                       	                    	F                    	                    	                     	                       	                       	R                   	                           	                          	R                        	                     	                    	A                         	                                  	                  	                          	R                         	                      	                    	                     	                     	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN19b             	              	124	 769	B	  5	H	 3	  30.00	     37.2000	Shyu     	Nannofossils                                 	               	                  	                  	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	R                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	R                     	                 	                      	                      	F                      	                     	                    	                       	                  	                       	                    	                  	                     	                 	                   	                       	VR                   	                           	                         	VR                      	F                    	VR                     	F                        	                     	                      	                    	                       	                    	VR                   	                    	                     	                       	R                      	                    	                           	                          	VR                       	                     	                    	A                         	                                  	                  	VR                        	R                         	                      	                    	                     	                     	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN19b             	              	124	 769	B	  5	H	 5	  30.00	     40.2000	Shyu     	Nannofossils                                 	               	                  	                  	                           	                   	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	                   	                  	                         	F                    	C                          	                          	                      	                        	                     	                   	                       	                       	VR                    	                      	                 	                      	                      	F                      	                     	                    	VR                     	                  	                       	                    	                  	                     	                 	                   	                       	R                    	                           	                         	R                       	F                    	VR                     	F                        	                     	VR                    	                    	                       	VR                  	                     	                    	                     	                       	R                      	                    	                           	                          	                         	                     	                    	C                         	                                  	                  	R                         	                          	                      	                    	                     	                     	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket

  SR	Pleistocene      	                 	NN19b             	              	124	 769	B	  5	H	 6	  30.00	     41.7000	Shyu     	Nannofossils                                 	               	                  	VR                	                           	VR                 	F                     	                        	                       	                     	                               	                      	                           	                 	                 	                       	                     	                   	                    	                    	R                  	                  	                         	R                    	C                          	                          	                      	                        	                     	                   	                       	                       	                      	VR                    	                 	                      	                      	F                      	                     	                    	                       	                  	VR                     	                    	                  	                     	                 	                   	                       	R                    	                           	                         	R                       	F                    	R                      	C                        	VR                   	                      	                    	                       	VR                  	VR                   	                    	                     	                       	R                      	                    	                           	                          	                         	                     	                    	C                         	                                  	                  	VR                        	                          	                      	                    	                     	                     	                 	from ODP Leg 124 SR Chapter 10 Table 7 back-pocket
