Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Nodosaria spp. (costate forms)	Nodosaria spp.	Melonis pompilioides	Cibicidoides mckannai	Valvulineria sp.	Uvigerina senticosa	Quinqueloculina sp.	Pullenia bulloides	Plectofrondicularia sp.	Oridorsalis umbonatus	Nonionella miocenica	Gyroidina soldanii rotundimargo	Gyroidina soldanii altiformis	Eponides healdi	Cibicidoides wuellerstorfi	Cibicides spp.	Bulimina aculeata	Pyrgo sp.	Lenticulina sp.	Globobulimina pacifica	Glandulina laevigata	Fissurina spp.	Epistominella pacifica	Bulimina subcalva	Pullenia sp.	Nonionella labradorica	Melonis barleeanus	Martinottiella communis	Dentalina spp.	Textularia sp.	Bulimina subacuminata	Anomalina sp.	Gyroidina spp.	Bolivina argentea	Uvigerina spp.	Stilostomella spp.	Elphidium excavatum f. clavatum	Eggerella bradyi	Buliminella subfusiformis	Bolivina spissa	Uvigerina subperegrina	Hoeglundina elegans	Bulimina inflata	Cibicidoides spp.	Uvigerina hispida	Dorothia sp.	Chilostomella oolina	Uvigerina hootsi	Valvulineria araucana	Lagena spp.	Globocassidulina subglobosa	Cassidulina norcrossi	Cassidulina californica	Bulimina striata mexicana	Bolivina sp.	Bolivina pseudobeyrichi	Cassidulina translucens	Sphaeroidina bulloides	Pullenia salisburyi	Bulimina fossa	Buccella tenerrima	Cassidulinoides bradyi	Cassidulina sp.	Bulimina exilis	Triloculina sp.	Globobulimina affinis	Calcareous sp. indeterminate	Bulimina barbata	Bolivinita quadrilatera	Comment

  SR	                 	                 	                  	              	146	 892	A	  6	X	CC	   7.00	     45.5700	Zellers  	Benthic Foraminifers                         	               	M                 	                   	                              	R             	                    	                     	                	                   	                   	R                 	                       	                     	                    	                               	S                            	               	                          	R             	                 	         	R              	                      	                    	              	                      	                 	            	                      	                  	F                      	R             	              	                     	             	S             	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	C               	                     	           	C                          	                     	                       	                         	            	                       	                       	S                     	S                  	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	  7	X	 2	  10.00	     50.1200	Zellers  	Benthic Foraminifers                         	               	M                 	R                  	R                             	R             	                    	                     	                	                   	                   	                  	                       	R                    	S                   	                               	C                            	R              	                          	R             	R                	S        	               	                      	S                   	              	                      	                 	            	                      	                  	S                      	R             	              	                     	             	              	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	R                          	                     	                       	                         	            	                       	C                      	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	  7	X	CC	  38.00	     58.2800	Zellers  	Benthic Foraminifers                         	               	M                 	                   	R                             	R             	                    	S                    	                	                   	                   	R                 	R                      	F                    	                    	R                              	R                            	               	                          	R             	                 	         	S              	S                     	S                   	R             	                      	                 	            	                      	F                 	                       	R             	              	                     	             	              	                 	R             	R                 	                               	                	S                        	               	                      	                   	                	                 	                 	            	                    	                	S                    	S          	R                          	R                    	S                      	R                        	S           	R                      	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	  8	X	 5	 147.00	     65.4200	Zellers  	Benthic Foraminifers                         	               	P                 	                   	                              	              	                    	R                    	                	                   	                   	S                 	                       	                     	                    	                               	                             	               	                          	R             	                 	         	               	                      	R                   	S             	                      	                 	            	                      	                  	F                      	R             	              	                     	             	              	S                	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	S               	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	  9	X	CC	  35.00	     68.5900	Zellers  	Benthic Foraminifers                         	               	P                 	                   	R                             	R             	                    	                     	                	                   	                   	                  	                       	                     	                    	                               	S                            	               	                          	              	                 	         	               	                      	                    	              	R                     	                 	            	                      	                  	                       	              	              	                     	             	              	                 	              	                  	                               	                	R                        	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 11	X	CC	  22.00	     81.2200	Zellers  	Benthic Foraminifers                         	               	M                 	                   	                              	              	                    	                     	                	                   	                   	R                 	                       	                     	S                   	R                              	                             	S              	                          	              	                 	         	               	                      	                    	S             	                      	R                	            	                      	R                 	S                      	S             	              	                     	             	              	                 	              	                  	                               	                	S                        	               	                      	                   	                	                 	S                	S           	S                   	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 12	X	CC	  33.00	     88.4800	Zellers  	Benthic Foraminifers                         	               	M                 	                   	                              	              	S                   	                     	                	                   	                   	                  	S                      	                     	                    	                               	S                            	               	                          	              	                 	         	               	                      	                    	              	                      	                 	            	                      	                  	S                      	              	              	                     	S            	              	                 	              	                  	                               	                	                         	               	                      	                   	                	S                	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 13	X	 9	 123.00	    106.3300	Zellers  	Benthic Foraminifers                         	               	P                 	                   	                              	              	                    	                     	                	S                  	                   	                  	                       	                     	                    	                               	                             	               	                          	              	                 	         	               	                      	                    	              	                      	                 	            	                      	                  	                       	S             	              	                     	             	              	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 14	X	 1	  48.00	    106.9800	Zellers  	Benthic Foraminifers                         	               	P                 	                   	                              	S             	                    	S                    	                	                   	                   	                  	                       	                     	                    	                               	S                            	R              	                          	              	                 	         	               	                      	                    	R             	                      	                 	S           	                      	                  	                       	              	              	                     	             	              	                 	              	S                 	                               	                	                         	               	S                     	S                  	S               	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 15	X	CC	  33.00	    117.3300	Zellers  	Benthic Foraminifers                         	               	M                 	R                  	                              	S             	R                   	                     	                	                   	                   	                  	                       	S                    	                    	S                              	                             	S              	                          	R             	                 	         	               	                      	                    	              	S                     	                 	            	                      	S                 	                       	              	              	                     	             	              	                 	R             	S                 	S                              	S               	S                        	S              	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 16	X	CC	  29.00	    126.2200	Zellers  	Benthic Foraminifers                         	               	M                 	                   	                              	S             	                    	                     	S               	                   	                   	                  	                       	S                    	                    	                               	                             	               	                          	              	                 	         	               	                      	                    	              	                      	                 	            	                      	                  	S                      	S             	              	                     	             	S             	S                	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 17	X	CC	  35.00	    136.7700	Zellers  	Benthic Foraminifers                         	               	P                 	                   	                              	R             	                    	                     	                	R                  	                   	                  	                       	                     	                    	                               	S                            	               	                          	S             	                 	         	S              	                      	                    	S             	                      	                 	            	                      	                  	S                      	              	S             	R                    	R            	              	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 18	X	CC	  16.00	    146.5800	Zellers  	Benthic Foraminifers                         	               	P                 	R                  	                              	S             	                    	                     	                	                   	                   	                  	                       	                     	R                   	                               	S                            	               	S                         	              	                 	         	               	                      	                    	              	                      	                 	S           	S                     	S                 	R                      	S             	              	                     	             	              	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 20	X	 1	  87.00	    164.3700	Zellers  	Benthic Foraminifers                         	               	M                 	R                  	S                             	R             	S                   	                     	                	S                  	                   	R                 	                       	R                    	S                   	S                              	S                            	S              	                          	              	R                	R        	S              	S                     	S                   	R             	S                     	R                	            	                      	                  	                       	              	              	                     	             	              	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 20	X	CC	  26.00	    167.3500	Zellers  	Benthic Foraminifers                         	               	M                 	C                  	R                             	F             	R                   	S                    	S               	S                  	S                  	R                 	S                      	R                    	R                   	S                              	R                            	S              	S                         	S             	R                	         	               	                      	                    	              	                      	                 	            	                      	                  	                       	              	              	                     	             	              	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

  SR	                 	                 	                  	              	146	 892	A	 21	X	 1	  23.00	    173.2300	Zellers  	Benthic Foraminifers                         	               	M                 	R                  	S                             	S             	R                   	S                    	                	                   	                   	                  	                       	                     	                    	                               	                             	               	                          	              	                 	         	               	                      	                    	              	                      	                 	            	                      	                  	                       	              	              	                     	             	              	                 	              	                  	                               	                	                         	               	                      	                   	                	                 	                 	            	                    	                	                     	           	                           	                     	                       	                         	            	                       	                       	                      	                   	              	                  	                      	               	               	               	                     	                            	                	                       	from Leg 146 SR; Ch 5; Table 5; pp. 104-105

