Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongotrochus glacialis	Cycladophora davisiana	Haliommetta miocenica	Botryostrobus bramlettei bramlettei	Stichocorys peregrina	Siphocampe arachnea	Phormostichoartus crustula	Lamprocyrtis heteroporos	Stauroxiphos communis	Spongodiscus osculosus	Cycladophora bicornis amphora	Botryostrobus bramlettei tumidulus	Stylacontarium acquilonium	Phormostichoartus multiseriatus	Lamprocyrtis neoheteroporos	Stylatractus universus	Lychnocanoma nipponica sakaii	Gondwanaria dogieli	Lychnocanoma nipponica nipponica	Dictyophimus splendens	Theocorys redondoensis	Spirema sp.	Siphocampe modeloensis	Lamprocyclas margatensis	Lamprocyclas hannai	Dictyophimus crisiae	Ceratocyrtis histricosa group	Phormostichoartus schneideri	Eucyrtidium calvertense	Theocorythium trachelium (old)	Pterocanium grandiporus	Botryostrobus sp. aff. B. aquilonaris	Stichocorys wolffii	Botryostrobus bramlettei seriatus	Botryopera deflandrei	Botryostrobus bramlettei costatus	Botryostrobus aquilonaris	Phormostichoartus fistula	Sphaeropyle robusta	Pseudocubus vema	Prunopyle sp. aff. P. titan	Cyrtocapsella japonica	Anthocyrtidium pliocenica	Stylacontarium sp.aff. S. bispiculum	Cycladophora pliocenica	Cycladophora robusta	Pterocanium trilobum	Pseudodictyophimus gracilipes	Cycladophora bicornis helios	Ceratospyris borealis	Sphaeropyle langii	Pterocorys clausus	Eucyrtidium matuyamai	Pterocanium auritum	Pterocanium korotnevi	Lipmanella acanthica	Lamprocyrtis nigriniae	Comment

  SR	                 	                 	                  	              	146	 892	A	  2	X	 3	  52.00	     13.0200	Caulet   	Radiolarians                                 	R              	G                 	                       	A                     	                     	                                   	                     	R                  	                          	R                       	                     	R                     	R                            	R                                 	R                         	R                              	R                          	R                     	                             	T                  	                                	                      	                      	           	                      	                        	                   	                    	R                            	                            	                       	                              	T                      	                                     	                   	T                                	                     	                                 	R                        	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	R                            	T                           	R                    	                  	T                 	T                    	T                  	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  2	X	CC	   0.00	     13.1500	Caulet   	Radiolarians                                 	F              	G                 	T                      	C                     	                     	                                   	                     	                   	R                         	                        	                     	                      	                             	                                  	                          	C                              	C                          	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	R                 	R                 	T                    	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  3	X	 1	  14.00	     19.1400	Caulet   	Radiolarians                                 	VR             	M                 	                       	R                     	                     	                                   	                     	                   	T                         	                        	                     	                      	                             	R                                 	R                         	                               	T                          	                      	T                            	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  3	X	 2	  28.00	     20.7800	Caulet   	Radiolarians                                 	R              	G                 	                       	R                     	                     	                                   	T                    	                   	                          	                        	                     	R                     	R                            	R                                 	                          	                               	R                          	T                     	T                            	                   	                                	                      	                      	           	                      	                        	                   	R                   	R                            	                            	T                      	                              	                       	R                                    	                   	                                 	                     	                                 	T                        	                         	                   	T               	                           	                      	                         	R                                   	                       	R                   	T                   	R                            	R                           	R                    	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  3	X	CC	  21.00	     22.9300	Caulet   	Radiolarians                                 	F              	G                 	C                      	T                     	                     	                                   	                     	                   	R                         	R                       	                     	                      	                             	C                                 	                          	                               	C                          	                      	R                            	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	T                           	T                      	                              	R                      	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	T                   	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  4	X	 1	  64.00	     29.1400	Caulet   	Radiolarians                                 	VR             	G                 	                       	                      	                     	                                   	R                    	                   	T                         	                        	                     	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	R                     	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	R                      	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  4	X	 2	  28.00	     29.8000	Caulet   	Radiolarians                                 	VR             	P                 	T                      	                      	                     	                                   	                     	                   	                          	                        	T                    	T                     	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	                      	T          	R                     	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	T                                   	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  4	X	CC	  12.00	     30.3700	Caulet   	Radiolarians                                 	R              	G                 	                       	                      	                     	                                   	                     	                   	                          	                        	                     	                      	                             	                                  	                          	                               	                           	C                     	                             	                   	                                	                      	T                     	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	A                  	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  6	X	 1	   0.00	     39.0000	Caulet   	Radiolarians                                 	R              	G                 	R                      	                      	                     	                                   	                     	                   	                          	                        	T                    	                      	                             	                                  	                          	                               	                           	R                     	                             	                   	T                               	                      	T                     	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	R                  	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  6	X	 2	  93.00	     41.4300	Caulet   	Radiolarians                                 	R              	G                 	                       	                      	                     	                                   	                     	                   	                          	                        	                     	                      	                             	                                  	                          	                               	                           	T                     	                             	                   	                                	                      	T                     	T          	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	A                  	                                 	R                    	T                                	                         	                         	                   	                	T                          	                      	T                        	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  6	X	CC	   7.00	     45.5700	Caulet   	Radiolarians                                 	R              	G                 	C                      	                      	                     	                                   	                     	                   	                          	                        	                     	R                     	                             	                                  	                          	                               	                           	T                     	                             	                   	                                	T                     	R                     	           	T                     	                        	                   	                    	                             	                            	                       	                              	                       	                                     	R                  	                                 	                     	                                 	                         	R                        	                   	                	                           	C                     	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  7	X	 1	  49.00	     48.9900	Caulet   	Radiolarians                                 	R              	G                 	T                      	                      	                     	R                                  	                     	R                  	                          	                        	                     	R                     	                             	                                  	                          	                               	                           	R                     	                             	                   	                                	R                     	R                     	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	R                  	                                 	                     	R                                	                         	                         	T                  	T               	T                          	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  7	X	 2	  10.00	     50.1200	Caulet   	Radiolarians                                 	R              	M                 	R                      	                      	                     	                                   	                     	                   	                          	R                       	                     	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	T                        	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  7	X	 2	  41.00	     50.4300	Caulet   	Radiolarians                                 	R              	G                 	                       	                      	                     	                                   	T                    	A                  	R                         	                        	                     	                      	                             	T                                 	R                         	                               	A                          	R                     	T                            	                   	                                	                      	                      	           	                      	                        	T                  	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	T                                	R                        	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  7	X	 4	  63.00	     53.6700	Caulet   	Radiolarians                                 	F              	G                 	                       	                      	                     	                                   	R                    	R                  	R                         	R                       	                     	R                     	R                            	T                                 	F                         	F                              	A                          	F                     	T                            	                   	                                	                      	                      	           	                      	                        	T                  	                    	                             	                            	T                      	                              	                       	R                                    	T                  	?                                	T                    	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  7	X	 6	  98.00	     57.0200	Caulet   	Radiolarians                                 	F              	G                 	R                      	                      	                     	                                   	                     	A                  	C                         	T                       	                     	C                     	C                            	R                                 	C                         	                               	A                          	C                     	                             	T                  	                                	                      	                      	           	                      	R                       	                   	                    	R                            	                            	                       	T                             	T                      	R                                    	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  7	X	CC	  38.00	     58.2800	Caulet   	Radiolarians                                 	F              	G                 	                       	                      	                     	                                   	                     	                   	                          	                        	                     	                      	                             	                                  	                          	                               	A                          	F                     	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	T                           	T                      	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  8	X	 3	  24.00	     61.2700	Caulet   	Radiolarians                                 	C              	M                 	R                      	                      	                     	                                   	                     	A                  	A                         	                        	                     	R                     	A                            	                                  	A                         	T                              	A                          	A                     	T                            	                   	                                	                      	                      	           	                      	R                       	R                  	A                   	R                            	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  8	X	 4	 104.00	     63.4900	Caulet   	Radiolarians                                 	VR             	P                 	                       	                      	                     	                                   	                     	                   	                          	                        	                     	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	R                     	R          	R                     	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  8	X	 5	 147.00	     65.4200	Caulet   	Radiolarians                                 	R              	M                 	                       	                      	                     	                                   	R                    	                   	                          	                        	                     	                      	                             	                                  	                          	                               	                           	R                     	                             	                   	T                               	T                     	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	  9	X	 1	  42.00	     67.9200	Caulet   	Radiolarians                                 	R              	M                 	                       	                      	                     	                                   	                     	R                  	R                         	                        	                     	R                     	R                            	T                                 	T                         	                               	C                          	R                     	T                            	T                  	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	 11	X	 1	  44.00	     78.4400	Caulet   	Radiolarians                                 	VR             	M                 	R                      	                      	                     	                                   	                     	F                  	T                         	                        	                     	R                     	                             	                                  	R                         	T                              	C                          	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	 11	X	 3	  16.00	     80.6100	Caulet   	Radiolarians                                 	R              	M                 	R                      	                      	                     	                                   	                     	                   	R                         	T                       	                     	R                     	R                            	T                                 	                          	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	 11	X	CC	  22.00	     81.2200	Caulet   	Radiolarians                                 	VR             	P                 	                       	                      	                     	                                   	                     	                   	                          	                        	T                    	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	 13	X	 4	  55.00	     99.4200	Caulet   	Radiolarians                                 	VR             	P                 	                       	                      	                     	                                   	                     	R                  	T                         	T                       	                     	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	 13	X	 9	 123.00	    106.3300	Caulet   	Radiolarians                                 	VR             	P                 	                       	                      	                     	                                   	R                    	                   	                          	                        	                     	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	 18	X	CC	  16.00	    146.5800	Caulet   	Radiolarians                                 	VR             	P                 	                       	                      	R                    	R                                  	                     	                   	                          	                        	                     	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

  SR	                 	                 	                  	              	146	 892	A	 20	X	 1	  87.00	    164.3700	Caulet   	Radiolarians                                 	VR             	P                 	R                      	R                     	                     	                                   	                     	                   	                          	                        	                     	                      	                             	                                  	                          	                               	                           	                      	                             	                   	                                	                      	                      	           	                      	                        	                   	                    	                             	                            	                       	                              	                       	                                     	                   	                                 	                     	                                 	                         	                         	                   	                	                           	                      	                         	                                    	                       	                    	                    	                             	                            	                     	                  	                  	                     	                   	                     	                    	                      	"from Leg 146 SR; Ch 3; Table 3, p. 52-53"

