Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Stilostomella spp.,Pleurostomella spp.,Osangularia mexicana,Oridorsalis umbonatus,Nuttallides truempyi,Karreriella bradyi,Cibicidoides havanensis,Bulimina jarvisi,Gyroidinoides sp. A,Globocassidulina subglobosa,Cibicidoides eocaenus,Cassidulina cf. lobatula,Buliminella grata,Anomalina spissiformis,Uvigerina sp.,Cibicidoides grimsdalei,Cibicidoides renzi,Eggerella bradyi,Pyrgo murrhina,Cibicidoides wuellerstorfi,Cibicidoides spp.,Chrysalogonium sp.,Pullenia bulloides,Laticarinina pauperata,Gyroidinoides sp. B,Anomalinoides globulosus,Uvigerina hispida,Sphaeroidina bulloides,Pullenia spp.,Melonis barleeanus,Globobulimina affinis,Fissurina spp.,Uvigerina senticosa,Uvigerina hispidocostata,Melonis pompilioides,Alabamina cf. dissonata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,125, 782,A, 35,X, 2,  52.00,    324.5200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R                ,A                 ,C                  ,                    ,A                    ,                    ,                  ,                       ,R               ,R                  ,                           ,                     ,                        ,                 ,                      ,             ,                       ,                  ,R               ,              ,                          ,                 ,                  ,                  ,                      ,                   ,                        ,                 ,                      ,             ,                  ,                     ,              ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,125, 782,A, 37,X, 2,  47.00,    343.5700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,R                ,C                 ,C                  ,C                   ,A                    ,                    ,R                 ,F                      ,R               ,C                  ,A                          ,F                    ,F                       ,                 ,                      ,             ,R                      ,F                 ,                ,              ,                          ,                 ,                  ,                  ,                      ,                   ,                        ,                 ,                      ,             ,                  ,                     ,              ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,125, 782,A, 39,X, 2,  47.00,    362.8700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                 ,A                 ,F                  ,R                   ,A                    ,                    ,F                 ,                       ,A               ,F                  ,C                          ,R                    ,                        ,                 ,                      ,R            ,R                      ,                  ,                ,              ,                          ,                 ,                  ,                  ,                      ,                   ,                        ,                 ,                      ,             ,                  ,                     ,              ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,125, 782,A, 40,X, 2,  47.00,    372.4700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                 ,C                 ,F                  ,A                   ,A                    ,                    ,                  ,                       ,                ,F                  ,C                          ,F                    ,C                       ,R                ,C                     ,             ,                       ,                  ,                ,              ,                          ,                 ,                  ,                  ,                      ,                   ,                        ,                 ,                      ,             ,                  ,                     ,              ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,125, 782,A, 41,X, 3,  52.00,    383.7200,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,F                ,A                 ,C                  ,A                   ,C                    ,A                   ,F                 ,C                      ,C               ,                   ,                           ,                     ,                        ,                 ,                      ,             ,                       ,                  ,                ,              ,                          ,                 ,                  ,                  ,                      ,                   ,                        ,                 ,                      ,             ,                  ,                     ,              ,                   ,                        ,                    ,                       ,from ODP 126 SR. Chapter 19. Table 3. pages 290-291. Data in table from sites drilled in Leg 125 (outer-arc high).
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
