Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Phormocyrtis striata praexquisita,Lychnocanoma (?) costata,Lamptonium pennatum,Buryella spp.,Tripocalpis cassidus,Phormocyrtis striata exquisita,Lychnocanoma (?) pileus,Dictyomitra multicostata,Buryella tetradica,Buryella pentadica,Bekoma spp.,Orbula comitata,Bekoma campechensis,Podocyrtis papalis,Stylotrochus nitidus,Stylotrochus alveatus,Spongodiscus cruciferus,Phormocyrtis turgida,Phormocyrtis cubensis,Lychnocanoma auxilla,Giraffospyris lata,Dendrospyris fragoides,Amphicraspedum murrayanum,Theocorys phyzella,Amphicraspedum prolixum,Theocotylissa auctor,Spongodiscus americanus,Pterocodon ampla,Phormocyrtis striata striata,Lithochytris archaea,Theocotylissa alpha,Lychnocanoma babylonis group,Spongodiscus quartus quartus,Theocotylissa ficus,Buryella clinata,Thyrsocyrtis hirsuta,Theocotyle nigriniae,Theocorys anaclasta,Stylotrochus quadribrachiatus quadribrachiatus,Spongatractus balbis,Lophocyrtis biaurita,Calocycloma castum,Calocyclas hispida,Rhopalocanium ornatum,Lamptonium fabaeforme fabaeforme,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme chaunothorax,Calocycloma ampulla,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,RP7               ,RP8           ,165,1001,A, 24,R, 2,   9.00,    209.9900,Nigrini  ,Radiolarians                                 ,VR             ,MG                ,                                 ,                        ,                   ,             ,                    ,                              ,                       ,                        ,                  ,                  ,           ,               ,                   ,?                 ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,?               ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,RP7               ,RP8           ,165,1001,A, 25,R, 1,  92.00,    218.9200,Nigrini  ,Radiolarians                                 ,F              ,G                 ,                                 ,                        ,                   ,             ,                    ,VF                            ,                       ,                        ,R                 ,                  ,           ,               ,                   ,F                 ,                    ,R                    ,S                      ,S                   ,S                    ,R                   ,R                 ,R                     ,R                        ,                  ,                       ,                    ,                       ,VR              ,                            ,                    ,R                  ,MR                          ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,165,1001,A, 25,R, 2,  64.00,    220.1400,Nigrini  ,Radiolarians                                 ,T              ,                  ,                                 ,                        ,                   ,             ,                    ,+                             ,                       ,                        ,                  ,                  ,           ,               ,                   ,                  ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,165,1001,A, 26,R, 1,  10.00,    227.7000,Nigrini  ,Radiolarians                                 ,T              ,                  ,                                 ,                        ,                   ,             ,                    ,                              ,                       ,                        ,                  ,                  ,           ,               ,                   ,                  ,                    ,                     ,                       ,                    ,                     ,?                   ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,165,1001,A, 27,R, 1,  10.00,    237.3000,Nigrini  ,Radiolarians                                 ,C              ,G                 ,                                 ,                        ,R                  ,             ,                    ,R                             ,                       ,                        ,R                 ,                  ,           ,               ,                   ,R                 ,R                   ,R                    ,S                      ,R                   ,S                    ,R                   ,                  ,R                     ,R                        ,?                 ,                       ,                    ,R                      ,?               ,R                           ,R                   ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP7               ,              ,165,1001,A, 27,R, 1, 108.00,    238.2800,Nigrini  ,Radiolarians                                 ,A              ,VP                ,                                 ,                        ,+                  ,             ,                    ,+                             ,                       ,                        ,+                 ,                  ,           ,               ,                   ,                  ,+                   ,                     ,                       ,+                   ,                     ,+                   ,+                 ,+                     ,+                        ,                  ,                       ,?                   ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. Mixed assemblage with rare well preserved specimens. From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP7               ,              ,165,1001,A, 27,R, 3,  86.00,    240.4100,Nigrini  ,Radiolarians                                 ,A              ,VP                ,                                 ,                        ,+                  ,             ,                    ,+                             ,                       ,                        ,+                 ,                  ,S          ,               ,                   ,+                 ,+                   ,                     ,+                      ,+                   ,+                    ,+                   ,?                 ,                      ,+                        ,+                 ,+                      ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP7               ,              ,165,1001,A, 27,R, 3, 124.00,    240.7900,Nigrini  ,Radiolarians                                 ,F              ,MG                ,                                 ,                        ,R                  ,             ,                    ,F                             ,                       ,                        ,F                 ,                  ,           ,               ,                   ,F                 ,R                   ,S                    ,R                      ,R                   ,MR                   ,R                   ,MR                ,R                     ,R                        ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,165,1001,A, 28,R, 2,   4.00,    248.4400,Nigrini  ,Radiolarians                                 ,T              ,                  ,                                 ,                        ,                   ,             ,                    ,                              ,                       ,                        ,                  ,                  ,           ,               ,                   ,+                 ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,165,1001,A, 29,R, 2, 114.00,    259.1400,Nigrini  ,Radiolarians                                 ,T              ,                  ,                                 ,                        ,                   ,             ,                    ,                              ,                       ,                        ,+                 ,                  ,           ,               ,                   ,                  ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP6               ,              ,165,1001,A, 34,R, 3, 112.00,    308.7200,Nigrini  ,Radiolarians                                 ,A              ,VP                ,                                 ,                        ,                   ,             ,                    ,                              ,                       ,                        ,+                 ,+                 ,           ,+              ,+                  ,                  ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP6               ,              ,165,1001,A, 35,R, 1, 145.00,    315.6500,Nigrini  ,Radiolarians                                 ,A              ,VP                ,                                 ,+                       ,                   ,             ,+                   ,                              ,                       ,                        ,+                 ,+                 ,+          ,+              ,+                  ,                  ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP6               ,              ,165,1001,A, 35,R, 3,  48.00,    317.6800,Nigrini  ,Radiolarians                                 ,A              ,VP                ,                                 ,+                       ,                   ,             ,                    ,+                             ,                       ,                        ,+                 ,?                 ,           ,+              ,+                  ,                  ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP6               ,              ,165,1001,A, 35,R, 5,  78.00,    320.9800,Nigrini  ,Radiolarians                                 ,A              ,VP                ,+                                ,+                       ,                   ,             ,+                   ,+                             ,+                      ,+                       ,+                 ,+                 ,+          ,               ,                   ,                  ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,RP6               ,              ,165,1001,A, 36,R, 1,  19.00,    323.9900,Nigrini  ,Radiolarians                                 ,C              ,VP                ,+                                ,+                       ,+                  ,+            ,                    ,                              ,                       ,                        ,                  ,                  ,           ,               ,                   ,                  ,                    ,                     ,                       ,                    ,                     ,                    ,                  ,                      ,                         ,                  ,                       ,                    ,                       ,                ,                            ,                    ,                   ,                            ,                            ,                   ,                ,                    ,                    ,                   ,                                              ,                    ,                    ,                  ,                  ,                     ,                                ,                                 ,                                  ,                   ,Zonal assignment uncertain. From 165SR. Chapter 3. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
