Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides,Stephanopyxis spp.,Stephanopyxis dimorpha,Proboscia barboi,Proboscia alata,Neodenticula koizumii,Hemidiscus cuneiformis,Delphineis surirella,Coscinodiscus radiatus,Aulacoseira spp.,Actinocyclus oculatus,Actinocyclus ochotensis,Actinocyclus curvatulus,Thalassiosira oestrupii,Thalassiosira lineata,Thalassiosira antiqua,Coscinodiscus marginatus,Nitzschia marina,Neodenticula seminae,Fragilariopsis doliolus,Actinoptychus senarius,Pyxidicula horridus,Proboscia curvirostris,Thalassiosira eccentrica,Neodenticula kamtschatica,Rhizosolenia styliformis,Thalassiosira leptopus,Thalassiosira convexa,Delphineis angustata,Thalassiosira jouseae,Rhizosolenia hebetata,Comment
  IR,                 ,                 ,                  ,              ,204,1244,C,  5,H,CC,  24.00,     43.2400,Watanabe ,Diatoms                                      ,C              ,P                 ,F                          ,R                 ,C                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,T                       ,                ,R                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  6,H,CC,  29.00,     53.4600,Watanabe ,Diatoms                                      ,A              ,G                 ,C                          ,F                 ,C                     ,T               ,T              ,                     ,                      ,R                   ,T                     ,                ,                     ,                       ,                       ,R                      ,T                    ,T                    ,T                       ,                ,F                   ,                       ,                      ,T                  ,                      ,                        ,                         ,                        ,                      ,                     ,T                   ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  7,H,CC,  38.00,     62.5900,Watanabe ,Diatoms                                      ,C              ,M                 ,C                          ,                  ,R                     ,T               ,T              ,                     ,                      ,                    ,T                     ,T               ,                     ,                       ,                       ,R                      ,                     ,                     ,T                       ,                ,R                   ,                       ,T                     ,                   ,                      ,                        ,                         ,                        ,T                     ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  8,H,CC,  42.00,     71.6000,Watanabe ,Diatoms                                      ,A              ,G                 ,C                          ,R                 ,F                     ,                ,R              ,                     ,                      ,R                   ,R                     ,                ,                     ,                       ,                       ,R                      ,                     ,                     ,R                       ,                ,F                   ,                       ,R                     ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,R                   ,                     ,R                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C,  9,H,CC,  23.00,     82.1600,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,R                     ,                ,               ,                     ,                      ,                    ,T                     ,T               ,                     ,                       ,                       ,T                      ,                     ,                     ,R                       ,                ,R                   ,T                      ,T                     ,                   ,                      ,T                       ,T                        ,                        ,T                     ,                     ,R                   ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 10,H,CC,  35.00,     91.1300,Watanabe ,Diatoms                                      ,C              ,M                 ,T                          ,R                 ,F                     ,                ,               ,                     ,                      ,T                   ,                      ,T               ,                     ,                       ,                       ,T                      ,                     ,                     ,R                       ,                ,R                   ,                       ,T                     ,                   ,T                     ,                        ,                         ,                        ,                      ,                     ,T                   ,                     ,T                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 11,H,CC,  16.00,    100.6400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,T                      ,T                      ,                     ,                     ,R                       ,                ,R                   ,                       ,T                     ,                   ,T                     ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,T                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 12,H,CC,   0.00,    110.3800,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,T               ,               ,                     ,                      ,T                   ,R                     ,                ,                     ,                       ,T                      ,R                      ,                     ,T                    ,F                       ,                ,F                   ,                       ,T                     ,                   ,                      ,T                       ,T                        ,                        ,                      ,                     ,                    ,                     ,T                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 13,H,CC,  44.00,    120.3300,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,T               ,               ,                     ,                      ,T                   ,                      ,R               ,                     ,                       ,                       ,                       ,                     ,T                    ,R                       ,                ,R                   ,T                      ,                      ,                   ,                      ,                        ,T                        ,T                       ,                      ,                     ,T                   ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 14,P,CC,  13.00,    120.7400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,C                     ,R               ,               ,                     ,                      ,R                   ,                      ,T               ,                     ,                       ,                       ,                       ,                     ,                     ,F                       ,                ,F                   ,                       ,T                     ,                   ,R                     ,                        ,R                        ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 15,H,CC,  22.00,    129.6300,Watanabe ,Diatoms                                      ,F              ,M                 ,R                          ,F                 ,F                     ,R               ,               ,                     ,T                     ,                    ,                      ,                ,                     ,                       ,                       ,R                      ,                     ,                     ,R                       ,                ,R                   ,T                      ,                      ,                   ,                      ,T                       ,                         ,                        ,                      ,T                    ,                    ,T                    ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 17,H, 4, 125.00,    137.6500,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,T               ,               ,T                    ,                      ,                    ,                      ,R               ,                     ,T                      ,T                      ,                       ,                     ,T                    ,R                       ,                ,R                   ,T                      ,                      ,                   ,                      ,                        ,T                        ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 18,P,CC,   0.00,    142.4900,Watanabe ,Diatoms                                      ,R              ,P                 ,T                          ,R                 ,R                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,T                   ,                       ,                      ,                   ,T                     ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 19,X,CC,  18.00,    150.7500,Watanabe ,Diatoms                                      ,F              ,P                 ,                           ,R                 ,F                     ,T               ,               ,T                    ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,R                       ,                ,T                   ,                       ,T                     ,T                  ,T                     ,                        ,T                        ,                        ,T                     ,T                    ,T                   ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 21,X,CC,  44.00,    165.9600,Watanabe ,Diatoms                                      ,R              ,P                 ,T                          ,T                 ,T                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,T                       ,                ,T                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 22,X,CC,  18.00,    176.5600,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,T                 ,F                     ,R               ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,T                       ,                ,R                   ,                       ,                      ,                   ,T                     ,                        ,T                        ,T                       ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 23,X,CC,  25.00,    187.2600,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,R               ,               ,                     ,                      ,                    ,                      ,R               ,                     ,T                      ,                       ,T                      ,                     ,                     ,                        ,                ,R                   ,T                      ,                      ,T                  ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 24,X,CC,  20.00,    195.9500,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,R                 ,F                     ,R               ,               ,                     ,                      ,T                   ,                      ,R               ,                     ,                       ,                       ,T                      ,                     ,T                    ,                        ,                ,F                   ,                       ,T                     ,                   ,R                     ,T                       ,T                        ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 25,X,CC,  35.00,    206.0400,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,F                 ,C                     ,R               ,               ,                     ,                      ,                    ,T                     ,                ,                     ,                       ,                       ,                       ,                     ,                     ,R                       ,                ,F                   ,                       ,T                     ,T                  ,T                     ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 26,X,CC,  81.00,    214.3100,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,R               ,               ,                     ,                      ,                    ,T                     ,T               ,                     ,                       ,                       ,R                      ,                     ,                     ,R                       ,                ,F                   ,                       ,                      ,                   ,T                     ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 27,X, 5,  74.00,    222.5400,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,                ,               ,                     ,                      ,R                   ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,R                   ,                       ,                      ,R                  ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 27,X,CC,  60.00,    224.8000,Watanabe ,Diatoms                                      ,C              ,P                 ,T                          ,R                 ,C                     ,R               ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,R                       ,                ,T                   ,                       ,                      ,                   ,R                     ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 28,X, 1,  74.00,    226.1400,Watanabe ,Diatoms                                      ,C              ,P                 ,R                          ,R                 ,F                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,R                   ,                       ,                      ,T                  ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 28,X, 4,  74.00,    230.6400,Watanabe ,Diatoms                                      ,C              ,P                 ,R                          ,R                 ,F                     ,                ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,R                   ,                       ,                      ,T                  ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 28,X, 6,  74.00,    233.6400,Watanabe ,Diatoms                                      ,F              ,P                 ,F                          ,R                 ,F                     ,                ,               ,                     ,                      ,T                   ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,R                   ,                       ,                      ,T                  ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 28,X,CC,  35.00,    235.2500,Watanabe ,Diatoms                                      ,F              ,P                 ,                           ,R                 ,F                     ,+               ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,T                       ,                ,                    ,                       ,                      ,T                  ,T                     ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 29,X, 6,  60.00,    242.3600,Watanabe ,Diatoms                                      ,C              ,M                 ,F                          ,                  ,                      ,R               ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,R                      ,                     ,                     ,                        ,                ,F                   ,T                      ,T                     ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 30,X,CC,  75.00,    253.5000,Watanabe ,Diatoms                                      ,R              ,P                 ,T                          ,R                 ,R                     ,T               ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,R                       ,                ,R                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 31,X,CC,  98.00,    262.4200,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,T                 ,T                     ,T               ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,R                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 32,X,CC,  29.00,    272.5800,Watanabe ,Diatoms                                      ,F              ,P                 ,F                          ,T                 ,R                     ,                ,               ,                     ,                      ,                    ,                      ,T               ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,R                   ,T                      ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 33,X,CC,  34.00,    283.1700,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,                ,               ,                     ,                      ,                    ,                      ,                ,T                    ,                       ,                       ,                       ,                     ,                     ,                        ,                ,F                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 34,X,CC,  30.00,    292.0500,Watanabe ,Diatoms                                      ,R              ,P                 ,R                          ,                  ,R                     ,T               ,               ,T                    ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,R                       ,T               ,T                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 35,X,CC,  53.00,    302.7000,Watanabe ,Diatoms                                      ,F              ,P                 ,R                          ,R                 ,F                     ,R               ,               ,T                    ,                      ,                    ,                      ,                ,                     ,                       ,T                      ,                       ,                     ,R                    ,F                       ,T               ,R                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 36,X,CC,  37.00,    312.1400,Watanabe ,Diatoms                                      ,A              ,M                 ,F                          ,F                 ,C                     ,R               ,               ,F                    ,                      ,                    ,                      ,                ,                     ,R                      ,F                      ,T                      ,T                    ,R                    ,R                       ,F               ,C                   ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 37,X,CC,  30.00,    314.8900,Watanabe ,Diatoms                                      ,T              ,P                 ,                           ,                  ,T                     ,T               ,               ,                     ,                      ,                    ,                      ,                ,                     ,                       ,                       ,                       ,                     ,                     ,                        ,                ,                    ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 38,X,CC,  39.00,    331.7000,Watanabe ,Diatoms                                      ,F              ,P                 ,F                          ,R                 ,F                     ,R               ,               ,F                    ,                      ,                    ,                      ,                ,                     ,R                      ,                       ,T                      ,T                    ,T                    ,R                       ,                ,                    ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 39,X,CC,  19.00,    333.6400,Watanabe ,Diatoms                                      ,A              ,M                 ,C                          ,R                 ,F                     ,R               ,+              ,R                    ,R                     ,R                   ,R                     ,R               ,T                    ,T                      ,T                      ,                       ,                     ,                     ,                        ,                ,                    ,                       ,                      ,                   ,                      ,                        ,                         ,                        ,                      ,                     ,                    ,                     ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
