Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica (>7microns),Reticulofenestra productella,Reticulofenestra minutula,Reticulofenestra ampla,Pseudoemiliania lacunosa,Calcidiscus macintyrei,Gephyrocapsa spp. (small),Gephyrocapsa lumina,Reticulofenestra minuta,Emiliania huxleyi,Comment
  IR,                 ,                 ,                  ,              ,204,1244,C, 13,H,CC,  44.00,    120.3300,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,                         ,                   ,+                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 14,P,CC,  13.00,    120.7400,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,                         ,                   ,+                      ,+                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 17,H, 4, 125.00,    137.6500,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,                         ,                   ,+                      ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 20,X,CC,  31.00,    156.4000,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,                         ,+                  ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 24,X,CC,  20.00,    195.9500,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,+                  ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 25,X,CC,  35.00,    206.0400,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,                      ,+                        ,+                  ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 26,X,CC,  81.00,    214.3100,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,                        ,+                     ,+                        ,+                  ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 27,X,CC,  60.00,    224.8000,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,+                       ,                      ,+                        ,+                  ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 28,X,CC,  35.00,    235.2500,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,+                       ,                      ,+                        ,+                  ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 29,X,CC,  86.00,    244.5400,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,+                       ,+                     ,                         ,+                  ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 33,X,CC,  34.00,    283.1700,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,                         ,                      ,+                       ,+                     ,                         ,                   ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 35,X,CC,  53.00,    302.7000,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,+                        ,                      ,                        ,                      ,+                        ,                   ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 36,X,CC,  37.00,    312.1400,Watanabe ,Nannofossils                                 ,               ,                  ,                                           ,                            ,+                        ,+                     ,+                       ,+                     ,                         ,                   ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,204,1244,C, 37,X,CC,  30.00,    314.8900,Watanabe ,Nannofossils                                 ,               ,                  ,+                                          ,+                           ,+                        ,                      ,                        ,                      ,                         ,                   ,                       ,                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
