Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Discoaster tamalis	Discoaster pentaradiatus	Discoaster brouweri	Discoaster asymmetricus	Discoaster triradiatus	Discoaster surculus	Pseudoemiliania lacunosa	Calcidiscus macintyrei	Gephyrocapsa spp. medium	Gephyrocapsa spp. (small)	Ceratolithus cristatus	Calcidiscus leptoporus	Helicosphaera sellii	Helicosphaera carteri	Gephyrocapsa spp. (large)	Coccolithus pelagicus	Ceratolithus telesmus	Helicosphaera wallichii	Gephyrocapsa sp.3 medium	Florisphaera profunda	Reticulofenestra asanoi	Helicosphaera inversa	Emiliania huxleyi	Gephyrocapsa omega	Comment
  IR	                 	Pleistocene      	                  	              	172	1061	A	  8	H	CC	  18.00	     76.2800	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	R                       	                      	A                       	A                        	                      	C                     	                    	F                    	                         	R                    	                     	C                      	                        	R                    	                       	F                    	                 	                  	       

  IR	                 	Pleistocene      	                  	              	172	1061	A	  9	H	CC	  22.00	     86.1200	Raffi    	Nannofossils                                 	C              	P                 	                  	                        	                   	                       	                      	                   	R                       	                      	A                       	A                        	R                     	R                     	                    	R                    	                         	F                    	                     	R                      	                        	R                    	                       	                     	                 	                  	abundant Diatoms, and other siliceous stuff

  IR	                 	Pleistocene      	                  	              	172	1061	A	 10	H	CC	  20.00	     95.4700	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	R                       	                      	A                       	A                        	R                     	F                     	                    	R                    	                         	F                    	                     	R                      	                        	                     	                       	R                    	                 	                  	Etching on some nannos

  IR	                 	Pleistocene      	                  	              	172	1061	A	 11	H	CC	  14.00	    105.0400	Raffi    	Nannofossils                                 	C              	M                 	                  	                        	                   	                       	                      	                   	C                       	                      	F                       	R                        	                      	R                     	                    	R                    	                         	R                    	                     	R                      	                        	                     	                       	                     	                 	                  	Strong etching on nannos - Diatoms

  IR	                 	Pleistocene      	                  	              	172	1061	A	 12	H	CC	   9.00	    114.3900	Raffi    	Nannofossils                                 	C              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	A                       	C                        	                      	                      	                    	                     	                         	                     	                     	                       	F                       	                     	                       	                     	                 	                  	strong etching - age: >0.46 <0.96

  IR	                 	Pleistocene      	                  	              	172	1061	A	 13	H	CC	  27.00	    124.2300	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	A                       	                      	A                       	A                        	R                     	F                     	                    	                     	                         	                     	                     	                       	C                       	                     	                       	                     	                 	                  	slight etching - age: >0.46 <0.96

  IR	                 	Pleistocene      	                  	              	172	1061	A	 14	H	CC	  21.00	    132.9500	Raffi    	Nannofossils                                 	C              	P                 	                  	                        	                   	                       	                      	                   	A                       	                      	F                       	R                        	                      	-                     	                    	-                    	                         	                     	                     	-                      	F                       	                     	                       	-                    	                 	                  	strong etching - age: >0.46 <0.96

  IR	                 	                 	                  	              	172	1061	A	 15	H	CC	  19.00	    143.0700	Raffi    	Nannofossils                                 	C              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	A                       	A                        	                      	                      	                    	                     	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	> 0.46    < 0.96

  IR	                 	                 	                  	              	172	1061	A	 17	X	CC	   0.00	    157.0900	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	F                       	A                        	                      	C                     	                    	                     	                         	                     	                     	                       	R                       	A                    	                       	                     	                 	                  	> 0.46    < 0.96

  IR	                 	                 	                  	              	172	1061	A	 18	X	CC	  16.00	    164.9000	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	                        	                         	                      	F                     	                    	                     	                         	                     	                     	                       	R                       	                     	C                      	                     	                 	                  	> 0.46    < 0.96

  IR	                 	                 	                  	              	172	1061	A	 19	X	CC	  27.00	    175.4300	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	                        	A                        	                      	F                     	                    	                     	                         	                     	                     	                       	3                       	                     	A                      	                     	                 	                  	~ 0.96  - very dissolved!

  IR	                 	                 	                  	              	172	1061	A	 20	X	CC	  33.00	    183.7900	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	                        	F                        	R                     	F                     	                    	                     	                         	                     	                     	                       	-                       	A                    	A                      	                     	                 	                  	> 0.96   < 1.24

  IR	                 	                 	                  	              	172	1061	A	 21	X	CC	  19.00	    194.2100	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	1                       	R                        	R                     	F                     	                    	R                    	                         	                     	                     	                       	                        	A                    	A                      	                     	                 	                  	> 0.96    < 1.24   - dissolved

  IR	                 	                 	                  	              	172	1061	A	 22	X	CC	  34.00	    203.4400	Raffi    	Nannofossils                                 	A              	VG                	                  	                        	                   	                       	                      	                   	A                       	                      	                        	A                        	                      	A                     	                    	C                    	                         	                     	                     	                       	                        	                     	A                      	                     	                 	                  	> 0.96    < 1.24

  IR	                 	                 	                  	              	172	1061	A	 23	X	CC	  23.00	    212.0100	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	A                       	                      	A                       	A                        	                      	C                     	                    	R                    	C                        	                     	                     	                       	                        	A                    	                       	                     	                 	                  	> 1.25      < 1.58

  IR	                 	                 	                  	              	172	1061	A	 24	X	CC	  13.00	    222.4200	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	A                       	                      	C                       	A                        	R                     	C                     	1                   	F                    	F                        	F                    	                     	                       	                        	A                    	                       	                     	                 	                  	>1.25    < 1.58  -  dissolved

  IR	                 	Pleistocene      	                  	              	172	1061	A	 25	X	CC	  38.00	    231.4800	Raffi    	Nannofossils                                 	A              	M                 	                  	                        	                   	                       	                      	                   	C                       	                      	C                       	C                        	R                     	F                     	                    	R                    	F                        	                     	                     	R                      	-                       	                     	                       	                     	                 	                  	age: >1.25 <1.58 Ma - Etching

  IR	                 	Pleistocene      	                  	              	172	1061	A	 26	X	CC	  28.00	    241.3400	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	A                       	                      	A                       	A                        	F                     	C                     	C                   	C                    	C                        	R                    	                     	C                      	                        	                     	                       	                     	                 	                  	only slight etching - age: >1.25 <1.58 Ma

  IR	                 	Pleistocene      	                  	              	172	1061	A	 27	X	CC	  61.00	    251.6100	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	A                       	                      	A                       	A                        	F                     	                      	R                   	F                    	F                        	                     	                     	                       	                        	                     	                       	                     	                 	                  	age: >1.24 <1.58

  IR	                 	Pleistocene      	                  	              	172	1061	A	 28	X	CC	  77.00	    261.0000	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	A                       	-                     	A                       	A                        	                      	C                     	R                   	F                    	-                        	R                    	R                    	                       	                        	                     	                       	                     	                 	                  	age: >1.58  <1.69 Ma

  IR	                 	Late Pliocene    	                  	              	172	1061	A	 29	X	CC	  24.00	    271.5000	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	                   	                       	                      	                   	A                       	A                     	-                       	A                        	                      	C                     	C                   	+                    	-                        	                     	                     	                       	                        	                     	                       	                     	                 	                  	age: >1.69 <1.95

  IR	                 	Late Pliocene    	                  	              	172	1061	A	 30	X	CC	  39.00	    281.6600	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	-                  	                       	                      	                   	A                       	A                     	-                       	C                        	                      	                      	C                   	C                    	-                        	                     	                     	                       	                        	                     	                       	                     	                 	                  	age: > 1.69 <1.95 Ma

  IR	                 	Late Pliocene    	                  	              	172	1061	A	 31	X	CC	  48.00	    289.2300	Raffi    	Nannofossils                                 	A              	G                 	                  	+                       	+                  	                       	                      	                   	A                       	A                     	-                       	F                        	F                     	A                     	+                   	+                    	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	       

  IR	                 	Late Pliocene    	                  	              	172	1061	A	 32	X	CC	  13.00	    292.5300	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	+                  	                       	                      	                   	A                       	A                     	-                       	F                        	C                     	A                     	                    	                     	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	age: > 1.69 < 1.95

  IR	                 	Late Pliocene    	                  	              	172	1061	A	 33	X	CC	  28.00	    308.2800	Raffi    	Nannofossils                                 	F              	P                 	                  	                        	C                  	                       	                      	                   	                        	F                     	                        	                         	                      	                      	                    	                     	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	       

  IR	                 	                 	                  	              	172	1061	A	 34	X	CC	  30.00	    315.4900	Raffi    	Nannofossils                                 	A              	G                 	                  	                        	F                  	                       	                      	                   	+                       	+                     	                        	                         	                      	                      	                    	                     	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	       

  IR	                 	                 	                  	              	172	1061	A	 35	X	CC	  28.00	    326.4700	Raffi    	Nannofossils                                 	A              	M                 	1                 	F                       	C                  	                       	                      	F                  	                        	                      	                        	                         	                      	                      	                    	                     	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	> 2.53   < 2.83

  IR	                 	                 	                  	              	172	1061	A	 36	X	CC	  37.00	    338.7000	Raffi    	Nannofossils                                 	A              	M                 	F                 	C                       	C                  	                       	2                     	F                  	                        	                      	                        	                         	                      	                      	                    	                     	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	> 2.83      < 3.66

  IR	                 	                 	                  	              	172	1061	A	 37	X	CC	  37.00	    346.3400	Raffi    	Nannofossils                                 	A              	M                 	F                 	C                       	F                  	F                      	                      	                   	                        	                      	                        	                         	                      	                      	                    	                     	                         	                     	                     	                       	                        	                     	                       	                     	                 	                  	> 2.83    < 3.66

