Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Wetzeliella articulata	Thalassiphora pelagica	Thalassiphora delicata	Lentinia wetzellii	Lentinia serrata	Lanternosphaeridium lanosum	Kisselouia coleothrypta	Hystrichokolpoma sp. 3	Hafniasphaera spp.	Glaphyrocysta ordinata	Eatonicysta ursulae	Dinocyst 8	Cribroperidinium giuseppei	Cerebrocysta bartonensis	Phelodinium spp.	Palaeocystodinium golzowense	Caligodinium amiculum	Areosphaeridium fenestratum	Achilleodinium biformoides	Tectatodinium sp. I	Phthanoperidinium echinatum	Hystrichosphaeridium tubiferum	Diphyes colligerum	Deflandrea phosphoritica	Deflandrea oebisfeldensis	Apectodinium quinquelatum	Apectodinium homomorphum	Samlandia chlamydophora	Dinocyst II	Apectodinium spp. 	Impagidinium spp.	Palaeocystodinium sp. A	Operculodinium sp. 1	Evittosphaerula paratabulata	Emslandia spiridoides	Areosphaeridium actinocoronatum 	Apteodinium australiense	Systematophora placacantha	Impagidinium patulum	Palaeocystodinium sp. 3	Palaeocystodinium sp. 1	Nematosphaeropsis labyrinthea	Batiacasphaera baculata	Ascostomocystis granosa	Pentadinium laticinctum imaginatum	Lingulodinium sp. 1	Lejeunecysta spp.	Dapsilidinium pastielsii	Batiacasphaera sphaerica	Tectatodinium psilatum	Operculodinium sp.	Hystrichosphaeridium sp. 1	Heteraulacacysta campanula	Distatodinium craterum	Dinopterygium cladoides	Bitectatodinium? sp. 1	Spiniferites pseudofurcatus	Selenopemphix nephroides	Lingulodinium machaerophorum	Hystrichokolpoma rigaudiae	Batiacasphaera sp. 1	Batiacasphaera hirsuta	Spiniferites spp.	Operculodinium centrocarpum	Invertocysta tabulata	Impagidinium pallidum	Impagidinium japonicum	Batiacasphaera micropapillata	Tuberculodinium vancampoae	Nematosphaeropsis downii	Impagidinium sp.  1 	Impagidinium maculatum	Hystrichosphaeridium latirictum	Distatodinium paradoxum	Cribroperidinium tenuitabulatum	Tectatodinium sp. 3	Spiniferites ramosus	Leptodinium? sp. III	Lejeunecysta fallax	Impletosphaeridium spp.	Impagidinium velorum	Cribroperidinium giuseppei major	Cannosphaeropsis sp. A	Impagidinium sp.2	Sumatradinium? sp. C	Homotryblium vallum	Platycystidia (?) sp. II	Operculodinium crassum	Cordosphaeridium cantharellus	Tectatodinium sp. 2	Nematosphaeropsis lemniscata	Melitasphaeridium choanophorum	Dinocyst 5	Dapsilidinium sp. 1	Batiacasphaera sp. 2	Tectatodinium sp. 4	Spiniferites ramosus brevifurcatus	Spiniferites cf. mirabilis	Pyxidinopsis sp.1	Pyxidiella? simplex	Polysphaeridium cf. subtile	Operculodinium placitum	Impagidinium paradoxum	Dinocyst IV 	Achomosphaera spp.	Comment

  SR	                 	                 	I. patulum        	              	104	 642	D	  7	X	 6	  80.00	    246.5000	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	+                           	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	+                      	                    	+                           	                     	+                               	                        	+                         	                    	+                      	                       	+                            	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	+                      	                      	                           	                        	                            	+                         	                    	+                     	+                	+                          	                     	                     	                      	                             	                          	+                       	                    	                      	                               	+                      	                               	                   	+                   	                    	+                  	+                      	                    	                                	                      	                 	+                   	+                  	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-638

  SR	                 	                 	I. patulum        	              	104	 642	D	  8	X	 6	  80.00	    256.1000	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	+                           	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	+                	                       	                    	+                           	                     	                                	                        	+                         	                    	                       	                       	+                            	+                      	+                      	                                  	                   	                 	                        	                        	                      	                  	                          	+                         	                      	                       	                      	                           	                        	                            	                          	                    	                      	+                	+                          	                     	                     	+                     	+                            	                          	                        	                    	                      	                               	                       	                               	                   	+                   	                    	                   	                       	                    	+                               	                      	+                	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-639

  SR	                 	                 	I. patulum        	              	104	 642	D	  9	X	 7	  27.00	    266.7700	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	+                   	+                           	                     	+                               	+                       	+                         	                    	                       	                       	+                            	+                      	                       	                                  	                   	                 	                        	                        	                      	                  	                          	+                         	                      	+                      	                      	                           	                        	                            	                          	                    	                      	+                	+                          	                     	                     	                      	+                            	                          	+                       	                    	                      	                               	                       	                               	+                  	+                   	+                   	+                  	+                      	+                   	+                               	+                     	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-640

  SR	                 	                 	I. patulum        	              	104	 642	D	 10	X	 5	  63.00	    273.7300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	+                    	+                               	+                       	+                         	                    	                       	+                      	+                            	+                      	+                      	                                  	                   	                 	                        	+                       	                      	                  	                          	+                         	                      	                       	                      	                           	                        	+                           	+                         	                    	+                     	                 	                           	                     	                     	+                     	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-641

  SR	                 	                 	I. patulum        	              	104	 642	D	 10	X	 6	  63.00	    275.2300	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	+                	                       	+                   	                            	+                    	+                               	                        	+                         	                    	                       	+                      	+                            	+                      	                       	                                  	                   	                 	                        	                        	                      	                  	                          	+                         	                      	                       	                      	                           	                        	+                           	+                         	                    	+                     	                 	                           	                     	+                    	                      	                             	+                         	+                       	+                   	+                     	+                              	+                      	+                              	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-642

  SR	                 	                 	I. patulum        	              	104	 642	D	 11	X	 1	  59.00	    277.3900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	+                           	+                    	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	+                   	                            	+                    	+                               	                        	+                         	                    	                       	+                      	+                            	+                      	+                      	                                  	                   	                 	                        	                        	                      	                  	                          	+                         	+                     	                       	                      	+                          	+                       	+                           	                          	                    	                      	                 	+                          	+                    	+                    	+                     	+                            	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-643

  SR	                 	                 	I. patulum        	              	104	 642	D	 11	X	 2	  59.00	    278.8900	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	                     	                                	                        	                          	                    	                       	+                      	                             	                       	                       	                                  	                   	                 	                        	+                       	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	+                	+                          	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-644

  SR	                 	                 	I. patulum        	              	104	 642	D	 12	X	 1	  81.00	    287.3100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	+                    	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	+                           	+                    	+                               	+                       	+                         	+                   	                       	+                      	+                            	                       	                       	+                                 	                   	                 	+                       	+                       	                      	                  	                          	                          	+                     	                       	+                     	+                          	+                       	+                           	+                         	+                   	+                     	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-645

  SR	                 	                 	I. patulum        	              	104	 642	D	 12	X	 2	  81.00	    288.8100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	+                   	                            	                     	                                	                        	                          	                    	                       	+                      	+                            	                       	                       	                                  	                   	+                	                        	+                       	                      	                  	                          	+                         	                      	+                      	+                     	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-646

  SR	                 	                 	I. patulum        	              	104	 642	D	 12	X	 3	  81.00	    290.3100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	+                    	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	                     	+                               	+                       	+                         	+                   	                       	+                      	+                            	                       	                       	                                  	                   	                 	                        	+                       	+                     	+                 	+                         	+                         	+                     	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-647

  SR	                 	                 	I. patulum        	              	104	 642	D	 12	X	 4	  84.00	    291.8400	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	+                   	+                           	+                    	+                               	+                       	+                         	+                   	                       	+                      	                             	                       	                       	+                                 	+                  	+                	+                       	+                       	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-648

  SR	                 	                 	I. patulum        	              	104	 642	D	 12	X	 5	  81.00	    293.3100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	                     	                                	+                       	+                         	+                   	+                      	+                      	+                            	+                      	+                      	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-649

  SR	                 	                 	I. patulum        	              	104	 642	D	 12	X	 6	  81.00	    294.8100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	                     	+                               	                        	+                         	+                   	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-650

  SR	                 	                 	E. paratabaulata  	              	104	 642	D	 13	X	 1	  81.00	    297.0100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	+                      	+                   	+                           	+                    	+                               	+                       	                          	                    	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-651

  SR	                 	                 	                  	              	104	 642	D	 13	X	 2	  81.00	    298.5100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                      	                      	                      	                  	                	                           	                       	                      	                  	                      	                   	          	                          	                        	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	+                	                       	                    	                            	                     	                                	                        	                          	                    	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-652

  SR	                 	                 	                  	              	104	 642	D	 13	X	 3	  81.00	    300.0100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                     	+                     	+                     	+                 	+               	                           	+                      	+                     	                  	+                     	+                  	+         	+                         	+                       	+               	                            	                     	+                          	                          	                   	                           	+                             	                  	+                       	+                        	                         	                        	+                      	+          	+                 	                 	                       	                    	                            	                     	                                	                        	                          	                    	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-653

  SR	                 	                 	                  	              	104	 642	D	 13	X	 4	  81.00	    301.5100	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                     	+                     	+                     	+                 	+               	                           	+                      	+                     	                  	                      	+                  	          	+                         	+                       	+               	                            	                     	+                          	+                         	+                  	+                          	+                             	+                 	+                       	+                        	+                        	+                       	                       	           	                  	                 	                       	                    	                            	                     	                                	                        	                          	                    	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-654

  SR	                 	                 	                  	              	104	 642	D	 14	X	 1	  85.00	    306.6500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                     	+                     	+                     	+                 	+               	                           	+                      	                      	                  	                      	+                  	+         	+                         	                        	+               	+                           	+                    	+                          	+                         	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	                     	                                	                        	                          	                    	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-655

  SR	                 	                 	                  	              	104	 642	D	 14	X	 2	  85.00	    308.1500	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                     	+                     	+                     	+                 	+               	+                          	+                      	+                     	+                 	+                     	+                  	+         	+                         	+                       	                	                            	                     	                           	                          	                   	                           	                              	                  	                        	                         	                         	                        	                       	           	                  	                 	                       	                    	                            	                     	                                	                        	                          	                    	                       	                       	                             	                       	                       	                                  	                   	                 	                        	                        	                      	                  	                          	                          	                      	                       	                      	                           	                        	                            	                          	                    	                      	                 	                           	                     	                     	                      	                             	                          	                        	                    	                      	                               	                       	                               	                   	                    	                    	                   	                       	                    	                                	                      	                 	                    	                   	                        	                      	                             	                   	                            	                              	          	                   	                    	                   	                                  	                          	                 	                   	                           	                       	                      	            	                  	from ODP Leg 104 SR Ch 32 Table 3 p 633-656

