Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida (right),Globorotalia tumida (left),Globorotalia tosaensis,Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globoquadrina conglomerata,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides conglobatus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina rubescens,Globigerina quinqueloba,Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  5,H,CC,  45.00,     44.8300,Showers  ,Planktonic Foraminifers                      ,A              ,M                 ,-                                    ,C                                    ,C                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,R                         ,C                                ,R                                  ,R                            ,F                           ,R                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  6,H,CC,  26.00,     54.1900,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                                    ,C                                    ,C                           ,-                ,-                                      ,-                                    ,F                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,F                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  7,H,CC,  39.00,     63.7700,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,C                                    ,F                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,-                                ,-                                  ,C                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  8,H,CC,  95.00,     69.3700,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                                    ,F                                    ,F                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,F                                  ,F                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A,  9,H,CC,  78.00,     82.5800,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                                    ,C                                    ,F                           ,-                ,-                                      ,-                                    ,F                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,F                                  ,C                            ,R                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A, 10,H, 8,  28.00,     91.2500,Showers  ,Planktonic Foraminifers                      ,               ,M                 ,-                                    ,F                                    ,C                           ,R                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,F                                ,-                                  ,F                            ,F                           ,-                          ,-                      ,F                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 932,A, 11,X,CC,  16.00,     98.6700,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                                    ,-                                    ,-                           ,-                ,-                                      ,-                                    ,-                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A, 12,X,CC,  12.00,    110.3300,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                                    ,C                                    ,F                           ,R                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,-                                  ,C                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A, 13,X,CC,  26.00,    117.5300,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,C                                    ,C                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,F                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A, 14,X,CC,  13.00,    127.7600,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,-                                    ,C                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,C                                ,C                                  ,-                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A, 15,X,CC,  15.00,    137.6500,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                                    ,F                                    ,C                           ,-                ,-                                      ,-                                    ,C                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,R                         ,-                                ,C                                  ,-                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 932,A, 16,X,CC,  17.00,    145.6900,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                                    ,-                                    ,C                           ,R                ,-                                      ,-                                    ,A                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,R                                ,R                                  ,R                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,Y                 ,              ,155, 932,A, 17,X,CC,  35.00,    156.2300,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                                    ,A                                    ,A                           ,-                ,-                                      ,-                                    ,-                         ,-                           ,-                          ,-                         ,-                     ,-                   ,F                    ,-                   ,-                     ,-                         ,-                                ,-                                  ,-                            ,-                           ,F                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 932,A, 18,X,CC,  14.00,    167.3300,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                                    ,-                                    ,-                           ,-                ,-                                      ,-                                    ,-                         ,-                           ,-                          ,-                         ,-                     ,-                   ,-                    ,-                   ,-                     ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                            ,-                    ,-                      ,-                    ,from Leg 155IR p187 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
