Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina velascoensis,Morozovella occlusa,Morozovella aequa,Morozovella acuta,Igorina convexa,Igorina albeari,Globanomalina pseudomenardii,Globanomalina chapmani,Acarinina triplex,Acarinina soldadoensis,Acarinina praetopilensis,Acarinina coalingensis,Morozovella velascoensis,Acarinina primitiva,Morozovella subbotinae,Morozovella gracilis,Morozovella formosa,Igorina broedermanni,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Morozovella aragonensis,Subbotina linaperta,Globigerinatheka senni,Guembelitroides lozanoi,Acarinina bullbrooki,Subbotina inaequispira,Hantkenina mexicana,Clavigerinella eocanica,Acarinina spinuloinflata,Acarinina matthewsae,Pseudohastigerina micra,Planorotalites pseudoscitulus,Morozovella spinulosa,Acarinina cuneicamerata,Subbotina frontosa,Chiloguembelina spp.,Acarinina collactea,Acarinina angulosa,Subbotina bolivariana,Globigerinatheka subconglobata,Morozovella densa,Guembelitrioides higginsi,Globigerinatheka kugleri,Turborotalia pomeroli,Subbotina eocaena,Acarinina topilensis,Acarinina rohri,Hantkenina liebusi,Dentoglobigerina galavisi,Hantkenina dumblei,Orbulinoides beckmanni,Globigerinatheka index,Morozovella lehneri,Hantkenina alabamensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P12               ,              ,154, 929,E, 14,R, 6,  83.00,    605.2300,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,                      ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,R                  ,F                     ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,R                 ,                    ,                   ,                  ,R                    ,R                             ,                 ,                         ,                        ,                     ,R                ,R                   ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P12               ,              ,154, 929,E, 15,R, 4,  68.00,    611.6800,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,R                     ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,                       ,R                  ,R                     ,                       ,R                   ,                      ,                   ,                       ,R                       ,                    ,                       ,                             ,F                    ,R                      ,R                 ,R                   ,R                  ,                  ,                     ,F                             ,R                ,                         ,                        ,R                    ,R                ,R                   ,R              ,R                 ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P11               ,              ,154, 929,E, 16,R, 2,  70.00,    618.3000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,R                     ,F                       ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,R                      ,R                  ,R                     ,                       ,R                   ,R                     ,                   ,R                      ,R                       ,R                   ,R                      ,R                            ,F                    ,                       ,R                 ,R                   ,                   ,R                 ,                     ,R                             ,                 ,F                        ,R                       ,R                    ,R                ,R                   ,R              ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P11               ,              ,154, 929,E, 16,R, 6,  70.00,    624.3000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,R                     ,R                       ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,R                      ,R                  ,R                     ,                       ,R                   ,                      ,                   ,R                      ,F                       ,R                   ,R                      ,R                            ,                     ,                       ,R                 ,                    ,R                  ,                  ,                     ,                              ,R                ,R                        ,R                       ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P10               ,              ,154, 929,E, 17,R, 4, 131.00,    631.6100,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,R                ,R                     ,R                       ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,R                      ,R                  ,R                     ,                       ,R                   ,                      ,                   ,                       ,R                       ,R                   ,                       ,R                            ,R                    ,R                      ,R                 ,                    ,R                  ,                  ,R                    ,R                             ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P10               ,              ,154, 929,E, 18,R, 2,  70.00,    637.5000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,R                ,                      ,R                       ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,R                      ,R                  ,R                     ,R                      ,C                   ,                      ,                   ,                       ,R                       ,F                   ,                       ,R                            ,R                    ,R                      ,F                 ,                    ,F                  ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P10               ,              ,154, 929,E, 18,R, 4,  70.00,    640.5000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,R                ,R                     ,F                       ,R                     ,                        ,                   ,                      ,                    ,                   ,F                   ,                             ,                       ,R                      ,R                  ,                      ,                       ,F                   ,R                     ,                   ,R                      ,R                       ,                    ,R                      ,                             ,R                    ,                       ,R                 ,R                   ,R                  ,R                 ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P10               ,              ,154, 929,E, 19,R, 2,  70.00,    647.2000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,R                     ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,R                      ,R                  ,R                     ,                       ,R                   ,R                     ,                   ,R                      ,F                       ,R                   ,R                      ,R                            ,                     ,R                      ,R                 ,R                   ,R                  ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P10               ,              ,154, 929,E, 19,R, 6,  70.00,    653.2000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,R                     ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,                       ,                   ,R                     ,                       ,R                   ,R                     ,                   ,R                      ,F                       ,                    ,R                      ,R                            ,R                    ,R                      ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,P10               ,              ,154, 929,E, 20,R, 4,  69.00,    659.8900,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,R                ,R                     ,                        ,                      ,                        ,                   ,                      ,                    ,                   ,R                   ,                             ,                       ,                       ,R                  ,R                     ,                       ,                    ,R                     ,?                  ,R                      ,F                       ,R                   ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P7                ,P9            ,154, 929,E, 21,R, 4,  70.00,    669.5000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,R                ,R                     ,                        ,R                     ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,R                     ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P7                ,P9            ,154, 929,E, 22,R, 4,  70.00,    679.1000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,R                ,R                     ,                        ,R                     ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,R                  ,R                     ,R                      ,R                   ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P7                ,P9            ,154, 929,E, 23,R, 2,  71.00,    685.4100,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,R                ,                      ,                        ,R                     ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,R                     ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P7                ,P9            ,154, 929,E, 24,R, 4,  77.00,    698.0700,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,R                     ,                        ,R                     ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,R                      ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P7                ,P9            ,154, 929,E, 26,R, 4,  70.00,    717.4000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,                      ,                        ,R                     ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,R                  ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P7                ,P9            ,154, 929,E, 27,R, 2,  72.00,    724.1200,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,                 ,                 ,               ,               ,                            ,                      ,                 ,R                     ,                        ,F                     ,                        ,                   ,                      ,                    ,                   ,                    ,R                            ,R                      ,R                      ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P6                ,              ,154, 929,E, 31,R, 2,  70.00,    762.8000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                   ,R                ,                 ,R              ,               ,                            ,                      ,R                ,F                     ,                        ,R                     ,R                       ,                   ,R                     ,R                   ,R                  ,R                   ,                             ,                       ,                       ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,zone assignment uncertain; from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P6                ,              ,154, 929,E, 31,R,CC,  55.00,    770.4500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                      ,R                  ,R                ,R                ,R              ,               ,                            ,                      ,R                ,F                     ,                        ,                      ,R                       ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,zone assignment uncertain; from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P5                ,              ,154, 929,E, 33,R, 4,  93.00,    785.3100,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,R                     ,R                  ,                 ,F                ,R              ,               ,                            ,R                     ,                 ,R                     ,                        ,F                     ,R                       ,R                  ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P5                ,              ,154, 929,E, 34,R,CC,   0.00,    789.5000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,R                     ,R                  ,                 ,F                ,F              ,               ,                            ,                      ,R                ,F                     ,                        ,                      ,R                       ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P5                ,              ,154, 929,E, 35,R, 2,  28.00,    800.1300,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,F                     ,C                  ,R                ,F                ,R              ,               ,                            ,                      ,R                ,R                     ,                        ,F                     ,R                       ,R                  ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P4c               ,              ,154, 929,E, 35,R, 3,   0.00,    801.0500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,R                     ,F                  ,R                ,R                ,R              ,               ,R                           ,                      ,F                ,R                     ,R                       ,F                     ,R                       ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,P4c               ,              ,154, 929,E, 35,R,CC,   0.00,    801.4000,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,R                     ,F                  ,F                ,F                ,R              ,R              ,R                           ,R                     ,R                ,R                     ,R                       ,R                     ,                        ,                   ,                      ,                    ,                   ,                    ,                             ,                       ,                       ,                   ,                      ,                       ,                    ,                      ,                   ,                       ,                        ,                    ,                       ,                             ,                     ,                       ,                  ,                    ,                   ,                  ,                     ,                              ,                 ,                         ,                        ,                     ,                 ,                    ,               ,                  ,                         ,                  ,                      ,                      ,                   ,                      ,from Leg 154SR Ch 2 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
