Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina auberiana	Unilocular species	Sphaeroidina bulloides	Quinqueloculina spp.	Pyrgo spp.	Pullenia quinqueloba	Pullenia bulloides	Pleurostomella sp.	Nodosaria consobrina	Melonis affinis	Laticarinina pauperata	Gyroidina turgida	Gyroidina sp.	Globocassidulina sp.	Fursenkoina sp.	Buliminella curta	Bolivinita sp. aff. B. minuta	Bolivinellina cuneata	Bolivina vaughani	Alabamina polita	Uvigerina senticosa	Melonis pompilioides	Gyroidina lamarckiana	Globocassidulina depressa	Fontbotia wuellerstorfi	Eilohedra levicula	Cassidulina cushmani	Cassidelina complanata	Bulimina exilis tenuata	Bolivinita minuta	Bolivina costata	Triloculina sp.	Alexanderina viejoensis	Pyrgo murrhyna	Globobulimina affinis	Ehrenbergina trigona	Takayanagia delicata	Pseudoparrella sandiegoensis	Oridorsalis umbonatus	Bulimina alazanensis	Brizalina spissa	Astrononion schwageri	Sigmoilina edwardsi	Cribromiliolinella subvalvularis	Uvigerina peregrina	Nonionella auris	Epistominella smithi	Cassidulina neocarinata	Bulimina subacuminata	Comment

  SR	Quaternary       	                 	                  	              	112	 685	A	 10	X	CC	  14.00	     88.1400	Resig    	Benthic Foraminifers                         	               	                  	1                  	T                 	                      	T                   	          	1                   	                  	                  	                    	               	                      	                 	             	                    	               	                 	                             	                     	                 	                	                   	                    	                     	2                        	                       	3                 	                    	1                     	1                      	                 	90              	1              	                       	              	                     	                    	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=205 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	 12	X	CC	  13.00	    110.1200	Resig    	Benthic Foraminifers                         	               	                  	                   	                  	                      	1                   	          	                    	1                 	                  	                    	1              	                      	                 	             	                    	               	                 	                             	                     	                 	                	T                  	1                   	                     	11                       	                       	14                	                    	T                     	                       	T                	70              	               	1                      	              	                     	                    	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=216 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	 14	X	CC	  15.00	    123.2300	Resig    	Benthic Foraminifers                         	               	                  	                   	1                 	T                     	                    	          	                    	1                 	                  	                    	2              	                      	                 	             	                    	               	                 	                             	                     	                 	                	4                  	2                   	3                    	5                        	T                      	5                 	T                   	T                     	2                      	                 	73              	               	1                      	T             	T                    	1                   	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=833 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	 16	X	CC	  10.00	    142.2500	Resig    	Benthic Foraminifers                         	               	                  	                   	1                 	T                     	                    	          	                    	T                 	                  	                    	2              	                      	                 	             	                    	               	                 	                             	                     	                 	                	1                  	1                   	1                    	7                        	1                      	1                 	                    	1                     	T                      	                 	83              	               	1                      	              	                     	                    	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=140 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	 18	X	CC	  60.00	    168.8700	Resig    	Benthic Foraminifers                         	               	                  	                   	                  	                      	1                   	1         	4                   	                  	                  	                    	3              	                      	                 	             	                    	               	                 	                             	                     	                 	                	                   	7                   	                     	13                       	                       	                  	                    	2                     	1                      	                 	68              	T              	                       	              	                     	                    	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=100 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	 19	X	CC	  20.00	    166.4500	Resig    	Benthic Foraminifers                         	               	                  	                   	2                 	                      	                    	          	                    	                  	                  	                    	               	                      	                 	             	                    	               	                 	                             	                     	                 	                	                   	2                   	                     	2                        	                       	                  	                    	                      	                       	                 	94              	               	                       	              	                     	                    	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=100 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Quaternary       	                 	                  	              	112	 685	A	 21	X	CC	  43.00	    195.6900	Resig    	Benthic Foraminifers                         	               	                  	T                  	1                 	                      	                    	T         	T                   	                  	                  	                    	6              	                      	                 	             	                    	               	                 	                             	                     	                 	                	5                  	4                   	T                    	7                        	1                      	20                	1                   	1                     	1                      	T                	52              	               	                       	              	                     	                    	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=197 from ODP Leg 112 SR Chapter 16 Table 9 p 289

  SR	Late Miocene     	                 	                  	              	112	 685	A	 38	X	CC	  17.00	    338.7900	Resig    	Benthic Foraminifers                         	               	                  	1                  	3                 	1                     	1                   	1         	4                   	T                 	T                 	3                   	4              	1                     	22               	T            	2                   	1              	1                	T                            	2                    	50               	2               	                   	                    	                     	                         	                       	                  	                    	                      	                       	                 	                	               	                       	              	                     	                    	                    	                            	                     	                    	                	                     	                   	                                	                   	                	                    	                       	                     	count=169 from ODP Leg 112 SR Chapter 16 Table 9 p 289

