Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia siakensis	Globorotalia obesa	Globorotalia minutissima	Globigerinita glutinata	Globigerina praebulloides	Globigerina eamesi	Catapsydrax dissimilis	Cassigerinella chipolensis	Globigerinita uvula	Globigerina falconensis	Catapsydrax stainforthi	Neogloboquadrina acostaensis	Globorotaloides hexagona	Globorotalia scitula	Globorotalia cibaoensis	Neogloboquadrina dutertrei	Globigerina bulloides	Neogloboquadrina pachyderma	Neogloboquadrina incompta	Globoquadrina altispira	Globigerinoides cyclostomus	Globigerinita iota	Globigerina rubescens	Globigerina quinqueloba	Hastigerinopsis riedeli	Globorotalia pumilio	Globorotalia inflata	Globorotalia crassula	Orbulina universa	Neogloboquadrina humerosa	Orbulina suturalis	Neogloboquadrina blowi	Globorotalia anfracta	Globorotalia bermudezi	Globorotalia tumida tumida	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerina decoraperta	Pulleniatina obliquiloculata	Globigerinella aequilateralis	Globorotalia hirsuta	Globorotalia theyeri	Globigerina umbilicata	Beella digitata	Globorotalia cultrata menardii	Globigerina calida calida	Comment

  SR	                 	                 	                  	              	112	 685	A	  3	H	CC	  11.00	     23.3600	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	                       	                         	                  	                      	                          	                   	R                      	                       	                            	                        	                    	                       	F                         	R                    	R                          	                         	                       	                           	                  	                     	                       	                       	T                   	                    	                     	T                	                         	                  	T                     	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  4	H	 1	 115.00	     24.2500	Ibaraki  	Planktonic Foraminifers                      	A              	G                 	                      	F                 	                        	F                      	                         	                  	                      	                          	                   	A                      	                       	                            	T                       	T                   	                       	F                         	A                    	C                          	A                        	                       	T                          	R                 	                     	F                      	                       	C                   	                    	                     	T                	F                        	                  	F                     	T                    	                      	T                         	                        	                          	                     	                       	                            	                             	T                   	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  4	H	CC	  16.00	     33.1700	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	C                 	                        	A                      	                         	                  	                      	                          	                   	T                      	                       	                            	T                       	T                   	                       	                          	C                    	A                          	C                        	                       	                           	                  	                     	C                      	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	T                            	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  5	X	CC	  10.00	     40.2500	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	                       	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	                     	                           	                         	                       	                           	                  	                     	T                      	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  6	X	CC	  13.00	     51.5300	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	C                 	                        	C                      	                         	                  	                      	                          	                   	C                      	                       	                            	R                       	T                   	                       	F                         	A                    	C                          	A                        	                       	                           	                  	R                    	C                      	R                      	C                   	                    	                     	R                	                         	T                 	R                     	                     	                      	T                         	                        	                          	                     	T                      	T                           	R                            	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  7	X	CC	  15.00	     56.2500	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	F                 	                        	F                      	                         	                  	                      	                          	                   	T                      	                       	                            	R                       	T                   	                       	T                         	F                    	A                          	C                        	                       	                           	T                 	                     	F                      	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	T                         	                        	                          	                     	T                      	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  8	X	 4	  38.00	     65.9800	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	T                 	                        	                       	                         	                  	                      	                          	                   	                       	                       	                            	                        	T                   	                       	                          	                     	                           	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	  9	X	CC	  18.00	     82.0700	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	T                 	                        	T                      	                         	                  	                      	                          	                   	                       	                       	                            	T                       	                    	                       	R                         	T                    	R                          	T                        	                       	T                          	T                 	                     	                       	                       	                    	                    	                     	                 	T                        	                  	                      	                     	                      	T                         	T                       	T                         	R                    	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 10	X	 4	  82.00	     85.4200	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	C                 	                        	A                      	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	                     	A                          	C                        	                       	                           	F                 	                     	C                      	                       	T                   	                    	                     	                 	                         	                  	                      	                     	T                     	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 10	X	CC	  14.00	     88.1400	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                      	                  	                        	R                      	                         	                  	                      	                          	                   	T                      	                       	                            	                        	                    	                       	T                         	                     	T                          	R                        	                       	                           	R                 	T                    	                       	                       	                    	                    	                     	                 	                         	                  	T                     	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 11	X	 5	  88.00	     96.4800	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	C                 	                        	C                      	                         	                  	                      	                          	                   	R                      	                       	                            	T                       	T                   	                       	F                         	                     	T                          	A                        	                       	                           	F                 	                     	                       	                       	                    	                    	                     	T                	C                        	T                 	                      	T                    	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 11	X	CC	  19.00	     99.2100	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	A                 	                        	A                      	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	                     	A                          	A                        	                       	                           	                  	                     	C                      	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 12	X	 4	  72.00	    104.3200	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	F                 	                        	R                      	                         	                  	                      	                          	                   	                       	                       	                            	T                       	                    	                       	C                         	R                    	A                          	                         	                       	                           	T                 	                     	                       	                       	                    	                    	                     	                 	F                        	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 12	X	CC	  13.00	    110.1200	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	C                 	                        	F                      	                         	                  	                      	                          	R                  	F                      	                       	T                           	R                       	T                   	                       	F                         	A                    	C                          	A                        	                       	                           	R                 	                     	F                      	R                      	R                   	                    	                     	                 	F                        	R                 	A                     	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 14	X	CC	  15.00	    123.2300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	R                 	                        	F                      	                         	                  	                      	                          	                   	F                      	                       	                            	F                       	T                   	                       	T                         	A                    	A                          	A                        	                       	                           	C                 	                     	C                      	                       	                    	                    	                     	T                	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 15	X	 4	  55.00	    131.4500	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	                       	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	T                         	R                    	C                          	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 15	X	CC	   0.00	    133.9000	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	R                 	                        	                       	                         	                  	                      	                          	                   	T                      	                       	                            	                        	                    	                       	T                         	R                    	A                          	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 16	X	 3	  13.00	    140.2300	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	T                      	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	                     	A                          	C                        	                       	                           	R                 	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 16	X	CC	  10.00	    142.2500	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	T                 	                        	R                      	                         	                  	                      	                          	                   	                       	                       	                            	T                       	                    	                       	                          	F                    	A                          	F                        	                       	T                          	                  	                     	T                      	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 17	X	 4	  85.00	    151.4500	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	T                 	                        	F                      	                         	                  	                      	                          	T                  	                       	                       	                            	                        	                    	                       	T                         	                     	A                          	C                        	                       	                           	C                 	                     	T                      	                       	                    	                    	                     	                 	R                        	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 17	X	CC	  30.00	    158.2700	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                      	T                 	                        	T                      	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	                     	                           	R                        	                       	                           	T                 	                     	T                      	                       	                    	                    	                     	T                	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 18	X	 6	  53.00	    162.8000	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	F                 	                        	                       	                         	                  	                      	                          	R                  	R                      	                       	                            	                        	T                   	                       	                          	C                    	A                          	C                        	                       	                           	R                 	                     	F                      	                       	R                   	T                   	T                    	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 18	X	CC	  60.00	    168.8700	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	F                 	                        	F                      	                         	                  	                      	                          	T                  	C                      	                       	                            	                        	                    	                       	                          	C                    	A                          	A                        	                       	                           	C                 	                     	C                      	R                      	R                   	T                   	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 19	X	CC	  20.00	    166.4500	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	C                 	                        	C                      	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	C                    	A                          	A                        	                       	                           	C                 	                     	F                      	                       	                    	T                   	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 21	X	CC	  43.00	    195.6900	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	                       	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	                          	F                    	C                          	C                        	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 22	X	CC	  22.00	    200.0100	Ibaraki  	Planktonic Foraminifers                      	F              	G                 	                      	F                 	                        	F                      	                         	                  	                      	                          	                   	T                      	                       	                            	                        	                    	                       	A                         	A                    	A                          	A                        	C                      	T                          	F                 	T                    	F                      	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 23	X	CC	  14.00	    203.7400	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	                       	                         	                  	                      	                          	                   	                       	                       	                            	                        	                    	                       	T                         	T                    	                           	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 250

  SR	                 	                 	                  	              	112	 685	A	 38	X	CC	  17.00	    338.7900	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                      	                  	                        	C                      	                         	T                 	                      	                          	                   	T                      	                       	F                           	T                       	F                   	R                      	                          	                     	                           	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 251

  SR	                 	                 	                  	              	112	 685	A	 44	X	CC	  31.00	    396.4100	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	C                 	                        	                       	R                        	F                 	R                     	T                         	F                  	R                      	T                      	                            	                        	                    	                       	                          	                     	                           	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 251

  SR	                 	                 	                  	              	112	 685	A	 50	X	 1	  66.00	    450.2600	Ibaraki  	Planktonic Foraminifers                      	R              	G                 	                      	                  	                        	                       	                         	                  	                      	T                         	                   	                       	                       	                            	                        	                    	                       	                          	                     	                           	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 251

  SR	                 	                 	                  	              	112	 685	A	 50	X	CC	  32.00	    450.9400	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	T                     	R                 	R                       	T                      	T                        	R                 	T                     	T                         	                   	                       	                       	                            	                        	                    	                       	                          	                     	                           	                         	                       	                           	                  	                     	                       	                       	                    	                    	                     	                 	                         	                  	                      	                     	                      	                          	                        	                          	                     	                       	                            	                             	                    	                    	                      	               	                              	                         	from ODP Leg 112 SR Chapter 15 Table 7 p 251

