Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina labiacrassata	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides testarugosa	Globorotaloides suteri	Globoquadrina venezuelana	Globigerinella obesa	Globigerina praebulloides	Globigerina ouachitaensis	Globigerina ciperoensis	Dentoglobigerina galavisi	Catapsydrax dissimilis	Tenuitellinata prestainforthi	Tenuitella gemma	Globigerina officinalis	Globigerina euapertura	Catapsydrax unicavus	Globoquadrina tripartita	Globoquadrina praedehiscens	Globigerinita juvenilis	Dentoglobigerina larmeui	Paragloborotalia semivera	Turborotalia ampliapertura	Globigerinoides primordius	Zeaglobigerina woodi	Zeaglobigerina brazieri	Neogloboquadrina continuosa	Jenkinsella mayeri	Globorotalia semivera	Globoconella incognita	Zeaglobigerina connecta	Jenkinsella bella	Globoquadrina dehiscens	Globigerina bulloides	Sphaeroidinellopsis disjuncta	Globoconella praescitula	Globigerinoides trilobus	Fohsella peripheroronda	Globoconella zealandica	Globigerinoides parawoodi	Globigerinoides quadrilobatus	Globoconella miozea	Globigerinoides ruber	Globigerinita glutinata	Globigerina quinqueloba	Praeorbulina glomerosa	Orbulina suturalis	Globigerinoides sicanus	Globoconella conoidea	Orbulina universa	Globorotalia praemenardii	Globigerinella siphonifera	Zeaglobigerina apertura	Turborotalita humilis	Neogloboquadrina pachyderma	Globorotalia scitula	Globoconella panda	Globigerinoides seigliei	Globigerina falconensis	Zeaglobigerina nepenthes	Globorotalia menardii	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Globorotalia puncticulata	Globorotalia pliozea	Globorotalia exilis	Globorotalia crassaformis	Globoconella sphericomiozea	Globorotalia margaritae	Globorotalia inflata	Globigerinoides conglobatus	Globorotalia crassaconica	Pulleniatina obliquiloculata	Globorotalia tosaensis	Globorotalia crassula	Globigerinoides obliquus	Zeaglobigerina rubescens	Sphaeroidinella dehiscens	Globorotalia truncatulinoides	Neogloboquadrina dutertrei	Globigerinoides tenellus	Globorotalia hirsuta	Globigerinoides sacculifer	Comment

  IR	Pliocene         	Pleistocene      	PL6 - IndoPac     	Pt1a          	182	1126	B	  5	H	 5	 127.00	     42.2700	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	F                    	                             	                        	                        	                       	                       	                         	                             	                   	R                    	                       	                       	                      	                  	                       	                     	F                	                         	                          	                       	                     	                           	                    	                  	                        	F                      	                        	                     	                              	                         	                         	                    	                   	P                        	                           	                       	F                   	                           	                         	                            	P                     	                     	                        	                        	                         	                             	                          	                        	                    	                          	glauconitic

  IR	Pliocene         	Pleistocene      	PL6 - IndoPac     	Pt1a          	182	1126	B	  5	H	 6	  27.00	     42.7700	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	F                    	                             	                        	                        	                       	                       	                         	                             	                   	F                    	                       	                       	                      	                  	                       	                     	F                	                         	                          	                       	                     	                           	P                   	                  	                        	F                      	                        	                     	                              	                         	                         	                    	                   	P                        	                           	                       	F                   	                           	                         	                            	P                     	P                    	P                       	                        	                         	                             	                          	                        	                    	                          	glauconitic

  IR	                 	Late Pliocene    	PL5               	PL3           	182	1126	B	  5	H	CC	   9.00	     43.5200	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	R                    	                             	                        	                        	                       	                       	                         	                             	                   	A                    	                       	F                      	                      	                  	                       	                     	R                	                         	                          	                       	                     	F                          	P                   	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	R                        	                           	                       	F                   	R                          	                         	P                           	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN13, glauconite?,

  IR	                 	Late Pliocene    	PL5               	PL3           	182	1126	B	  6	H	CC	   0.00	     53.1800	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	R                    	                             	                        	                        	                       	                       	                         	                             	                   	F                    	R                      	                       	                      	                  	                       	                     	R                	                         	                          	                       	                     	F                          	                    	                  	                        	F                      	                        	                     	                              	                         	                         	                    	                   	R                        	                           	                       	A                   	                           	P                        	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN13

  IR	                 	Early Pliocene   	                  	PL2           	182	1126	B	  7	H	CC	  12.00	     63.9000	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	R                   	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	R                    	                             	                        	P                       	                       	                       	                         	                             	                   	F                    	                       	F                      	                      	                  	                       	                     	R                	                         	                          	                       	                     	R                          	                    	                  	                        	F                      	                        	                     	P                             	                         	P                        	                    	                   	F                        	                           	P                      	F                   	R                          	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN12

  IR	Late Miocene     	Early Pliocene   	                  	Pt1a          	182	1126	B	  8	H	CC	  13.00	     72.9600	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	R                   	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	R                    	                             	                        	R                       	                       	                       	                         	P                            	                   	F                    	                       	R                      	                      	                  	                       	F                    	R                	                         	P                         	                       	P                    	R                          	P                   	                  	                        	F                      	                        	P                    	P                             	P                        	P                        	P                   	P                  	F                        	F                          	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN12; conoidea-miozea reworked?

  IR	                 	Late Miocene     	                  	              	182	1126	B	  9	H	CC	  15.00	     82.0200	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	R                   	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	P                   	                       	                           	                  	                     	                      	                       	                 	P                      	R                    	P                            	                        	P                       	                       	                       	                         	P                            	P                  	F                    	                       	F                      	                      	                  	                       	F                    	R                	                         	R                         	                       	                     	F                          	P                   	                  	                        	F                      	R                       	F                    	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN10

  IR	                 	Late Miocene     	                  	              	182	1126	B	 10	H	CC	  15.00	     88.6900	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	P                   	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	R                   	                       	                           	                  	                     	                      	                       	                 	R                      	P                    	P                            	                        	P                       	                       	                       	                         	                             	F                  	P                    	                       	R                      	                      	                  	                       	F                    	R                	                         	                          	                       	                     	F                          	P                   	                  	                        	R                      	R                       	P                    	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN10

  IR	                 	Late Miocene     	                  	              	182	1126	B	 11	H	CC	  20.00	    102.0900	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	P                   	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	P                   	                       	                           	                  	                     	                      	                       	                 	A                      	P                    	                             	                        	                        	                       	                       	                         	                             	F                  	                     	                       	F                      	                      	                  	                       	F                    	F                	F                        	                          	P                      	P                    	P                          	P                   	P                 	P                       	F                      	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN10; sponge spicules

  IR	Middle Miocene   	Late Miocene     	                  	              	182	1126	B	 12	H	CC	  15.00	    104.0000	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	R                   	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	P                    	                      	                       	                 	F                      	P                    	                             	                        	P                       	                       	                       	                         	                             	P                  	P                    	                       	P                      	                      	                  	                       	P                    	A                	P                        	P                         	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN10

  IR	                 	Middle Miocene   	                  	Mt6           	182	1126	B	 14	H	CC	  12.00	    118.2300	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	F                      	P                    	                             	                        	                        	P                      	                       	                         	                             	                   	                     	                       	                       	                      	P                 	                       	                     	F                	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN7-SN6, sponge spicules

  IR	                 	Middle Miocene   	                  	Mt6           	182	1126	B	 15	H	CC	   0.00	    122.8500	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	F                   	                       	                           	                  	                     	                      	                       	                 	R                      	P                    	                             	                        	F                       	P                      	                       	                         	F                            	F                  	                     	                       	P                      	P                     	P                 	                       	F                    	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	chert, sponge s, M6-M7

  IR	                 	Middle Miocene   	                  	Mt5           	182	1126	B	 17	H	CC	  13.00	    136.8200	Li       	Planktonic Foraminifers                      	A              	P                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	F                   	                       	                           	                  	                     	                      	                       	                 	F                      	                     	                             	                        	F                       	                       	                       	                         	                             	P                  	P                    	                       	                       	P                     	P                 	F                      	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	sponge spicules

  IR	                 	Middle Miocene   	Mt4               	Mt5           	182	1126	B	 18	H	CC	  21.00	    147.4900	Li       	Planktonic Foraminifers                      	A              	P                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	P                   	                       	                           	                  	                     	                      	                       	                 	F                      	                     	                             	                        	F                       	                       	                       	                         	F                            	P                  	R                    	F                      	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN4, sponge spicules

  IR	                 	Middle Miocene   	                  	Mt5a          	182	1126	B	 19	H	CC	  23.00	    157.0800	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	F                   	                       	                           	                  	                     	                      	                       	                 	F                      	P                    	                             	P                       	F                       	                       	                       	                         	F                            	F                  	P                    	F                      	A                      	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	       

  IR	                 	Middle Miocene   	                  	Mt5a          	182	1126	B	 20	H	CC	   6.00	    160.2800	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                            	                           	                           	                      	P                        	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	P                   	                       	                           	                  	                     	                      	                       	                 	F                      	                     	                             	                        	F                       	                       	                       	                         	F                            	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	       

  IR	                 	Early Miocene    	                  	Mt3           	182	1126	B	 21	X	CC	  18.00	    160.4800	Li       	Planktonic Foraminifers                      	A              	G                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	P                   	                        	                           	                       	                        	                         	                          	                          	A                   	                       	                           	                  	                     	                      	P                      	                 	                       	                     	                             	P                       	P                       	                       	R                      	P                        	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN4

  IR	                 	Early Miocene    	Mt2               	Mt3           	182	1126	B	 22	X	CC	  17.00	    168.3500	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                            	                           	                           	                      	                         	                    	                         	                         	                       	                         	                      	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	P                   	                       	P                          	                  	                     	                      	                       	P                	P                      	                     	P                            	P                       	P                       	P                      	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SN4

  IR	                 	Early Miocene    	                  	Mt2           	182	1126	B	 24	X	CC	  23.00	    188.0000	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	                                	                	                            	                           	                           	F                     	                         	                    	                         	                         	P                      	                         	P                     	                             	                	                       	P                     	P                   	                        	                           	                       	                        	                         	                          	                          	A                   	A                      	                           	P                 	P                    	F                     	P                      	P                	F                      	F                    	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	       

  IR	                 	Early Miocene    	Mt1               	Mt2           	182	1126	B	 25	X	CC	  15.00	    197.2800	Li       	Planktonic Foraminifers                      	A              	M                 	                            	P                       	                                	                	                            	                           	                           	F                     	                         	                    	                         	                         	P                      	                         	P                     	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	P                   	A                      	P                          	P                 	P                    	F                     	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	sponge spicules

  IR	Late Oligocene   	Early Miocene    	P22               	M1a           	182	1126	B	 26	X	CC	  15.00	    205.8500	Li       	Planktonic Foraminifers                      	A              	G                 	                            	F                       	P                               	                	                            	                           	P                          	R                     	                         	                    	                         	R                        	F                      	                         	P                     	                             	                	                       	                      	                    	R                       	P                          	                       	                        	                         	                          	P                         	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	likely latest Oligocene

  IR	                 	Late Oligocene   	                  	P22           	182	1126	B	 27	X	CC	  28.00	    222.8800	Li       	Planktonic Foraminifers                      	A              	G                 	                            	P                       	                                	P               	                            	                           	F                          	A                     	                         	                    	                         	                         	P                      	P                        	P                     	                             	                	P                      	A                     	                    	                        	                           	P                      	                        	                         	P                         	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SP15

  IR	                 	Late Oligocene   	                  	P22           	182	1126	B	 28	X	CC	  22.00	    228.9100	Li       	Planktonic Foraminifers                      	A              	G                 	P                           	P                       	P                               	P               	                            	                           	P                          	A                     	                         	P                   	R                        	P                        	P                      	                         	P                     	                             	                	                       	F                     	                    	P                       	                           	P                      	                        	P                        	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SP15

  IR	                 	Late Oligocene   	                  	P22           	182	1126	B	 29	X	CC	  16.00	    237.3100	Li       	Planktonic Foraminifers                      	A              	M                 	                            	                        	P                               	P               	                            	                           	P                          	F                     	P                        	P                   	P                        	                         	P                      	                         	P                     	                             	                	                       	P                     	                    	P                       	P                          	P                      	P                       	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	SP15

  IR	                 	Late Oligocene   	                  	P22           	182	1126	B	 31	X	CC	   0.00	    248.7000	Li       	Planktonic Foraminifers                      	C              	G                 	                            	F                       	P                               	A               	                            	                           	A                          	F                     	                         	P                   	P                        	                         	F                      	P                        	P                     	P                            	P               	P                      	P                     	P                   	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	CHERT

  IR	                 	Late Oligocene   	                  	              	182	1126	B	 32	X	CC	  26.00	    254.8200	Li       	Planktonic Foraminifers                      	A              	G                 	F                           	F                       	P                               	P               	P                           	P                          	F                          	F                     	P                        	P                   	P                        	P                        	F                      	P                        	P                     	                             	                	                       	                      	                    	                        	                           	                       	                        	                         	                          	                          	                    	                       	                           	                  	                     	                      	                       	                 	                       	                     	                             	                        	                        	                       	                       	                         	                             	                   	                     	                       	                       	                      	                  	                       	                     	                 	                         	                          	                       	                     	                           	                    	                  	                        	                       	                        	                     	                              	                         	                         	                    	                   	                         	                           	                       	                    	                           	                         	                            	                      	                     	                        	                        	                         	                             	                          	                        	                    	                          	P21b

