Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vulvulina spinosa	Uvigerina spinulosa	Uvigerina proboscidea	Tritaxa spp.	Stilostomella subspinosa	Stilostomella spp.	Stilostomella modesta	Spirillina minima	Siphonina tenuicarinata	Saracenaria spp.	Rectuvigerina striata	Pullenia quinqueloba	Pullenia bulloides	Pleurostomella spp.	Oolina spp.	Nodosariid taxa	Lenticulina spp.	Laticarinina pauperata	Hanzawaia mantaensis	Gyroidinoides soldanii	Globocassidulina subglobosa	Cibicidoides spp.	Cibicidoides mundulus	Bulimina spp.	Astrononion pusillum	Trifarina spp.	Rectuvigerina spp.	Pullenia spp.	Hanzawaia ammophila	Cibicidoides praemundulus	Cibicidoides micrus	Bolivina spp.	Patellina corrugata	Karreriella bradyi	Oridorsalis umbonatus	Bulimina aculeata	Sphaeroidina bulloides	Cibicidoides pachyderma	Planulina wuellerstorfi	Loxostomoides spp.	Fissurina spp.	Uvigerina spp.	Textularia spp.	Sigmoilopsis schlumbergeri	Uvigerina auberiana	Uvigerina hispidocostata	Triloculina trihedra	Plectofrondicularia vaughni	Stilostomella lepidula	Miliolids species	Bigenerina nodosaria	Comment
  IR	                 	                 	                  	              	182	1126	B	  6	H	CC	   0.00	     53.1800	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	                     	R           	                        	F                 	                     	                 	                       	                	                     	                    	                  	                   	           	F              	R               	                      	F                   	                      	                           	F                	                     	             	                    	              	                  	             	                   	                         	                   	             	                   	                  	                     	F                	                      	                       	A                      	A                 	              	              	               	R                         	                   	R                       	F                   	R                          	F                     	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	  7	H	CC	  12.00	     63.9000	Holbourn 	Benthic Foraminifers                         	C              	G                 	                 	                   	R                    	R           	                        	F                 	                     	                 	F                      	                	                     	                    	                  	                   	           	               	                	                      	                    	                      	                           	F                	                     	             	                    	              	A                 	             	                   	                         	                   	             	                   	                  	                     	                 	                      	                       	A                      	                  	              	              	               	R                         	                   	A                       	R                   	R                          	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	  8	H	CC	  13.00	     72.9600	Holbourn 	Benthic Foraminifers                         	C              	G                 	R                	                   	                     	            	                        	C                 	                     	                 	F                      	                	R                    	                    	                  	                   	R          	C              	R               	                      	R                   	                      	R                          	                 	                     	R            	                    	              	C                 	R            	                   	                         	                   	             	                   	                  	                     	F                	                      	                       	A                      	                  	              	              	               	                          	R                  	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 10	H	CC	  15.00	     88.6900	Holbourn 	Benthic Foraminifers                         	F              	M                 	R                	                   	R                    	R           	                        	F                 	                     	                 	                       	                	                     	                    	                  	R                  	           	R              	                	                      	                    	                      	                           	                 	                     	             	                    	              	C                 	             	                   	                         	                   	             	                   	                  	                     	                 	                      	                       	R                      	                  	              	R             	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 11	H	CC	  20.00	    102.0900	Holbourn 	Benthic Foraminifers                         	C              	M                 	                 	                   	F                    	            	                        	A                 	                     	                 	                       	                	                     	                    	                  	R                  	           	F              	R               	R                     	R                   	                      	                           	F                	                     	             	                    	              	R                 	             	                   	                         	                   	             	                   	                  	                     	R                	                      	                       	R                      	                  	              	              	R              	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 12	H	CC	  15.00	    104.0000	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	F                    	R           	                        	C                 	                     	                 	                       	                	                     	                    	                  	                   	           	               	R               	R                     	                    	                      	                           	F                	                     	             	                    	              	F                 	             	                   	                         	                   	             	                   	R                 	                     	R                	                      	                       	R                      	                  	              	R             	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 14	H	CC	  12.00	    118.2300	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	F                    	            	                        	R                 	                     	F                	                       	                	                     	                    	                  	                   	           	               	                	                      	                    	                      	                           	F                	                     	             	                    	              	                  	             	                   	                         	                   	             	A                  	                  	                     	                 	                      	                       	F                      	R                 	              	R             	               	R                         	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 15	H	CC	   0.00	    122.8500	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	                     	            	                        	R                 	R                    	R                	R                      	                	                     	                    	                  	R                  	           	               	R               	                      	R                   	                      	R                          	C                	                     	             	                    	              	                  	             	                   	                         	                   	             	R                  	                  	                     	                 	                      	                       	R                      	                  	              	R             	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 17	H	CC	  13.00	    136.8200	Holbourn 	Benthic Foraminifers                         	R              	P                 	                 	                   	                     	            	                        	R                 	                     	                 	                       	                	                     	                    	                  	                   	R          	R              	R               	                      	                    	                      	                           	F                	                     	             	                    	              	F                 	             	                   	                         	                   	             	A                  	                  	                     	                 	                      	                       	                       	                  	              	              	R              	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 18	H	CC	  21.00	    147.4900	Holbourn 	Benthic Foraminifers                         	F              	P                 	                 	                   	                     	            	                        	                  	                     	                 	                       	                	                     	                    	                  	                   	           	R              	                	                      	F                   	                      	                           	F                	                     	             	                    	              	F                 	             	                   	                         	                   	             	F                  	                  	                     	                 	                      	                       	                       	                  	              	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 19	H	CC	  23.00	    157.0800	Holbourn 	Benthic Foraminifers                         	F              	M                 	R                	                   	R                    	            	F                       	                  	                     	                 	R                      	R               	A                    	                    	                  	R                  	           	R              	R               	                      	R                   	                      	                           	R                	                     	             	R                   	              	                  	             	                   	                         	                   	             	R                  	                  	                     	                 	                      	                       	                       	                  	R             	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 20	H	CC	   6.00	    160.2800	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	                     	R           	                        	F                 	                     	                 	F                      	                	C                    	                    	                  	                   	           	F              	F               	R                     	                    	                      	                           	F                	F                    	R            	R                   	              	                  	             	                   	                         	                   	F            	R                  	R                 	                     	                 	                      	                       	F                      	                  	              	R             	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 21	X	CC	  18.00	    160.4800	Holbourn 	Benthic Foraminifers                         	F              	M                 	                 	                   	                     	            	                        	R                 	R                    	                 	C                      	                	A                    	                    	                  	                   	R          	R              	R               	                      	                    	                      	                           	F                	F                    	             	F                   	              	                  	R            	                   	                         	                   	F            	                   	                  	                     	                 	                      	                       	R                      	R                 	R             	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 22	X	CC	  17.00	    168.3500	Holbourn 	Benthic Foraminifers                         	F              	M                 	R                	                   	                     	            	                        	F                 	                     	F                	C                      	                	F                    	                    	                  	R                  	           	F              	F               	                      	                    	                      	                           	F                	F                    	             	                    	              	                  	F            	                   	                         	                   	C            	F                  	R                 	                     	                 	R                     	R                      	                       	                  	              	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 24	X	CC	  23.00	    188.0000	Holbourn 	Benthic Foraminifers                         	R              	P                 	                 	                   	                     	            	                        	F                 	                     	                 	                       	                	                     	                    	                  	                   	R          	R              	F               	                      	                    	                      	                           	F                	R                    	             	R                   	F             	R                 	             	                   	                         	                   	             	                   	                  	R                    	A                	                      	                       	                       	                  	              	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 25	X	CC	  15.00	    197.2800	Holbourn 	Benthic Foraminifers                         	F              	P                 	                 	                   	                     	            	F                       	F                 	                     	                 	R                      	                	                     	                    	                  	                   	R          	               	R               	R                     	R                   	R                     	                           	                 	R                    	R            	                    	              	                  	             	                   	                         	                   	F            	R                  	                  	                     	                 	                      	                       	                       	                  	              	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 26	X	CC	  15.00	    205.8500	Holbourn 	Benthic Foraminifers                         	F              	M                 	F                	                   	R                    	            	F                       	                  	                     	                 	C                      	                	                     	                    	R                 	R                  	           	F              	F               	R                     	                    	R                     	                           	F                	                     	F            	                    	              	                  	             	R                  	C                        	R                  	F            	R                  	R                 	                     	                 	                      	                       	                       	                  	              	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 28	X	CC	  22.00	    228.9100	Holbourn 	Benthic Foraminifers                         	F              	M                 	F                	                   	R                    	            	                        	A                 	                     	                 	C                      	                	                     	                    	                  	                   	R          	F              	F               	R                     	                    	R                     	R                          	F                	                     	             	                    	A             	R                 	R            	R                  	F                        	R                  	F            	                   	                  	                     	                 	                      	                       	                       	                  	              	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

  IR	                 	                 	                  	              	182	1126	B	 29	X	CC	  16.00	    237.3100	Holbourn 	Benthic Foraminifers                         	F              	M                 	F                	R                  	R                    	R           	F                       	F                 	F                    	R                	R                      	R               	R                    	R                   	R                 	R                  	R          	R              	F               	R                     	F                   	R                     	F                          	F                	C                    	R            	R                   	              	                  	             	                   	                         	                   	             	                   	                  	                     	                 	                      	                       	                       	                  	              	              	               	                          	                   	                        	                    	                           	                      	                 	                    	       

