Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Coccolithus pelagicus	Gephyrocapsa Group 4	Coccolithus crassipons	Gephyrocapsa Group 1	Reticulofenestra sp.	Gephyrocapsa (small)	Braarudosphaera bigelowii	Coccolithus streckerii	Gephyrocapsa sp.	Pontosphaera sp.	Gephyrocapsa Group 3	Calcidiscus leptoporus	Umbellosphaera tenuis	Gephyrocapsa Group 2	Emiliania pujosae	Emiliania huxleyi	Comment
  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  3	H	 2	  35.00	     13.5200	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	R                     	                     	R                   	                 	R                	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  3	H	 3	  44.00	     15.1100	Mao      	Nannofossils                                 	C              	M                 	R                    	                    	                      	F                   	                    	                    	                         	                      	                	                	                    	R                     	                     	R                   	R                	F                	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  3	H	 4	  68.00	     16.8500	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	R                   	                 	                 	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  3	H	 5	  46.00	     18.1300	Mao      	Nannofossils                                 	R              	P                 	                     	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	R                   	                 	                 	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  3	H	 6	 107.00	     20.2400	Mao      	Nannofossils                                 	C              	M                 	F                    	                    	                      	C                   	                    	                    	                         	                      	                	                	                    	                      	                     	C                   	F                	F                	from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Late Pleistocene 	Holocene         	NN21              	              	139	 858	A	  3	H	CC	  25.00	     21.5700	Mao      	Nannofossils                                 	C              	P                 	F                    	                    	                      	                    	                    	C                   	                         	                      	                	                	                    	R                     	                     	                    	R                	F                	from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  4	H	 1	  46.00	     21.8600	Mao      	Nannofossils                                 	A              	VP                	F                    	                    	                      	A                   	                    	                    	R                        	                      	                	                	R                   	F                     	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  4	H	 2	  42.00	     23.3200	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	F                   	                    	                    	                         	                      	                	                	                    	R                     	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  4	H	 3	  44.00	     24.8400	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	F                   	                    	                    	                         	                      	                	                	                    	F                     	R                    	F                   	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  4	H	 4	  35.00	     26.2500	Mao      	Nannofossils                                 	C              	VP                	F                    	                    	                      	C                   	                    	                    	                         	                      	                	                	R                   	F                     	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  4	H	 5	  39.00	     27.7900	Mao      	Nannofossils                                 	C              	VP                	F                    	                    	                      	C                   	                    	                    	F                        	                      	                	R               	R                   	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  4	H	 6	  57.00	     29.4700	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	F                   	                    	                    	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  4	H	 7	  43.00	     30.8300	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	F                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	  4	H	CC	  43.00	     31.3400	Mao      	Nannofossils                                 	F              	P                 	F                    	                    	                      	                    	                    	R                   	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  5	H	 1	  77.00	     31.6700	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	R                   	                    	                    	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  5	H	 2	  92.00	     33.3200	Mao      	Nannofossils                                 	F              	VP                	R                    	                    	                      	F                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  5	H	 3	  88.00	     34.7800	Mao      	Nannofossils                                 	F              	VP                	R                    	R                   	                      	F                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  5	H	 4	  86.00	     36.2600	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	                    	                    	                    	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  5	H	 5	  32.00	     37.2200	Mao      	Nannofossils                                 	F              	VP                	                     	R                   	                      	R                   	                    	                    	R                        	                      	                	                	F                   	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  5	H	 6	  22.00	     38.6200	Mao      	Nannofossils                                 	C              	VP                	C                    	                    	R                     	                    	                    	                    	F                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	  5	H	CC	   0.00	     40.5000	Mao      	Nannofossils                                 	F              	P                 	F                    	                    	                      	                    	                    	                    	F                        	                      	R               	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  6	H	 1	  31.00	     40.7100	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	                    	                    	                    	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  6	H	 2	  17.00	     42.0700	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  6	H	 3	 105.00	     44.4500	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	  6	H	CC	  16.00	     45.0600	Mao      	Nannofossils                                 	F              	P                 	F                    	                    	                      	                    	                    	F                   	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  7	H	 1	  69.00	     50.5900	Mao      	Nannofossils                                 	F              	VP                	F                    	R                   	                      	F                   	                    	                    	                         	                      	                	R               	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  7	H	 2	  69.00	     52.0900	Mao      	Nannofossils                                 	R              	VP                	R                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  7	H	 3	  72.00	     53.6200	Mao      	Nannofossils                                 	C              	VP                	C                    	R                   	R                     	F                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  7	H	 4	  78.00	     55.1800	Mao      	Nannofossils                                 	R              	VP                	R                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  7	H	 5	  81.00	     56.7100	Mao      	Nannofossils                                 	R              	VP                	R                    	R                   	                      	R                   	                    	                    	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  7	H	 6	  48.00	     57.8800	Mao      	Nannofossils                                 	C              	VP                	C                    	R                   	R                     	R                   	                    	                    	                         	R                     	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	  7	H	CC	   6.00	     58.9600	Mao      	Nannofossils                                 	F              	P                 	R                    	                    	                      	                    	                    	                    	                         	                      	R               	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  8	H	 1	  69.00	     59.5900	Mao      	Nannofossils                                 	F              	VP                	F                    	R                   	                      	F                   	                    	                    	                         	R                     	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  8	H	 3	  70.00	     62.5300	Mao      	Nannofossils                                 	F              	VP                	R                    	R                   	                      	R                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	  8	H	 3	  73.00	     62.5600	Mao      	Nannofossils                                 	R              	P                 	F                    	                    	                      	                    	                    	R                   	R                        	                      	                	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  9	X	 1	 103.00	     63.5300	Mao      	Nannofossils                                 	R              	VP                	R                    	R                   	                      	R                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  9	X	 2	  67.00	     64.6700	Mao      	Nannofossils                                 	R              	VP                	R                    	R                   	R                     	R                   	R                   	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  9	X	 3	  68.00	     66.1800	Mao      	Nannofossils                                 	F              	VP                	F                    	R                   	R                     	F                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  9	X	 4	  57.00	     67.5700	Mao      	Nannofossils                                 	R              	VP                	R                    	R                   	                      	R                   	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	  9	X	 6	  61.00	     70.6100	Mao      	Nannofossils                                 	F              	VP                	F                    	                    	R                     	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	  9	X	CC	  13.00	     72.0600	Mao      	Nannofossils                                 	C              	P                 	C                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	 11	X	CC	  37.00	     73.8400	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

  SR	Late Pleistocene 	                 	NN21              	              	139	 858	A	 12	X	 1	   9.00	     81.6900	Mao      	Nannofossils                                 	F              	VP                	F                    	R                   	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone & age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 9; p. 70

  IR	Pleistocene      	                 	NN21              	              	139	 858	A	 14	X	CC	  30.00	    101.3000	Mao      	Nannofossils                                 	R              	P                 	R                    	                    	                      	                    	                    	                    	                         	                      	                	                	                    	                      	                     	                    	                 	                 	zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465

