Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp. (small)	Reticulofenestra cf. pseudoumbilica	Dictyococcites spp. (small)	Coccolithus pelagicus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Coccolithus streckerii	Acanthoica spp.	Calcidiscus leptoporus	Gephyrocapsa spp. (large)	Helicosphaera cf. wallichi	Reticulofenestra asanoi	Reticulofenestra sp. D	Gephyrocapsa parallela	Discolithina sp.	Syracosphaera pulchra	Helicosphaera carteri	Emiliania huxleyi	Comment
  SR	Quaternary       	                 	                  	              	151	 911	A	  2	H	 4	  69.00	     14.6900	Sato     	Nannofossils                                 	A              	                  	+                            	                                   	                           	+                    	                        	                    	+                        	                     	                         	                      	               	+                     	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  2	H	 6	  19.00	     17.1900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  3	H	 2	  70.00	     21.2000	Sato     	Nannofossils                                 	A              	                  	+                            	                                   	                           	+                    	+                       	                    	+                        	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	+                    	+                    	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  3	H	 6	  70.00	     27.2000	Sato     	Nannofossils                                 	C              	                  	+                            	                                   	+                          	+                    	+                       	                    	+                        	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  3	H	CC	  19.00	     28.4600	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	                     	                        	                    	+                        	                     	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  4	H	 1	  21.00	     28.7100	Sato     	Nannofossils                                 	C              	                  	+                            	                                   	+                          	+                    	                        	                    	                         	+                    	+                        	                      	               	+                     	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  4	H	 2	  21.00	     30.2100	Sato     	Nannofossils                                 	R              	                  	                             	                                   	+                          	                     	                        	                    	+                        	+                    	+                        	                      	               	+                     	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  4	H	CC	  21.00	     37.7100	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	                        	                    	+                        	                     	                         	                      	               	+                     	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  6	H	 2	  20.00	     49.2000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  6	H	 2	  70.00	     49.7000	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	                        	                    	+                        	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  6	H	 3	  70.00	     51.2000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  6	H	 4	  20.00	     52.2000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	+                     	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  6	H	 4	  70.00	     52.7000	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	                    	+                        	                     	+                        	                      	               	+                     	                         	                          	                       	+                     	                      	+               	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  6	H	 6	  70.00	     55.7000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	+                     	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  6	H	CC	  20.00	     57.2700	Sato     	Nannofossils                                 	C              	                  	+                            	                                   	+                          	+                    	                        	                    	+                        	+                    	+                        	                      	               	                      	                         	                          	                       	+                     	+                     	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  7	H	 1	  20.00	     57.2000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	+                     	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  8	H	 4	  69.00	     70.3900	Sato     	Nannofossils                                 	C              	                  	+                            	                                   	                           	+                    	                        	                    	+                        	+                    	                         	                      	               	                      	                         	                          	                       	+                     	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  8	H	 5	  69.00	     71.8900	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	                     	                        	                    	+                        	                     	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  9	H	 2	  70.00	     76.0000	Sato     	Nannofossils                                 	C              	                  	+                            	                                   	+                          	+                    	+                       	                    	+                        	                     	+                        	                      	               	+                     	                         	                          	+                      	+                     	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  9	H	 5	  21.00	     80.0100	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  9	H	 5	  70.00	     80.5000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	+                       	                    	+                        	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	  9	H	 5	 118.00	     80.9800	Sato     	Nannofossils                                 	A              	                  	+                            	                                   	+                          	+                    	+                       	                    	+                        	                     	                         	                      	               	+                     	                         	                          	+                      	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 11	H	CC	  20.00	    101.4000	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	                     	+                       	                    	+                        	                     	                         	                      	               	+                     	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 12	H	CC	  40.00	    111.8100	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	+                       	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 14	H	 1	  70.00	    121.6000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 14	H	 6	  70.00	    127.8500	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	                        	                    	                         	+                    	+                        	                      	               	                      	+                        	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 14	H	CC	  20.00	    130.3500	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	                        	                    	                         	                     	+                        	                      	               	+                     	+                        	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 15	H	 1	  19.00	    130.5900	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	+                       	                    	+                        	+                    	+                        	                      	               	+                     	+                        	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 15	H	 4	  69.00	    135.5900	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	                    	                         	+                    	+                        	                      	               	+                     	+                        	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 16	X	 1	  20.00	    140.1000	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	+                       	                    	                         	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 18	X	 4	  70.00	    163.9400	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 19	X	 4	  71.00	    173.8100	Sato     	Nannofossils                                 	A              	                  	                             	                                   	+                          	+                    	                        	                    	                         	+                    	+                        	                      	               	                      	+                        	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 19	X	 5	  20.00	    174.8000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 20	X	 1	  19.00	    178.4900	Sato     	Nannofossils                                 	A              	                  	+                            	                                   	                           	+                    	                        	+                   	+                        	+                    	+                        	+                     	               	+                     	+                        	+                         	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 20	X	 1	  68.00	    178.9800	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 20	X	 4	  19.00	    182.9900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	+                    	+                        	                      	               	+                     	+                        	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 21	X	 2	  70.00	    190.1000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 22	X	 1	  69.00	    198.1900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	                     	                        	                    	+                        	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 22	X	 3	  22.00	    200.6500	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	                     	                        	                    	                         	                     	                         	                      	               	+                     	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 23	X	 3	  76.00	    210.9600	Sato     	Nannofossils                                 	C              	                  	+                            	                                   	+                          	+                    	                        	                    	+                        	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 23	X	 4	  17.00	    211.8700	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	                        	                    	                         	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 23	X	 5	  76.00	    213.9600	Sato     	Nannofossils                                 	A              	                  	+                            	                                   	+                          	+                    	                        	+                   	+                        	+                    	+                        	+                     	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 23	X	 6	  17.00	    214.8700	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	+                   	                         	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 23	X	CC	  32.00	    215.9200	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	+                       	                    	+                        	+                    	+                        	+                     	+              	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Quaternary       	                 	                  	              	151	 911	A	 24	X	 1	  20.00	    217.0000	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	+                       	+                   	+                        	+                    	+                        	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 25	X	 1	  89.00	    227.2900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 25	X	 2	  89.00	    228.7900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 27	X	 2	  88.00	    248.1800	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 27	X	 5	  88.00	    251.3600	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 28	X	CC	  19.00	    264.9600	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 32	X	 3	  21.00	    297.2100	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 34	X	 5	  23.00	    319.3500	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 42	X	 2	  89.00	    391.9100	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 42	X	 3	  19.00	    392.2800	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 43	X	 1	  29.00	    399.8900	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 43	X	 1	  90.00	    400.5000	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 43	X	 2	  90.00	    401.9700	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 43	X	 3	  29.00	    402.6000	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 46	X	 2	  19.00	    430.2900	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 46	X	CC	  20.00	    435.7100	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 47	X	 1	  89.00	    439.0900	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 47	X	 3	  92.00	    442.1200	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 47	X	 4	  24.00	    442.9400	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 47	X	 5	  19.00	    444.0500	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 47	X	 5	  90.00	    444.7600	Sato     	Nannofossils                                 	R              	                  	                             	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 47	X	 6	  18.00	    445.2400	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 47	X	 6	  92.00	    445.9800	Sato     	Nannofossils                                 	R              	                  	                             	                                   	+                          	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 49	X	 1	  20.00	    457.7000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 49	X	 3	  20.00	    460.7000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	+                          	                     	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 51	X	 1	  20.00	    477.0000	Sato     	Nannofossils                                 	B              	                  	+                            	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 51	X	 1	  90.00	    477.7000	Sato     	Nannofossils                                 	B              	                  	+                            	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 51	X	 7	  20.00	    486.0000	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 51	X	CC	  36.00	    486.7100	Sato     	Nannofossils                                 	R              	                  	                             	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 52	X	 1	  17.00	    486.6700	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	+                          	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

  SR	Late Pliocene    	                 	                  	              	151	 911	A	 52	X	 2	  17.00	    487.4200	Sato     	Nannofossils                                 	R              	                  	+                            	                                   	                           	+                    	                        	                    	                         	                     	                         	                      	               	                      	                         	                          	                       	                      	                      	                	                     	                     	                 	from Leg 151SR; Ch 3; Table 3; pp. 44-51

