Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum giganteus	Distephanus crux	Distephanus boliviensis	Dictyocha varia	Dictyocha extensa extensa	Dictyocha varia (medusid)	Dictyocha fibula fibula	Bachmannocena elliptica	Distephanus speculum speculum	Dictyocha fibula mutabilis	Distephanus quinquangellus	Bachmannocena diodon nodosa	Bachmannocena circulus	Dictyocha fibula ausonia	Dictyocha calida calida	Distephanus speculum tenuis	Dictyocha calida ampliata	Dictyocha tamarae	Dictyocha clinata	Dictyocha angulata	Bachmannocena diodon nodosa f. transenna	Bachmannocena diodon nodosa f. cocoensis	Distephanus xenus	Dictyocha neonautica	Dictyocha perlaevis (thin apical elements)	Dictyocha messanensis	Dictyocha perlaevis ornata	Dictyocha delicata bisecta	Dictyocha perlaevis flexatella	Distephanus pulchra	Bachmannocena quadrangula	Dictyocha aculeata aculeata	Dictyocha aculeata subaculeata	Dictyocha perlaevis perlaevis	Comment
  SR	Pleistocene      	                 	D. aculeata       	              	138	 849	B	  3	H	 1	 130.00	     17.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	4                        	                         	                       	                       	                             	                          	                          	7                          	                      	                        	                       	                           	4                        	                 	                 	                  	                                        	                                        	                 	                    	                                          	18                   	                          	                          	                              	10                 	2                        	183                        	72                            	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	                 	                 	B. quadrangula    	              	138	 849	B	  3	H	 4	 120.00	     21.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	                         	                         	                       	                       	5                            	                          	1                         	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	8                    	                          	                          	                              	12                 	14                       	58                         	117                           	85                           	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	                 	                 	B. quadrangula    	              	138	 849	B	  4	H	 1	 130.00	     27.0000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	22                       	                         	                       	                       	41                           	                          	2                         	                           	                      	                        	                       	                           	3                        	                 	                 	                  	                                        	                                        	                 	                    	                                          	63                   	                          	                          	                              	1                  	120                      	14                         	32                            	2                            	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	                 	                 	B. quadrangula    	              	138	 849	B	  4	H	 4	 120.00	     31.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	11                       	                         	                       	                       	                             	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	117                  	                          	                          	                              	1                  	113                      	17                         	41                            	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. messanensis    	              	138	 849	B	  5	H	 1	 120.00	     36.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	188                      	                         	                       	                       	6                            	                          	1                         	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	5                                         	90                   	1                         	                          	                              	3                  	4                        	2                          	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. messanensis    	              	138	 849	B	  5	H	 4	 120.00	     40.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	2               	                       	               	102                      	                         	1                      	                       	22                           	1                         	5                         	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	164                  	                          	                          	                              	2                  	1                        	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. messanensis    	              	138	 849	B	  6	H	 1	 120.00	     45.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	121                      	                         	                       	                       	                             	                          	21                        	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	10                                        	146                  	                          	                          	                              	2                  	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. extensa        	              	138	 849	B	  6	H	 4	 122.00	     50.4200	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	2                      	               	127                      	                         	                       	                       	158                          	1                         	1                         	                           	1                     	                        	                       	                           	                         	5                	                 	5                 	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. extensa        	              	138	 849	B	  7	H	 1	 120.00	     55.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	248                      	                         	1                      	                       	8                            	                          	1                         	                           	                      	                        	9                      	                           	27                       	                 	                 	                  	                                        	                                        	                 	                    	                                          	6                    	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. extensa        	              	138	 849	B	  8	H	 1	 120.00	     64.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	237                      	                         	                       	                       	18                           	                          	                          	                           	                      	                        	                       	                           	                         	9                	                 	                  	                                        	                                        	                 	                    	                                          	33                   	                          	                          	                              	                   	                         	                           	                              	                             	total count =  297; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. extensa        	              	138	 849	B	  9	H	 1	 120.00	     74.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	3                      	               	237                      	                         	                       	                       	21                           	                          	2                         	                           	                      	                        	                       	                           	                         	5                	                 	                  	                                        	                                        	                 	                    	                                          	32                   	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Late Pliocene    	                 	D. extensa        	              	138	 849	B	 10	H	 1	 120.00	     83.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	114                      	                         	                       	                       	140                          	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  254; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 11	H	 1	 120.00	     93.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	5               	                       	               	221                      	                         	                       	                       	54                           	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	5                 	                                        	                                        	                 	                    	                                          	                     	                          	                          	15                            	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 12	H	 1	 120.00	    102.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	6               	                       	1              	205                      	                         	12                     	                       	65                           	                          	                          	                           	                      	                        	                       	                           	                         	1                	                 	10                	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 13	H	 1	 123.00	    112.4300	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	               	31                       	                         	1                      	                       	19                           	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  51; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 14	X	 1	 120.00	    121.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	1               	13                     	14             	123                      	                         	9                      	                       	42                           	                          	1                         	                           	                      	                        	3                      	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  206; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 15	X	 1	 120.00	    131.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	2               	                       	6              	151                      	                         	                       	                       	53                           	3                         	                          	                           	72                    	                        	                       	                           	                         	                 	                 	13                	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 16	X	 1	 120.00	    141.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	6               	                       	               	219                      	                         	1                      	4                      	48                           	5                         	                          	                           	8                     	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	5                         	4                         	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 17	X	 1	 120.00	    150.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	4               	2                      	5              	255                      	                         	5                      	                       	24                           	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	3                 	                                        	                                        	                 	                    	                                          	2                    	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Pliocene   	                 	D. extensa        	              	138	 849	B	 18	X	 1	 120.00	    160.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	2               	19                     	40             	169                      	                         	12                     	                       	48                           	6                         	                          	                           	                      	                        	3                      	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	1                                         	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 19	X	 1	 120.00	    169.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	2               	100                    	9              	88                       	                         	8                      	6                      	84                           	2                         	1                         	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 19	X	 4	 120.00	    174.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	14                            	4               	82                     	               	38                       	                         	                       	                       	47                           	23                        	                          	                           	                      	                        	                       	                           	                         	                 	4                	                  	                                        	                                        	                 	6                   	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 20	X	 1	 119.00	    178.8900	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	46                            	                	59                     	62             	43                       	                         	7                      	13                     	21                           	1                         	                          	4                          	                      	                        	                       	                           	                         	                 	4                	                  	                                        	                                        	39               	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 20	X	 4	 120.00	    183.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	21             	                         	                         	4                      	                       	49                           	1                         	                          	1                          	                      	                        	                       	                           	                         	                 	                 	                  	105                                     	119                                     	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 21	X	 1	 120.00	    188.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	7               	111                    	23             	89                       	                         	2                      	                       	60                           	3                         	2                         	                           	                      	2                       	1                      	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 22	X	 1	 120.00	    198.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	4                             	25              	                       	               	240                      	                         	2                      	                       	25                           	                          	2                         	                           	                      	                        	                       	                           	                         	                 	                 	4                 	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 23	X	 1	 120.00	    207.8000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	20              	1                      	39             	206                      	                         	1                      	                       	25                           	2                         	                          	                           	                      	2                       	4                      	                           	                         	                 	                 	2                 	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	D. extensa        	              	138	 849	B	 24	X	 1	 120.00	    217.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	4              	265                      	                         	1                      	                       	17                           	                          	12                        	                           	                      	1                       	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	Ds. speculum tenuis	              	138	 849	B	 25	X	 1	 120.00	    227.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	15                            	2               	                       	1              	220                      	                         	                       	1                      	                             	                          	15                        	                           	                      	                        	4                      	12                         	                         	30               	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	Ds. speculum tenuis	              	138	 849	B	 26	X	 1	  68.00	    236.3800	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	18                            	                	                       	2              	144                      	1                        	                       	                       	                             	27                        	                          	                           	                      	                        	8                      	99                         	                         	                 	3                	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	Ds. speculum tenuis	              	138	 849	B	 27	X	 1	 120.00	    246.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	1               	                       	6              	140                      	                         	                       	                       	11                           	23                        	                          	                           	                      	3                       	4                      	113                        	                         	2                	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Miocene          	                 	Ds. speculum tenuis	              	138	 849	B	 28	X	 1	 120.00	    256.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	6              	76                       	                         	6                      	                       	179                          	4                         	3                         	                           	                      	                        	                       	24                         	2                        	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 29	X	 1	 120.00	    265.9000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	1               	                       	27             	15                       	                         	                       	                       	128                          	129                       	                          	                           	                      	                        	                       	1                          	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 30	X	 1	 134.00	    275.6400	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                              	                	                       	22             	187                      	7                        	                       	                       	56                           	22                        	                          	                           	                      	                        	6                      	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 31	X	 1	 120.00	    285.1000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	9                             	9               	172                    	30             	                         	                         	8                      	                       	                             	                          	                          	                           	                      	72                      	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 32	X	 1	 120.00	    294.8000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	11                            	8               	165                    	79             	                         	                         	3                      	                       	                             	29                        	1                         	                           	4                     	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 33	X	 1	 120.00	    304.4000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	7                             	5               	                       	195            	53                       	2                        	                       	                       	27                           	                          	10                        	1                          	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 34	X	 1	 120.00	    314.1000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	7                             	                	                       	9              	                         	                         	                       	                       	                             	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  16; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 35	X	 1	 127.00	    323.8700	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	6                             	9               	                       	207            	2                        	                         	                       	                       	29                           	1                         	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  254; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 36	X	 1	 119.00	    333.3900	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	18                            	11              	29                     	210            	19                       	2                        	6                      	5                      	                             	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  300; from Leg 138 SR Chapter 8 Table 6 p 138-139

  SR	Early Miocene    	                 	D. varia          	              	138	 849	B	 37	X	 1	 119.00	    342.9900	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                             	20              	14                     	151            	4                        	                         	                       	                       	                             	                          	                          	                           	                      	                        	                       	                           	                         	                 	                 	                  	                                        	                                        	                 	                    	                                          	                     	                          	                          	                              	                   	                         	                           	                              	                             	total count =  191; from Leg 138 SR Chapter 8 Table 6 p 138-139

