Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Denticulopsis katayamae,Denticulopsis dimorpha,Coscinodiscus marginatus,Denticulopsis hustedtii,Actinocyclus ingens var. ingens,Denticulopsis praedimorpha,Actinoptychus senarius,Coscinodiscus nodulifer,Denticulopsis hyalina,Cocconeis californica,Actinocyclus ingens  var. nodus,Aulacosira granulata,Actinocyclus tsugaruensis,Actinocyclus cf. oculatus,Comment
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1011,B, 21,X,CC,  32.00,    194.7800,Maruyama ,Diatoms                                      ,C              ,M                 ,T                      ,R                     ,T                       ,R                      ,                               ,                          ,                      ,R                      ,T                    ,                     ,T                              ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1011,B, 22,X,CC,  23.00,    204.3200,Maruyama ,Diatoms                                      ,F              ,P                 ,T                      ,T                     ,T                       ,                       ,                               ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1011,B, 23,X,CC,  17.00,    213.8600,Maruyama ,Diatoms                                      ,A              ,G                 ,                       ,                      ,C                       ,T                      ,T                              ,T                         ,R                     ,                       ,T                    ,T                    ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1011,B, 24,X,CC,  17.00,    223.5200,Maruyama ,Diatoms                                      ,A              ,G                 ,                       ,+                     ,C                       ,F                      ,T                              ,+                         ,T                     ,                       ,T                    ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1011,B, 25,X,CC,  32.00,    233.3700,Maruyama ,Diatoms                                      ,A              ,G                 ,                       ,                      ,A                       ,T                      ,                               ,                          ,                      ,T                      ,                     ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1011,B, 26,X,CC,  38.00,    243.0300,Maruyama ,Diatoms                                      ,A              ,G                 ,F                      ,R                     ,C                       ,C                      ,T                              ,R                         ,R                     ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 6A            ,              ,167,1011,B, 27,X,CC,  35.00,    252.6500,Maruyama ,Diatoms                                      ,A              ,G                 ,C                      ,                      ,                        ,                       ,R                              ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 5D            ,              ,167,1011,B, 28,X,CC,  20.00,    262.0500,Maruyama ,Diatoms                                      ,A              ,G                 ,F                      ,C                     ,F                       ,F                      ,                               ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 5D            ,              ,167,1011,B, 29,X, 1,  40.00,    262.5000,Maruyama ,Diatoms                                      ,A              ,G                 ,F                      ,A                     ,F                       ,                       ,                               ,                          ,                      ,                       ,                     ,                     ,                               ,                    ,                         ,                         ,from IR. Ch 5.Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
