Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygospyris productus	Tholospyris anthopora	Cyrtocapsella cornuta	Carpocanopsis bramlettei	Stylodictya aculeata	Stichocorys delmontensis	Orosphaera sp.	Lychnocanoma elongata	Eucyrtidium diaphanes	Dorcadospyris forcipata	Didymocyrtis violina	Didymocyrtis prismatica	Cyclampterium leptetrum	Cornutella profunda	Calocycletta virginis	Calocycletta serrata	Theocyrtis annosa	Liriospyris geniculosa	Hymeniastrum sp.	Bathropyramis sp.	Stylatractus universus	Siphostichartus corona	Phormospyris stabilis stabilis	Artophormis gracilis	Dorcadospyris dentata	Centrobotrys petrushevskayae	Lychnocanoma sp.	Dorcadospyris praeforcipata	Stichocorys wolffii	Spongurus sp.	Siphostichartus praecorona	Oroscena carolae	Oradapis spongiosa	Heliodiscus asteriscus	Didymocyrtis tubaria	Calocycletta costata	Comment
  IR	Early Miocene    	                 	S. wolffii (RN3)  	              	156	 949	B	 19	X	 2	  54.00	    400.8400	Steiger  	Radiolarians                                 	A              	G                 	F                   	                     	C                    	R                       	                    	                        	C             	R                    	F                    	F                      	R                   	R                      	C                      	R                  	C                    	                    	                 	R                     	                	                 	F                     	                      	                              	                    	                     	                            	                	                           	R                  	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. wolffii (RN3)  	              	156	 949	B	 19	X	 3	  23.00	    401.5300	Steiger  	Radiolarians                                 	A              	G                 	F                   	C                    	C                    	                        	                    	                        	C             	                     	F                    	F                      	                    	F                      	F                      	R                  	F                    	                    	R                	F                     	R               	R                	F                     	                      	                              	                    	                     	                            	R               	                           	R                  	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. wolffii (RN3)  	              	156	 949	B	 19	X	 3	  79.00	    402.0900	Steiger  	Radiolarians                                 	A              	G                 	F                   	C                    	C                    	                        	                    	                        	C             	                     	                     	F                      	                    	F                      	F                      	                   	F                    	                    	R                	F                     	                	                 	F                     	                      	                              	                    	                     	                            	R               	R                          	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	 3	 107.00	    402.3700	Steiger  	Radiolarians                                 	A              	G                 	C                   	C                    	C                    	                        	                    	                        	C             	R                    	                     	F                      	R                   	F                      	F                      	                   	F                    	                    	                 	R                     	                	                 	F                     	                      	R                             	R                   	                     	                            	R               	R                          	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	 3	 138.00	    402.6800	Steiger  	Radiolarians                                 	A              	G                 	F                   	C                    	C                    	R                       	                    	R                       	C             	R                    	                     	R                      	R                   	F                      	F                      	                   	F                    	                    	R                	F                     	                	R                	F                     	                      	R                             	                    	                     	R                           	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	 4	   6.00	    402.8600	Steiger  	Radiolarians                                 	A              	G                 	C                   	C                    	C                    	R                       	R                   	R                       	              	                     	F                    	                       	                    	                       	F                      	                   	F                    	                    	                 	F                     	                	R                	F                     	                      	                              	                    	R                    	                            	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	 4	  11.00	    402.9100	Steiger  	Radiolarians                                 	A              	G                 	C                   	C                    	C                    	R                       	R                   	R                       	C             	                     	F                    	                       	R                   	                       	C                      	                   	C                    	R                   	                 	R                     	                	                 	                      	                      	                              	R                   	                     	                            	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	 4	  50.00	    403.3000	Steiger  	Radiolarians                                 	A              	G                 	F                   	C                    	C                    	                        	R                   	R                       	C             	                     	R                    	F                      	R                   	                       	F                      	                   	F                    	R                   	R                	                      	                	                 	F                     	R                     	R                             	                    	                     	                            	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	 4	  70.00	    403.5000	Steiger  	Radiolarians                                 	A              	G                 	C                   	C                    	C                    	                        	R                   	R                       	C             	                     	                     	F                      	R                   	F                      	F                      	                   	F                    	R                   	                 	                      	R               	                 	F                     	                      	                              	                    	                     	                            	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	CC	  12.00	    403.8400	Steiger  	Radiolarians                                 	A              	G                 	C                   	C                    	C                    	                        	R                   	R                       	C             	R                    	R                    	F                      	R                   	                       	F                      	R                  	F                    	R                   	R                	R                     	R               	R                	                      	                      	                              	                    	                     	                            	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	Early Miocene    	                 	S. delmontense (RN2)	              	156	 949	B	 19	X	CC	  17.00	    403.8900	Steiger  	Radiolarians                                 	A              	G                 	F                   	C                    	C                    	                        	R                   	R                       	C             	R                    	F                    	F                      	R                   	R                      	F                      	R                  	F                    	R                   	                 	                      	                	                 	                      	                      	                              	                    	                     	                            	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

  IR	                 	                 	                  	              	156	 949	B	 22	X	 4	  15.00	    432.0500	Steiger  	Radiolarians                                 	R              	G                 	F                   	F                    	F                    	F                       	                    	                        	              	                     	                     	                       	                    	                       	                       	                   	                     	                    	                 	                      	                	                 	                      	                      	                              	                    	                     	                            	                	                           	                   	             	                          	                	                  	                      	                    	                    	From Leg 156SR Ch 2 Table 2

