Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira praefraga	Thalassiosira nansenii	Stephanopyxis turris	Coscinodiscus spp.	Trinacria excavata	Tigeria spp.	Stephanopyxis spp.	Stellarima microtrias	Rhizosolenia hebetata	Nitzschia maleinterpretaria	Liradiscus sp.	Grammatophora spp.	Eucampia antarctica	Dactyliosolen antarcticus	Cocconeis spp.	Chaetoceros spp.	Cavitatus miocenicus	Trichotoxon reinboldii	Paralia sulcata	Nitzschia pusilla	Isthmia spp.	Eucampia antactica var. twista	Diploneis spp.	Entopyla spp.	Coscinodiscus marginatus	Actinoptychus senarius	Arachnoidiscus spp.	Thalassionema nitzschioides	Stellarima stellaris	Asteromphalus symmetricus	Thalassiosira praeconvexa	Rouxia spp.	Actinocyclus ingens	Rhizosolenia styliformis	Denticulopsis maccollumii	Pyxilla reticulata	Nitzschia sp. 17	Lisitzinia ornata	Crucidenticula kanayae	Neobrunia mirabilis	Nitzschia denticuloides var. M	Cavitatus jouseanus	Nitzschia grossepunctata	Azpeitia tabularis	Rhabdonema spp.	Nitzschia denticuloides	Proboscia barboi	Denticulopsis simonsenii	Denticulopsis simonsenii var. A	Tigeria sp B	Rhizosolenia hebetata f. hiemalis	Actinocyclus aff. ingens	Nitzschia efferans	Nitzschia donahuensis	Actinocyclus actinochilus	Denticulopsis praedimorpha	Denticulopsis hustedtii	Denticulopsis delicata	Denticulopsis dimorpha	Actinocyclus karstenii	Denticulopsis meridionalis	Corethron criophilum	Hemidiscus ovalis	Asteromphalus kennettii	Rouxia antarctica	Rhizosolenia oligocaenica	Hemidiscus karstenii	Hemidiscus cuneiformis	Fragilariopsis aurica	Thalassiosira torokina	Thalassiosira oliverana	Thalassiosira oestrupii	Thalassiosira mahoodii	Fragilariopsis praecurta	Rouxia isopolica	Thalassiothrix spp.	Thalassiosira maculeata	Thalassiosira insigna	Rouxia leventerae	Hemidiscus triangularus	Fragilariopsis sublinearis	Tigeria sp A	Thalassiosira complicata	Fragilariopsis praeinterfrigidaria	Thalassiosira inura	Rouxia naviculoides	Rouxia heteropolara	Thalassiosira tumida	Thalassiosira lentiginosa	Rhizosolenia costata	Nitzschia reinholdii	Fragilariopsis ritscheri	Fragilariopsis lacrima	Rouxia diploneides	Fragilariopsis obliquecostata	Fragilariopsis interfrigidaria	Fragilariopsis barronii	Thalassiosira vulnifica	Thalassiosira insigna/inura trans	Rhizosolenia sp. D	Fragilariopsis weaveri	Fragilariopsis kerguelensis	Thalassiosira tetraoestrupii var. reimeri	Thalassiosira elliptipora	Comment

  IR	                 	                 	                  	              	188	1165	B	  5	H	CC	  21.00	     44.0800	paleo    	Diatoms                                      	A              	MG                	                       	                      	                    	R                 	                  	            	                  	                     	R                    	                           	              	                  	F                  	F                        	              	F               	                    	F                     	               	                 	            	                              	              	             	                        	                      	                   	F                          	                    	                         	                         	F          	                   	F                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	R               	R                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	+                     	                      	R                     	                          	R                   	                 	                       	R                	                         	                    	                      	R                    	F                     	F                      	F                      	                      	F                       	                	                   	                       	                     	                 	                       	R                         	            	R                       	R                                 	F                  	                   	                   	R                   	+                        	R                   	R                   	R                       	R                     	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	T.inura Zone (4.9-4.6 Ma)

  IR	                 	                 	                  	              	188	1165	B	  6	H	CC	  16.00	     54.3900	paleo    	Diatoms                                      	A              	P                 	                       	                      	R                   	                  	                  	            	                  	                     	                     	                           	              	                  	F                  	R                        	              	F               	                    	F                     	               	                 	            	                              	              	             	R                       	                      	                   	R                          	                    	                         	                         	           	R                  	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	F                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	R                     	                      	                      	                          	                    	                 	                       	R                	R                        	                    	                      	R                    	                      	R                      	R                      	                      	R                       	                	                   	                       	                     	                 	                       	F                         	R           	R                       	R                                 	+                  	R                  	F                  	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	T. oestrupii to N. reinholdii Zones (6.4-4.9 Ma)

  IR	                 	                 	                  	              	188	1165	B	  8	H	CC	  21.00	     73.6100	paleo    	Diatoms                                      	F              	P                 	                       	                      	                    	R                 	R                 	            	                  	                     	R                    	                           	              	                  	R                  	F                        	              	R               	                    	                      	               	                 	            	                              	R             	             	R                       	                      	                   	R                          	                    	                         	R                        	F          	                   	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	R                 	               	                       	R               	F                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	R                     	                      	                      	                          	                    	                 	                       	R                	                         	                    	                      	                     	R                     	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	R           	+                       	+                                 	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.reinholdii Zone (6.4-5.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	  9	H	CC	   0.00	     81.3900	paleo    	Diatoms                                      	F              	MP                	                       	                      	                    	                  	R                 	            	                  	+                    	F                    	                           	              	                  	R                  	F                        	              	R               	                    	F                     	               	R                	            	                              	              	             	+                       	                      	                   	R                          	                    	                         	                         	           	R                  	F                       	                         	                  	                	                 	                      	                   	                              	                   	                        	+                 	               	                       	                	R                       	                               	R           	                                 	                        	                  	                     	                         	+                         	                       	R                     	                      	R                     	                          	                    	R                	                       	                 	                         	                    	                      	                     	R                     	                       	+                      	                      	R                       	R               	F                  	                       	+                    	R                	R                      	+                         	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.reinholdii "a" Zone (6.4-5.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	 10	H	CC	  14.00	     92.5700	paleo    	Diatoms                                      	F              	MP                	                       	                      	                    	                  	R                 	            	                  	R                    	R                    	                           	              	                  	R                  	F                        	              	R               	                    	+                     	               	+                	            	                              	R             	             	                        	                      	                   	R                          	R                   	                         	                         	           	F                  	R                       	                         	                  	                	                 	                      	R                  	                              	                   	                        	R                 	               	                       	                	F                       	                               	R           	R                                	                        	                  	                     	                         	R                         	                       	F                     	R                     	+                     	                          	R                   	R                	                       	                 	                         	                    	                      	                     	R                     	R                      	+                      	                      	R                       	R               	+                  	R                      	+                    	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	H.ovalis thru T. torokina Zones (9.0-6.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 11	H	CC	  36.00	    100.3200	paleo    	Diatoms                                      	R              	P                 	                       	                      	R                   	R                 	R                 	            	                  	R                    	                     	                           	              	                  	R                  	R                        	              	R               	                    	F                     	               	                 	            	                              	R             	             	                        	                      	                   	R                          	R                   	                         	                         	           	                   	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	R                       	                               	            	                                 	                        	                  	                     	                         	R                         	                       	R                     	                      	                      	                          	                    	R                	                       	                 	                         	                    	                      	                     	+                     	                       	                       	R                     	                        	R               	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	H.ovalis thru T. torokina Zones (9.0-6.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 12	H	CC	   0.00	    101.8000	paleo    	Diatoms                                      	C              	M                 	                       	                      	                    	R                 	                  	R           	                  	R                    	R                    	                           	              	                  	F                  	                         	              	R               	                    	                      	               	                 	R           	                              	              	             	R                       	                      	                   	R                          	R                   	                         	                         	           	R                  	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	R                       	R                              	R           	R                                	                        	                  	                     	                         	                          	                       	F                     	                      	R                     	                          	                    	                 	                       	                 	                         	                    	                      	R                    	R                     	                       	                       	R                     	R                       	R               	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	H. ovalis thru T.torokina Zones (9.0-6.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 13	H	CC	  15.00	    116.0200	paleo    	Diatoms                                      	F              	M                 	                       	                      	                    	R                 	R                 	            	                  	R                    	R                    	                           	              	                  	R                  	R                        	R             	                	                    	                      	               	                 	            	                              	              	             	R                       	                      	                   	R                          	R                   	                         	                         	           	R                  	R                       	                         	                  	                	                 	R                     	                   	                              	                   	                        	R                 	               	                       	                	R                       	                               	R           	R                                	                        	                  	                     	                         	R                         	R                      	F                     	                      	R                     	                          	                    	                 	R                      	                 	                         	                    	                      	                     	+                     	R                      	+                      	R                     	R                       	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	A.kennettii Zone (10.3-9.0 Ma)

  IR	                 	                 	                  	              	188	1165	B	 14	H	CC	  34.00	    124.5100	paleo    	Diatoms                                      	A              	M                 	                       	                      	                    	                  	R                 	            	                  	R                    	R                    	                           	              	                  	R                  	                         	              	R               	                    	R                     	               	F                	            	                              	              	             	R                       	                      	                   	R                          	                    	                         	                         	           	R                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	C                       	                               	            	                                 	                        	                  	                     	                         	                          	F                      	R                     	                      	R                     	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 15	H	CC	  14.00	    128.5800	paleo    	Diatoms                                      	               	                  	                       	                      	                    	R                 	R                 	            	                  	                     	R                    	                           	              	                  	R                  	R                        	              	                	                    	R                     	R              	R                	            	                              	              	             	R                       	                      	                   	R                          	                    	                         	                         	           	R                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	R                       	                               	            	                                 	                        	                  	                     	                         	                          	                       	R                     	                      	R                     	                          	R                   	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 16	H	CC	   0.00	    135.0300	paleo    	Diatoms                                      	A              	MG                	                       	                      	                    	R                 	R                 	            	                  	R                    	F                    	                           	              	                  	R                  	C                        	              	R               	                    	R                     	               	                 	            	                              	              	             	R                       	                      	                   	R                          	                    	                         	                         	           	R                  	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	C                       	                               	            	F                                	                        	                  	R                    	                         	                          	R                      	R                     	                      	                      	                          	                    	+                	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	A.kennettii Zone (10.3-9.0 Ma)

  IR	                 	                 	                  	              	188	1165	B	 17	H	CC	   0.00	    147.5100	paleo    	Diatoms                                      	A              	MG                	                       	                      	                    	                  	R                 	            	                  	R                    	F                    	                           	              	                  	F                  	F                        	              	F               	                    	F                     	               	R                	            	                              	              	             	F                       	                      	                   	R                          	                    	                         	                         	           	F                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	F                       	                               	            	F                                	                        	                  	                     	                         	                          	                       	F                     	                      	R                     	                          	                    	+                	                       	                 	                         	                    	R                     	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	A.kennettii Zone (10.3-9.0 Ma)

  IR	                 	                 	                  	              	188	1165	B	 18	H	CC	   0.00	    147.8000	paleo    	Diatoms                                      	               	                  	                       	                      	                    	                  	                  	            	                  	                     	                     	                           	              	                  	                   	                         	              	+               	                    	+                     	               	                 	            	                              	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	+                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	                               	            	+                                	                        	                  	                     	                         	                          	                       	                      	                      	+                     	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 20	X	CC	  17.00	    164.9400	paleo    	Diatoms                                      	A              	MG                	                       	                      	                    	                  	                  	            	                  	                     	                     	                           	              	                  	                   	F                        	              	R               	                    	R                     	               	                 	            	                              	              	             	                        	                      	                   	R                          	                    	                         	                         	           	R                  	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	C                       	                               	            	R                                	                        	R                 	                     	                         	                          	                       	                      	                      	R                     	                          	                    	                 	                       	R                	R                        	R                   	R                     	R                    	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	A.kennettii Zone (10.3-9.0 Ma)

  IR	                 	                 	                  	              	188	1165	B	 21	X	CC	  22.00	    172.6700	paleo    	Diatoms                                      	F              	M                 	                       	                      	                    	                  	R                 	            	                  	R                    	                     	                           	              	                  	R                  	F                        	              	F               	                    	                      	               	                 	            	                              	              	             	                        	                      	                   	R                          	                    	                         	                         	           	F                  	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	C                       	                               	            	                                 	                        	                  	                     	                         	R                         	                       	F                     	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 22	X	CC	  13.00	    185.0800	paleo    	Diatoms                                      	               	                  	                       	                      	                    	                  	R                 	            	                  	F                    	F                    	                           	              	                  	                   	F                        	              	                	                    	F                     	               	R                	            	                              	              	             	F                       	                      	                   	                           	                    	                         	                         	           	C                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	R                       	                               	            	R                                	                        	                  	R                    	                         	                          	                       	F                     	                      	R                     	                          	                    	+                	R                      	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	A.kennettii Zone (10.3-9.0 Ma)

  IR	                 	                 	                  	              	188	1165	B	 23	X	CC	  15.00	    194.7000	paleo    	Diatoms                                      	C              	MG                	                       	                      	                    	R                 	                  	            	                  	R                    	R                    	                           	              	                  	F                  	F                        	              	                	                    	F                     	               	R                	            	                              	              	             	F                       	                      	                   	F                          	R                   	                         	                         	R          	C                  	R                       	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	F                       	                               	            	                                 	                        	                  	                     	                         	                          	R                      	R                     	F                     	F                     	C                         	R                   	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D.dimorpha Zone (11.7-10.7 Ma)

  IR	                 	                 	                  	              	188	1165	B	 24	X	CC	  40.00	    199.1500	paleo    	Diatoms                                      	F              	M                 	                       	                      	                    	                  	R                 	            	                  	R                    	F                    	                           	              	                  	R                  	F                        	              	F               	                    	F                     	               	                 	            	                              	              	             	F                       	                      	                   	                           	                    	                         	                         	           	F                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	F               	F                       	                               	            	F                                	                        	                  	                     	                         	C                         	                       	                      	                      	                      	F                         	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D.dimorpha Zone (11.7-10.7 Ma)

  IR	                 	                 	                  	              	188	1165	B	 26	X	CC	   0.00	    213.9000	paleo    	Diatoms                                      	C              	M                 	                       	                      	                    	                  	R                 	            	                  	R                    	F                    	                           	              	                  	R                  	F                        	              	F               	                    	                      	               	R                	            	                              	              	             	                        	                      	                   	F                          	                    	                         	                         	           	F                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	R                      	R               	                        	                               	            	                                 	                        	                  	                     	                         	                          	                       	F                     	F                     	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D.dimorpha Zone (11.7-10.7 Ma)

  IR	                 	                 	                  	              	188	1165	B	 27	X	CC	  14.00	    231.6900	paleo    	Diatoms                                      	C              	MG                	                       	                      	                    	                  	R                 	            	                  	R                    	                     	                           	              	                  	R                  	F                        	              	R               	                    	                      	               	                 	            	                              	              	             	                        	                      	                   	R                          	                    	                         	                         	           	R                  	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	F                       	                               	            	R                                	                        	R                 	                     	                         	R                         	                       	R                     	R                     	R                     	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D. dimorpha Zone (11.7-10.7 Ma)

  IR	                 	                 	                  	              	188	1165	B	 28	X	CC	  10.00	    242.6800	paleo    	Diatoms                                      	R              	P                 	                       	                      	R                   	                  	                  	            	                  	                     	                     	                           	              	                  	R                  	                         	              	R               	                    	                      	               	                 	            	                              	              	             	                        	                      	                   	R                          	                    	                         	                         	           	R                  	R                       	                         	                  	                	                 	                      	                   	                              	R                  	                        	                  	               	                       	                	R                       	                               	            	                                 	                        	                  	                     	                         	R                         	R                      	R                     	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	D. praedimorpha (12.8-12.2 Ma)

  IR	                 	                 	                  	              	188	1165	B	 30	X	CC	  10.00	    253.7100	paleo    	Diatoms                                      	C              	MG                	                       	                      	                    	                  	                  	            	                  	                     	F                    	                           	              	                  	R                  	F                        	              	F               	                    	                      	               	                 	            	                              	              	             	                        	                      	                   	F                          	                    	                         	                         	R          	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	R               	F                       	C                              	            	                                 	R                       	R                 	R                    	                         	+                         	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N. denticuloides Zone (13.5-12.8 Ma)

  IR	                 	                 	                  	              	188	1165	B	 31	X	CC	   9.00	    253.8900	paleo    	Diatoms                                      	               	                  	                       	                      	                    	+                 	                  	            	                  	                     	                     	                           	              	                  	                   	                         	              	+               	                    	                      	               	                 	            	+                             	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	                        	                  	               	                       	                	                        	+                              	            	+                                	                        	                  	                     	                         	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	       

  IR	                 	                 	                  	              	188	1165	B	 33	X	CC	  25.00	    281.3300	paleo    	Diatoms                                      	               	                  	                       	                      	                    	R                 	                  	            	                  	                     	                     	                           	              	                  	                   	F                        	              	F               	                    	                      	               	                 	            	F                             	              	             	                        	                      	                   	                           	                    	                         	                         	           	                   	                        	                         	                  	                	                 	                      	                   	                              	                   	R                       	                  	               	F                      	                	F                       	F                              	            	F                                	F                       	                  	R                    	F                        	                          	                       	                      	                      	                      	                          	                    	                 	                       	                 	                         	                    	                      	                     	                      	                       	                       	                      	                        	                	                   	                       	                     	                 	                       	                          	            	                        	                                  	                   	                   	                   	                    	                         	                    	                    	                        	                      	                  	                             	                              	                       	                       	                                 	                  	                      	                           	                                         	                         	N.denticuloides Zone (13.5-12.8 Ma)

