Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	pleurostomellid taxa	lagenid taxa	Tritaxa spp.	Spiroplectammina spp.	Sitella cushmani	Pullenia spp.	Other trochospiral taxa	Osangularia velascoensis	Oridorsalis spp.	Nuttallides truempyi	Gyroidinoides globosa	Gyroidinoides depressus	Gavelinella beccariiformis	Coryphostoma midwayensis	Bulimina velascoensis	Bulimina trinitatensis	Bulimina sp. (triangular)	Bolivinoides delicatulus	Anomalinoides praespissiformis	other agglutinated taxa	Pyramidina? sp. (without ap. spine)	Pyramidina rudita	Bulimina sp. (apical spine)	Aragonia velascoensis	Spiroplectammina cf. jarvisi	Pullenia coryelli	Paralabamina hillebrandti	Other bulimid taxa	Nonion spp.	Gyroidinoides tellburmaensis	Gyroidinoides spp.	Globorotalites sp. A	Charltonia? sp. (porate)	Bulimina spinea	Bulimina sp. 185 (apical spine)	Anomalinoides praeacutus	Nodogenerina spp.	Globorotalites sp. C	Cibicidoides dayi	Allomorphina halli	Spiroplectammina spectabilis	Reussella szajnochae	Nonionella spp.	Cibicidoides hyphalus	Aragonia ouezzanensis	Hyperammina/Bathysiphon frag.	Aragonia semireticulata	Osangularia mexicana	Bulimina thanetensis	Anomalinoides spissiformis	Quadrimorphina profunda	Karreriella chapapotensis	Globocassidulina subglobosa	Bulimina semicostata	Bulimina macilenta	Allomorphina trochoides	Spiroplectammina excolata	Buliminella grata	Bulimina cf. semicostata	Turrilina robertsi	Cibicidoides tuxpamensis	Gyroidinoides girardanus	Gavelinella capitata	Nodosaria spp.	Comment

  IR	                 	Middle Eocene    	                  	              	171	1050	A	 13	X	CC	  17.00	    122.4700	Widmark  	Benthic Foraminifers                         	R              	M                 	                    	9           	            	                     	                	             	1                      	                        	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	1                          	                    	1                 	                       	                         	                 	                        	1                 	1                       	                        	                    	              	       

  IR	                 	Early Eocene     	                  	              	171	1050	A	 16	X	CC	  30.00	    153.3700	Widmark  	Benthic Foraminifers                         	F              	P                 	                    	5           	1           	                     	                	             	                       	                        	1               	8                   	                     	                       	                          	                        	                     	1                     	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	1              	                     	                     	                             	                       	4                   	                    	4                         	                       	                         	1                          	1                   	                  	                       	1                        	2                	4                       	                  	                        	                        	                    	              	       

  IR	                 	Early Eocene     	                  	              	171	1050	A	 20	X	CC	  32.00	    191.8200	Widmark  	Benthic Foraminifers                         	F              	P                 	                    	6           	            	                     	                	             	                       	                        	7               	                    	                     	1                      	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	r3                	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	3              	                     	                     	                             	                       	                    	                    	2                         	1                      	1                        	5                          	3                   	1                 	1                      	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Early Eocene     	                  	              	171	1050	A	 23	X	CC	  42.00	    218.6900	Widmark  	Benthic Foraminifers                         	R              	P                 	                    	1           	1           	                     	                	             	                       	                        	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	1                 	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	28                           	1                      	1                   	                    	1                         	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Early Eocene     	                  	              	171	1050	A	 24	X	 4	 139.00	    224.2900	Widmark  	Benthic Foraminifers                         	R              	P                 	                    	1           	            	                     	                	             	                       	                        	                	2                   	                     	1                      	                          	                        	                     	1                     	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	1                	                    	                 	                  	                            	                    	               	                     	                     	                             	2                      	1                   	3                   	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	Additional investigator Dotty Pak

  IR	                 	Early Eocene     	                  	              	171	1050	A	 24	X	 6	 147.00	    227.3700	Widmark  	Benthic Foraminifers                         	R              	P                 	                    	2           	            	                     	                	             	1                      	                        	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	2                 	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	2                      	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	FO A. semireticulata

  IR	                 	Early Eocene     	                  	              	171	1050	A	 24	X	CC	  37.00	    228.2200	Widmark  	Benthic Foraminifers                         	T              	P                 	                    	            	            	                     	                	             	                       	                        	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	1          	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	4                            	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Early Eocene     	                  	              	171	1050	A	 25	X	CC	  12.00	    228.1200	Widmark  	Benthic Foraminifers                         	T              	P                 	                    	            	            	                     	                	             	                       	                        	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	1                 	1          	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Late Paleocene   	                  	              	171	1050	A	 25	X	CC	  28.00	    228.2800	Widmark  	Benthic Foraminifers                         	T              	P                 	                    	            	            	                     	                	             	                       	1                       	                	                    	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	1                    	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Early Eocene     	                  	              	171	1050	A	 26	X	 1	   8.00	    237.7800	Widmark  	Benthic Foraminifers                         	R              	M                 	1                   	2           	            	                     	                	             	                       	                        	2               	5                   	                     	                       	                          	                        	                     	                      	                         	                        	                              	                       	                                   	                 	                           	1                    	                            	                 	                         	                  	           	1                           	                  	                    	                        	               	1                              	                        	                 	                    	                 	                  	                            	                    	               	                     	2                    	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Late Paleocene   	                  	              	171	1050	A	 26	X	 2	  12.00	    239.3200	Widmark  	Benthic Foraminifers                         	F              	M                 	1                   	8           	5           	                     	                	             	                       	3                       	1               	                    	                     	                       	2                         	                        	1                    	2                     	                         	                        	                              	                       	                                   	                 	                           	                     	1                           	                 	                         	                  	           	                            	1                 	                    	                        	               	                               	                        	1                	1                   	                 	                  	                            	r1                  	1              	1                    	                     	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	LAD G. beccariiformis

  IR	                 	Late Paleocene   	                  	              	171	1050	A	 26	X	 3	  14.00	    240.8400	Widmark  	Benthic Foraminifers                         	F              	M                 	1                   	3           	            	                     	                	             	1                      	1                       	                	                    	1                    	                       	1                         	1                       	3                    	1                     	1                        	                        	1                             	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	1                           	                  	1                   	                        	               	                               	                        	                 	                    	                 	                  	1                           	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	Additional investigator Mimmi Katz

  IR	                 	Late Paleocene   	                  	              	171	1050	A	 26	X	CC	  22.00	    242.0100	Widmark  	Benthic Foraminifers                         	C              	M                 	1                   	5           	            	                     	                	1            	1                      	4                       	2               	15                  	                     	1                      	2                         	                        	1                    	                      	                         	                        	                              	3                      	                                   	                 	                           	1                    	                            	                 	                         	2                 	4          	1                           	                  	                    	                        	               	                               	                        	2                	1                   	1                	2                 	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Late Paleocene   	                  	              	171	1050	A	 29	X	CC	  38.00	    266.8200	Widmark  	Benthic Foraminifers                         	C              	G                 	                    	8           	5           	1                    	                	4            	3                      	                        	3               	1                   	                     	                       	5                         	2                       	9                    	1                     	                         	                        	4                             	2                      	                                   	                 	                           	1                    	2                           	1                	1                        	1                 	1          	2                           	1                 	1                   	19                      	1              	2                              	1                       	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Late Paleocene   	                  	              	171	1050	A	 32	X	CC	  27.00	    291.7300	Widmark  	Benthic Foraminifers                         	F              	P                 	                    	15          	1           	                     	                	1            	                       	3                       	3               	                    	                     	1                      	2                         	3                       	                     	2                     	                         	                        	                              	3                      	3                                  	1                	1                          	1                    	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

  IR	                 	Late Paleocene   	                  	              	171	1050	A	 35	X	CC	  26.00	    314.6100	Widmark  	Benthic Foraminifers                         	F              	P                 	1                   	7           	2           	1                    	1               	2            	2                      	2                       	1               	2                   	5                    	1                      	1                         	1                       	7                    	3                     	3                        	5                       	3                             	                       	                                   	                 	                           	                     	                            	                 	                         	                  	           	                            	                  	                    	                        	               	                               	                        	                 	                    	                 	                  	                            	                    	               	                     	                     	                             	                       	                    	                    	                          	                       	                         	                           	                    	                  	                       	                         	                 	                        	                  	                        	                        	                    	              	       

