Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides variabilis,Globorotaloides suteri,Globorotalia peripheroronda,Globorotalia mayeri,Globoquadrina venezuelana,Globoquadrina dehiscens,Globigerinoides quadrilobatus s.l.,Globigerinoides diminutus,Globigerinoides altiaperturus,Globigerinoides ruber s.l.,Dentoglobigerina altispira altispira,Sphaeroidinellopsis disjuncta,Praeorbulina sicana,Globoquadrina baroemoenensis,Globorotalia praescitula,Globorotalia archeomenardii,Praeorbulina glomerosa curva,Globigerinatella insueta,Globorotaloides hexagona,Praeorbulina glomerosa glomerosa,Globigerinoides obliquus s.l.,Globoquadrina praedehiscens,Clavatorella bermudezi,Praeorbulina glomerosa circularis,Sphaeroidinellopsis seminulina,Globigerinella siphonifera,Globorotalia praemenardii,Orbulina suturalis,Globorotalia peripheroacuta,Globorotalia praefohsi,Dentoglobigerina altispira globosa,Sphaeroidinellopsis kochi,Orbulina universa,Globorotalia fohsi fohsi,Globorotalia fohsi lobata,Globorotalia fohsi robusta,Globorotalia scitula,Globorotalia menardii,Globorotalia limbata,Globoturborotalita nepenthes,Neogloboquadrina acostaensis,Globigerinoides conglobatus,Candeina nitida,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N15               ,N17           ,138, 844,B,  6,H, 6,  80.00,     50.8000,Vincent  ,Planktonic Foraminifers                      ,F              ,M                 ,                          ,                      ,                           ,T                  ,T                        ,T                      ,+                                 ,                         ,                             ,                          ,T                                   ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,+                            ,                           ,                      ,                                 ,T                             ,T                         ,                         ,                  ,                           ,                      ,+                                 ,T                        ,+                ,                        ,                         ,                          ,                    ,                     ,T                   ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N14               ,              ,138, 844,B,  8,H, 3,  84.00,     65.3400,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                          ,                      ,                           ,                   ,T                        ,                       ,                                  ,                         ,                             ,                          ,                                    ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,T                             ,                          ,                         ,                  ,                           ,                      ,                                  ,                         ,T                ,                        ,                         ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N14               ,              ,138, 844,B,  8,H, 4,  80.00,     66.8100,Vincent  ,Planktonic Foraminifers                      ,F              ,P                 ,                          ,                      ,                           ,+                  ,+                        ,                       ,+                                 ,                         ,                             ,                          ,T                                   ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,+                            ,                           ,                      ,                                 ,+                             ,                          ,                         ,+                 ,                           ,                      ,                                  ,T                        ,+                ,                        ,                         ,                          ,                    ,+                    ,+                   ,T                           ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N14               ,              ,138, 844,B,  8,H, 5,  80.00,     68.3200,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                          ,                      ,                           ,+                  ,T                        ,                       ,+                                 ,                         ,                             ,                          ,                                    ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,T                            ,                           ,                      ,                                 ,T                             ,                          ,                         ,                  ,                           ,                      ,                                  ,                         ,T                ,                        ,                         ,                          ,                    ,                     ,T                   ,T                           ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,138, 844,B,  8,H, 6,  80.00,     69.8200,Vincent  ,Planktonic Foraminifers                      ,F              ,P/M               ,                          ,                      ,                           ,+                  ,+                        ,                       ,+                                 ,                         ,                             ,                          ,T                                   ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,                         ,                  ,                           ,                      ,                                  ,T                        ,+                ,                        ,                         ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,138, 844,B,  9,H, 2,  81.00,     73.3100,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                          ,                      ,                           ,                   ,                         ,                       ,                                  ,                         ,                             ,                          ,                                    ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,                              ,                          ,                         ,                  ,                           ,                      ,                                  ,                         ,T                ,                        ,                         ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,138, 844,B,  9,H, 4,  81.00,     76.3100,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                          ,                      ,                           ,+                  ,+                        ,                       ,T                                 ,                         ,                             ,                          ,                                    ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,                              ,                          ,                         ,T                 ,                           ,                      ,                                  ,                         ,T                ,                        ,                         ,                          ,                    ,T                    ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,138, 844,B,  9,H, 5,  81.00,     77.8100,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                          ,                      ,                           ,+                  ,+                        ,                       ,+                                 ,                         ,                             ,                          ,                                    ,                             ,                   ,                            ,                        ,                           ,                            ,                        ,                        ,                                ,T                            ,                           ,                      ,                                 ,T                             ,                          ,T                        ,+                 ,                           ,                      ,                                  ,                         ,+                ,                        ,                         ,                          ,T                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,138, 844,B,  9,H, 6,  81.00,     79.3100,Vincent  ,Planktonic Foraminifers                      ,R              ,P                 ,                          ,                      ,                           ,+                  ,+                        ,                       ,+                                 ,                         ,                             ,                          ,                                    ,                             ,                   ,T                           ,                        ,                           ,                            ,                        ,T                       ,                                ,T                            ,                           ,                      ,                                 ,T                             ,                          ,                         ,                  ,                           ,                      ,T                                 ,T                        ,+                ,                        ,                         ,                          ,T                   ,T                    ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,138, 844,B,  9,H,CC,  26.00,     81.0600,Vincent  ,Planktonic Foraminifers                      ,C              ,P/M               ,+                         ,                      ,                           ,+                  ,+                        ,                       ,+                                 ,                         ,                             ,                          ,T                                   ,                             ,                   ,T                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,                         ,                  ,                           ,                      ,T                                 ,+                        ,+                ,                        ,                         ,                          ,+                   ,+                    ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N13               ,              ,138, 844,B, 10,H, 1,  79.00,     81.2900,Vincent  ,Planktonic Foraminifers                      ,F              ,P/M               ,                          ,                      ,                           ,+                  ,+                        ,                       ,+                                 ,                         ,                             ,                          ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,T                       ,                                ,                             ,                           ,T                     ,                                 ,+                             ,                          ,+                        ,+                 ,                           ,                      ,T                                 ,+                        ,+                ,                        ,                         ,                          ,+                   ,T                    ,T                   ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 10,H, 2,  79.00,     82.7900,Vincent  ,Planktonic Foraminifers                      ,F              ,P/M               ,                          ,T                     ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,T                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,+                        ,+                 ,                           ,                      ,T                                 ,+                        ,T                ,                        ,T                        ,T                         ,T                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 10,H, 4,  79.00,     85.7900,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,+                     ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,T                            ,                           ,                      ,                                 ,+                             ,                          ,T                        ,+                 ,                           ,                      ,T                                 ,+                        ,+                ,                        ,                         ,                          ,+                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 10,H, 5,  79.00,     87.2900,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,T                        ,+                 ,                           ,                      ,                                  ,                         ,+                ,T                       ,T                        ,                          ,+                   ,+                    ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 10,H, 6,  79.00,     88.7900,Vincent  ,Planktonic Foraminifers                      ,A              ,M                 ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,T                       ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,+                        ,+                 ,                           ,                      ,+                                 ,+                        ,+                ,T                       ,T                        ,T                         ,+                   ,+                    ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 10,H,CC,  20.00,     90.2400,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,+                        ,                  ,                           ,                      ,+                                 ,+                        ,+                ,+                       ,T                        ,                          ,T                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 11,H, 1,  80.00,     90.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,T                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,+                        ,+                 ,                           ,                      ,+                                 ,+                        ,+                ,                        ,                         ,                          ,+                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 11,H, 2,  80.00,     92.3000,Vincent  ,Planktonic Foraminifers                      ,A              ,G                 ,                          ,+                     ,                           ,+                  ,+                        ,T                      ,+                                 ,                         ,                             ,T                         ,+                                   ,                             ,                   ,T                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,                         ,+                 ,                           ,                      ,+                                 ,+                        ,+                ,                        ,T                        ,                          ,T                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 11,H, 3,  80.00,     93.8000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,+                         ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,T                            ,                           ,                      ,                                 ,+                             ,                          ,+                        ,+                 ,                           ,                      ,                                  ,+                        ,+                ,                        ,                         ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 11,H, 5,  85.00,     96.8500,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,T                         ,+                        ,+                 ,                           ,                      ,                                  ,                         ,+                ,T                       ,T                        ,                          ,+                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 11,H, 6,  80.00,     98.3000,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,+                     ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,T                         ,T                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,T                            ,                           ,                      ,                                 ,+                             ,                          ,T                        ,+                 ,                           ,                      ,T                                 ,+                        ,+                ,                        ,                         ,T                         ,+                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 11,H, 7,  54.00,     99.5400,Vincent  ,Planktonic Foraminifers                      ,A              ,M/G               ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,T                         ,+                        ,+                 ,                           ,                      ,T                                 ,T                        ,+                ,+                       ,+                        ,                          ,+                   ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 11,H,CC,  18.00,     99.9500,Vincent  ,Planktonic Foraminifers                      ,A              ,G                 ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,+                             ,                          ,+                        ,                  ,                           ,                      ,                                  ,                         ,+                ,+                       ,+                        ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 12,H, 5,  80.00,    106.3000,Vincent  ,Planktonic Foraminifers                      ,               ,                  ,                          ,+                     ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,                              ,+                         ,+                        ,+                 ,                           ,                      ,+                                 ,                         ,+                ,+                       ,+                        ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 13,H, 4,  78.00,    114.2800,Vincent  ,Planktonic Foraminifers                      ,C              ,M                 ,                          ,+                     ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,T                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,                             ,                           ,                      ,                                 ,                              ,+                         ,+                        ,+                 ,                           ,+                     ,T                                 ,                         ,+                ,+                       ,+                        ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 13,H,CC,  26.00,    118.9500,Vincent  ,Planktonic Foraminifers                      ,A              ,M                 ,                          ,                      ,                           ,+                  ,+                        ,                       ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,+                            ,                           ,                      ,                                 ,+                             ,                          ,+                        ,+                 ,                           ,+                     ,                                  ,                         ,+                ,+                       ,+                        ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 14,H, 2,  80.00,    120.8000,Vincent  ,Planktonic Foraminifers                      ,               ,                  ,                          ,+                     ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,+                            ,                           ,                      ,                                 ,                              ,+                         ,+                        ,+                 ,T                          ,                      ,+                                 ,                         ,+                ,+                       ,+                        ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 14,H,CC,  18.00,    128.2300,Vincent  ,Planktonic Foraminifers                      ,A              ,P/M               ,                          ,                      ,                           ,+                  ,+                        ,T                      ,+                                 ,                         ,                             ,+                         ,+                                   ,                             ,                   ,T                           ,                        ,                           ,                            ,                        ,                        ,                                ,+                            ,                           ,                      ,                                 ,+                             ,                          ,+                        ,+                 ,                           ,+                     ,                                  ,T                        ,+                ,+                       ,+                        ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 15,H, 5,  78.00,    134.7800,Vincent  ,Planktonic Foraminifers                      ,A              ,M                 ,                          ,                      ,                           ,                   ,+                        ,                       ,+                                 ,                         ,                             ,+                         ,+                                   ,+                            ,                   ,+                           ,                        ,                           ,                            ,                        ,+                       ,                                ,+                            ,                           ,                      ,                                 ,                              ,                          ,+                        ,+                 ,                           ,                      ,                                  ,                         ,                 ,+                       ,+                        ,T                         ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N12               ,              ,138, 844,B, 15,H,CC,  24.00,    137.7900,Vincent  ,Planktonic Foraminifers                      ,A              ,M                 ,                          ,                      ,                           ,+                  ,+                        ,+                      ,+                                 ,                         ,                             ,T                         ,+                                   ,                             ,                   ,+                           ,                        ,                           ,                            ,                        ,                        ,                                ,T                            ,                           ,                      ,                                 ,                              ,                          ,+                        ,+                 ,                           ,                      ,+                                 ,                         ,+                ,+                       ,+                        ,                          ,                    ,                     ,                    ,                            ,                            ,                           ,               ,                   ,from ODP Leg 138 Chapter 46 Table 2 pp 896-897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
