Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Victoriellidae (unspecified taxon or taxa),Rotaliid taxa,Orbitolites sp.,Orbitolites cf. douvellei,Miliolid taxa,Foraminifers (small),Alveolina sp.,Alveolina fornasinii,Alveolina aragonensis group,Rotalia sp.,Nummulites sp.,Nummulites burdigalensis group,Alveolina dainellii/palermitana,Alveolina cf. dainellii,Alveolina aff. palermitana,Discocyclina sp.,Somalina sp.,Operculina sp.,Nummulites burdigalensis cantabricus/campesinus,Alveolina canavarii group,Asterocyclina sp.,Linderina? sp.,Nummulites partchi group,Gypsina sp.,Discocyclina sella,Discocyclina douvillei,Assilina sp.,Nummulites pratti,Nummulites cf. caupennensis,Uvigerina pigmea (spinose),Stilostomella lepidula,Osangularia bengalensis,Orthomorphina perversa,Oridorsalis umbonatus,Melonis pacificus,Gyroidinoides altispirus,Globocassidulina subglobosa (small form),Globocassidulina subglobosa (medium size),Globocassidulina subglobosa (large form),Cibicidoides kullenbergi,Cassidulina crassa,Bulimina semicostata,Bolivinopsis gryzbowski,Bolivinita quadrilatera,Bolivinid (crenulate),Bolivina striatocola,Bolivina pulchra,Pullenia bulloides,Planulina renzi,Lenticulina vortex,Cibicidoides havanensis,Bulimina striata,Bulimina macilenta,Anomalinoides semicribratus,Stilostomella subspinosa,Pleurostomella subcylindrica,Martinottiella variabilis,Karreriella bradyi,Eggerella propinqua,Chrysalogonium equisetiformis,Bulimina alazanensis,Siphonodosaria modesta,Rectuvigerina spinea,Bolivina pseudoplicata,Uvigerina auberiana,Melonis affinis,Loxostomum sp.,Hanzawaia cushmani,Bolivina subreticulata,Bolivina peregrina,Bolivina arta,Sphaeroidina bulloides,Bolivina sp.,Pullenia sp.,Cassidulina laevigata,Nuttallides umbonifera,Cibicidoides cf. C. perlucidus,Lenticulina cf. L. calcar,Heterolepa dohmi,Pullenia quadriloba,Eggerella bradyi,Cibicidoides bradyi,Bulimina tuxpamensis,Bolivina tongi,Planulina cf. C. wuellerstorfi,Gyroidinoides planulatus,Stilostomella insecta,Trifarina pigmea,Planulina marialanna,Karreriella subrotundata,Gyroidinoides soldanii,Cibicidoides haitensis,Gaudryina sp.,Cassidulinoides bradyi,Bolivina tortuosa,Laticarinina pauperata,Heterolepa rugosa,Bulava sp.,Siphonina tenuicarinata,Ehrenbergina hystrix,Cibicides wuellerstorfi,Pullenia quinqueloba,Bolivina sp. (inflated),Bolivina cf. B. pulchra,Martinottiella petrosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,115, 715,A,  6,R, 6, 120.00,     55.5000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,T                     ,+                      ,                      ,R                    ,                 ,                        ,F                                       ,T                                        ,                                        ,                        ,                  ,+                   ,                       ,F                      ,R                    ,                    ,F               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,+                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,+                     ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,T                      ,T                      ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  7,R, 1, 120.00,     57.7000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,                      ,R                    ,+                ,                        ,F                                       ,                                         ,                                        ,                        ,                  ,+                   ,                       ,F/C                    ,R                    ,T                   ,F/C             ,                  ,+              ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,+                     ,                  ,             ,                      ,            ,            ,+                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,T                       ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,+         ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  7,R, 2, 120.00,     59.2000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,T                     ,                       ,                      ,+                    ,                 ,                        ,+                                       ,+                                        ,+                                       ,                        ,                  ,T                   ,                       ,R                      ,F                    ,T                   ,F               ,T                 ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,+                  ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,F         ,                       ,                    ,                       ,+                   ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  7,R, 3, 120.00,     60.7000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,+                      ,                      ,                     ,                 ,                        ,R                                       ,                                         ,                                        ,T                       ,                  ,                    ,                       ,+                      ,+                    ,+                   ,                ,+                 ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,R                   ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,+                 ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,+                ,                      ,                 ,          ,                       ,                    ,+                      ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  7,R, 4, 120.00,     62.2000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,                      ,                     ,                 ,T                       ,F                                       ,+                                        ,                                        ,                        ,                  ,                    ,                       ,F                      ,                     ,                    ,                ,+                 ,T              ,                  ,                       ,                ,                  ,+                          ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,+                     ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,+           ,            ,                     ,                      ,                              ,                         ,                ,                   ,+               ,                   ,                    ,              ,                              ,+                       ,                     ,                ,                    ,                        ,+                     ,                      ,             ,                      ,                 ,                      ,                 ,+         ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  7,R, 5, 120.00,     63.7000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,+                         ,T                     ,                       ,                      ,R                    ,                 ,                        ,+                                       ,+                                        ,                                        ,T                       ,                  ,                    ,                       ,F                      ,R                    ,                    ,F               ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,+                   ,                      ,                    ,                      ,+                  ,               ,              ,                  ,                      ,                  ,             ,                      ,T           ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,+                       ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,+         ,+                      ,+                   ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  7,R, 6, 120.00,     65.2000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,                      ,+                    ,                 ,                        ,+                                       ,                                         ,+                                       ,+                       ,                  ,                    ,                       ,F/C                    ,F                    ,+                   ,F               ,                  ,               ,+                 ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,+                   ,+                     ,                   ,               ,              ,                  ,+                     ,+                 ,             ,+                     ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,+                     ,+                ,F/C       ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  8,R, 2, 120.00,     68.8000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,                      ,+                    ,                 ,                        ,+                                       ,+                                        ,                                        ,                        ,T                 ,                    ,                       ,F/C                    ,F/C                  ,+                   ,C               ,                  ,               ,                  ,                       ,                ,                  ,                           ,+                       ,                            ,                         ,                  ,                   ,                             ,                    ,+                     ,                    ,+                     ,                   ,               ,              ,                  ,                      ,F/C               ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,+                     ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  8,R, 3, 120.00,     70.3000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,                      ,                     ,                 ,                        ,+                                       ,                                         ,+                                       ,                        ,T                 ,                    ,+                      ,F/C                    ,F/C                  ,+                   ,F/C             ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,+                     ,                    ,+                     ,                   ,               ,              ,                  ,                      ,F                 ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,+            ,+                     ,+                ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  8,R, 5, 120.00,     73.3000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,+                     ,                       ,                      ,+                    ,                 ,                        ,                                        ,+                                        ,                                        ,                        ,                  ,                    ,+                      ,F                      ,F                    ,                    ,F               ,                  ,               ,                  ,                       ,                ,                  ,+                          ,+                       ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  8,R, 6, 120.00,     74.8000,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,R                     ,                       ,+                     ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,+                      ,T                      ,F/C                  ,+                   ,T               ,                  ,               ,                  ,                       ,                ,                  ,+                          ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,+                     ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,+                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,                  ,              ,115, 715,A,  9,R, 1, 120.00,     76.9000,Boersma  ,Benthic Foraminifers                         ,               ,G                 ,                                          ,             ,               ,                         ,             ,                    ,             ,                    ,                           ,           ,              ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,T                     ,                       ,+                     ,+                    ,                 ,                        ,T                                       ,                                         ,T                                       ,                        ,                  ,                    ,                       ,                       ,F                    ,R                   ,                ,+                 ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,T                  ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,+           ,+                    ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,+                             ,                        ,                     ,+               ,+                   ,+                       ,+                     ,+                     ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 20. Table 13. pages 346-348.
