Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina linaperta	Morozovella subbotinae	Morozovella marginodentata	Morozovella formosa	Acarinina soldadoensis	Acarinina quetra	Subbotina triloculinoides	Morozovella gracilis	Morozovella aequa	Acarinina nitida	Pseudohastigerina wilcoxensis	Chiloguembelina wilcoxensis	Acarinina broedermanni	Subbotina velascoensis	Morozovella lensiformis	Morozovella aragonensis	Acarinina pentacamerata	Morozovella caucasica	Subbotina hardingae	Acarinina subsphaerica	Acarinina pseudotopilensis	Acarinina coalingensis	Pseudohastigerina micra	Acarinina matthewsae	Acarinina cuneicamerata	Acarinina bullbrooki	Subbotina inaequispira	Morozovella spinulosa	Globigerinatheka subconglobata	Globigerinatheka senni	Acarinina spinuloinflata	Acarinina densa	Guembelitrioides higginsi	Turborotalia possagnoensis	Globigerinatheka mexicana	Globigerina senni	Subbotina hagni	Subbotina frontosa	Hantkenina mexicana	Truncorotaloides rohri	Subbotina eocaena	Subbotina cryptomphala	Acarinina topilensis	Hantkenina dumblei	Morozovella lehneri	Globigerintheca subcoinglobata	Globigerinatheka index	Acarinina primitiva	Comment
  IR	                 	Middle Eocene    	                  	P12           	171	1050	B	  5	H	CC	   8.00	     45.2800	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	F                   	F                     	                     	                              	                      	                        	               	R                        	                          	F                        	                 	F              	R                 	                   	F                     	F                	F                     	R                   	R                 	F                  	F                             	                      	                   	       

  IR	                 	Middle Eocene    	                  	P12           	171	1050	B	  6	H	CC	  27.00	     54.9900	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	F                   	F                     	                     	                              	                      	                        	               	R                        	                          	F                        	R                	F              	P                 	                   	R                     	F                	F                     	R                   	R                 	R                  	                              	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	  7	H	CC	  29.00	     64.0900	Bellier  	Planktonic Foraminifers                      	F              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	R                      	                       	                     	                   	                      	                          	                      	                       	                    	                       	                    	F                     	                     	                              	                      	                        	               	R                        	                          	F                        	R                	F              	P                 	                   	R                     	                 	F                     	R                   	R                 	                   	                              	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	  8	H	CC	  17.00	     73.8400	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	R                   	F                     	                     	                              	                      	                        	               	R                        	                          	F                        	R                	F              	P                 	R                  	R                     	F                	F                     	R                   	                  	                   	                              	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	  9	H	CC	  18.00	     83.3700	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	F                   	F                     	                     	                              	                      	                        	               	P                        	                          	F                        	P                	F              	                  	                   	R                     	F                	F                     	P                   	                  	                   	                              	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	 10	X	CC	  26.00	     92.0800	Bellier  	Planktonic Foraminifers                      	A              	G                 	F                  	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	R                      	                       	                     	                   	                      	                          	                      	                       	                    	                       	A                   	                      	                     	                              	                      	                        	               	                         	                          	F                        	R                	F              	                  	P                  	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	 11	X	CC	  17.00	     99.7900	Bellier  	Planktonic Foraminifers                      	A              	G                 	F                  	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	P                      	                       	                     	                   	                      	                          	                      	R                      	                    	                       	A                   	F                     	                     	                              	                      	                        	               	A                        	                          	F                        	R                	               	R                 	P                  	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	 12	X	CC	  25.00	    109.8500	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	R                      	                       	                     	                   	                      	                          	                      	P                      	                    	                       	A                   	A                     	R                    	                              	                      	                        	               	A                        	                          	F                        	                 	F              	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	No Hantkenina or G. index

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	 13	X	CC	  21.00	    118.4400	Bellier  	Planktonic Foraminifers                      	A              	G                 	A                  	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	F                         	                      	R                      	                    	R                      	A                   	F                     	                     	                              	                      	                        	               	F                        	F                         	F                        	F                	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	No Hantkenina or G. index

  IR	                 	Middle Eocene    	                  	P11           	171	1050	B	 14	X	CC	  31.00	    127.4100	Bellier  	Planktonic Foraminifers                      	A              	G                 	F                  	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	F                      	                       	                     	                   	                      	F                         	F                     	R                      	                    	                       	A                   	                      	R                    	                              	                      	F                       	               	F                        	R                         	R                        	F                	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	Early Eocene     	Middle Eocene    	P10               	P9            	171	1050	B	 15	X	CC	  29.00	    137.2700	Bellier  	Planktonic Foraminifers                      	A              	G                 	F                  	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	R                     	                      	                       	F                      	                       	                     	                   	R                     	R                         	R                     	R                      	                    	                       	A                   	R                     	R                    	R                             	                      	                        	               	F                        	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	T. possagnoensis and G. mexicana absent

  IR	Early Eocene     	Middle Eocene    	P10               	P9            	171	1050	B	 16	X	CC	  27.00	    145.1700	Bellier  	Planktonic Foraminifers                      	C              	G                 	F                  	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	F                     	                      	                       	F                      	                       	                     	                   	R                     	R                         	F                     	F                      	                    	R                      	A                   	F                     	R                    	                              	                      	R                       	R              	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	Early Eocene     	Middle Eocene    	P9                	P10           	171	1050	B	 17	X	CC	  38.00	    156.1700	Bellier  	Planktonic Foraminifers                      	C              	M                 	A                  	                      	                          	                   	                      	                	                         	                    	                 	                	                             	                           	                      	                      	                       	R                      	R                      	                     	                   	                      	                          	R                     	F                      	F                   	                       	F                   	R                     	R                    	R                             	R                     	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	spherule present

  IR	                 	Early Eocene     	                  	P9            	171	1050	B	 18	X	CC	  14.00	    158.8300	Bellier  	Planktonic Foraminifers                      	C              	M                 	A                  	                      	                          	                   	R                     	                	                         	                    	                 	                	                             	                           	F                     	                      	                       	A                      	F                      	R                    	                   	R                     	                          	                      	F                      	F                   	R                      	R                   	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	Below T M. spinulosa

  IR	                 	Early Eocene     	                  	P8            	171	1050	B	 19	X	CC	  14.00	    159.4400	Bellier  	Planktonic Foraminifers                      	C              	M                 	F                  	                      	                          	                   	F                     	                	                         	                    	                 	                	                             	                           	R                     	                      	F                      	A                      	F                      	F                    	R                  	R                     	R                         	F                     	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	P. micra absent	 M. lensiformis top=P8

  IR	                 	Early Eocene     	                  	P8            	171	1050	B	 20	X	CC	  32.00	    177.1600	Bellier  	Planktonic Foraminifers                      	C              	M                 	A                  	                      	                          	F                  	A                     	                	                         	                    	                 	                	                             	                           	R                     	R                     	F                      	R                      	F                      	R                    	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Early Eocene     	                  	P7            	171	1050	B	 21	X	CC	  37.00	    186.8800	Bellier  	Planktonic Foraminifers                      	C              	G                 	F                  	                      	                          	R                  	F                     	                	                         	                    	                 	                	                             	                           	                      	                      	                       	R                      	R                      	                     	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Early Eocene     	                  	P6b           	171	1050	B	 22	X	CC	  49.00	    195.9700	Bellier  	Planktonic Foraminifers                      	C              	M                 	F                  	F                     	F                         	                   	                      	R               	                         	F                   	                 	F               	                             	                           	                      	                      	R                      	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Early Eocene     	                  	P6b           	171	1050	B	 23	X	CC	  35.00	    206.0100	Bellier  	Planktonic Foraminifers                      	C              	M                 	A                  	F                     	F                         	                   	                      	R               	                         	F                   	                 	R               	                             	                           	                      	                      	R                      	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Early Eocene     	                  	P6a           	171	1050	B	 24	X	CC	  37.00	    215.6200	Bellier  	Planktonic Foraminifers                      	A              	G                 	A                  	R                     	R                         	                   	                      	R               	F                        	F                   	                 	                	R                            	                           	                      	R                     	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Early Eocene     	                  	P6a           	171	1050	B	 25	X	CC	  40.00	    225.3800	Bellier  	Planktonic Foraminifers                      	A              	G                 	                   	F                     	                          	                   	F                     	F               	F                        	F                   	R                	R               	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Early Eocene     	                  	P6a           	171	1050	B	 26	X	CC	  15.00	    225.2500	Bellier  	Planktonic Foraminifers                      	C              	G                 	F                  	F                     	R                         	R                  	                      	R               	F                        	R                   	                 	R               	R                            	F                          	R                     	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

  IR	                 	Early Eocene     	                  	P6b           	171	1050	B	 27	X	CC	  45.00	    231.6700	Bellier  	Planktonic Foraminifers                      	R              	M                 	F                  	F                     	R                         	F                  	F                     	R               	                         	                    	                 	                	                             	                           	                      	                      	                       	                       	                       	                     	                   	                      	                          	                      	                       	                    	                       	                    	                      	                     	                              	                      	                        	               	                         	                          	                         	                 	               	                  	                   	                      	                 	                      	                    	                  	                   	                              	                      	                   	       

