Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Helicosphaera kamptneri,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Crenalithus doronicoides,Coccolithus pelagicus,Ceratolithus acutus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Ceratolithus rugosus,Amaurolithus primus,Discoaster quinqueramus,Discoaster tamalis,Sphenolithus abies/neoabies,Discoaster asymmetricus,Pseudoemiliania lacunosa,Syracosphaera pulchra,Scyphosphaera pulcherrima,Rhabdosphaera clavigera,Discoaster triradiatus,Helicosphaera sellii,Discoaster bellus,Discoaster berggrenii,Discolithina japonica,Gephyrocapsa spp.,Syracosphaera histrica,Gephyrocapsa caribbeanica,Rhabdosphaera stylifera,Umbilicosphaera mirabilis,Pontosphaera syracusana,Gephyrocapsa oceanica,Ceratolithus telesmus,Cyclicargolithus floridanus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,              ,108, 666,A,  4,H, 2, 123.00,     29.7300,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,F                       ,R                    ,                   ,                      ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,F                       ,R                    ,                         ,R                      ,                      ,                    ,                 ,                     ,F                    ,A                ,                      ,C                        ,R                      ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,CN13b         ,108, 666,A,  4,H, 4,  71.00,     32.2100,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,C                       ,F                    ,                   ,                      ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,C                       ,                     ,R                        ,F                      ,                      ,R                   ,                 ,                     ,F                    ,A                ,F                     ,C                        ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,108, 666,A,  4,H, 5, 125.00,     34.2500,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,C                       ,F                    ,                   ,F                     ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,C                       ,R                    ,                         ,                       ,                      ,F                   ,                 ,                     ,R                    ,A                ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12d             ,CN13a         ,108, 666,A,  5,H,CC,  15.00,     45.8400,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,                   ,C                       ,F                    ,                   ,F                     ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,C                       ,F                    ,R                        ,F                      ,                      ,F                   ,                 ,                     ,R                    ,A                ,F                     ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 666,A,  6,H, 2, 110.00,     48.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                               ,C                      ,                     ,                   ,                        ,C                  ,A                       ,R                    ,                   ,F                     ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,C                       ,                     ,                         ,R                      ,C                     ,F                   ,                 ,                     ,                     ,A                ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 666,A,  6,H, 4, 110.00,     51.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,F                      ,                     ,                   ,                        ,F                  ,A                       ,F                    ,                   ,F                     ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,C                       ,F                    ,R                        ,                       ,C                     ,F                   ,                 ,                     ,R                    ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,108, 666,A,  6,H,CC,  11.00,     55.5500,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,rR                             ,F                      ,rR                   ,rR                 ,                        ,C                  ,A                       ,F                    ,                   ,C                     ,C                     ,                            ,                      ,R                   ,                   ,rR                     ,                  ,rR                         ,                       ,C                       ,                     ,                         ,F                      ,R                     ,F                   ,                 ,rR                   ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,CN12d         ,108, 666,A,  7,H,CC,  10.00,     64.4300,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,rR                             ,C                      ,                     ,rR                 ,                        ,C                  ,C                       ,R                    ,                   ,C                     ,C                     ,                            ,                      ,F                   ,                   ,rR                     ,rR                ,                           ,                       ,C                       ,R                    ,                         ,                       ,                      ,F                   ,rR               ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,              ,108, 666,A,  8,H, 3,  33.00,     68.3300,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,C                      ,                     ,                   ,R                       ,C                  ,C                       ,F                    ,                   ,C                     ,C                     ,                            ,                      ,                    ,                   ,                       ,                  ,                           ,                       ,C                       ,F                    ,                         ,F                      ,F                     ,F                   ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 666,A,  8,H, 4, 110.00,     70.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,C                      ,                     ,R                  ,F                       ,C                  ,C                       ,F                    ,                   ,F                     ,C                     ,                            ,                      ,F                   ,                   ,                       ,                  ,                           ,                       ,F                       ,F                    ,R                        ,F                      ,R                     ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 666,A,  9,H, 2, 110.00,     77.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,C                      ,                     ,F                  ,C                       ,C                  ,C                       ,F                    ,                   ,F                     ,C                     ,                            ,                      ,R                   ,                   ,                       ,R                 ,                           ,R                      ,F                       ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12c         ,108, 666,A,  9,H,CC,  15.00,     84.1000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,C                      ,                     ,F                  ,C                       ,C                  ,A                       ,F                    ,                   ,F                     ,C                     ,                            ,                      ,F                   ,                   ,                       ,R                 ,                           ,R                      ,R                       ,R                    ,                         ,F                      ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12b         ,108, 666,A, 10,H, 2, 140.00,     86.9000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,F                      ,                     ,F                  ,C                       ,C                  ,A                       ,F                    ,                   ,F                     ,R                     ,                            ,                      ,                    ,                   ,                       ,F                 ,                           ,R                      ,R                       ,F                    ,R                        ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 666,A, 10,H,CC,   6.00,     93.5600,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,F                      ,R                    ,F                  ,C                       ,C                  ,C                       ,F                    ,                   ,F                     ,R                     ,                            ,                      ,F                   ,                   ,                       ,F                 ,                           ,F                      ,F                       ,                     ,                         ,F                      ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 666,A, 11,H,CC,  16.00,    103.0400,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,F                      ,F                    ,F                  ,C                       ,C                  ,C                       ,F                    ,                   ,F                     ,R                     ,                            ,                      ,                    ,                   ,                       ,F                 ,                           ,F                      ,F                       ,F                    ,R                        ,F                      ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 666,A, 12,H,CC,  11.00,    112.1400,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,rR                             ,C                      ,C                    ,C                  ,C                       ,C                  ,C                       ,R                    ,                   ,C                     ,C                     ,                            ,                      ,F                   ,                   ,                       ,                  ,rR                         ,R                      ,R                       ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 666,A, 13,H,CC,  15.00,    121.8100,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,                               ,C                      ,C                    ,C                  ,C                       ,C                  ,F                       ,R                    ,                   ,C                     ,C                     ,                            ,                      ,                    ,                   ,                       ,F                 ,                           ,F                      ,                        ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,CN12a         ,108, 666,A, 14,H, 3, 130.00,    126.3000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,F                              ,C                      ,C                    ,F                  ,C                       ,C                  ,F                       ,R                    ,                   ,C                     ,C                     ,                            ,                      ,R                   ,                   ,                       ,R                 ,F                          ,R                      ,                        ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,108, 666,A, 14,H,CC,  10.00,    131.5600,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                          ,C                              ,C                      ,C                    ,F                  ,C                       ,C                  ,C                       ,F                    ,                   ,C                     ,C                     ,                            ,R                     ,R                   ,                   ,                       ,                  ,C                          ,F                      ,                        ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 666,A, 15,H, 2,  30.00,    133.3000,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                          ,C                              ,F                      ,F                    ,C                  ,C                       ,C                  ,C                       ,R                    ,                   ,F                     ,C                     ,R                           ,                      ,                    ,                   ,                       ,R                 ,                           ,                       ,                        ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,108, 666,A, 15,H, 7,  30.00,    140.5000,Manivit  ,Nannofossils                                 ,A              ,P                 ,C                          ,C                              ,F                      ,F                    ,C                  ,C                       ,C                  ,C                       ,R                    ,                   ,F                     ,C                     ,                            ,R                     ,F                   ,R                  ,rR                     ,                  ,                           ,                       ,                        ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,CN10c         ,108, 666,A, 16,H, 3,  90.00,    144.9000,Manivit  ,Nannofossils                                 ,A              ,P                 ,C                          ,C                              ,F                      ,F                    ,C                  ,C                       ,F                  ,F                       ,R                    ,                   ,C                     ,C                     ,R                           ,                      ,R                   ,R                  ,                       ,                  ,                           ,                       ,                        ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10              ,              ,108, 666,A, 16,H,CC,   6.00,    150.9200,Manivit  ,Nannofossils                                 ,A              ,P                 ,C                          ,C                              ,F                      ,F                    ,C                  ,C                       ,F                  ,C                       ,F                    ,R                  ,C                     ,C                     ,R                           ,R                     ,                    ,                   ,                       ,                  ,                           ,                       ,                        ,                     ,                         ,                       ,                      ,                    ,                 ,                     ,                     ,                 ,                      ,                         ,                       ,                         ,                       ,                     ,                     ,                           ,from ODP Leg 108 SR Chapter 4 Table 12 p 56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
