Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella similis,Hedbergella sigali,Hedbergella occulta,Globigerinelloides maridalensis,Globigerinelloides gottsi,Globigerinelloides blowi,Hedbergella hispaniae,Pseudotextularia elegans,Heterohelix globulosa,Hedbergella monmouthensis,Globigerinelloides messinae,Globigerinelloides alvarezi,Globotruncanita stuarti,Hedbergella holmdelensis,Schackoina multispinata,Heterohelix glabrans,Globigerinelloides subcarinatus,Rugoglobigerina hexacamerata,Guembelitria cretacea,Globigerinelloides prairiehillensis,Globotruncana linneiana,Heterohelix pulchra,Pseudoguembelina costulata,Globotruncanella havanensis,Gublerina robusta,Planoglobulina acervulinoides,Globotruncanita stuartiformis,Globotruncana ventricosa,Globotruncana bulloides,Globotruncana arca,Gansserina gansseri,Heterohelix striata,Contusotruncana contusa,Contusotruncana patelliformis,Racemiguembelina sp.,Abathomphalus mayaroensis,Globotruncanella petaloidea,Rugoglobigerina spp.,Globotruncana aegyptiaca,Contusotruncana plummerae,Contusotruncana fornicata,Trinitella scotti,Globotruncana hilli,Pseudoguembelina excolata,Globotruncana mariei,Rugoglobigerina rugosa,Kuglerina sp.,Streptochilus/Chiloguembelina taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  4,R,CC,  19.00,    811.6500,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,348                               ,Total count = 922.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  5,R,CC,   0.00,    818.6000,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,123                               ,Total count = 517.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  6,R, 2,  44.00,    830.2400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,543                               ,Total count = 811.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  7,R,CC,  16.00,    838.1600,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,939                               ,Total count = 1459.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C,  8,R,CC,   0.00,    847.7000,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,358                               ,Total count = 642.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 12,R, 1,  42.00,    877.0200,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,492                               ,Total count = 981.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 13,R,CC,   0.00,    882.0900,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,764                               ,Total count = 1438.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 14,R,CC,  14.00,    889.0400,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,294                               ,Total count = 575.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 15,R, 1,  42.00,    894.3200,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,209                               ,Total count = 810.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 16,R,CC,   0.00,    900.2300,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,4                                 ,Total count = 156.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 17,R,CC,   0.00,    907.3200,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,15                                ,Total count = 494.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 18,R,CC,   0.00,    908.9000,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,70                                ,Total count = 257.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 19,R,CC,   0.00,    914.5500,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,108                               ,Total count = 570.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 20,R,CC,   0.00,    919.1000,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,183                               ,Total count = 903.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 21,R,CC,   0.00,    924.2600,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,72                                ,Total count = 3M.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 22,R,CC,   0.00,    934.0300,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,6                                 ,Total count = 358.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 23,R,CC,  20.00,    943.8800,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,82                                ,Total count = 440.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 24,R,CC,   4.00,    946.6100,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,16                                ,Total count = 328.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 25,R,CC,   7.00,    949.6600,Resig    ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,                        ,                     ,                         ,                           ,                           ,                       ,                        ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,                   ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,104                               ,Total count = 419.from 130SR.Chapter 12.Table 3.page 240.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 1,  49.00,   1197.3900,Sliter   ,Planktonic Foraminifers                      ,C/A            ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,cf                  ,                               ,cf                          ,P                    ,P                                  ,                       ,                   ,P                         ,                           ,                 ,P                            ,P                            ,                        ,                       ,P                 ,                   ,P                  ,P                      ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,cf                    ,             ,                                  ,"ghost forams"""" = 95%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 1,  65.00,   1197.5500,Sliter   ,Planktonic Foraminifers                      ,F              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,                    ,                               ,                            ,                     ,P                                  ,                       ,                   ,P                         ,                           ,                 ,                             ,P                            ,                        ,                       ,                  ,                   ,P                  ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,P                ,                   ,                         ,                    ,                      ,cf           ,                                  ,"ghost forams"""" = 95%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 1,  97.00,   1197.8700,Sliter   ,Planktonic Foraminifers                      ,F              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,P                         ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,P                  ,                       ,                             ,                    ,                         ,P                          ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,                                  ,"ghost forams"""" = 100%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 1, 103.00,   1197.9301,Sliter   ,Planktonic Foraminifers                      ,F              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,                    ,P                              ,P                           ,                     ,P                                  ,                       ,                   ,P                         ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,P                  ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,                                  ,"ghost forams"""" = 100%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 2,  12.00,   1198.5200,Sliter   ,Planktonic Foraminifers                      ,A              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,                    ,                               ,                            ,                     ,P                                  ,                       ,                   ,P                         ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,P                  ,P                  ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,P                        ,                    ,P                     ,             ,                                  ,"ghost forams"""" = 85%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 2,  93.00,   1199.3300,Sliter   ,Planktonic Foraminifers                      ,A              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,                    ,                               ,P                           ,                     ,P                                  ,                       ,P                  ,P                         ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,P                  ,P                      ,P                            ,                    ,                         ,                           ,                    ,P                       ,                         ,                         ,                 ,                   ,                         ,                    ,P                     ,             ,                                  ,"ghost forams"""" = 90%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 3,  74.00,   1200.6400,Sliter   ,Planktonic Foraminifers                      ,F/C            ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,P                   ,P                              ,cf                          ,                     ,P                                  ,                       ,                   ,P                         ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,P                  ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,P                  ,                         ,                    ,                      ,             ,                                  ,"ghost forams"""" = 95%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 55,R, 4,  75.00,   1202.1500,Sliter   ,Planktonic Foraminifers                      ,F              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,                    ,                               ,                            ,                     ,                                   ,                       ,                   ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,P                  ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,                                  ,"ghost forams"""" = 100%.dissolved and/or distorted larger planktonic forams.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 56,R, 1,  10.00,   1206.7000,Sliter   ,Planktonic Foraminifers                      ,A              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,P                      ,P                       ,                       ,                    ,P                              ,P                           ,                     ,P                                  ,P                      ,                   ,P                         ,P                          ,                 ,P                            ,                             ,                        ,                       ,                  ,P                  ,P                  ,cf                     ,P                            ,P                   ,cf                       ,P                          ,                    ,P                       ,                         ,                         ,                 ,P                  ,                         ,P                   ,                      ,             ,                                  ,"ghost forams"""" = 90%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,130, 807,C, 56,R, 2,  13.00,   1208.2300,Sliter   ,Planktonic Foraminifers                      ,F              ,VP                ,                   ,                  ,                   ,                               ,                         ,                        ,                     ,P                       ,P                    ,P                        ,P                          ,P                          ,                       ,P                       ,                       ,                    ,                               ,cf                          ,                     ,P                                  ,                       ,P                  ,                          ,                           ,                 ,                             ,                             ,                        ,                       ,                  ,                   ,P                  ,                       ,                             ,                    ,                         ,                           ,                    ,                        ,                         ,                         ,                 ,                   ,                         ,                    ,                      ,             ,                                  ,"ghost forams"""" = 95%.from 130SR.Chapter 5.Table 2.pages 66-67."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
