Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Parhabdolithus embergeri,Braarudosphaera sp.,Lithraphidites carniolensis,Quadrum gartneri,Quadrum gothicum,Micula decussata,Cylindralithus sp.,Lucianorhabdus maleformis,Cretarhabdus crenulatus,Cribrosphaerella ehrenbergii,Quadrum trifidum,Prediscosphaera cretacea,Arkhangelskiella cymbiformis,Broinsonia sp.,Arkhangelskiella sp.,Manivitella pemmatoidea,Microrhabdulus decoratus,Lithraphidites quadratus,Tegumentum stradneri,Cretarhabdus conicus,Cyclagelosphaera sp.,Micula murus,Nannoconus sp.,Micula praemurus,Thoracosphaera sp.,Cyclagelosphaera margerelii,Coccolithus pelagicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cretaceous       ,Paleocene        ,                  ,              ,130, 807,C, 54,R, 4, 148.00,   1194.7800,Mao      ,Nannofossils                                 ,F              ,P                 ,F                   ,                        ,                   ,                           ,R               ,                ,R               ,                  ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,Boundary interval.from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cretaceous       ,Paleocene        ,                  ,              ,130, 807,C, 55,R, 1, 142.00,   1198.3199,Mao      ,Nannofossils                                 ,C              ,M                 ,C                   ,                        ,                   ,                           ,                ,                ,C               ,R                 ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,R           ,              ,                ,                  ,                           ,                     ,Boundary interval.from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cretaceous       ,Paleocene        ,                  ,              ,130, 807,C, 55,R, 2,  38.00,   1198.7800,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,                        ,                   ,                           ,R               ,                ,A               ,C                 ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,R           ,              ,                ,                  ,                           ,                     ,Boundary interval.from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cretaceous       ,Paleocene        ,                  ,              ,130, 807,C, 55,R, 3,  78.00,   1200.6801,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,                        ,                   ,                           ,F               ,R               ,A               ,A                 ,                         ,R                      ,                            ,                ,                        ,R                           ,              ,R                   ,                       ,R                       ,                        ,                    ,                    ,                    ,F           ,              ,                ,R                 ,                           ,                     ,Boundary interval.from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 55,R, 4, 135.00,   1202.7500,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,R                       ,                   ,                           ,R               ,                ,A               ,R                 ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 55,R,CC,   9.00,   1202.9900,Mao      ,Nannofossils                                 ,A              ,M                 ,C                   ,R                       ,                   ,                           ,                ,                ,C               ,F                 ,                         ,R                      ,                            ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,R                   ,                    ,F           ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 56,R, 1,  23.00,   1206.8300,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,                           ,                ,                ,C               ,                  ,                         ,                       ,                            ,                ,                        ,R                           ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,R           ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 56,R, 2,  23.00,   1208.3300,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,                           ,F               ,                ,A               ,R                 ,                         ,R                      ,R                           ,                ,                        ,                            ,              ,                    ,                       ,R                       ,                        ,                    ,                    ,                    ,F           ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 56,R, 3,  23.00,   1209.8300,Mao      ,Nannofossils                                 ,C              ,M                 ,C                   ,                        ,                   ,                           ,F               ,                ,A               ,F                 ,                         ,                       ,                            ,                ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,F           ,              ,F               ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 56,R, 3,  74.00,   1210.3400,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,R                       ,                   ,                           ,F               ,                ,A               ,C                 ,                         ,R                      ,                            ,                ,R                       ,                            ,              ,                    ,                       ,                        ,                        ,                    ,R                   ,                    ,R           ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 57,R, 1,  66.00,   1216.9600,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,                           ,F               ,                ,C               ,F                 ,                         ,F                      ,                            ,                ,                        ,                            ,              ,                    ,                       ,R                       ,                        ,                    ,R                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 57,R, 2,  66.00,   1218.4600,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,                           ,R               ,                ,C               ,F                 ,                         ,F                      ,R                           ,                ,                        ,                            ,              ,                    ,                       ,R                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 57,R,CC,  10.00,   1219.1500,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,                           ,                ,R               ,A               ,C                 ,                         ,F                      ,R                           ,                ,                        ,                            ,              ,F                   ,                       ,R                       ,R                       ,                    ,                    ,                    ,R           ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 58,R, 1,   7.00,   1222.5699,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,R                       ,                   ,                           ,                ,                ,A               ,C                 ,                         ,C                      ,F                           ,                ,                        ,                            ,              ,F                   ,                       ,R                       ,                        ,                    ,                    ,                    ,R           ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 58,R, 1,  55.00,   1223.0500,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,F                       ,                   ,R                          ,                ,                ,C               ,F                 ,                         ,C                      ,C                           ,                ,R                       ,                            ,              ,                    ,F                      ,F                       ,                        ,                    ,R                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 59,R, 1,  66.00,   1232.8600,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,                        ,                   ,F                          ,C               ,F               ,C               ,C                 ,                         ,C                      ,C                           ,C               ,R                       ,                            ,F             ,                    ,R                      ,R                       ,F                       ,                    ,R                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 59,R, 2, 118.00,   1234.8800,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,C                          ,                ,C               ,C               ,C                 ,                         ,C                      ,C                           ,F               ,C                       ,                            ,F             ,                    ,                       ,R                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 59,R,CC,  11.00,   1235.5400,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,C                          ,C               ,                ,C               ,F                 ,                         ,C                      ,C                           ,F               ,                        ,                            ,F             ,                    ,                       ,R                       ,                        ,                    ,F                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 60,R,CC,  20.00,   1242.0000,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,F                          ,F               ,                ,C               ,F                 ,                         ,C                      ,F                           ,F               ,                        ,                            ,F             ,                    ,                       ,F                       ,R                       ,                    ,                    ,                    ,R           ,R             ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 61,R, 1,  54.00,   1252.0400,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,F                       ,                   ,C                          ,F               ,                ,C               ,C                 ,                         ,C                      ,C                           ,F               ,                        ,                            ,C             ,                    ,                       ,F                       ,R                       ,                    ,R                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 61,R, 2,  91.00,   1253.9100,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,                ,C               ,C                 ,                         ,C                      ,C                           ,F               ,F                       ,                            ,F             ,                    ,R                      ,R                       ,                        ,                    ,F                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 61,R,CC,   0.00,   1254.3101,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,F                          ,                ,                ,C               ,C                 ,                         ,C                      ,C                           ,                ,                        ,                            ,F             ,                    ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC23              ,              ,130, 807,C, 62,R, 1, 112.00,   1262.3199,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,C                          ,C               ,                ,C               ,C                 ,                         ,C                      ,C                           ,C               ,F                       ,                            ,C             ,                    ,                       ,F                       ,                        ,                    ,                    ,                    ,R           ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 62,R, 2,  67.00,   1263.3700,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,C                          ,C               ,                ,C               ,C                 ,                         ,C                      ,C                           ,C               ,                        ,                            ,C             ,                    ,R                      ,R                       ,                        ,                    ,F                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 62,R, 3, 123.00,   1265.4301,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,R                       ,                   ,                           ,C               ,F               ,C               ,C                 ,                         ,C                      ,C                           ,C               ,F                       ,                            ,C             ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 62,R, 4,   7.00,   1265.7800,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,                ,C               ,C                 ,                         ,C                      ,C                           ,C               ,F                       ,                            ,C             ,                    ,                       ,R                       ,R                       ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 62,R,CC,   0.00,   1266.0900,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,C                          ,C               ,                ,C               ,                  ,                         ,C                      ,C                           ,C               ,C                       ,R                           ,              ,C                   ,                       ,F                       ,                        ,                    ,F                   ,R                   ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 63,R, 1,  37.00,   1271.1700,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,                ,C               ,C                 ,                         ,C                      ,F                           ,C               ,                        ,                            ,              ,F                   ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 63,R, 2,  60.00,   1272.9000,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,R                       ,                   ,F                          ,F               ,R               ,C               ,F                 ,                         ,C                      ,C                           ,C               ,                        ,                            ,C             ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 63,R, 3,  56.00,   1274.3600,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,F               ,                ,F               ,F                 ,                         ,C                      ,F                           ,                ,F                       ,R                           ,F             ,                    ,                       ,                        ,                        ,                    ,F                   ,R                   ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 63,R, 4,  46.00,   1275.7600,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,                ,F               ,F                 ,                         ,C                      ,C                           ,C               ,R                       ,                            ,              ,F                   ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 63,R, 4,  97.00,   1276.2700,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,F               ,F               ,F                 ,                         ,C                      ,C                           ,C               ,F                       ,                            ,              ,F                   ,R                      ,R                       ,                        ,                    ,                    ,R                   ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 64,R, 1, 111.00,   1281.6100,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,                ,F               ,F                 ,                         ,A                      ,C                           ,F               ,F                       ,                            ,C             ,R                   ,                       ,F                       ,                        ,R                   ,R                   ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 64,R, 2, 107.00,   1283.0699,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,                ,F               ,C                 ,                         ,C                      ,C                           ,C               ,R                       ,                            ,F             ,                    ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 64,R, 3,  16.00,   1283.6600,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,R                          ,C               ,F               ,F               ,F                 ,                         ,C                      ,C                           ,F               ,F                       ,                            ,              ,F                   ,                       ,R                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 64,R,CC,  14.00,   1284.2200,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,A                          ,C               ,                ,                ,                  ,                         ,C                      ,C                           ,C               ,                        ,                            ,              ,C                   ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 65,R, 1,  75.00,   1290.8500,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,F               ,F               ,C               ,F                 ,                         ,C                      ,C                           ,C               ,                        ,                            ,C             ,                    ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 65,R, 2,  78.00,   1292.3800,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,F                          ,C               ,F               ,F               ,                  ,                         ,C                      ,F                           ,C               ,F                       ,                            ,              ,F                   ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 65,R,CC,   0.00,   1293.4100,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,C                          ,C               ,R               ,C               ,F                 ,                         ,C                      ,C                           ,C               ,F                       ,R                           ,              ,C                   ,                       ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 66,R, 1,   6.00,   1299.8600,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,                           ,C               ,F               ,C               ,                  ,                         ,C                      ,C                           ,C               ,F                       ,                            ,              ,F                   ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 66,R, 2,   6.00,   1301.3600,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,                           ,C               ,F               ,F               ,F                 ,                         ,C                      ,F                           ,C               ,                        ,                            ,F             ,R                   ,                       ,R                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 66,R, 3,   6.00,   1302.8600,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,                        ,                   ,                           ,C               ,F               ,F               ,F                 ,                         ,C                      ,C                           ,C               ,                        ,                            ,F             ,                    ,R                      ,F                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 66,R,CC,   0.00,   1304.3500,Mao      ,Nannofossils                                 ,A              ,M                 ,A                   ,                        ,                   ,                           ,C               ,F               ,C               ,                  ,                         ,C                      ,C                           ,                ,                        ,                            ,R             ,                    ,                       ,R                       ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 67,R, 1,  45.00,   1309.9500,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,                           ,C               ,                ,F               ,C                 ,                         ,C                      ,F                           ,C               ,                        ,                            ,              ,                    ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC22              ,              ,130, 807,C, 67,R, 2,  43.00,   1311.3700,Mao      ,Nannofossils                                 ,A              ,P                 ,A                   ,                        ,                   ,                           ,C               ,F               ,F               ,                  ,                         ,C                      ,F                           ,C               ,                        ,                            ,              ,F                   ,                       ,                        ,                        ,                    ,                    ,                    ,            ,              ,                ,                  ,                           ,                     ,from 130SR.Chapter 6.Table 1.page 86-87.
