Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Restionaceae taxa,Chenopodiaceae taxa,Casuarinaceae taxa,Asteraceae taxa,Gyrostemonaceae taxa,Acacia taxa,Tricolporites spp.,Podocarpus spp.,Poaceae taxa,Haloragis taxa,Dodonaea taxa,Cyatheae taxa,Tricolporopollenites spp.,Myrtaceae taxa,Laevigatosporites ovatus,Asteraceae 2,Polypodiidites sp.,Comment
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 11,H, 3,  38.00,     99.3800,McMinn   ,Pollen/Spores                                ,               ,                  ,1                ,2                  ,7                 ,3              ,7                   ,           ,                  ,               ,19          ,              ,             ,2            ,1                        ,1             ,                        ,            ,                  ,total count = 43; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 12,H, 7,  26.00,    114.8600,McMinn   ,Pollen/Spores                                ,               ,                  ,2                ,1                  ,12                ,1              ,1                   ,1          ,2                 ,               ,10          ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 30; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 13,H, 3,  78.00,    118.9800,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,4                  ,1                 ,1              ,1                   ,2          ,                  ,               ,13          ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 22; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 14,H, 1,   4.00,    124.8400,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,2                 ,               ,                    ,           ,                  ,               ,            ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 2; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 14,H, 4,  36.00,    129.6600,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,2                  ,6                 ,1              ,                    ,1          ,1                 ,               ,9           ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 20; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 15,H, 6,  28.00,    142.2800,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,7                 ,               ,                    ,1          ,                  ,               ,9           ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 17; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 16,H, 1,  70.00,    144.9000,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,2                 ,               ,1                   ,           ,                  ,               ,7           ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 10; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,123, 765,B, 18,H, 5,  48.00,    169.4800,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,2                  ,5                 ,1              ,1                   ,1          ,2                 ,               ,6           ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 18; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 20,X, 3, 131.00,    187.3100,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,                  ,               ,                    ,           ,                  ,               ,1           ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 1; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 21,X, 5, 126.00,    199.9600,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,6                 ,               ,                    ,           ,                  ,               ,4           ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 10; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 23,X, 1, 120.00,    213.3000,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,1                 ,               ,                    ,           ,                  ,               ,            ,              ,             ,1            ,                         ,              ,                        ,            ,                  ,total count = 2; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 24,X, 3,  85.00,    225.6500,McMinn   ,Pollen/Spores                                ,               ,                  ,3                ,1                  ,23                ,               ,13                  ,4          ,1                 ,               ,9           ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 54; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 26,X, 2,  81.00,    243.5100,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,1                 ,               ,                    ,           ,                  ,               ,            ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 1; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 26,X, 4,  62.00,    246.3200,McMinn   ,Pollen/Spores                                ,               ,                  ,5                ,1                  ,7                 ,               ,                    ,           ,                  ,1              ,20          ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 34; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 29,X, 1, 120.00,    271.4000,McMinn   ,Pollen/Spores                                ,               ,                  ,7                ,4                  ,17                ,               ,                    ,3          ,1                 ,               ,            ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 34; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 30,X, 1,  75.00,    280.6500,McMinn   ,Pollen/Spores                                ,               ,                  ,5                ,                   ,9                 ,               ,3                   ,1          ,                  ,               ,1           ,1             ,1            ,             ,                         ,              ,                        ,            ,                  ,total count = 20; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 31,X, 5,  90.00,    296.5000,McMinn   ,Pollen/Spores                                ,               ,                  ,5                ,1                  ,21                ,1              ,14                  ,1          ,4                 ,1              ,1           ,2             ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 50; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 32,X, 1,  32.00,    299.6200,McMinn   ,Pollen/Spores                                ,               ,                  ,1                ,                   ,3                 ,               ,                    ,           ,1                 ,               ,            ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 5; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 33,X, 4,  88.00,    314.3800,McMinn   ,Pollen/Spores                                ,               ,                  ,1                ,                   ,7                 ,1              ,6                   ,1          ,                  ,               ,            ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 16; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,123, 765,B, 38,X, 1,  35.00,    357.4500,McMinn   ,Pollen/Spores                                ,               ,                  ,                 ,                   ,1                 ,1              ,                    ,           ,                  ,               ,            ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 2; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,123, 765,B, 39,X, 1,  46.00,    367.1600,McMinn   ,Pollen/Spores                                ,               ,                  ,1                ,2                  ,                  ,               ,                    ,           ,                  ,               ,            ,              ,             ,             ,                         ,              ,                        ,            ,                  ,total count = 3; from ODP Leg 123 SR Chapter 20 Table 1 p 422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
