Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Acarinina sp.	Subbotina sp.	Planorotalites pseudoscitulus	Acarinina rohri	Morozovella sp.	Morozovella aragonensis	Turborotalia cf. praecentralis	Pseudohastigerina wilcoxensis	Globigerinatheka senni	Planorotalites palmerae	Morozovella crassata	Acarinina pseudotopilensis	Subbotina pseudoeocaena	Chiloguembelina sp.	Acarinina pentacamerata	Acarinina gravelli	Subbotina inaequispira	Acarinina aquiensis	Globorotaloides suteri	Globorotalia opima nana	Globorotalia kugleri	Globoquadrina venezuelana	Globoquadrina praedehiscens	Globoquadrina dehiscens	Globoquadrina binaiensis	Globoquadrina baroemoenensis	Globigerinoides quadrilobatus s.l.	Globigerinoides primordius	Globigerinoides altiaperturus	Dentoglobigerina globularis	Catapsydrax stainforthi	Catapsydrax dissimilis	Globorotalia mayeri/siakensis	Dentoglobigerina altispira altispira	Globigerinoides ruber s.l.	Globigerinoides obliquus obliquus	Dentoglobigerina altispira globosa	Globigerinatella insueta	Globigerinoides diminutus	Globigerinoides bisphericus	Globigerinella praesiphonifera	Globorotalia praescitula	Globorotalia peripheroronda	Praeorbulina sicana	Praeorbulina transitoria	Praeorbulina glomerosa curva	Globorotalia praemenardii	Praeorbulina glomerosa glomerosa	Praeorbulina glomerosa circularis	Clavatorella bermudezi	Orbulina suturalis	Orbulina universa	Globorotalia scitula	Globorotalia praefohsi	Globorotalia peripheroacuta	Sphaeroidinellopsis disjuncta	Globorotalia fohsi fohsi	Globorotalia fohsi lobata	Sphaeroidinellopsis seminulina	Pulleniatina obliquiloculata	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia menardii s.l.	Globorotalia crassaformis	Globigerinoides conglobatus	Globigerinella siphonifera	Globigerinella calida	Candeina nitida	Sphaeroidinella dehiscens	Globorotaloides hexagona	Globorotalia tumida tumida	Globoquadrina conglomerata	Globigerinoides elongatus	Globigerinita glutinata	Neogloboquadrina acostaensis	Globorotalia ungulata	Globorotalia theyeri	Beella digitata	Globigerina quinqueloba	Comment

  SR	Pleistocene      	                 	N22               	              	115	 715	A	  5	R	CC	   5.00	     46.3600	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	                         	                           	                       	                        	                            	+                                 	                          	                             	                           	                       	                      	                             	                                    	+                         	                                 	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	+                	                    	                      	                           	                             	                        	                         	+?                            	+                           	+                        	+                         	+                            	+                         	+                        	+                          	+                         	+                    	+              	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N12               	              	115	 715	A	  6	R	 1	 105.00	     47.8500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+?                       	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	                              	                        	                           	                   	                        	                            	+                        	                                	                                 	                      	+                 	+                	                    	+                     	                           	+                            	+                       	+                        	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. sponge spicules rare. fish remains rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N12               	              	115	 715	A	  6	R	 2	 105.00	     49.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+?                       	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	+                             	                        	                           	                   	                        	                            	+                        	                                	                                 	                      	+                 	+                	                    	+                     	                           	+                            	+                       	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. sponge spicules few. fish remains rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N12               	              	115	 715	A	  6	R	 3	 105.00	     50.8500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	+                             	                        	                           	                   	                        	                            	+                        	                                	                                 	+                     	+                 	+                	                    	+                     	+?                         	+                            	+                       	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. sponge spicules common. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N10               	N11           	115	 715	A	  6	R	 4	 105.00	     52.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	+                             	                        	                           	                   	                        	                            	+                        	                                	                                 	+                     	+                 	+                	                    	+                     	+                          	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. sponge spicules few. fish remains rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N10               	N11           	115	 715	A	  6	R	 5	 105.00	     53.8500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	                          	+                                	                                  	                        	                         	                           	+                             	                        	                           	                   	                        	                            	+                        	                                	                                 	+                     	+                 	+                	                    	+                     	+                          	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. sponge spicules few. foraminifers embedded few/rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N9                	              	115	 715	A	  6	R	 6	 105.00	     55.3500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+?                                	                          	                             	                           	                       	                      	+                            	+                                   	+                         	+                                	                                  	                        	                         	                           	+                             	                        	                           	                   	                        	                            	+                        	                                	                                 	+                     	+                 	+                	+?                  	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N9                	              	115	 715	A	  6	R	CC	  13.00	     56.3700	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	                          	                                 	                                  	+?                      	                         	+                          	                              	+                       	+                          	+                  	+                       	                            	+                        	                                	                                 	                      	+                 	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  7	R	 1	 105.00	     57.5500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	                        	                         	+                          	                              	                        	+                          	+                  	+                       	+                           	+                        	                                	+                                	+                     	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. radiolarians rare. sponge spicules few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  7	R	 2	 105.00	     59.0500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	                         	+                          	                              	                        	+                          	+                  	+                       	+                           	+                        	                                	                                 	+?                    	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  7	R	 3	 105.00	     60.5500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	                         	+                          	                              	                        	+                          	+                  	+                       	+                           	+                        	+                               	+                                	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  7	R	 4	 105.00	     62.0500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	                         	+                          	                              	                        	+                          	+                  	+                       	+                           	+                        	+                               	+?                               	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  7	R	 5	 105.00	     63.5500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	+                        	+                          	                              	+?                      	+                          	+                  	+                       	+                           	+                        	+?                              	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. sponge spicules few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  7	R	 6	 105.00	     65.0500	Vincent  	Planktonic Foraminifers                      	               	P/M               	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	+                        	+                          	+                             	                        	+?                         	+                  	+                       	+                           	+                        	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. sponge spicules rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  7	R	CC	   9.00	     65.9200	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	+                        	+                          	                              	+?                      	+                          	+                  	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. sponge spicules rare. calcareous aggregates rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  8	R	 1	 105.00	     67.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+?                        	                                 	                                  	+                       	+                        	+                          	                              	                        	+?                         	+                  	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. sponge spicules rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  8	R	 2	 105.00	     68.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	+                        	+                          	                              	                        	+?                         	+                  	+                       	+                           	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. sponge spicules common. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  8	R	 3	 105.00	     70.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+?                                  	+                         	                                 	                                  	+                       	+                        	+                          	                              	                        	+                          	+                  	+                       	+                           	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  8	R	 4	 105.00	     71.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	                       	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	+                        	+                          	                              	                        	+                          	+                  	+                       	+                           	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  8	R	 5	 105.00	     73.1500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	+                      	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	+                        	+                          	                              	                        	+                          	+                  	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  8	R	 6	 105.00	     74.6500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+?                        	                                 	                                  	+                       	+                        	+                          	                              	+?                      	+?                         	+                  	+                       	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Middle Miocene   	                 	N8                	              	115	 715	A	  8	R	CC	  10.00	     75.1300	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	                           	+                      	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	                         	+                          	                              	                        	+                          	+                  	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N7                	              	115	 715	A	  9	R	 1	 105.00	     76.7500	Vincent  	Planktonic Foraminifers                      	               	MG                	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	                       	                    	+                        	                           	+?                     	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	                         	+                          	                              	+                       	+                          	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. fish remains rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N7                	              	115	 715	A	  9	R	 2	 105.00	     78.2500	Vincent  	Planktonic Foraminifers                      	               	P/M               	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	+                     	+                      	                    	+                        	                           	+?                     	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	+?                               	                                  	+                       	                         	+                          	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers few. ostracodes rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 13. pages 824-825.

  SR	Early Miocene    	                 	N7                	              	115	 715	A	  9	R	 3	 105.00	     79.7500	Vincent  	Planktonic Foraminifers                      	               	P/M               	             	             	                             	               	               	                       	                              	                             	                      	                       	                    	                          	                       	                   	                       	                  	                      	                   	                      	+                      	                    	+                        	                           	+?                     	                        	+                           	+                                 	                          	                             	                           	                       	                      	+                            	+                                   	+                         	                                 	                                  	+                       	                         	+                          	                              	                        	                           	                   	                        	                            	                         	                                	                                 	                      	                  	                 	                    	                      	                           	                             	                        	                         	                              	                            	                         	                          	                             	                          	                         	                           	                          	                     	               	                         	                        	                          	                          	                         	                       	                            	                     	                    	               	                       	benthic foraminifers rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 13. pages 824-825.

