leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
15,149,,7,3,0.0,150.0,46.00,49.00,50.50,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, DISTURBED I N FLOW IN PATTERN THROUGHOUT,, HYDRO,, ABUNDANT HYDR O LAMINAE ARE DISTORTED ALONG WITH THE DISTURBANCES," SOFT,PLASTIC", 11121221
15,149,,7,4,0.0,25.0,46.00,50.50,50.75,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTUR BED THROUGHOUT,,,,," SOFT,PLASTIC", 11121221
15,149,,7,5,0.0,150.0,46.00,52.00,53.50,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTUR BED THROUGHOUT,, HYDRO," PLANKTONIC FORAM,OSTRAEOD A ND ETHINOID SPINES VERY NEGLIGABLE",, SOFT TO SOUPY P LASTIC, 11121221
15,149,,7,6,0.0,150.0,46.00,53.50,55.00,, FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTUR BED,, HYDRO,, DISPERSED HYDRO ABUNDANT," SOFT,PLASTI C", 11121221
15,149,,8,1,13.0,150.0,56.00,56.13,57.50,, FORAM CHALK," 5Y5/2-LIGHT OLIVE GRAY,-DUSKY BLUE,- DUSKY YELLOW",, SLIGHTLY DISTURBED,, HYDRO,," DUSKY BL UE HYDRO LAMINAE,SOME DUSKY YELLOW DUE TO SECONDARY OXIDATION,CLAY CONTENT INCREASING", SOFT AT TOP TO M ODERATELY SOFT AT BOTTOM, 11121221
15,149,,8,2,0.0,150.0,56.00,57.50,59.00,, CLAYEY FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,5Y6/1- LIGHT OLIVE GRAY",, SLIGHTLY DISTURBED,, HYDRO,," LIGH T OLIVE GRAY LUMPS OF SMOOTHER TEXTURE,POORER IN FOR AM OOZE AT 50-54,70-77 AND 105-108 CM,HYDRO STAINING THROUGHOUT"," MODERATELY SOFT,PLASTIC", 12221221
15,149,,8,3,0.0,150.0,56.00,59.00,60.50,, CLAYEY FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTURBED THROUGHOUT,,,, CLAY CONTENT INCREASING, SO FT, 12221221
15,149,,8,4,0.0,106.0,56.00,60.50,61.56,, CLAYEY FORAM CHALK, 5Y6/2-LIGHT OLIVE GRAY,, VERY DISTURBED,, HYDRO,, FEW HYDRO SPRECKLES DISSEMINATE D IN LOWER PART, SOFT, 12221221
15,149,,8,5,0.0,150.0,56.00,62.00,63.50,, CLAYEY FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,5Y6/1- LIGHT OLIVE GRAY,-DUSKY YELLOW",,,,,, DUSKY YELLOW DISTOR TED STREAKS DUE TO FLOW IN DISTURBANCES," SOFT,PLAST IC", 12221221
15,149,,8,6,0.0,150.0,56.00,63.50,65.00,, CLAYEY FORAM CHALK," 5Y6/2-LIGHT OLIVE GRAY,5Y5/1- MEDIUM OLIVE GRAY", FAIRLY SHARP TEXTURE BOUNDARY AT 117CM, SLIGHTLY DISTURBED,, HYDRO,," MORE CLAYEY ZO NES BELOW 80 CM,FORAM RICH BELOW 117CM,HYDRO DISSEMI NATED THROUGHOUT"," SOFT,PLASTIC", 12221221
15,149,,9,1,77.0,150.0,65.00,65.77,66.50,, FORAM MARL," 5Y6/1-LIGHT OLIVE GRAY,5GY6/1-GREENIS H GRAY",, TOTALLY DISTURBED,, HYDRO SPRECKLES,,," SOFT, PLASTIC", 12221221
15,149,,9,2,0.0,150.0,65.00,66.50,68.00,, FORAM MARL," 5Y6/1-LIGHT OLIVE GRAY,5GY6/1-GREENIS H GRAY",, DISTURBED,,,, SIMILAR IN COLOR AND TEXTURE TO PRECEDING SECTION, SOFT, 12221221
15,149,,9,3,0.0,150.0,65.00,68.00,69.50,, FORAM MARL, 5Y6/2-LIGHT OLIVE GRAY,, DISTURBED TH ROUGHOUT,, HYDRO,, RARE HYDRO SPRECKLES AT SEVERAL I NTERVALS-MAINLY AT BOTTOM ZONE, VERY SOFT, 12221221
15,149,,9,4,0.0,107.0,65.00,69.50,70.57,, FORAM MARL, 5Y6/2-LIGHT OLIVE GRAY,, DISTURBED TH ROUGHOUT,,,, GEOCHEM SAMPLE BELOW 107 CM, VERY SOFT, 00000000
15,149,,9,5,0.0,84.0,65.00,71.00,71.84,, FORAM MARL, 5Y6/2-LIGHT OLIVE GRAY,, DISTURBED,,,, BASAL CONTACT WITH NEXT ZONE," SOFT,PLASTIC", 12221221
