Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygocircus buetschli,Theoperidae (other theoperids Takemura 1992),Stylosphaera spp.,Spumellaria (other spumellarians of Takemura 1992),Spongodiscus spp.,Siphocampe(?) quadrata,Sethoconus sp.,Prunopyle spp.,Peripyramis spp.,Periphaena heliasteriscus,Lychnocanoma spp.,Lychnocanoma cf. babylonis,Lychnocanoma amphitrite,Lophocyrtis biaurita,Lophoconus titanothericeraos,Lithomelissa sphaerocephalis,Eusyringium fistuligerum,Dictyoprora mongolfieri,Cyclampterium(?) milowi,Corythospyris aff. jubata,Clathrocyclas universa,Calocyclas sp. C,Axoprunum pierinae,Axoprunum bispiculum,Amphistylus? sp. ,Amphistylus angelinus,Acanthodesmiidae (Other acanthodesmiids of Takemura 1992),Xiphospira spp.,Siphocampe nodosaria,Pterocanium? sp.,Prunopyle hayesi,Plagoniidae (other plagoniids of Takemura 1992),Periphaena decora,Lychnocanoma conica,Lithapium cf. mitra,Lithapium anoectum,Dictyoprora pirum,Cornutella spp.,Ceratocyrtis spp.,Carpocanistrum spp.,Calocyclas sp. B,Siphocampe acephala,Amphipyndax stocki,Heliostylus sp.,Calocyclas cf. semipolita,Eucyrtidium spinosum,Diplocyclas sp.,Cyrtocapsella robusta,Cannobotryidae (other cannobotryids of Takemura 1992),Archaeodictyomitra? sp.,Dendrospyris stabilis,Calocyclas sp. A,Botryopyle dictyocephalus,Theocyrtis tuberosa,Eucyrtidium cheni,Pterocoryidae (other pterocoryids of Takemura 1992),Orosphaerid taxa,Cycladophora bicornis,Artostrobus? cf. pretabulatus,Artostrobiidae (other artostrobiids of Takemura 1992),Lithomelissa tricornis,Corythomelissa horrida,Eucyrtidium spp.,Theoperid (gen. et sp. Indet.),Dicolocapsa microcephala,Spongoplegma aff. antarcticum,Prunopyle frakesi,Corythomelissa? sp.,Prunopyle tetrapila,Lithomelissa challengerae,Cyrtocapsella aff. japonica,Axoprunum(?) irregularis,Plagoniid (gen. et sp. Indet.),Velicucullus cf. oddgurneri,Cycladophora conica,Lithomelissa sp.,Velicucullus altus,Stylosphaera sp. B,Stylosphaera radiosa,Stylosphaera coronata laevis,Spongotrochus spp.,Spongopyle osculosa,Spongodiscus craticulatus,Prunopyle sp. B,Lithomelissa robusta,Lamprocyclas sp.,Ceratocyrtis stigi,Carpocanarium papillosum,Actinomma sp. B,Actinomma medusa,Actinomma holtedahli,Prunopyle sp. A,Gondwanaria japonica,Corythospyris fiscella,Ceratocyrtis mashae,Cenosphaera sp. A,Artophormis gracilis,Prunopyle titan,Eucyrtidium cienkowskii,Cycladophora sp.,Velicucullus sp.,Stylosphaera sp. C,Stichopilium bicorne?,Lithomelissa stigi,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Dictyophimus crisiae,Dendrospyris cf. megalocephalis,Cyrtocapsella tetrapera,Cyrtocapsella longithorax,Cycladophora antiqua,Antarctissa deflandrei,Lithomelissa cf. ehrenbergi,Gondwanaria deflandrei,Cycladophora golli regipileus,Circodiscus ellipticus,Stylatractus santaeannae,Eucyrtidium punctatum,Eucyrtidium pseudoinflatum,Cycladophora golli golli,Eucyrtidium calvertense,Actinomma magnifenestra,Actinomma golownini,Acrosphaera spp.,Ceratocyrtis sp.,Stauroxiphos communis,Triceraspyris coronata,Rhopalodictyum sp.,Dendrospyris rhodospyroides,Trissocyclid sp. A,Stylatractus universus,Stylacontarium bispiculum,Lychnocanoma sp. C,Gondwanaria sp. A,Actinomma sp. A,Stylatractus neptunus,Tholoniid sp. B,Stylosphaera sp. A,Hexacontium cf. enthacanthum,Stichophormis sp.,Saturnalis circularis,Anthocyrtidium sp.,Desmospyris rhodospyroides,Pterocanium korotnevi,Cycladophora spongothorax,Calocyclas humerus,Siphonosphaera magnisphaera,Lithartractus timmsi?,Spongotrochus glacialis,Pterocanium charybdeum trilobum,Acrosphaera australis,Acrosphaera mercurius,Siphonosphaera vesuvius,Lychnocanium grande,Desmospyris spongiosa,Cycladophora pliocenica,Acrosphaera murrayana,Rhopalastrum spp.,Stylatractus universus var. transparum,Helotholus vema,Antarctissa strelkovi,Antarctissa denticulata,Antarctissa cylindrica,Triceraspyris antarctica,Cycladophora davisiana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,120, 748,B,  4,H,CC,  17.00,     28.7900,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,F                      ,                ,                ,                  ,                     ,R                 ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,F                     ,                           ,                      ,                             ,                      ,                        ,                     ,F                         ,                        ,F                      ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,R                        ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,F                         ,F                    ,                         ,                  ,                           ,R                    ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,120, 748,B,  5,H, 2,  45.00,     30.5500,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,C                      ,                ,                ,                  ,                     ,R                 ,                    ,                        ,                      ,                    ,R                              ,                       ,                         ,                    ,R                     ,                           ,                      ,                             ,                      ,                        ,                     ,C                         ,                        ,F                      ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,R                     ,+                        ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,C                         ,                     ,                         ,                  ,+                          ,R                    ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,120, 748,B,  5,H, 4,  45.00,     33.5500,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,C                      ,                ,                ,                  ,                     ,                  ,R                   ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,F                     ,                           ,                      ,                             ,                      ,                        ,                     ,C                         ,                        ,                       ,                       ,                   ,                ,                ,                     ,                      ,                  ,                           ,                  ,C                     ,R                        ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,F                         ,C                    ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. spongothorax   ,              ,120, 748,B,  5,H, 5,  45.00,     35.0500,Abelmann-Gersonde,Radiolarians                                 ,C              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,R               ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,R                  ,                         ,                           ,                        ,                              ,                           ,R                  ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,R              ,                    ,                ,T                 ,R                       ,               ,                ,                    ,R              ,                    ,                      ,R                  ,                 ,                    ,R              ,R                      ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,                             ,R                     ,                        ,                     ,                          ,                        ,                       ,                       ,F                  ,                ,                ,                     ,                      ,                  ,R                          ,R                 ,                      ,                         ,                  ,                 ,               ,R                    ,               ,                  ,R                           ,                 ,                     ,                  ,                          ,                     ,R                        ,F                 ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 40 Table 3 p 769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,120, 748,B,  5,H, 6,  45.00,     36.5500,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,C                      ,                ,                ,                  ,R                    ,C                 ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,F                     ,                           ,                      ,                             ,                      ,                        ,                     ,C                         ,                        ,                       ,                       ,C                  ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,R                        ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,C                         ,F                    ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. C. spongothorax,              ,120, 748,B,  5,H,CC,  16.00,     38.4200,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,                     ,                                                         ,               ,                    ,                ,                ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,                   ,                ,                  ,                  ,                    ,                            ,                  ,                   ,                         ,               ,                    ,                ,                  ,                        ,               ,                ,                    ,               ,                    ,                      ,                   ,                 ,                    ,               ,F                      ,                ,                ,                  ,                     ,C                 ,                    ,                        ,                      ,                    ,                               ,F                      ,                         ,                    ,F                     ,                           ,                      ,                             ,                      ,                        ,                     ,C                         ,                        ,                       ,                       ,C                  ,                ,                ,                     ,                      ,                  ,                           ,                  ,                      ,R                        ,                  ,                 ,               ,                     ,               ,                  ,                            ,                 ,                     ,                  ,F                         ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E. punctatum      ,              ,120, 748,B,  6,H, 1,  65.00,     38.7500,Abelmann-Gersonde,Radiolarians                                 ,C              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,R                    ,                                                         ,               ,                    ,                ,R               ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,T                  ,                         ,                           ,                        ,                              ,                           ,R                  ,                ,F                 ,T                 ,                    ,                            ,R                 ,R                  ,                         ,R              ,                    ,                ,R                 ,R                       ,R              ,                ,                    ,R              ,                    ,                      ,R                  ,                 ,                    ,               ,R                      ,                ,                ,                  ,C                    ,+                 ,F                   ,F                       ,                      ,C                   ,                               ,R                      ,+                        ,                    ,                      ,T                          ,T                     ,C                            ,T                     ,                        ,+                    ,C                         ,R                       ,                       ,                       ,F                  ,T               ,+               ,F                    ,                      ,                  ,R                          ,T                 ,                      ,                         ,                  ,                 ,T              ,R                    ,               ,                  ,R                           ,T                ,R                    ,T                 ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 40 Table 3 p 769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,120, 748,B,  6,H, 2,  45.00,     40.0500,Abelmann-Gersonde,Radiolarians                                 ,A              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,R                    ,                                                         ,               ,                    ,                ,R               ,                                               ,                 ,R                  ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,T                  ,                         ,                           ,                        ,                              ,                           ,R                  ,                ,R                 ,                  ,                    ,                            ,R                 ,T                  ,                         ,R              ,                    ,                ,R                 ,R                       ,R              ,                ,                    ,R              ,                    ,                      ,R                  ,                 ,                    ,               ,+                      ,                ,                ,                  ,F                    ,C                 ,                    ,R                       ,F                     ,C                   ,F                              ,R                      ,                         ,                    ,C                     ,                           ,T                     ,C                            ,T                     ,                        ,                     ,C                         ,T                       ,                       ,F                      ,C                  ,R               ,C               ,F                    ,                      ,                  ,R                          ,T                 ,                      ,                         ,                  ,T                ,R              ,R                    ,               ,                  ,T                           ,                 ,+                    ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 40 Table 3 p 769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,120, 748,B,  6,H, 3,  45.00,     41.5500,Abelmann-Gersonde,Radiolarians                                 ,R/F            ,M                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,R                    ,                                                         ,               ,                    ,                ,T               ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,R                  ,                ,T                 ,                  ,                    ,                            ,T                 ,                   ,                         ,R              ,                    ,                ,R                 ,R                       ,T              ,                ,                    ,R              ,                    ,                      ,T                  ,                 ,                    ,               ,                       ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,                       ,                         ,                    ,                      ,                           ,                      ,R                            ,                      ,                        ,                     ,                          ,T                       ,                       ,                       ,                   ,                ,                ,R                    ,                      ,                  ,R                          ,T                 ,                      ,                         ,                  ,                 ,T              ,                     ,               ,                  ,T                           ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 40 Table 3 p 769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,120, 748,B,  6,H, 4,  45.00,     43.0500,Abelmann-Gersonde,Radiolarians                                 ,F              ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,R                    ,                                                         ,               ,                    ,                ,R               ,                                               ,                 ,F                  ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,R                  ,                ,F                 ,T                 ,                    ,                            ,T                 ,T                  ,                         ,R              ,                    ,                ,R                 ,R                       ,T              ,                ,                    ,R              ,                    ,R                     ,                   ,                 ,                    ,               ,R                      ,                ,                ,                  ,F                    ,F                 ,                    ,F                       ,F                     ,C                   ,                               ,T                      ,                         ,                    ,C                     ,                           ,                      ,R                            ,T                     ,F                       ,                     ,R                         ,R                       ,                       ,F                      ,F                  ,R               ,F               ,T                    ,R                     ,                  ,R                          ,T                 ,                      ,+                        ,                  ,                 ,               ,T                    ,               ,                  ,T                           ,T                ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 40 Table 3 p 769
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. golli regipileus,              ,120, 748,B,  6,H, 5,  45.00,     44.5500,Abelmann-Gersonde,Radiolarians                                 ,R/F            ,G                 ,                    ,                                            ,                 ,                                                  ,                 ,                      ,              ,              ,                ,                         ,                 ,                          ,                       ,                    ,                            ,                            ,                        ,                       ,                       ,                         ,                      ,                ,                  ,                    ,                 ,R                    ,                                                         ,               ,                    ,                ,R               ,                                               ,                 ,                   ,                   ,                  ,                 ,               ,                 ,                   ,                ,                   ,                  ,               ,                         ,                    ,               ,                     ,                                                     ,                       ,                     ,                ,                         ,                   ,                 ,                                                   ,                ,                     ,                             ,                                                     ,                      ,                      ,                ,                              ,                        ,                             ,                 ,                   ,                   ,                         ,                           ,                        ,                              ,                           ,R                  ,                ,                  ,                  ,                    ,                            ,R                 ,T                  ,                         ,R              ,                    ,                ,R                 ,R                       ,R              ,                ,                    ,R              ,                    ,                      ,T                  ,                 ,                    ,R              ,R                      ,                ,                ,                  ,                     ,                  ,                    ,                        ,                      ,                    ,                               ,R                      ,R                        ,                    ,                      ,                           ,T                     ,F                            ,T                     ,                        ,                     ,                          ,R                       ,                       ,                       ,                   ,                ,                ,F                    ,                      ,                  ,R                          ,T                 ,                      ,                         ,                  ,                 ,T              ,                     ,R              ,R                 ,T                           ,                 ,                     ,                  ,                          ,                     ,                         ,                  ,                           ,                     ,                       ,                               ,                     ,                     ,                       ,                   ,                     ,                       ,                     ,                 ,                                      ,               ,                     ,                       ,                      ,                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 40 Table 3 p 769
