Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Dictyocha stelliformis,Dictyocha grandis (five-sided),Bachmannocena apiculata,Naviculopsis foliacea,Naviculopsis constricta,Distephanus speculum speculum (6-sided),Distephanus crux,Dictyocha  grandis (seven-sided),Dictyocha grandis (varianid),Dictyocha grandis (pseudofibulid),Dictyocha grandis (notabilid),Dictyocha grandis (eight-sided),Dictyocha byronalis,Corbisema apiculata,Bachmannocena paulschulzi,Lyramula furcula,Naviculopsis biapiculata,Dictyocha deflandrei,Naviculopsis trispinosa,Dictyocha fibula,Dictyocha aspera,Corbisema hastata,Distephanus raupii,Distephanus speculum speculum (6-sided; multiwindowed),Dictyocha frenguelli,Corbisema archangelskiana,Distephanus speculum speculum (7-sided; multiwindowed),Distephanus speculum speculum (eight-sided; multiwindowed),Dictyocha messanensis stapedia (fibulid),Corbisema triacantha,Distephanus speculum pentagonus (multiwindowed),Distephanus speculum pentagonus,Distephanus speculum giganteus,Bachmannocena circulus,Dictyocha messanensis stapedia (asperid),Distephanus speculum speculum (7-sided),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. biapiculata(Cies),              ,120, 748,B,  7,H, 4,  47.00,     52.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,34                     ,                     ,                       ,25                                     ,94              ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,96                      ,                    ,                       ,                ,                ,                 ,3                 ,22                                                    ,                    ,                         ,10                                                    ,1                                                         ,3                                       ,12                  ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. biapiculata(Cies),              ,120, 748,B,  8,H, 6,  47.00,     65.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,10                     ,                     ,                       ,27                                     ,28              ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,9                       ,                    ,                       ,                ,                ,                 ,206               ,19                                                    ,                    ,                         ,1                                                     ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,Number of aberrants = 3; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,C. archangelskiana,              ,120, 748,B,  9,H, 1,  47.00,     67.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,3                      ,                     ,                       ,25                                     ,102             ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,72                      ,                    ,                       ,                ,                ,                 ,41                ,38                                                    ,                    ,19                       ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,Number of aberrants = 3; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,C. archangelskiana,              ,120, 748,B, 10,H, 4,  47.00,     81.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,                       ,                     ,                       ,4                                      ,41              ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,14                      ,                    ,2                      ,                ,                ,                 ,4                 ,4                                                     ,                    ,3                        ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,C. archangelskiana,              ,120, 748,B, 11,H, 2,  47.00,     87.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,                       ,                     ,                       ,31                                     ,70              ,                                ,                            ,                                 ,                             ,                               ,                   ,3                  ,                         ,                ,115                     ,                    ,47                     ,                ,                ,                 ,4                 ,20                                                    ,5                   ,5                        ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,N. trispinosa(M & H),              ,120, 748,B, 12,H, 4,  47.00,    100.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,20                     ,                     ,1                      ,1                                      ,14              ,                                ,                            ,                                 ,                             ,                               ,                   ,1                  ,                         ,                ,11                      ,8                   ,2                      ,                ,                ,1                ,2                 ,2                                                     ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,N. trispinosa(M & H),              ,120, 748,B, 13,H, 4,  47.00,    109.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,65                     ,                     ,                       ,                                       ,55              ,                                ,                            ,                                 ,                             ,                               ,                   ,15                 ,38                       ,                ,21                      ,13                  ,59                     ,                ,                ,16               ,18                ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,N. trispinosa(M & H),              ,120, 748,B, 14,H, 1,  52.00,    114.6200,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,3                      ,                     ,                       ,2                                      ,123             ,                                ,                            ,                                 ,                             ,                               ,                   ,36                 ,2                        ,                ,85                      ,1                   ,11                     ,20              ,12              ,5                ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,B. paulschulzii(M&H),              ,120, 748,B, 14,H, 4,  47.00,    119.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,1                      ,                     ,4                      ,                                       ,9               ,1                               ,                            ,                                 ,                             ,                               ,                   ,1                  ,40                       ,                ,                        ,1                   ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,Early Oligocene  ,B. paulschulzii(M&H),              ,120, 748,B, 16,H, 4,  47.00,    137.9000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,1                      ,                     ,1                      ,                                       ,2               ,                                ,                            ,                                 ,                             ,                               ,2                  ,                   ,                         ,                ,1                       ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. grandis        ,              ,120, 748,B, 17,H, 4,  47.00,    147.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,6                             ,                       ,                     ,5                      ,                                       ,                ,                                ,2                           ,1                                ,                             ,                               ,                   ,                   ,                         ,                ,2                       ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. grandis        ,              ,120, 748,B, 18,H, 3,  47.00,    155.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,3                             ,                       ,                     ,                       ,                                       ,                ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,                        ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. grandis        ,              ,120, 748,B, 18,H, 6,  47.00,    160.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,                              ,                       ,                     ,5                      ,                                       ,                ,                                ,1                           ,1                                ,2                            ,                               ,1                  ,                   ,2                        ,                ,                        ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. grandis        ,              ,120, 748,B, 18,H, 7,  47.00,    161.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,1                             ,                       ,                     ,3                      ,                                       ,                ,1                               ,1                           ,                                 ,1                            ,                               ,                   ,                   ,                         ,1               ,                        ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. grandis        ,              ,120, 748,B, 19,H, 3,  47.00,    165.0700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                      ,2                             ,1                      ,24                   ,96                     ,5                                      ,1               ,13                              ,6                           ,10                               ,12                           ,2                              ,14                 ,4                  ,4                        ,                ,                        ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,D. grandis        ,              ,120, 748,B, 20,H, 1,  47.00,    171.5700,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                     ,3                             ,1                      ,                     ,                       ,                                       ,                ,                                ,                            ,                                 ,                             ,                               ,                   ,                   ,                         ,                ,                        ,                    ,                       ,                ,                ,                 ,                  ,                                                      ,                    ,                         ,                                                      ,                                                          ,                                        ,                    ,                                               ,                               ,                              ,                      ,                                        ,                                       ,from ODP Leg 120 SR Vol 2 Chapter 42 Table 3 p 818-819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
