Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus santaeannae	Spongotrochus glacialis	Prunopyle hayesi	Helotholus haysi	Eucyrtidium pseudoinflatum	Druppatractus hastatus	Desmospyris rhodospyroides	Dendrospyris cf. megalocephalis	Cycladophora spongothorax	Acrosphaera australis	Stylatractus universus	Stichocorys peregrina	Siphonosphaera vesuvius	Prunopyle titan	Eucyrtidium cienkowskii	Cycladophora bicornis	Antarctissa deflandrei	Eucyrtidium inflatum	Eucyrtidium biconicum	Botryopera deflandrei	Eucyrtidium calvertense	Cycladophora pliocenica	Acrosphaera mercurius	Theocorys redondoensis	Spongodiscus craticulatus	Lychnocanium grande	Helotholus praevema	Cycladophora humerus	Stylacontarium bispiculum	Rhopalastrum spp.	Pterocanium korotnevi	Lampromitra coronata	Anthocyrtella (?) callopisma	Prunopyle trypopyrena	Gondwanaria hister	Antarctissa strelkovi	Ceratocyrtis sp.	Velicucullus sp.	Anthocyrtidium ehrenbergi	Triceraspyris coronata	Stylatractus universus var. transparum	Cyrtocapsella japonica	Prunopyle tetrapila	Phorticium clevei	Botryopera triloba	Anthocyrtidium spp.	Didymocyrtis/Diartus spp.	Stichopileum bicorne?	Antarctissa denticulata	Lithartractus timmsi?	Lamprocyclas aegles	Acrosphaera labrata	Calocyclas humerus	Saturnalis circularis	Amphymenium challengerae	Rhizosphaera antarctica	Pseudocubus vema	Desmospyris spongiosa	Antarctissa cylindrica	Comment

  SR	                 	                 	A. challengerae   	              	119	 746	A	  4	H	 3	  53.00	    168.3300	Lazarus  	Radiolarians                                 	C              	MG                	                        	F                      	                	                	R                         	                      	                          	                               	                         	                     	+                     	F                    	                       	               	                       	F                    	                      	                    	                     	                     	                       	R                      	R                    	                      	                         	F                  	                   	                    	                         	                 	                     	                    	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	F                      	R                    	                   	C                  	                  	                     	R                       	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. challengerae   	              	119	 746	A	  4	H	 4	  53.00	    169.8300	Lazarus  	Radiolarians                                 	A              	G                 	R                       	F                      	                	                	C                         	+                     	+                         	                               	                         	+                    	+                     	F                    	                       	R              	                       	                     	                      	                    	                     	                     	                       	C                      	R                    	                      	                         	C                  	                   	                    	                         	                 	R                    	R                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	+                  	                         	                     	                       	F                    	                   	F                  	                  	+                    	R                       	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  4	H	 5	  53.00	    171.3300	Lazarus  	Radiolarians                                 	C              	G                 	R                       	R                      	                	                	R                         	R                     	                          	                               	                         	                     	+                     	F                    	                       	               	                       	F                    	                      	                    	                     	                     	                       	R                      	R                    	                      	                         	C                  	                   	                    	                         	                 	                     	                    	                            	                     	                  	A                    	                	                	                         	R                     	                                      	                      	                   	                 	                  	R                  	                         	                     	F                      	F                    	R                  	C                  	                  	+                    	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  4	H	 6	  53.00	    172.8300	Lazarus  	Radiolarians                                 	C              	VG                	R                       	                       	+               	                	                          	                      	                          	                               	                         	                     	                      	F                    	                       	               	                       	                     	                      	                    	                     	                     	F                      	                       	                     	                      	                         	C                  	                   	                    	                         	                 	                     	+                   	                            	                     	                  	C                    	                	                	                         	+                     	                                      	                      	                   	                 	                  	                   	+                        	                     	A                      	C                    	                   	R                  	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR8               	NR7           	119	 746	A	  4	H	CC	  23.00	    174.6300	Caulet   	Radiolarians                                 	A              	G                 	                        	                       	                	                	                          	                      	                          	                               	                         	                     	                      	                     	                       	?              	                       	                     	                      	                    	                     	                     	                       	C                      	                     	                      	                         	A                  	C                  	                    	                         	                 	                     	                    	T                           	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	A. labrata        	              	119	 746	A	  5	H	 1	  53.00	    174.8300	Lazarus  	Radiolarians                                 	A              	VG                	R                       	                       	                	                	                          	                      	R                         	                               	                         	                     	R                     	F                    	                       	F              	                       	                     	R                     	                    	                     	                     	                       	F                      	                     	                      	                         	C                  	                   	                    	                         	                 	                     	                    	                            	                     	                  	A                    	                	                	                         	R                     	                                      	                      	                   	                 	                  	R                  	                         	                     	C                      	F                    	                   	F                  	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  5	H	 3	  53.00	    177.8300	Lazarus  	Radiolarians                                 	C              	M                 	R                       	                       	                	+               	+                         	                      	                          	R                              	                         	                     	                      	A                    	                       	R              	                       	R                    	C                     	                    	                     	                     	R                      	                       	                     	                      	                         	R                  	                   	                    	+                        	                 	                     	+                   	                            	                     	                  	A                    	                	                	                         	R                     	                                      	                      	                   	                 	                  	+                  	                         	                     	C                      	R                    	                   	C                  	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  5	H	 4	  53.00	    179.3300	Lazarus  	Radiolarians                                 	F              	M                 	                        	                       	                	                	F                         	+                     	                          	                               	                         	                     	C                     	C                    	                       	               	                       	                     	                      	                    	                     	                     	                       	F                      	                     	                      	                         	F                  	                   	                    	                         	                 	F                    	                    	                            	                     	                  	F                    	                	                	                         	R                     	                                      	                      	                   	                 	                  	                   	                         	                     	C                      	                     	                   	R                  	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  5	H	 5	  53.00	    180.8300	Lazarus  	Radiolarians                                 	A              	G                 	R                       	R                      	                	                	F                         	                      	R                         	                               	                         	                     	C                     	A                    	                       	               	                       	                     	                      	                    	                     	                     	                       	F                      	                     	                      	                         	C                  	                   	                    	                         	+                	R                    	+                   	                            	                     	                  	A                    	                	                	                         	C                     	R                                     	                      	                   	                 	                  	+                  	                         	                     	A                      	F                    	                   	C                  	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  5	H	 6	  53.00	    182.3300	Lazarus  	Radiolarians                                 	C              	MG                	R                       	                       	                	                	F                         	+                     	                          	                               	                         	                     	C                     	C                    	                       	               	                       	                     	F                     	                    	                     	                     	                       	F                      	R                    	                      	                         	F                  	                   	                    	                         	+                	                     	                    	                            	                     	                  	R                    	                	                	                         	+                     	F                                     	                      	                   	                 	                  	+                  	                         	+                    	C                      	F                    	F                  	R                  	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	  5	H	CC	  22.00	    184.2800	Caulet   	Radiolarians                                 	A              	G                 	                        	                       	R               	                	                          	                      	                          	                               	                         	                     	R                     	A                    	                       	               	R                      	                     	                      	                    	R                    	                     	                       	C                      	                     	                      	                         	C                  	R                  	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	A. labrata        	              	119	 746	A	  6	H	 2	  53.00	    185.8300	Lazarus  	Radiolarians                                 	A              	G                 	R                       	                       	                	                	+                         	F                     	                          	                               	                         	                     	+                     	A                    	                       	               	                       	                     	                      	                    	                     	                     	+                      	C                      	R                    	                      	                         	R                  	                   	                    	                         	+                	C                    	                    	                            	                     	                  	C                    	                	                	                         	R                     	                                      	                      	                   	                 	                  	+                  	C                        	                     	C                      	+                    	R                  	R                  	                  	R                    	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  6	H	 3	  53.00	    187.3300	Lazarus  	Radiolarians                                 	A              	G                 	R                       	F                      	                	R               	F                         	R                     	                          	                               	                         	                     	                      	C                    	                       	F              	                       	C                    	R                     	                    	                     	                     	                       	R                      	R                    	                      	                         	F                  	                   	                    	                         	                 	F                    	R                   	                            	                     	                  	C                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	R                        	                     	C                      	+                    	R                  	F                  	                  	+                    	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  6	H	 4	  53.00	    188.8300	Lazarus  	Radiolarians                                 	F              	G                 	+                       	                       	                	R               	                          	R                     	                          	                               	                         	                     	                      	F                    	R                      	               	                       	                     	                      	                    	                     	                     	F                      	R                      	                     	                      	                         	C                  	                   	                    	                         	R                	                     	+                   	                            	                     	                  	F                    	                	                	                         	+                     	                                      	                      	                   	                 	                  	+                  	                         	                     	C                      	F                    	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  6	H	 6	  53.00	    191.8300	Lazarus  	Radiolarians                                 	C              	M                 	R                       	                       	                	R               	R                         	R                     	                          	                               	                         	                     	                      	R                    	                       	               	R                      	R                    	C                     	                    	                     	                     	                       	R                      	R                    	                      	                         	F                  	                   	                    	                         	                 	F                    	R                   	                            	                     	                  	C                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	+                        	                     	A                      	                     	+                  	R                  	+                 	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	A. labrata        	              	119	 746	A	  6	H	 7	  16.00	    192.9600	Lazarus  	Radiolarians                                 	C              	MG                	R                       	R                      	                	+               	R                         	F                     	                          	                               	                         	                     	C                     	R                    	+                      	F              	+                      	F                    	                      	                    	                     	                     	                       	F                      	R                    	                      	                         	R                  	                   	                    	                         	R                	R                    	R                   	                            	                     	                  	A                    	                	                	                         	R                     	                                      	                      	                   	                 	                  	                   	+                        	                     	C                      	R                    	+                  	R                  	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	  6	H	CC	  13.00	    193.4500	Caulet   	Radiolarians                                 	A              	G                 	                        	                       	T               	                	                          	                      	T                         	                               	                         	                     	                      	T                    	                       	               	                       	                     	                      	T                   	                     	                     	                       	R                      	                     	                      	                         	R                  	A                  	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	S. veruvius       	              	119	 746	A	  7	H	 2	  53.00	    195.3300	Lazarus  	Radiolarians                                 	A              	G                 	R                       	                       	                	R               	R                         	R                     	                          	                               	                         	+                    	R                     	C                    	R                      	+              	                       	                     	F                     	                    	                     	                     	F                      	C                      	R                    	                      	                         	R                  	                   	                    	                         	+                	F                    	F                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	+                    	A                      	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	S. veruvius       	              	119	 746	A	  7	H	 4	  53.00	    198.3300	Lazarus  	Radiolarians                                 	C              	MG                	R                       	                       	                	R               	F                         	R                     	                          	                               	                         	+                    	R                     	A                    	R                      	F              	R                      	F                    	C                     	                    	                     	                     	F                      	C                      	                     	                      	                         	R                  	                   	                    	                         	R                	                     	                    	                            	                     	                  	C                    	                	                	                         	+                     	                                      	+                     	                   	                 	                  	+                  	+                        	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	S. veruvius       	              	119	 746	A	  7	H	 6	  53.00	    201.3300	Lazarus  	Radiolarians                                 	A              	G                 	R                       	+                      	                	R               	F                         	F                     	                          	                               	                         	+                    	                      	C                    	R                      	R              	                       	F                    	C                     	                    	                     	                     	F                      	F                      	+                    	                      	                         	+                  	                   	                    	                         	                 	                     	+                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	+                  	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	  7	H	CC	  23.00	    203.0700	Caulet   	Radiolarians                                 	A              	G                 	                        	                       	R               	                	                          	                      	                          	                               	                         	                     	                      	T                    	                       	               	                       	                     	                      	                    	                     	                     	                       	R                      	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	S. veruvius       	              	119	 746	A	  8	H	 1	  53.00	    203.3300	Lazarus  	Radiolarians                                 	C              	G                 	F                       	+                      	                	R               	R                         	R                     	                          	                               	                         	+                    	                      	C                    	R                      	F              	                       	F                    	                      	                    	                     	                     	R                      	                       	R                    	                      	                         	R                  	                   	                    	                         	                 	                     	                    	                            	                     	                  	A                    	+               	                	                         	                      	                                      	                      	                   	                 	                  	+                  	R                        	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	S. veruvius       	              	119	 746	A	  8	H	 3	  53.00	    206.3300	Lazarus  	Radiolarians                                 	C              	G                 	+                       	                       	+               	F               	F                         	+                     	R                         	                               	                         	R                    	+                     	F                    	F                      	               	R                      	C                    	                      	                    	                     	                     	F                      	                       	                     	                      	                         	                   	                   	                    	                         	                 	R                    	                    	                            	                     	                  	A                    	                	                	                         	R                     	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	S. veruvius       	              	119	 746	A	  8	H	CC	  20.00	    209.1000	Lazarus  	Radiolarians                                 	C              	MG                	+                       	+                      	                	R               	+                         	                      	F                         	                               	                         	C                    	+                     	C                    	C                      	               	                       	                     	                      	                    	                     	                     	                       	F                      	+                    	                      	                         	R                  	                   	                    	                         	+                	                     	R                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	R                  	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	  8	H	CC	  38.00	    209.2800	Caulet   	Radiolarians                                 	F              	G                 	                        	                       	T               	                	                          	                      	                          	                               	                         	                     	                      	                     	                       	               	                       	                     	                      	T                   	R                    	                     	                       	                       	                     	T                     	                         	R                  	R                  	                    	                         	                 	                     	                    	R                           	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	R                 	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	  9	H	 4	  48.00	    214.2800	Caulet   	Radiolarians                                 	C              	G                 	                        	                       	                	                	                          	                      	                          	                               	                         	                     	R                     	T                    	                       	               	                       	                     	                      	                    	                     	                     	                       	                       	                     	                      	R                        	T                  	C                  	C                   	                         	                 	                     	                    	R                           	                     	                  	                     	                	R               	                         	                      	                                      	                      	R                  	                 	F                 	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	  9	H	 5	  48.00	    215.7800	Caulet   	Radiolarians                                 	C              	G                 	R                       	T                      	                	R               	R                         	R                     	R                         	                               	                         	A                    	R                     	R                    	C                      	               	                       	                     	C                     	R                   	R                    	                     	R                      	F                      	                     	                      	                         	+                  	C                  	C                   	                         	                 	R                    	+                   	F                           	                     	                  	A                    	                	                	                         	R                     	                                      	                      	F                  	R                	R                 	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	  9	H	CC	  25.00	    217.6700	Caulet   	Radiolarians                                 	C              	G                 	                        	                       	                	                	                          	                      	R                         	                               	                         	                     	                      	R                    	                       	               	                       	                     	                      	R                   	                     	                     	                       	                       	                     	                      	                         	R                  	C                  	T                   	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	R                  	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	S. veruvius       	              	119	 746	A	 10	H	 1	  53.00	    218.3300	Lazarus  	Radiolarians                                 	C              	G                 	R                       	                       	                	R               	+                         	R                     	A                         	                               	                         	C                    	                      	                     	F                      	               	                       	F                    	C                     	                    	                     	                     	R                      	C                      	+                    	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	S. veruvius       	              	119	 746	A	 10	H	 3	  53.00	    221.3300	Lazarus  	Radiolarians                                 	R              	G                 	                        	                       	                	                	R                         	                      	A                         	+                              	                         	                     	                      	A                    	C                      	               	                       	                     	                      	                    	                     	                     	                       	                       	+                    	                      	                         	                   	                   	                    	                         	                 	+                    	                    	                            	                     	                  	F                    	+               	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	                 	                 	S. veruvius       	              	119	 746	A	 10	H	 5	  53.00	    224.3300	Lazarus  	Radiolarians                                 	C              	G                 	R                       	                       	                	F               	F                         	+                     	C                         	                               	                         	C                    	                      	C                    	C                      	               	                       	R                    	F                     	                    	                     	                     	                       	R                      	                     	                      	                         	                   	                   	                    	                         	R                	R                    	                    	                            	                     	                  	A                    	+               	                	                         	                      	                                      	+                     	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR9               	              	119	 746	A	 10	H	CC	  44.00	    227.6800	Caulet   	Radiolarians                                 	C              	G                 	                        	                       	R               	                	                          	                      	A                         	                               	                         	                     	                      	T                    	                       	               	T                      	                     	                      	R                   	                     	                     	                       	                       	                     	                      	                         	                   	                   	                    	                         	                 	                     	                    	                            	                     	                  	                     	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	                 	                 	S. veruvius       	              	119	 746	A	 11	X	 1	  53.00	    227.8300	Lazarus  	Radiolarians                                 	A              	G                 	F                       	                       	R               	R               	C                         	                      	A                         	                               	                         	C                    	+                     	R                    	C                      	R              	                       	                     	F                     	                    	                     	                     	R                      	C                      	                     	                      	                         	                   	                   	                    	                         	R                	F                    	                    	                            	                     	                  	A                    	                	                	                         	+                     	+                                     	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from ODP Leg 120 SR Vol 2 Chapter 41 Table 2 microfiche backpocket & Fig 4 p 790

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 11	X	 2	  53.00	    229.3300	Caulet   	Radiolarians                                 	R              	M                 	                        	                       	R               	                	                          	                      	A                         	                               	                         	                     	T                     	                     	                       	               	T                      	                     	                      	F                   	R                    	                     	                       	                       	                     	                      	T                        	R                  	R                  	T                   	                         	                 	                     	                    	                            	T                    	                  	                     	                	T               	T                        	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 11	X	 3	  53.00	    230.8300	Caulet   	Radiolarians                                 	R              	P                 	R                       	                       	T               	R               	+                         	+                     	A                         	                               	                         	R                    	R                     	R                    	C                      	+              	T                      	                     	F                     	                    	R                    	                     	F                      	R                      	                     	                      	                         	                   	                   	T                   	                         	+                	+                    	                    	                            	                     	                  	C                    	+               	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 11	X	 4	  53.00	    232.3300	Caulet   	Radiolarians                                 	R              	M                 	R                       	+                      	R               	+               	R                         	R                     	C                         	                               	                         	F                    	R                     	R                    	C                      	+              	                       	R                    	A                     	                    	                     	                     	                       	+                      	                     	                      	T                        	                   	T                  	T                   	                         	                 	R                    	+                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

  SR	Late Miocene     	                 	NR10              	              	119	 746	A	 11	X	 5	  53.00	    233.8300	Caulet   	Radiolarians                                 	R              	G                 	R                       	                       	R               	+               	R                         	                      	C                         	                               	R                        	C                    	                      	                     	C                      	R              	                       	                     	R                     	                    	T                    	                     	R                      	F                      	+                    	                      	                         	                   	R                  	R                   	                         	+                	                     	+                   	                            	                     	                  	A                    	                	                	                         	                      	                                      	                      	                   	                 	                  	                   	                         	                     	                       	                     	                   	                   	                  	                     	                        	                       	                	                     	                      	from 119 SR Chapter 28 Table 8 page 526.

