Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Trifarina spp.,Siphonina tenuicarinata,Globocassidulina subglobosa,Cibicidoides spp.,Cibicidoides laurisae,Bolivina spp.,Stilostomella spp.,Uvigerina hispidocostata,Sphaeroidina bulloides,Pullenia spp.,Pleurostomella spp.,Osangularia spp.,Bulimina marginata,Anomalinoides spp.,Uvigerina proboscidea,Planulina wuellerstorfi,Oridorsalis umbonatus,Nodosariid taxa,Miliolids species,Martinottiella communis,Lenticulina spp.,Karreriella bradyi,Bulimina spp.,Tritaxa spp.,Elphidium spp.,Textularia spp.,Eggerella bradyi,Laticarinina pauperata,Uvigerina spp.,Loxostomum spp.,Patellina corrugata,Loxostomoides spp.,Bulimina aculeata,Sigmoilopsis schlumbergeri,Hoeglundina elegans,Sigmoilina obesa,Rosalina spp.,Cancris auricula,Lenticulina peregrina,Cibicidoides dutemplei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 17,H,CC,  18.00,    160.8000,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,                 ,              ,                       ,                           ,F                ,                     ,             ,                  ,F                       ,                      ,             ,                   ,                ,                  ,R                 ,                     ,                       ,                     ,               ,                 ,                       ,                ,                  ,R            ,            ,R             ,R              ,                ,                      ,R             ,A              ,                   ,C                 ,                 ,                          ,                   ,R               ,R            ,R               ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 21,X,CC,  34.00,    193.5100,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,                 ,              ,                       ,                           ,F                ,                     ,             ,                  ,R                       ,                      ,             ,                   ,                ,                  ,                  ,                     ,                       ,                     ,               ,R                ,                       ,                ,                  ,             ,            ,              ,               ,                ,                      ,              ,A              ,                   ,C                 ,                 ,R                         ,R                  ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 22,X,CC,  35.00,    205.8500,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,                 ,R             ,                       ,                           ,F                ,                     ,             ,                  ,                        ,R                     ,             ,                   ,                ,                  ,                  ,                     ,R                      ,                     ,R              ,R                ,R                      ,                ,R                 ,             ,            ,F             ,R              ,                ,                      ,              ,C              ,R                  ,C                 ,                 ,R                         ,F                  ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 23,X,CC,  29.00,    215.9300,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                 ,              ,                       ,                           ,F                ,                     ,             ,                  ,                        ,                      ,             ,                   ,                ,                  ,F                 ,                     ,R                      ,                     ,               ,                 ,R                      ,                ,                  ,             ,            ,              ,R              ,                ,                      ,R             ,F              ,                   ,R                 ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 24,X,CC,  17.00,    224.7000,Holbourn ,Benthic Foraminifers                         ,R              ,M                 ,                 ,              ,                       ,                           ,F                ,                     ,             ,                  ,R                       ,                      ,             ,                   ,                ,                  ,F                 ,                     ,R                      ,                     ,               ,                 ,                       ,                ,                  ,             ,            ,R             ,               ,                ,                      ,R             ,C              ,                   ,F                 ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 25,X,CC,  24.00,    234.3400,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,                 ,              ,                       ,                           ,F                ,                     ,             ,                  ,                        ,                      ,             ,                   ,                ,                  ,R                 ,                     ,                       ,                     ,               ,                 ,R                      ,                ,                  ,             ,            ,              ,R              ,                ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 26,X,CC,  27.00,    240.5900,Holbourn ,Benthic Foraminifers                         ,F              ,P                 ,                 ,R             ,                       ,                           ,F                ,                     ,R            ,                  ,                        ,                      ,             ,                   ,                ,F                 ,F                 ,                     ,                       ,                     ,               ,R                ,                       ,                ,                  ,R            ,            ,F             ,               ,                ,                      ,R             ,R              ,R                  ,A                 ,R                ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 27,X,CC,  19.00,    254.2700,Holbourn ,Benthic Foraminifers                         ,R              ,P                 ,                 ,R             ,                       ,                           ,R                ,                     ,F            ,                  ,                        ,                      ,             ,                   ,                ,R                 ,R                 ,                     ,F                      ,                     ,               ,                 ,                       ,                ,                  ,             ,            ,              ,R              ,                ,                      ,F             ,F              ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 28,X,CC,  59.00,    263.2600,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                 ,F             ,                       ,R                          ,F                ,                     ,C            ,                  ,R                       ,                      ,R            ,R                  ,                ,R                 ,F                 ,R                    ,F                      ,R                    ,R              ,                 ,R                      ,                ,                  ,             ,            ,              ,               ,                ,F                     ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 29,X,CC,  36.00,    273.7100,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                 ,              ,                       ,                           ,C                ,                     ,F            ,                  ,                        ,                      ,R            ,R                  ,                ,                  ,F                 ,R                    ,F                      ,                     ,               ,                 ,                       ,                ,                  ,             ,            ,              ,               ,R               ,R                     ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 30,X,CC,  31.00,    282.8500,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                 ,F             ,F                      ,                           ,F                ,                     ,             ,                  ,R                       ,R                     ,             ,                   ,                ,R                 ,C                 ,                     ,R                      ,R                    ,               ,                 ,R                      ,                ,                  ,             ,            ,              ,               ,R               ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 31,X,CC,  31.00,    292.7500,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                 ,F             ,R                      ,                           ,C                ,                     ,R            ,                  ,                        ,                      ,R            ,                   ,F               ,R                 ,                  ,                     ,F                      ,                     ,R              ,                 ,R                      ,                ,                  ,             ,            ,              ,R              ,                ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 32,X,CC,  23.00,    302.4100,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,                 ,              ,                       ,                           ,F                ,                     ,R            ,                  ,                        ,R                     ,             ,                   ,F               ,R                 ,F                 ,                     ,R                      ,F                    ,               ,                 ,R                      ,                ,                  ,R            ,C           ,R             ,               ,                ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 33,X,CC,  29.00,    312.0700,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,                 ,F             ,R                      ,                           ,C                ,                     ,F            ,                  ,R                       ,R                     ,             ,                   ,                ,                  ,F                 ,R                    ,F                      ,R                    ,R              ,R                ,F                      ,R               ,R                 ,R            ,            ,              ,               ,                ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 34,X,CC,  36.00,    320.1200,Holbourn ,Benthic Foraminifers                         ,F              ,M                 ,R                ,F             ,                       ,                           ,F                ,                     ,F            ,                  ,R                       ,R                     ,R            ,F                  ,R               ,R                 ,F                 ,                     ,                       ,                     ,               ,                 ,                       ,                ,                  ,             ,            ,              ,               ,                ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 35,X,CC,  27.00,    328.8900,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,R                ,C             ,F                      ,R                          ,F                ,F                    ,A            ,F                 ,                        ,                      ,             ,                   ,                ,                  ,                  ,                     ,                       ,                     ,               ,                 ,                       ,                ,                  ,             ,            ,              ,               ,                ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1130,A, 38,X,CC,  17.00,    351.3700,Holbourn ,Benthic Foraminifers                         ,C              ,M                 ,R                ,C             ,F                      ,R                          ,F                ,F                    ,A            ,                  ,                        ,                      ,             ,                   ,                ,                  ,                  ,                     ,                       ,                     ,               ,                 ,                       ,                ,                  ,             ,            ,              ,               ,                ,                      ,              ,               ,                   ,                  ,                 ,                          ,                   ,                ,             ,                ,                     ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
