Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bryozoa (unspecified),Comment
  SR,                 ,                 ,                  ,              ,104, 643,A,  4,H, 2,  78.00,     26.5800,Spiegler ,Macrofossils                                 ,               ,                  ,-                    ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  4,H, 3,  98.00,     28.2800,Spiegler ,Macrofossils                                 ,               ,                  ,-                    ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  4,H, 5,  98.00,     31.2800,Spiegler ,Macrofossils                                 ,               ,                  ,-                    ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 3, 140.00,     38.2000,Spiegler ,Macrofossils                                 ,               ,                  ,VR                   ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 4,  40.00,     38.7000,Spiegler ,Macrofossils                                 ,               ,                  ,VR                   ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 5,  40.00,     40.2000,Spiegler ,Macrofossils                                 ,               ,                  ,-                    ,Age of ice-rafted fossils = Oligocene to early Miocene; from ODP 104 SR Chapter 37  Table 2  p 743
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 6, 140.00,     42.7000,Spiegler ,Macrofossils                                 ,               ,                  ,VR                   ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  6,H, 1,  59.00,     43.8900,Spiegler ,Macrofossils                                 ,               ,                  ,-                    ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  6,H, 1,  81.00,     44.1100,Spiegler ,Macrofossils                                 ,               ,                  ,-                    ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  6,H, 2,  18.00,     44.9800,Spiegler ,Macrofossils                                 ,               ,                  ,-                    ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,
