Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Prunopyle frakesi,Lychnocanoma grande,Helotholus praevema,Eucyrtidium biconicum,Desmospyris rhodospyroides,Cycladophora pliocenica,Rhopalastrum spp.,Prunopyle titan,Lychnocanium grande,Eucyrtidium pseudoinflatum,Cycladophora bicornis,Antarctissa strelkovi,Amphymenium challengerae,Acrosphaera mercurius,Acrosphaera labrata,Triceraspyris coronata,Stylatractus universus,Stylatractus santaeannae,Spongotrochus glacialis,Prunopyle tetrapila,Eucyrtidium cienkowskii,Anthocyrtella (?) callopisma,Antarctissa robusta,Antarctissa cylindrica,Streblacantha circumtexta,Theocorys redondoensis,Saturnalis circularis,Prunopyle buspinigerum,Haliommetta miocenica,Eucyrtidium inflatum,Druppatractus hastatus,Antarctissa deflandrei,Rhizosphaera antarctica,Eucyrtidium calvertense,Antarctissa denticulata,Lampromitra coronata,Lamprocyrtis heteroporos,Stylatractus universus var. transparum,Eucyrtidium teuscheri orthoporus,Pterocorys clausus,Desmospyris spongiosa,Phorticium clevei,Helotholus vema,Pseudocubus vema,Botryopera triloba,Gondwanaria dogieli,Acanthodesmia viniculata,Cycladophora davisiana,Phormostichoartus pitomorphus,Pterocanium trilobum,Actinomma popofskii,Eucyrtidium teuscheri teuscheri,Triceraspyris antarctica,Saccospyris conithorax,Saccospyris antarctica,Lithelius nautiloides,Prunopyle antarctica,Plectacantha sp.,Mitrocalpis araneafera,Dictyophimus(?) mawsoni,Litharachnium tentorium,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,              ,119, 745,B,  3,H, 3,  53.00,     18.0300,Caulet   ,Radiolarians                                 ,F              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,                     ,                        ,                     ,                   ,                      ,T                     ,                        ,R                      ,                   ,                       ,                            ,                   ,                      ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,A                 ,                   ,R                       ,A                     ,                             ,                    ,                   ,                               ,F                       ,R                     ,F                     ,F                    ,F                   ,C               ,                      ,                       ,T                      ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,              ,119, 745,B,  3,H,CC,  10.00,     23.9000,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,C                    ,C                    ,                        ,                     ,                   ,                      ,R                     ,                        ,                       ,                   ,                       ,                            ,                   ,                      ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,A                 ,                   ,R                       ,A                     ,                             ,R                   ,                   ,                               ,                        ,                      ,C                     ,R                    ,C                   ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,              ,119, 745,B,  4,H,CC,   9.00,     33.7400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,C                    ,                     ,                        ,                     ,                   ,                      ,R                     ,                        ,C                      ,                   ,                       ,                            ,                   ,                      ,                         ,                      ,T                    ,                      ,                     ,                    ,                      ,                      ,C                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,A                 ,                   ,A                       ,C                     ,                             ,                    ,                   ,                               ,C                       ,                      ,C                     ,R                    ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,              ,119, 745,B,  5,H, 1,  53.00,     34.0300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,R                    ,                        ,                     ,                   ,                      ,F                     ,                        ,F                      ,                   ,                       ,R                           ,                   ,                      ,                         ,                      ,                     ,                      ,R                    ,                    ,                      ,                      ,T                      ,T                      ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,R                ,               ,                ,A                 ,T                  ,R                       ,A                     ,                             ,R                   ,R                  ,T                              ,C                       ,R                     ,F                     ,R                    ,C                   ,                ,T                     ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR2               ,              ,119, 745,B,  5,H, 2,  53.00,     35.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,R                    ,                        ,                     ,                   ,                      ,C                     ,                        ,                       ,                   ,                       ,R                           ,                   ,R                     ,T                        ,                      ,                     ,                      ,T                    ,                    ,                      ,                      ,R                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,F                ,               ,                ,A                 ,T                  ,R                       ,A                     ,                             ,R                   ,R                  ,R                              ,F                       ,R                     ,R                     ,R                    ,C                   ,                ,T                     ,                       ,R                      ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  5,H, 3,  53.00,     37.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,R                    ,                        ,                     ,                   ,                      ,F                     ,                        ,F                      ,                   ,                       ,R                           ,                   ,R                     ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,F                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,R                ,               ,                ,A                 ,T                  ,                        ,C                     ,T                            ,                    ,                   ,R                              ,F                       ,R                     ,R                     ,R                    ,F                   ,R               ,                      ,T                      ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  5,H, 4,  53.00,     38.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,R                    ,                        ,                     ,                   ,                      ,F                     ,                        ,R                      ,                   ,                       ,R                           ,                   ,R                     ,                         ,                      ,R                    ,                      ,R                    ,                    ,                      ,                      ,T                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,R                 ,                     ,R                ,               ,                ,A                 ,T                  ,R                       ,C                     ,                             ,R                   ,                   ,T                              ,F                       ,T                     ,R                     ,R                    ,F                   ,R               ,                      ,                       ,T                      ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  5,H, 5,  53.00,     40.0300,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,F                    ,R                    ,                        ,                     ,                   ,                      ,R                     ,                        ,T                      ,                   ,                       ,R                           ,                   ,F                     ,R                        ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,T                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,R                 ,                     ,T                ,               ,                ,A                 ,T                  ,R                       ,A                     ,R                            ,R                   ,                   ,T                              ,C                       ,R                     ,F                     ,R                    ,C                   ,R               ,T                     ,                       ,T                      ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  5,H, 6,  53.00,     41.5300,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,F                    ,R                    ,                        ,                     ,                   ,                      ,F                     ,                        ,R                      ,                   ,                       ,                            ,                   ,R                     ,                         ,                      ,R                    ,                      ,R                    ,                    ,                      ,                      ,R                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,T                ,               ,                ,A                 ,                   ,R                       ,A                     ,                             ,R                   ,                   ,R                              ,C                       ,T                     ,F                     ,F                    ,C                   ,R               ,R                     ,R                      ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  5,H,CC,   8.00,     43.2800,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,                     ,                        ,                     ,                   ,                      ,R                     ,                        ,                       ,                   ,                       ,R                           ,                   ,                      ,                         ,                      ,R                    ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,A                      ,                    ,                        ,                                      ,                                ,R                 ,                     ,R                ,               ,                ,F                 ,                   ,                        ,A                     ,T                            ,R                   ,                   ,T                              ,R                       ,                      ,                      ,                     ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  6,H,CC,  17.00,     52.2800,Caulet   ,Radiolarians                                 ,A              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,                     ,                        ,                     ,                   ,                      ,R                     ,                        ,C                      ,                   ,                       ,                            ,                   ,C                     ,                         ,                      ,C                    ,                      ,                     ,                    ,                      ,                      ,                       ,R                      ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,                  ,                   ,                        ,C                     ,                             ,C                   ,                   ,                               ,C                       ,                      ,                      ,                     ,R                   ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  7,H,CC,   7.00,     62.2100,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,R                    ,R                    ,                        ,                     ,                   ,                      ,C                     ,                        ,C                      ,                   ,                       ,R                           ,                   ,                      ,                         ,                      ,C                    ,                      ,                     ,                    ,                      ,                      ,C                      ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,                  ,                   ,                        ,C                     ,                             ,C                   ,                   ,                               ,C                       ,R                     ,                      ,R                    ,R                   ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  8,H,CC,  10.00,     71.8100,Caulet   ,Radiolarians                                 ,F              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,                     ,                     ,                        ,                     ,                   ,                      ,                      ,                        ,R                      ,                   ,                       ,R                           ,                   ,C                     ,                         ,                      ,C                    ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,A                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,C                 ,                   ,                        ,C                     ,                             ,R                   ,                   ,                               ,                        ,                      ,                      ,                     ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B,  9,H,CC,  28.00,     81.5100,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,                     ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,                       ,                   ,                       ,R                           ,                   ,A                     ,                         ,                      ,R                    ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,                       ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,F                 ,                   ,                        ,C                     ,                             ,                    ,                   ,                               ,F                       ,                      ,R                     ,                     ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B, 10,H, 1,  53.00,     81.5300,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,T                      ,                 ,               ,                   ,                          ,                     ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,R                      ,T                  ,                       ,R                           ,                   ,A                     ,                         ,                      ,F                    ,                      ,R                    ,                    ,                      ,                      ,                       ,                       ,C                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,A                 ,R                  ,R                       ,A                     ,                             ,R                   ,                   ,R                              ,R                       ,R                     ,R                     ,R                    ,T                   ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B, 10,H, 2,  53.00,     83.0300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,T                    ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,R                      ,R                  ,                       ,F                           ,                   ,C                     ,                         ,                      ,R                    ,                      ,R                    ,                    ,                      ,                      ,                       ,T                      ,C                      ,                    ,                        ,                                      ,                                ,                  ,                     ,T                ,               ,                ,A                 ,R                  ,R                       ,A                     ,                             ,R                   ,T                  ,R                              ,R                       ,T                     ,F                     ,R                    ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR3-NR4           ,              ,119, 745,B, 10,H, 3,  53.00,     84.5300,Caulet   ,Radiolarians                                 ,R              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,                     ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,R                      ,                   ,                       ,R                           ,                   ,C                     ,                         ,                      ,R                    ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,F                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,C                 ,T                  ,R                       ,C                     ,                             ,R                   ,                   ,T                              ,                        ,T                     ,R                     ,T                    ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR5               ,              ,119, 745,B, 10,H, 4,  53.00,     86.0300,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,R                      ,                 ,               ,                   ,                          ,                     ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,R                      ,T                  ,                       ,R                           ,                   ,A                     ,                         ,                      ,R                    ,                      ,R                    ,                    ,                      ,                      ,R                      ,                       ,F                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,C                 ,T                  ,                        ,C                     ,                             ,R                   ,                   ,T                              ,R                       ,T                     ,F                     ,T                    ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR5               ,              ,119, 745,B, 10,H, 5,  53.00,     87.5300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                 ,                   ,                   ,                     ,                          ,C                      ,                 ,               ,                   ,                          ,                     ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,F                      ,T                  ,                       ,R                           ,                   ,A                     ,                         ,                      ,F                    ,                      ,R                    ,                    ,                      ,                      ,R                      ,                       ,R                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,C                 ,T                  ,R                       ,C                     ,                             ,R                   ,                   ,T                              ,R                       ,                      ,F                     ,T                    ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR5               ,              ,119, 745,B, 10,H, 6,  53.00,     89.0300,Caulet   ,Radiolarians                                 ,A              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,F                      ,                 ,               ,                   ,                          ,                     ,                     ,                        ,                     ,                   ,                      ,                      ,                        ,R                      ,R                  ,                       ,T                           ,                   ,A                     ,                         ,                      ,F                    ,                      ,R                    ,                    ,                      ,                      ,R                      ,                       ,R                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,R                 ,T                  ,T                       ,C                     ,                             ,R                   ,                   ,T                              ,R                       ,T                     ,R                     ,T                    ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR5               ,              ,119, 745,B, 10,H, 7,  53.00,     90.5300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,F                      ,                 ,               ,                   ,                          ,                     ,                     ,                        ,                     ,                   ,                      ,                      ,                        ,T                      ,R                  ,                       ,R                           ,                   ,A                     ,                         ,                      ,R                    ,                      ,R                    ,                    ,                      ,                      ,                       ,                       ,R                      ,                    ,                        ,                                      ,T                               ,                  ,                     ,                 ,               ,                ,R                 ,T                  ,T                       ,C                     ,                             ,R                   ,                   ,                               ,R                       ,T                     ,R                     ,T                    ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR5               ,              ,119, 745,B, 10,H,CC,  11.00,     90.8000,Caulet   ,Radiolarians                                 ,F              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,                     ,R                    ,                        ,                     ,                   ,                      ,                      ,                        ,                       ,                   ,                       ,R                           ,                   ,A                     ,                         ,                      ,                     ,                      ,                     ,                    ,                      ,                      ,                       ,                       ,R                      ,                    ,                        ,                                      ,                                ,                  ,                     ,                 ,               ,                ,R                 ,                   ,                        ,                      ,                             ,                    ,T                  ,T                              ,                        ,                      ,                      ,                     ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR5               ,              ,119, 745,B, 11,H,CC,  29.00,    100.2400,Caulet   ,Radiolarians                                 ,A              ,M                 ,                     ,                 ,                   ,                   ,                     ,                          ,                       ,                 ,               ,                   ,                          ,                     ,R                    ,                        ,                     ,                   ,                      ,F                     ,                        ,R                      ,R                  ,                       ,R                           ,                   ,                      ,                         ,                      ,R                    ,                      ,                     ,                    ,                      ,                      ,R                      ,R                      ,R                      ,                    ,                        ,                                      ,                                ,                  ,                     ,R                ,               ,                ,R                 ,                   ,                        ,F                     ,                             ,R                   ,                   ,                               ,                        ,                      ,                      ,                     ,                    ,                ,                      ,                       ,                       ,from 119 SR Chapter 28 Table 6 page 524.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
