Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trilete spores (unspecified taxon or taxa),Triadispora obscura,Semiretisporites deanmedii,Plaesiodictyon mosellanum,Monosulcites spp.,Minutosaccus crenulatus,Freshwater Algae (undifferentiated),Enzonalasporites vigens,Deltoidospora spp.,Bisaccate pollen (unspecified taxon or taxa),Bartenia communis,Baltisphaeridium/Veryhachium (unspecified taxon or taxa),Aratrisporites spp.,Araicaroacites australis,Baculatisporites spp.,Ephedripites spp.,Aratrisporites parvispinosus,Aulisporites astigmosus,Aratrisporites minimus,Craterisporites rotundus,Cycadopites stonei,Samaropollenites speciosus,Comment
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 20,X, 2,  73.00,    175.4300,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,F                        ,F                ,R                      ,C                                  ,F                      ,A                 ,C                                           ,A                ,F                                                       ,                   ,                        ,F                    ,                 ,                            ,F                      ,                      ,                        ,                  ,R                         ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 20,X, 3,  17.00,    176.3700,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,                 ,                       ,+                                  ,+                      ,                  ,+                                           ,+                ,+                                                       ,                   ,                        ,+                    ,+                ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 21,X, 1,  78.00,    183.4800,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,R                        ,                 ,F                      ,A                                  ,                       ,C                 ,C                                           ,A                ,R                                                       ,                   ,                        ,R                    ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 21,X,CC,  24.00,    184.1400,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,R                        ,                 ,F                      ,A                                  ,                       ,C                 ,C                                           ,A                ,R                                                       ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 22,X, 1,  75.00,    188.6500,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,                 ,+                      ,+                                  ,+                      ,+                 ,+                                           ,+                ,+                                                       ,+                  ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 22,X, 2,  75.00,    190.1500,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,                 ,+                      ,+                                  ,                       ,+                 ,+                                           ,+                ,                                                        ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 22,X, 3,  74.00,    191.6400,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,                          ,                         ,R                ,C                      ,A                                  ,                       ,F                 ,C                                           ,A                ,F                                                       ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 23,X, 2,  74.00,    195.1400,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,                         ,R                ,R                      ,C                                  ,F                      ,F                 ,A                                           ,C                ,C                                                       ,R                  ,                        ,R                    ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 24,X, 1,  72.00,    198.6200,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,                         ,                 ,F                      ,C                                  ,                       ,C                 ,A                                           ,C                ,F                                                       ,                   ,                        ,                     ,                 ,R                           ,R                      ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 25,X, 1,  26.00,    203.1600,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,                         ,                 ,                       ,R                                  ,                       ,C                 ,A                                           ,R                ,                                                        ,R                  ,                        ,F                    ,                 ,R                           ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 25,X, 1,  74.00,    203.6400,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,A                        ,                 ,                       ,R                                  ,                       ,F                 ,A                                           ,R                ,R                                                       ,R                  ,                        ,R                    ,                 ,R                           ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 25,X, 1,  93.00,    203.8300,Bralower ,Pollen/Spores                                ,               ,                  ,                                          ,                   ,                          ,                         ,                 ,+                      ,+                                  ,+                      ,+                 ,+                                           ,+                ,+                                                       ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 25,X, 2,  10.00,    204.5000,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,                          ,F                        ,                 ,F                      ,C                                  ,F                      ,F                 ,C                                           ,C                ,R                                                       ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,R                         ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 25,X, 2,  74.00,    205.1400,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,                          ,                         ,                 ,R                      ,A                                  ,R                      ,                  ,F                                           ,A                ,F                                                       ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 25,X, 2, 120.00,    205.6000,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,                 ,                       ,+                                  ,                       ,                  ,+                                           ,                 ,                                                        ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 26,X,CC,  61.00,    211.5100,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,                          ,                         ,F                ,F                      ,                                   ,                       ,F                 ,A                                           ,                 ,                                                        ,                   ,                        ,F                    ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 27,X, 1,  73.00,    213.6300,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,                          ,                         ,                 ,                       ,                                   ,                       ,F                 ,A                                           ,                 ,                                                        ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 27,X, 2,  77.00,    215.1700,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,                          ,F                        ,                 ,F                      ,F                                  ,R                      ,F                 ,A                                           ,F                ,                                                        ,                   ,                        ,R                    ,                 ,                            ,                       ,                      ,                        ,                  ,F                         ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 760,A, 28,X, 1,  75.00,    218.6500,Bralower ,Pollen/Spores                                ,B              ,                  ,                                          ,                   ,                          ,                         ,                 ,                       ,                                   ,                       ,                  ,                                            ,                 ,                                                        ,                   ,F                       ,                     ,                 ,                            ,R                      ,                      ,                        ,F                 ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 28,X, 3,  48.00,    221.3800,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,+                ,+                      ,+                                  ,                       ,                  ,+                                           ,+                ,+                                                       ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 30,X, 1,  76.00,    233.1600,Brenner  ,Pollen/Spores                                ,               ,                  ,                                          ,                   ,                          ,                         ,+                ,+                      ,                                   ,                       ,+                 ,+                                           ,                 ,                                                        ,+                  ,+                       ,                     ,+                ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 30,X, 2,  76.00,    234.6600,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,                          ,                         ,F                ,F                      ,F                                  ,F                      ,C                 ,A                                           ,C                ,C                                                       ,                   ,                        ,R                    ,F                ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 30,X, 3,  76.00,    236.1600,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,+                ,+                      ,+                                  ,                       ,+                 ,                                            ,                 ,                                                        ,                   ,+                       ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 30,X, 4,  76.00,    237.6600,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,                 ,+                      ,+                                  ,+                      ,+                 ,                                            ,+                ,+                                                       ,                   ,                        ,+                    ,                 ,                            ,                       ,                      ,+                       ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 30,X, 5,  76.00,    239.1600,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,                 ,+                      ,+                                  ,+                      ,+                 ,                                            ,+                ,+                                                       ,                   ,+                       ,+                    ,                 ,                            ,                       ,                      ,+                       ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 30,X, 6,  76.00,    240.6600,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,R                         ,R                        ,F                ,F                      ,F                                  ,                       ,R                 ,A                                           ,F                ,F                                                       ,R                  ,F                       ,                     ,F                ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 31,X, 1,  74.00,    242.6400,Brenner  ,Pollen/Spores                                ,               ,                  ,F                                         ,                   ,R                         ,                         ,R                ,F                      ,F                                  ,                       ,F                 ,A                                           ,F                ,F                                                       ,R                  ,F                       ,R                    ,                 ,R                           ,R                      ,R                     ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 31,X, 2,  71.00,    244.1100,Brenner  ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,                          ,                         ,F                ,                       ,F                                  ,                       ,C                 ,A                                           ,F                ,                                                        ,R                  ,F                       ,R                    ,R                ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 31,X, 3,  33.00,    245.2300,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,                 ,                       ,                                   ,                       ,+                 ,                                            ,                 ,+                                                       ,                   ,                        ,                     ,                 ,+                           ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 31,X, 4,  30.00,    246.7000,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,+                ,                       ,                                   ,                       ,                  ,                                            ,                 ,+                                                       ,                   ,                        ,+                    ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 33,X, 1,  73.00,    255.1300,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,+                         ,                         ,+                ,+                      ,                                   ,                       ,+                 ,                                            ,                 ,+                                                       ,+                  ,+                       ,+                    ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 33,X, 2,  73.00,    256.6300,Bralower ,Pollen/Spores                                ,               ,                  ,C                                         ,                   ,R                         ,F                        ,F                ,C                      ,                                   ,                       ,F                 ,A                                           ,                 ,                                                        ,                   ,                        ,                     ,                 ,R                           ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 33,X, 4,  73.00,    259.6300,Bralower ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,                 ,                       ,                                   ,                       ,+                 ,+                                           ,                 ,                                                        ,                   ,                        ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 35,X, 3,  74.00,    268.1400,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,+                         ,+                        ,                 ,                       ,                                   ,                       ,+                 ,+                                           ,                 ,                                                        ,+                  ,+                       ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 35,X, 4,  74.00,    269.6400,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,+                        ,+                ,                       ,                                   ,                       ,+                 ,+                                           ,                 ,                                                        ,+                  ,                        ,                     ,+                ,+                           ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 36,X, 1,  70.00,    270.1000,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,+                ,+                      ,                                   ,                       ,+                 ,+                                           ,                 ,+                                                       ,+                  ,+                       ,+                    ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 37,X, 1,  74.00,    279.6400,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,                   ,                          ,                         ,                 ,+                      ,+                                  ,                       ,+                 ,+                                           ,+                ,+                                                       ,                   ,+                       ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 37,X, 2,  74.00,    281.1400,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,+                  ,+                         ,+                        ,                 ,                       ,+                                  ,+                      ,                  ,+                                           ,+                ,+                                                       ,                   ,                        ,+                    ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Norian           ,                 ,M. crenulatus     ,              ,122, 760,A, 37,X, 3,  74.00,    282.6400,Brenner  ,Pollen/Spores                                ,               ,                  ,+                                         ,+                  ,+                         ,+                        ,+                ,+                      ,+                                  ,+                      ,+                 ,+                                           ,+                ,+                                                       ,+                  ,+                       ,                     ,                 ,                            ,                       ,                      ,                        ,                  ,                          ,from ODP Leg 122 SR Chapter 23 p 418-419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
