Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Martinottiella communis	Quinqueloculina spp.	Martinottiella nodulosa	Gyroidinoides sp. A	Cassidulina norcrossi	Miliammina echigoensis	Dentalina spp.	Cyclammina cancellata	Uvigerina hispida	Uvigerina akitaensis	Melonis pompilioides	Globobulimina subaffinis	Uvigerina spp.	Rotaliid taxa	Cassidulina cushmani	Quinqueloculina vulgaris	Quinqueloculina cf. lamarckiana	Pyrgo depressa	Pullenia salisburyi	Planulina sp. A	Parafissurina tectulostoma	Oridorsalis umbonatus	Melonis nicobarense	Fissurina spp.	Stilostomella lepidula	Pyrgo murrhina	Oridorsalis tener	Cassidulina norvangi	Pyrgoella sp.	Pandaglandulina sp. A	Globobulimina pacifica	Globobulimina auriculata	Nonionella stella	Bolivina pacifica	Pyrgo spp.	Pseudoparrella takayanagii	Lenticulina spp.	Lagena apiopleura	Fissurina sublagenoides	Fissurina cucurbitasema	Fissurina annectens	Dentalina frobisherensis	Cassidulina sp. A	Astrononion hamadaense	Pleurostomella sp. A	Parafissurina striatum	Parafissurina sp.	Nonionella(?) fragilis   	Lagena tricaritortuosa	Lagena nebulosa	Lagena distoma	Fissurina marginata	Fissurina lucida	Fissurina lagenoides	Cibicides sp.	Stainforthia complanata	Spiloloculina sp.	Pseudoeponides japonica	Planularia asanoi	Parafissurina lateralis crassa	Parafissurina fersinea	Oolina melo	Miliolid taxa	Eilohedra rotunda	Cassidulina spp.	Bulimina sp. A	Bolivina spp.	Bolivina decussata	Triloculina tricarinata	Lagena elongata	Stainforthia fusiformis	Pseudoparrella naraensis	Parafissurina costata	Nodosariid taxa	Bulimina striata	Anomalina globulosa	Pandaglandulina spp.	Epistominella pulchella	Valvulineria sadonica	Polymorphinid taxa	Buliminella tenuata	Brizalina sp. A aff. B. bradyi	Bolivina sp. A aff. B. difformis	Trifarina kokozuraensis	Stainforthia sandiegoensis	Anomalina glabrata	Glabratella globularis	Elphidium spp.	Cibicides sp. A	Bulimina marginata	Cassidulinoides tenuis	Pseudononion grateloupi	Chilostomellina frimbriata	Bulimina aculeata	Stainforthia sp. A	Quadrimorphina laevigata	Lagena spp.	Fissurina multicostulata	Bolivinita quadrilatera	Nonionellina labradorica	Dentalina setanaensis	Rutherfordoides cf. rotundiformis	Nonionella globosa	Uvigerina wakimotoensis	Lagena sulcata	Echigoina hataii	Cibicides spp.	Cassidulina japonica	Bolivina subspinescens	Angulogerina sp. A	Cassidulina cf. japonica	Cibicides asanoi	Lagena substriata	Glandulina laevigata	Pseudonodosalia spp.	Marginulina sp.	Glandulina spp.	Epistominella sp. A	Dentalina ittai 	Comment

  SR	                 	                 	                  	              	128	 799	A	  4	H	 5	  33.00	     26.6300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	T                    	                      	              	                     	                 	T                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	T                   	             	                     	                      	                        	                 	T                	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	T               	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  5	H	 4	  34.00	     34.7400	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	58                   	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	8                   	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	17                     	                 	                       	                 	                              	                      	           	             	8                	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	8                       	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  5	H	 6	  33.00	     37.7300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	T                    	                      	              	                     	                 	T                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	T                      	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  5	H	 7	  31.00	     39.2100	Kato     	Benthic Foraminifers                         	               	G                 	                       	                    	                       	                   	7                    	2                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	28                  	             	                     	                      	                        	                 	39               	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	T                      	                 	                       	                 	                              	                      	           	             	12               	                	              	             	T                 	                       	               	                       	                        	                     	               	                	                   	                    	7                      	                     	                  	                   	1                             	                                	                       	                          	                  	                      	              	               	                  	T                     	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	T                     	1                 	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  6	H	 1	  35.00	     39.8500	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	10                   	                      	              	                     	                 	3                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	36                  	             	                     	                      	                        	                 	3                	          	5                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	3                      	                 	                       	                 	                              	                      	           	             	8                	                	              	             	7                 	                       	               	1                      	T                       	                     	               	                	                   	                    	13                     	T                    	                  	                   	                              	                                	3                      	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	T                      	T             	3               	1             	1                   	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  6	H	 3	  33.00	     42.8300	Kato     	Benthic Foraminifers                         	               	G                 	                       	                    	                       	                   	2                    	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	20                  	             	                     	                      	                        	                 	10               	          	7                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	T             	                   	                	                    	T            	2                      	                 	                       	                 	                              	                      	           	             	12               	                	              	             	5                 	                       	               	10                     	1                       	                     	               	                	T                  	                    	25                     	                     	                  	                   	                              	                                	T                      	                          	                  	                      	              	               	                  	T                     	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	T                                	T                 	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  6	H	 7	  33.00	     48.8300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	100                   	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  7	H	 1	  31.00	     49.4100	Kato     	Benthic Foraminifers                         	               	G                 	                       	                    	                       	                   	21                   	                      	              	                     	                 	11                  	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	7                   	             	                     	T                     	                        	                 	19               	T         	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	2                	                	T             	             	T                 	                       	               	T                      	                        	                     	               	T               	                   	                    	32                     	1                    	                  	                   	                              	                                	1                      	                          	T                 	                      	T             	               	                  	T                     	                       	                          	                 	                  	                        	           	                        	                       	T                       	T                    	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  7	H	 2	  33.00	     50.9300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	3                    	                      	              	                     	                 	6                   	                    	1                       	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	3                   	             	                     	                      	7                       	                 	49               	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	1                	                	              	             	                  	                       	               	28                     	                        	                     	               	                	                   	                    	1                      	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  7	H	 3	  33.00	     52.4300	Kato     	Benthic Foraminifers                         	               	M                 	                       	T                   	                       	                   	                     	                      	              	                     	                 	T                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	T             	                      	              	                 	19                  	             	                     	                      	                        	                 	17               	          	                          	                	                 	                       	                       	                   	                        	T                	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	T                      	                 	                       	                 	                              	                      	           	             	59               	                	              	             	T                 	                       	               	                       	                        	                     	               	                	                   	                    	1                      	T                    	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  7	H	 4	  34.00	     53.9400	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	13                   	                      	              	                     	                 	2                   	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	47                  	             	                     	                      	                        	                 	2                	          	T                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	T             	                   	T               	                    	T            	6                      	                 	                       	                 	                              	                      	           	             	2                	                	              	             	5                 	T                      	               	2                      	                        	                     	               	                	                   	                    	17                     	T                    	                  	                   	                              	                                	1                      	                          	                  	                      	              	               	                  	1                     	                       	                          	                 	                  	                        	           	                        	T                      	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	  7	H	 6	  45.00	     57.0500	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	15                   	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	11                  	             	                     	                      	                        	                 	13               	          	4                         	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	T               	                    	             	1                      	                 	                       	                 	                              	                      	T          	             	43               	                	              	             	                  	                       	               	T                      	                        	                     	               	                	                   	                    	7                      	                     	T                 	                   	                              	                                	3                      	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication
