Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (dextral),Globigerina bulloides,Pulleniatina obliquiloculata,Orbulina universa,Globorotalia inflata,Neogloboquadrina pachyderma (sinistral),Globorotalia praeinflata,Neogloboquadrina asanoi,Planktonic spp. indeterminate,Globigerinita glutinata,Globigerina umbilicata,Globigerina quinqueloba,Globigerinita uvula,Globorotalia scitula,Neogloboquadrina dutertrei,Globorotalia bermudezi,Comment
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  6,H,CC,  39.00,     77.8800,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                     ,11                   ,                            ,                 ,                    ,25                                     ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,1                     ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  7,H, 5, 105.00,     83.1700,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,13                                   ,2                    ,                            ,                 ,                    ,9                                      ,                        ,                       ,                             ,                       ,                      ,2                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD1-7             ,              ,146, 889,A,  7,H,CC,  71.00,     86.2800,Zellers  ,Planktonic Foraminifers                      ,               ,P                 ,1                                    ,3                    ,                            ,                 ,                    ,2                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  8,H, 2,  96.00,     88.9700,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,4                                    ,                     ,                            ,                 ,                    ,6                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  8,H, 2, 114.00,     89.1500,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,5                                    ,7                    ,                            ,                 ,                    ,7                                      ,                        ,2                      ,                             ,                       ,                      ,6                      ,1                  ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  8,H, 4,  64.00,     91.6500,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,25                                   ,59                   ,                            ,                 ,                    ,79                                     ,                        ,10                     ,3                            ,1                      ,1                     ,12                     ,                   ,                    ,1                         ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  8,H, 5, 118.00,     93.5300,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,5                                    ,33                   ,                            ,                 ,                    ,14                                     ,                        ,8                      ,                             ,                       ,1                     ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  8,H,CC,  52.00,     94.1000,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,127                                  ,279                  ,                            ,                 ,                    ,114                                    ,                        ,29                     ,                             ,3                      ,                      ,9                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  9,H, 4,  69.00,     98.4600,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,33                                   ,99                   ,                            ,                 ,                    ,57                                     ,                        ,14                     ,3                            ,1                      ,                      ,6                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  9,H, 8,  61.00,    102.7400,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,64                                   ,37                   ,                            ,                 ,                    ,78                                     ,                        ,9                      ,6                            ,                       ,1                     ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A,  9,H,CC,  79.00,    104.2700,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,2                                    ,4                    ,                            ,                 ,                    ,15                                     ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A, 10,H, 1, 140.00,    105.4000,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,45                                   ,4                    ,                            ,                 ,                    ,77                                     ,                        ,11                     ,                             ,                       ,                      ,4                      ,                   ,1                   ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A, 10,H, 4, 108.00,    109.2500,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,1                                    ,                     ,                            ,                 ,                    ,10                                     ,                        ,                       ,                             ,                       ,                      ,                       ,1                  ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD9               ,              ,146, 889,A, 10,H,CC,  22.00,    113.7700,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,16                                   ,11                   ,                            ,                 ,                    ,66                                     ,                        ,1                      ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 11,H, 3,  85.00,    117.3500,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,19                                   ,7                    ,                            ,                 ,                    ,15                                     ,                        ,1                      ,                             ,1                      ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 11,H,CC,  20.00,    118.7600,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,6                                    ,8                    ,                            ,                 ,                    ,34                                     ,                        ,5                      ,                             ,                       ,                      ,1                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 12,H, 4, 124.00,    123.8900,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,5                                    ,2                    ,                            ,                 ,                    ,5                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 12,H,CC,  55.00,    126.6000,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,2                                    ,1                    ,                            ,                 ,                    ,2                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 13,H,CC,  22.00,    127.4400,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                     ,1                    ,                            ,                 ,                    ,1                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 15,P, 1,  29.00,    129.2900,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,                                     ,1                    ,                            ,                 ,                    ,1                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 16,H,CC,   0.00,    130.0000,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,3                                    ,2                    ,                            ,                 ,                    ,                                       ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 18,X,CC,  23.00,    147.0800,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,36                                   ,20                   ,                            ,                 ,                    ,2                                      ,                        ,16                     ,1                            ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 22,X,CC,  14.00,    186.1000,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,2                                    ,1                    ,                            ,                 ,                    ,1                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 24,X,CC,  18.00,    197.6600,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                     ,5                    ,                            ,                 ,                    ,                                       ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD11              ,CD10          ,146, 889,A, 25,X,CC,  13.00,    200.6300,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,22                                   ,39                   ,                            ,                 ,                    ,                                       ,                        ,12                     ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 26,X,CC,  13.00,    215.3500,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,29                                   ,13                   ,                            ,                 ,                    ,1                                      ,                        ,                       ,1                            ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 30,X,CC,  21.00,    235.5100,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,1                                    ,                     ,                            ,                 ,                    ,                                       ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 31,X,CC,  18.00,    246.7900,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,5                                    ,                     ,                            ,                 ,                    ,4                                      ,                        ,3                      ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 32,X,CC,  16.00,    250.8100,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,28                                   ,29                   ,                            ,                 ,                    ,8                                      ,                        ,12                     ,                             ,                       ,1                     ,1                      ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 34,X,CC,  34.00,    261.6500,Zellers  ,Planktonic Foraminifers                      ,               ,P                 ,5                                    ,                     ,                            ,                 ,                    ,                                       ,                        ,3                      ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 36,X,CC,  23.00,    268.0700,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,                                     ,                     ,                            ,                 ,                    ,1                                      ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 37,X, 1,  20.00,    275.4000,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,14                                   ,27                   ,                            ,                 ,                    ,13                                     ,                        ,3                      ,2                            ,1                      ,2                     ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 38,X, 1,   5.00,    284.1500,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,                                     ,2                    ,                            ,                 ,                    ,1                                      ,                        ,1                      ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 41,X,CC,  12.00,    316.2400,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,7                                    ,7                    ,                            ,                 ,30                  ,25                                     ,4                       ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 42,X,CC,  20.00,    320.2200,Zellers  ,Planktonic Foraminifers                      ,               ,P                 ,                                     ,4                    ,1                           ,1                ,6                   ,                                       ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD14              ,CD12          ,146, 889,A, 44,X,CC,   7.00,    338.6300,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,1                                    ,1                    ,                            ,                 ,                    ,                                       ,                        ,                       ,                             ,                       ,                      ,                       ,                   ,                    ,                          ,                      ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
