Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cassidulina translucens,Uvigerina subperegrina,Bulimina subcalva,Oridorsalis umbonatus,Gyroidina spp.,Epistominella pacifica,Cassidulina limbata,Calcareous spp. (indeterminate),Bulimina striata mexicana,Pyrgo sp.,Lenticulina spp.,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Globocassidulina subglobosa,Fissurina spp.,Dentalina spp.,Cassidulina californica,Uvigerina peregrina,Pullenia salisburyi,Elphidium spp.,Cassidulina norcrossi,Cassidulina minuta,Bulimina subacuminata,Plectofrondicularia spp.,Nodosaria spp.,Bolivinita quadrilatera,Valvulineria araucana,Cibicides spp.,Bolivina spissa,Buccella frigida,Melonis barleeanus,Globobulimina pacifica,Glandulina sp.,Cassidulinoides bradyi,Bulimina fossa,Silicosigmoilina sp.,Martinottiella communis,Nonionella labradorica,Cibicidoides mckannai,Bolivina spp.,Uvigerina juncea,Bulimina exilis,Bolivina pseudobeyrichi,Valvulineria spp.,Lagena spp.,Cibicidoides wuellerstorfi,Stilostomella spp.,Quinqueloculina spp.,Elphidium excavatum f. clavatum,Buliminella subfusiformis,Trifarina angulosa,Pullenia bulloides,Buccella tenerrima,Cassidulina spp.,Uvigerina senticosa,Uvigerina hispida,Tosaia hanzawai,Eponides spp.,Uvigerina sp.,Chilostomella oolina,Melonis pompilioides,Bulimina spp.,Uvigerina dirupta,Pullenia sp.,Nonionella miocenica,Triloculina spp.,Bolivina translucens,Cassidulina carinata,Bulimina aculeata,Cassidulina cushmani,Bolivina seminuda,Elphidiella hannai,Globobulimina affinis,Agglutinated spp. (indeterminate),Nonionella globosa,Cassidulinoides cornuta,Chilostomella ovoidea,Bulimina barbata,Bolivina interjuncta,Bolivina argentea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  5,H,CC,  35.00,     68.0200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,              ,R                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,R                  ,                   ,              ,                     ,R                 ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,S                              ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,S                ,            ,                    ,R               ,                    ,                    ,                 ,                    ,                 ,                  ,S                    ,F                                ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  6,H,CC,  39.00,     77.8800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,R                     ,                 ,                     ,              ,R                     ,S                  ,                               ,                         ,         ,                ,                               ,                             ,R                          ,              ,              ,                       ,R                  ,S                  ,              ,                     ,                  ,                     ,                        ,              ,                       ,R                    ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,F                     ,                     ,             ,                ,R              ,                       ,                 ,S          ,                          ,                  ,                    ,R                              ,                         ,                  ,                  ,                  ,                ,                   ,R                ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,S                    ,                                 ,S                 ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H, 5, 105.00,     83.1700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,              ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,S                                ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  7,H,CC,  71.00,     86.2800,Zellers  ,Benthic Foraminifers                         ,               ,P                 ,                       ,                      ,                 ,                     ,              ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,R                          ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,S                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,R                              ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,S                    ,F                                ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 2,  96.00,     88.9700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,              ,C                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,R                          ,              ,              ,                       ,R                  ,                   ,              ,S                    ,                  ,S                    ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,R                     ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,S                              ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 2, 114.00,     89.1500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,S                ,S                    ,              ,R                     ,                   ,                               ,S                        ,         ,                ,                               ,                             ,                           ,R             ,              ,                       ,R                  ,                   ,              ,S                    ,                  ,R                    ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,R                     ,              ,                      ,              ,                    ,                       ,R                     ,                     ,             ,                ,               ,                       ,                 ,           ,S                         ,                  ,S                   ,                               ,                         ,                  ,                  ,                  ,                ,                   ,S                ,               ,             ,             ,                    ,                    ,             ,S                ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,S                    ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 4,  64.00,     91.6500,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                      ,                      ,                 ,                     ,S             ,C                     ,S                  ,                               ,S                        ,         ,                ,                               ,                             ,S                          ,              ,              ,                       ,F                  ,                   ,              ,R                    ,                  ,                     ,                        ,S             ,                       ,                     ,R             ,S              ,S               ,                  ,R                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,S               ,               ,                       ,S                ,R          ,S                         ,                  ,R                   ,                               ,                         ,R                 ,                  ,                  ,                ,                   ,                 ,               ,             ,S            ,                    ,                    ,             ,                 ,            ,                    ,                ,R                   ,                    ,                 ,                    ,                 ,S                 ,S                    ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H, 5, 118.00,     93.5300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,F                      ,                      ,                 ,                     ,              ,R                     ,R                  ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,              ,S                      ,R                  ,                   ,              ,S                    ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,R                              ,                         ,                  ,                  ,                  ,R               ,                   ,                 ,               ,             ,             ,                    ,S                   ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,R                 ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  8,H,CC,  52.00,     94.1000,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                      ,                      ,                 ,                     ,              ,R                     ,R                  ,                               ,                         ,         ,                ,S                              ,                             ,S                          ,S             ,              ,                       ,                   ,                   ,              ,                     ,S                 ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,S              ,                       ,                 ,S          ,                          ,                  ,S                   ,S                              ,R                        ,                  ,                  ,                  ,R               ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,S                   ,                ,                    ,                    ,                 ,R                   ,S                ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  9,H, 4,  69.00,     98.4600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                      ,                      ,                 ,R                    ,              ,F                     ,                   ,                               ,S                        ,         ,R               ,S                              ,R                            ,C                          ,R             ,              ,R                      ,R                  ,                   ,              ,                     ,R                 ,                     ,                        ,              ,                       ,R                    ,S             ,               ,                ,                  ,                      ,              ,                      ,              ,                    ,                       ,R                     ,                     ,             ,                ,               ,R                      ,                 ,           ,R                         ,                  ,                    ,                               ,R                        ,                  ,                  ,                  ,                ,S                  ,R                ,               ,R            ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,R                   ,S                ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  9,H, 8,  61.00,    102.7400,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,                 ,                     ,              ,F                     ,                   ,R                              ,S                        ,         ,                ,R                              ,                             ,R                          ,              ,              ,                       ,F                  ,                   ,              ,                     ,R                 ,S                    ,                        ,              ,                       ,S                    ,S             ,R              ,                ,                  ,R                     ,              ,                      ,              ,                    ,                       ,R                     ,                     ,S            ,                ,               ,R                      ,                 ,S          ,R                         ,                  ,                    ,S                              ,R                        ,                  ,                  ,                  ,R               ,S                  ,                 ,               ,             ,             ,                    ,                    ,S            ,                 ,            ,                    ,S               ,S                   ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A,  9,H,CC,  79.00,    104.2700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,C                      ,                      ,                 ,                     ,              ,C                     ,R                  ,R                              ,                         ,         ,                ,                               ,                             ,                           ,              ,S             ,                       ,F                  ,                   ,              ,R                    ,F                 ,                     ,                        ,              ,                       ,S                    ,              ,R              ,                ,                  ,                      ,              ,R                     ,              ,                    ,                       ,R                     ,                     ,             ,R               ,R              ,                       ,                 ,           ,                          ,                  ,                    ,F                              ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,S           ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 10,H, 1, 140.00,    105.4000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,S                     ,                 ,R                    ,              ,C                     ,S                  ,                               ,R                        ,         ,                ,                               ,                             ,S                          ,              ,              ,                       ,R                  ,                   ,              ,                     ,R                 ,R                    ,                        ,              ,                       ,R                    ,              ,               ,S               ,                  ,S                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,R               ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,                  ,S                 ,                ,                   ,                 ,               ,S            ,             ,                    ,                    ,             ,S                ,            ,R                   ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 10,H, 4, 108.00,    109.2500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,R                     ,                 ,S                    ,              ,                      ,                   ,                               ,                         ,S        ,                ,                               ,                             ,                           ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,S             ,                       ,                     ,              ,               ,                ,S                 ,R                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,R                         ,                  ,                    ,                               ,                         ,                  ,                  ,                  ,                ,                   ,                 ,               ,             ,             ,                    ,S                   ,             ,                 ,S           ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 10,H,CC,  22.00,    113.7700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,S                    ,              ,R                     ,                   ,                               ,                         ,         ,                ,                               ,S                            ,                           ,              ,S             ,                       ,F                  ,                   ,              ,R                    ,R                 ,                     ,                        ,              ,                       ,                     ,S             ,R              ,                ,                  ,                      ,              ,R                     ,              ,                    ,                       ,R                     ,                     ,             ,                ,               ,                       ,                 ,           ,S                         ,                  ,                    ,R                              ,                         ,                  ,                  ,                  ,                ,                   ,S                ,               ,             ,             ,                    ,                    ,             ,R                ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 11,H, 3,  85.00,    117.3500,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,                 ,                     ,S             ,R                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,C                          ,              ,S             ,                       ,R                  ,S                  ,R             ,                     ,                  ,F                    ,                        ,              ,                       ,                     ,              ,               ,                ,R                 ,                      ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,R              ,                       ,                 ,S          ,S                         ,                  ,                    ,                               ,R                        ,                  ,S                 ,                  ,                ,R                  ,                 ,R              ,             ,             ,                    ,R                   ,R            ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 11,H,CC,  20.00,    118.7600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                      ,                      ,                 ,S                    ,              ,S                     ,                   ,                               ,S                        ,         ,                ,                               ,                             ,S                          ,              ,              ,                       ,                   ,                   ,              ,                     ,                  ,R                    ,                        ,              ,                       ,S                    ,S             ,               ,                ,                  ,S                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,R               ,               ,                       ,                 ,S          ,                          ,                  ,                    ,R                              ,                         ,                  ,                  ,                  ,                ,R                  ,                 ,               ,             ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 12,H, 4, 124.00,    123.8900,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                       ,                      ,                 ,                     ,              ,S                     ,                   ,                               ,                         ,         ,                ,                               ,                             ,R                          ,R             ,S             ,                       ,                   ,                   ,              ,R                    ,                  ,                     ,                        ,              ,                       ,                     ,              ,               ,                ,S                 ,S                     ,              ,                      ,              ,                    ,                       ,                      ,                     ,             ,                ,               ,                       ,                 ,           ,                          ,                  ,                    ,                               ,                         ,                  ,S                 ,                  ,                ,S                  ,                 ,               ,             ,S            ,S                   ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 889,A, 12,H,CC,  55.00,    126.6000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                       ,                      ,                 ,                     ,R             ,                      ,                   ,                               ,                         ,         ,                ,                               ,                             ,                           ,              ,S             ,                       ,                   ,                   ,              ,                     ,                  ,                     ,                        ,S             ,                       ,                     ,              ,R              ,                ,R                 ,R                     ,              ,                      ,              ,                    ,                       ,R                     ,                     ,             ,F               ,               ,                       ,                 ,           ,                          ,R                 ,                    ,                               ,                         ,                  ,                  ,                  ,                ,R                  ,F                ,S              ,S            ,             ,                    ,                    ,             ,                 ,            ,                    ,                ,                    ,                    ,                 ,                    ,                 ,                  ,                     ,                                 ,                  ,                       ,                     ,                ,                    ,                 ,from Leg 146 SR; Ch 5; Table 2; pp. 92-94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
