Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stainforthia spp.	Stainforthia fusiformis	Rotaliid taxa	Miliolid taxa	Haplophragmoides sp.	Martinottiella communis	Cyclammina cancellata	Agglutinated spp. (indeterminate)	Valvulineria sadonica	Nonionella(?) fragilis   	Nonionella stella	Chilostomella oolina	Uvigerina spp.	Nonionella spp.	Lenticulina spp.	Gyroidinoides sp. A	Pullenia salisburyi	Oridorsalis tener	Globobulimina subaffinis	Globobulimina auriculata	Cassidulina cushmani	Lagena sp.	Globobulimina spp.	Eilohedra rotunda	Pullenia spp.	Ammodiscus sp. A	Cassidulina norcrossi	Bolivina spp.	Quadrimorphina laevigata	Cibicides spp.	Pullenia apertura	Comment
  SR	                 	                 	                  	              	128	 799	B	  9	R	 3	  23.00	    522.2300	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	47                  	                       	                     	                                 	12                   	                         	                 	6                   	              	               	                	                   	12                 	                 	24                      	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	  9	R	 4	   4.00	    523.5400	Kato     	Benthic Foraminifers                         	               	P                 	4                	                       	T            	             	                    	                       	                     	                                 	3                    	                         	                 	                    	              	               	                	                   	T                  	                 	                        	                        	                    	          	                  	92               	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 11	R	 1	  48.00	    538.7800	Kato     	Benthic Foraminifers                         	               	P                 	T                	                       	             	             	                    	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	T                 	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 11	R	 2	  48.00	    540.2800	Kato     	Benthic Foraminifers                         	               	P                 	10               	                       	80           	             	                    	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	10        	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 11	R	 4	  48.00	    543.2800	Kato     	Benthic Foraminifers                         	               	P                 	2                	                       	11           	             	                    	                       	                     	                                 	7                    	                         	                 	33                  	              	               	                	10                 	8                  	T                	2                       	11                      	16                  	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 11	R	 5	  48.00	    544.7800	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 12	R	 3	  32.00	    551.2200	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 12	R	 4	  34.00	    552.7400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	T                   	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 13	R	 1	  34.00	    557.9400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 13	R	 4	  34.00	    562.4400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	99                  	1                      	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 13	R	 5	  34.00	    563.9400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 14	R	 1	  34.00	    567.6400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	T                   	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 14	R	 2	  37.00	    569.1700	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 15	R	 3	  34.00	    580.3400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	96                  	                       	4                    	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 15	R	 4	  34.00	    581.8400	Kato     	Benthic Foraminifers                         	               	P                 	16               	                       	             	             	                    	                       	5                    	                                 	37                   	5                        	                 	                    	              	               	5               	32                 	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 16	R	 2	  32.00	    588.4200	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	93                  	                       	7                    	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 16	R	 3	  39.00	    589.9900	Kato     	Benthic Foraminifers                         	               	P                 	65               	                       	             	             	                    	                       	                     	                                 	3                    	21                       	                 	3                   	              	2              	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 17	R	 1	  91.00	    597.2100	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	                    	                       	T                    	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 17	R	 2	  91.00	    598.7100	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	56                  	6                      	38                   	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 17	R	 5	  91.00	    603.2100	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	90                  	11                     	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 17	R	 6	  91.00	    604.7100	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	T                   	                       	                     	                                 	                     	                         	                 	                    	T             	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 18	R	 2	  33.00	    607.7300	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	91                  	                       	                     	9                                	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 18	R	 3	  33.00	    609.2300	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 18	R	 4	  33.00	    610.7300	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	83                  	                       	                     	17                               	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 18	R	 6	  33.00	    613.7300	Kato     	Benthic Foraminifers                         	               	P                 	                 	12                     	             	6            	18                  	                       	                     	                                 	12                   	6                        	18               	29                  	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 19	R	 2	  30.00	    617.4000	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	T                   	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 19	R	 3	  31.00	    618.9100	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	3            	             	87                  	                       	                     	10                               	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 19	R	 5	  29.00	    621.8900	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	85                  	                       	                     	15                               	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 19	R	 6	  29.00	    623.3900	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 20	R	 2	  35.00	    627.0500	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 20	R	 3	  36.00	    628.5600	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	T                   	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 21	R	 2	  37.00	    636.7700	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	100                 	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 24	R	 1	  24.00	    664.0400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	T                   	T                      	T                    	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 27	R	 1	  34.00	    692.8400	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	T                   	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 29	R	 3	  40.00	    715.2000	Kato     	Benthic Foraminifers                         	               	P                 	                 	                       	             	             	88                  	12                     	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

  SR	                 	                 	                  	              	128	 799	B	 54	R	 2	  11.00	    953.8100	Kato     	Benthic Foraminifers                         	               	P                 	23               	12                     	39           	4            	19                  	                       	                     	                                 	                     	                         	                 	                    	              	               	                	                   	                   	                 	                        	                        	                    	          	                  	                 	             	                	                     	             	                        	              	                 	from Odp Leg 127&128 SR Chapter 22 Table 4 p 370

