Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spiniferites sp.,Selenopemphix sp.,Operculodinium sp.,Cribroperidinium sp. cf. C. tenuitabulatum,Trinovantedinium sp.,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Palaeocystodinium sp.,Melitasphaeridium choanophorum,Deflandrea phosphoritica,Spiniferites ramosus,Selenopemphix spp.,Polysphaeridium subtile,Palaeocystodinium golzowense,Operculodinium? eirikianum,Operculodinium spp.,Labyrinthodinium truncatum,Phelodinium sp.,Impagidinium sp. cf. I. sp.1,Hystrichosphaeropsis obscura,"Protoperidinium spp. ""round browns""",Nematosphaeropsis labyrinthea,Lejeunecysta sp.,Spiniferites spp.,Impagidinium sp.2,Distatodinium sp.,Phelodinium spp.,Operculodinium centrocarpum,Oligosphaeridium spp.,Invertocysta tabulata,Invertocysta lacrymosa,Chiropteridium spp.,Batiacasphaera spp.,Batiacasphaera sphaerica,Batiacasphaera hirsuta,Apteodinium australiense,Achomosphaera sp.1,Spiniferites sp. B,Nematosphaeropsis rigida,Lingulodinium brevispinosum,Impagidinium? pallidum,Hystrichokolpoma denticulatum,Filisphaera filifera,Distatodinium paradoxum,Diphyes spp.,Hystrichosphaeropsis spp.,Hystrichokolpoma poculum,Distatodinium craterum,Svalbardella spp.,Operculodinium israelianum,Lingulodinium machaerophorum,Tuberculodinium vancampoae,Barssidinium graminosum,Cribroperidinium spp.,Pentadinium spp.,Impagidinium paradoxum,Cristadinium spp.,Amiculosphaera umbracula,Achomosphaera andalousiensis,Hystrichokolpoma rigaudiae,Hystrichostrogylon coninckii,Riculacysta perforata,Nematosphaeropsis spp.,Selenopemphix dionaeacysta,Lejeunecysta spp.,Impagidinium japonicum,Batiacasphaera cf. baculata,Apteodinium spp.,Tectatodinium pellitum,Evittosphaerula? sp. 2 ,Svalbardella sp.,Tectatodinium psilatum,Capillicysta gloriana,Impagidinium patulum,Polysphaeridium zoharyi,Lophocysta sulcolimbata,Evittosphaerula spp.,Selenopemphix brevispinosa,Stelladinium spp.,Operculodinium janduchenei,Hystrichokolpoma truncatum,Homotryblium vallum,Homotryblium spp.,Nematosphaeropsis sp. cf. N. lemniscata ,Cristadinium sp. cf. C. cristatoserratum,Cristadinium diminutivum,Unipontidinium aquaeductum,Brigantedinium spp.,Batiacasphaera minuta,Spiniferites pseudofurcatus,Impletosphaeridium spp.,Cristadinium sp.,Distatodinium spp.,Votadinium spp.,Dapsilidinium pastielsii,Spiniferites mirabilis,Protoperidinium sp.1,Nematosphaeropsis lemniscata,Cristadinium sp.1,Brigantedinium simplex,Multispinula minuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pliocene         ,                 ,                  ,              ,151, 909,C, 24,R,CC,  23.00,    314.5300,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,+                 ,                                          ,                    ,+                       ,                                ,                     ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,+                   ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Miocene          ,Early Pliocene   ,                  ,              ,151, 909,C, 26,R,CC,   0.00,    334.6500,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,+                 ,                                          ,                    ,+                       ,                                ,                     ,?                             ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,                                   ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 27,R,CC,  12.00,    341.8200,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,R                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,F                                  ,                             ,                ,                 ,                 ,                 ,R               ,R                          ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,R                       ,                            ,                          ,                            ,                     ,                      ,                          ,F                ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,R                ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,R                   ,                            ,                 ,F                     ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Miocene          ,Early Pliocene   ,                  ,              ,151, 909,C, 28,R,CC,   7.00,    351.2000,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,+                       ,                                ,?                    ,R                             ,cf                      ,R                   ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,+               ,                 ,                 ,                 ,                ,R                          ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,R                       ,                            ,                          ,                            ,                     ,                      ,+                         ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,R                   ,                       ,                       ,                    ,                          ,R                ,                          ,                          ,                   ,                 ,                                        ,+                                       ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,R                   ,C                           ,+                ,R                     ,                   ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 29,R,CC,  51.00,    363.1600,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,C                               ,                     ,F                             ,                        ,R                   ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,F                ,                 ,                 ,R               ,C                          ,                     ,R                    ,R                     ,                   ,                   ,                        ,                      ,                        ,R                 ,                  ,R                       ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,R                      ,                     ,                ,                      ,                 ,R                       ,R                           ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,R                   ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,R                      ,                ,                  ,               ,                        ,                      ,R                   ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Miocene          ,Early Pliocene   ,                  ,              ,151, 909,C, 30,R,CC,  19.00,    364.7900,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,+                 ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,                    ,                  ,                       ,                            ,                          ,                   ,                          ,+              ,                            ,                            ,                                   ,                             ,                ,                 ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,R                   ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 31,R,CC,   0.00,    382.6400,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,R                             ,                        ,R                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,F                ,                 ,                 ,R               ,R                          ,                     ,                     ,                      ,                   ,F                  ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,F                      ,                     ,                ,                      ,                 ,R                       ,R                           ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,R                   ,                       ,                       ,                    ,                          ,R                ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,R                     ,                    ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 32,R,CC,   7.00,    391.3100,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,R                             ,                        ,R                   ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,R                ,                 ,                 ,                ,R                          ,                     ,                     ,                      ,                   ,R                  ,                        ,                      ,                        ,R                 ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,R                       ,                            ,                          ,                            ,                     ,                      ,+                         ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,R                   ,                       ,                       ,                    ,+                         ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,R                      ,                ,                  ,               ,                        ,                      ,R                   ,                            ,                 ,                      ,                   ,Rare reworked dinoflagellate cysts. From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 33,R,CC,   0.00,    402.1000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,R                             ,                        ,F                   ,                  ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,                 ,                 ,                 ,                ,F                          ,R                    ,                     ,                      ,                   ,                   ,R                       ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,F                      ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,F                ,                      ,                           ,R               ,                      ,                       ,                ,                      ,                     ,R                   ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,F                 ,               ,F                       ,                      ,                    ,                            ,                 ,                      ,                   ,From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Miocene          ,Early Pliocene   ,                  ,              ,151, 909,C, 34,R,CC,   0.00,    411.2500,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+               ,+                ,                  ,                                          ,                    ,                        ,C                               ,                     ,                              ,                        ,F                   ,F                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,+               ,R                ,                 ,                 ,                ,R                          ,                     ,                     ,                      ,                   ,                   ,                        ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,R                         ,                            ,                          ,R                      ,                     ,                ,                      ,                 ,R                       ,                            ,                          ,                            ,                     ,                      ,+                         ,F                ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,R                   ,                       ,                       ,                    ,+                         ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,F                 ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,Mio6              ,Pli1          ,151, 909,C, 35,R,CC,  14.00,    422.2100,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,                ,                 ,                  ,                                          ,                    ,                        ,                                ,                     ,                              ,                        ,                    ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,                            ,R                                  ,                             ,                ,R                ,                 ,                 ,                ,                           ,                     ,                     ,                      ,                   ,                   ,R                       ,                      ,                        ,                  ,                  ,                        ,                           ,                      ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,                          ,                            ,                          ,                       ,                     ,                ,                      ,                 ,                        ,                            ,                          ,                            ,                     ,                      ,                          ,                 ,                      ,                           ,                ,                      ,                       ,                ,                      ,                     ,                    ,                       ,                       ,                    ,                          ,                 ,                          ,                          ,                   ,                 ,                                        ,                                        ,                        ,                          ,                   ,                     ,                           ,                       ,                ,                  ,               ,                        ,                      ,                    ,                            ,                 ,                      ,                   ,From Leg 151SR. Ch 14. Fig 5. p. 267-269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Miocene          ,Early Pliocene   ,                  ,              ,151, 909,C, 36,R,CC,  20.00,    431.3000,Firth    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+               ,                 ,+                 ,                                          ,                    ,cf                      ,C                               ,                     ,R                             ,                        ,C                   ,R                 ,                       ,                            ,                          ,                   ,                          ,               ,                            ,R                           ,F                                  ,                             ,+               ,R                ,                 ,                 ,R               ,                           ,                     ,                     ,                      ,                   ,                   ,R                       ,R                     ,                        ,R                 ,                  ,R                       ,                           ,R                     ,                             ,                    ,                       ,            ,                         ,                        ,                      ,                 ,F                         ,                            ,                          ,                       ,                     ,                ,                      ,                 ,R                       ,                            ,                          ,                            ,                     ,                      ,+                         ,                 ,                      ,                           ,R               ,                      ,                       ,                ,                      ,                     ,VA                  ,                       ,                       ,                    ,cf                        ,                 ,                          ,                          ,                   ,F                ,                                        ,+                                       ,                        ,                          ,                   ,                     ,                           ,R                      ,                ,                  ,               ,                        ,R                     ,                    ,                            ,                 ,                      ,                   ,from Leg 151IR. Ch 7. Table 5
