Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vercorsella wintereri,Valvulineria (?) sp. 1,Textulariid taxa,Salpingoporella (unspecified taxon or taxa),Miliolids species,Marssonella (unspecified taxon or taxa),Foraminifers (attached),Decussoloculina sp. cf. D. mirceai,Nodosariidae (taxa),Belorussiella sp.,Istriloculina unspecified taxon,Terquemella (unspecified taxon or taxa),Arenobulimina sp.,Protopeneroplis sp.,Neotrocholina sp.,Foraminifers (planispiral taxa),Vercorsella sp.,Trocholina molesta,Campanellula capuensis,Favreina sp. cf. F. prusensis,Debarina sp. cf. D. hahounerensis,Novalesia producta,Cayeuxia (unspecified taxon or taxa),?Orbitolinid taxa,Verneuilinidae taxa,Vercorsella sp. cf. V. arenata,Glomospira unspecified taxon,Gaudryina sp.,Arenobulimina cochleata,Nezzazata sp. C,Favreina sp.,Vercorsella sp. cf. V. immaturata,Neotrocholina sp. cf. N. infragranulata,Neotrocholina sp. cf. N. friburgensis,Aeolisaccus kotori,Bacinella irregularis,Novalesia angulosa,Bdelloidina sp. cf. B. urgonensis,Praechrysalidina infracretacea,Cuneolina sp. A,Nezzazata isabellae,Pseudonummoloculina sp.,Cuneolina parva,Sabaudia minuta,Paracoskinolina sp. cf. P. sunnilandensis,Orbitolinid taxa,Orbitolinid sp. A,Palaxius salataensis,Hagenowina sp.,Vercorsella sp. cf. V. scarsellai,Neoiraqia (?) sp.,Cuneolina sp. cf. C. pavonia,Globoquadrina sp.,Nezzazata sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 31,R, 1,  35.00,    280.9500,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,C               ,                                           ,A                ,                                       ,                       ,                                  ,                   ,                 ,C                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,F              ,               ,                                         ,                ,                 ,                    ,              ,F                                ,                 ,                            ,C                ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 35,R, 1,  88.00,    319.7800,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,C                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,F                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,F                  ,                       ,R              ,               ,                                         ,F               ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 36,R, 1,  43.00,    328.9300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,A                ,                                       ,                       ,                                  ,                   ,                 ,C                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,F                                ,                  ,                                    ,                 ,                   ,C                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,R              ,                   ,                       ,R              ,               ,                                         ,R               ,                 ,                    ,              ,R                                ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 38,R, 1,  23.00,    342.9300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,R                ,                                       ,                       ,                                  ,                   ,                 ,C                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,VA                                  ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,C              ,F                  ,                       ,C              ,               ,                                         ,R               ,                 ,                    ,R             ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 44,R,CC,  26.00,    396.1600,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,R               ,                                           ,F                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,F                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,F              ,F                  ,                       ,               ,               ,                                         ,R               ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 45,R,CC,  23.00,    405.8300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,C                ,                                       ,                       ,                                  ,                   ,                 ,R                              ,                                       ,                 ,                   ,                 ,                               ,R              ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,R                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,R                 ,                                 ,                              ,F              ,                   ,                       ,F              ,               ,R                                        ,R               ,                 ,                    ,R             ,                                 ,                 ,?                           ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 46,R, 1, 104.00,    416.3400,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,C                ,                                       ,                       ,                                  ,                   ,                 ,C                              ,                                       ,                 ,                   ,                 ,                               ,F              ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,C                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,R                  ,R                      ,               ,               ,F                                        ,F               ,                 ,                    ,              ,R                                ,R                ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 46,R, 2,  41.00,    417.2100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,                                           ,F                ,                                       ,                       ,                                  ,                   ,                 ,C                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,R                                ,                  ,                                    ,                 ,                   ,F                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,F                  ,                       ,               ,               ,F                                        ,                ,                 ,C                   ,R             ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 47,R, 1,  92.00,    425.6200,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,A                ,                                       ,                       ,                                  ,                   ,                 ,C                              ,                                       ,F                ,                   ,                 ,R                              ,R              ,                  ,                      ,                             ,R                                ,                  ,                                    ,                 ,                   ,C                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,R                 ,                                 ,                              ,               ,C                  ,                       ,               ,R              ,R                                        ,C               ,C                ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 48,R, 1,  30.00,    434.7000,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,F                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,F                ,                   ,                 ,R                              ,               ,                  ,                      ,                             ,F                                ,                  ,F                                   ,                 ,                   ,R                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,R                  ,                       ,R              ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 49,R,CC,   6.00,    444.0600,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,                                           ,F                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,F                              ,R              ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,R                  ,F                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,?              ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 50,R,CC,   5.00,    453.7500,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,C                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,F                              ,               ,                  ,                      ,                             ,F                                ,                  ,                                    ,                 ,R                  ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,C                    ,                  ,                                 ,                              ,               ,R                  ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 51,R, 1,  31.00,    463.7100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,A               ,                                           ,A                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,F                              ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,F                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,R                 ,                                 ,                              ,               ,F                  ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 53,R, 1,  53.00,    483.2300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,                                           ,F                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,R              ,                  ,                      ,                             ,                                 ,                  ,C                                   ,                 ,                   ,F                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 56,R, 1,  15.00,    511.7500,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,                                           ,                 ,                                       ,                       ,                                  ,                   ,                 ,F                              ,                                       ,                 ,                   ,                 ,R                              ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 58,R, 1,  21.00,    531.2100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,                                           ,                 ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,F                                   ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 61,R, 1, 119.00,    561.0900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,R               ,                                           ,F                ,                                       ,                       ,                                  ,                   ,                 ,R                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,R                      ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 62,R, 1,  73.00,    570.3300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,C                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,R                              ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,R                             ,R                           ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,R              ,F                  ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 63,R, 1, 136.00,    580.6600,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,                                           ,R                ,                                       ,                       ,                                  ,                   ,                 ,F                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 64,R, 1,  18.00,    589.1800,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,C                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,R                              ,               ,                  ,                      ,                             ,F                                ,                  ,                                    ,                 ,                   ,R                             ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,F                             ,F              ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 65,R, 1, 101.00,    599.6100,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,C               ,                                           ,A                ,                                       ,                       ,                                  ,                   ,                 ,A                              ,                                       ,                 ,                   ,                 ,C                              ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 66,R, 1,  89.00,    609.1900,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,                ,                                           ,                 ,                                       ,                       ,                                  ,                   ,                 ,A                              ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 70,R, 2,  67.00,    648.3800,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,A                ,                                       ,                       ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,F              ,            ,                                 ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 71,R, 1,  43.00,    656.9300,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,VA               ,                                       ,                       ,                                  ,                   ,                 ,VA                             ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,                   ,                              ,                            ,             ,                       ,               ,            ,R                                ,                                       ,                                     ,                  ,                     ,                  ,                                 ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Late Aptian      ,                  ,              ,143, 866,A, 73,R, 1,  88.00,    676.6800,Arnaud-Vanneau,Benthic Foraminifers                         ,               ,                  ,                     ,                      ,F               ,                                           ,                 ,                                       ,R                      ,                                  ,                   ,                 ,                               ,                                       ,                 ,                   ,                 ,                               ,               ,                  ,                      ,                             ,                                 ,                  ,                                    ,                 ,R                  ,                              ,                            ,             ,                       ,               ,            ,                                 ,                                       ,                                     ,                  ,                     ,R                 ,R                                ,                              ,               ,                   ,                       ,               ,               ,                                         ,                ,                 ,                    ,              ,                                 ,                 ,                            ,                 ,               ,from Leg 143 SR; Ch 32; Tables 1 & 3; pp. 539 & 548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
