Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vercorsella sp. cf. V. arenata	Verneuilinidae taxa	Textulariid taxa	Nezzazata isabellae	Miliolid taxa	Istriloculina unspecified taxon	Foraminifers (planispiral taxa)	Buccicrenata hedgergi	Voloshinoides (?) sp. A	Boueina sp.	Glomospira unspecified taxon	Arenobulimina sp. A	Debarina sp. cf. D. hahounerensis	Vercorsella sp.	Nezzazata sp. B	Cuneolina sp. A	Sabaudia minuta	Arenobulimina sp.cf. A.chapmani	Arenobulimina sp.	Praechrysalidina infracretacea	Nezzazata sp. A	Terquemella (unspecified taxon or taxa)	Paracoskinolina sp. cf. P. sunnilandensis	Orbitolinid taxa	Orbitolina sp.	Novalesia angulosa	Nodosariidae (taxa)	Salpingoporella (unspecified taxon or taxa)	Vercorsella sp. cf. V. scarsellai	Cayeuxia (unspecified taxon or taxa)	Spiroloculina sp.	Cuneolina parva	Trocholina sp. cf. T. lenticularis	Cuneolina sp. cf. C. pavonia	Trocholina sp. cf. T. odukpaniensis	Pseudonummoloculina sp.	Pseudonummoloculina sp. cf. P.aurigerica	Barkerina sp.cf. B. barkerensis	Bacinella irregularis	Marssonella (unspecified taxon or taxa)	Spirillina sp.	Comment

  SR	Albian           	                 	                  	              	143	 865	A	 22	R	CC	   2.00	    178.4200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	C                             	                   	C               	F                  	C            	C                              	F                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	F              	                                       	                                         	                	              	                  	                   	                                           	?                                	                                    	                 	F              	                                  	                            	                                   	                       	                                        	R                              	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 24	R	CC	   5.00	    197.7500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	F               	R                  	             	C                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	R                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 28	R	 1	  12.00	    236.4200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	                   	R            	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	R             	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 28	R	 1	 120.00	    237.5000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	                   	             	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 29	R	CC	   2.00	    245.9200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	C               	C                  	             	F                              	R                              	                     	                       	           	                            	                   	                                 	               	               	F              	               	                               	                 	                              	?              	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	F              	                                  	A                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 30	R	CC	   5.00	    255.6500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	C               	F                  	F            	A                              	R                              	                     	                       	           	R                           	                   	                                 	               	               	R              	               	                               	R                	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	F              	                                  	                            	                                   	                       	                                        	                               	                     	R                                      	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 31	R	CC	   2.00	    265.2200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	F               	R                  	             	                               	R                              	                     	                       	           	                            	                   	R                                	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	?                                	                                    	                 	F              	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 32	R	CC	   0.00	    274.9000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	F               	R                  	R            	F                              	R                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	R                	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	R              	                                  	                            	                                   	                       	                                        	                               	F                    	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 33	R	CC	   4.00	    284.6400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	R               	R                  	             	R                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	R              	                                  	R                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 34	R	 1	   0.00	    294.2000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	C                             	                   	F               	F                  	C            	A                              	                               	                     	                       	           	R                           	                   	F                                	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	?                                	                                    	                 	C              	                                  	R                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 34	R	 1	  15.00	    294.3500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	A                  	A               	C                  	A            	C                              	F                              	                     	                       	           	R                           	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	R                 	                   	                                           	                                 	                                    	                 	F              	                                  	                            	                                   	C                      	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 34	R	 1	  40.00	    294.6000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	F               	F                  	C            	R                              	                               	                     	                       	           	                            	                   	R                                	               	               	               	               	                               	R                	                              	               	                                       	                                         	                	              	                  	R                  	                                           	                                 	                                    	                 	F              	                                  	                            	R                                  	R                      	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 34	R	 1	  67.00	    294.8700	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	C                  	C               	                   	C            	F                              	F                              	                     	                       	           	                            	                   	                                 	               	               	R              	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	?                                	                                    	                 	A              	                                  	R                           	                                   	R                      	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 34	R	 1	  85.00	    295.0500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	C                  	A               	C                  	A            	A                              	                               	                     	                       	           	R                           	                   	                                 	               	               	F              	               	                               	                 	                              	F              	                                       	                                         	                	              	R                 	                   	                                           	?                                	                                    	                 	A              	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 34	R	 1	 124.00	    295.4400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	R                  	             	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 34	R	 1	 140.00	    295.6000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	F               	F                  	C            	A                              	R                              	                     	                       	           	F                           	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	F              	                                  	A                           	                                   	                       	R                                       	?                              	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 35	R	CC	   0.00	    303.5000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	R               	                   	C            	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 36	R	CC	   0.00	    313.1000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	C               	A                  	C            	C                              	R                              	                     	                       	           	                            	                   	R                                	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	F              	                                  	F                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 36	R	CC	   8.00	    313.1800	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	C               	F                  	F            	F                              	F                              	                     	                       	           	                            	                   	F                                	               	               	F              	               	                               	R                	                              	R              	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	F              	                                  	A                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 36	R	CC	  17.00	    313.2700	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	C                             	                   	A               	R                  	C            	F                              	F                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	R              	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	C              	                                  	F                           	                                   	F                      	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 37	R	CC	   1.00	    322.8100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	F               	F                  	C            	C                              	R                              	                     	                       	           	                            	                   	                                 	               	               	F              	               	                               	R                	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	F                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 39	R	CC	  15.00	    342.0500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	F               	C                  	C            	F                              	C                              	                     	R                      	           	                            	                   	R                                	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	R                 	                   	                                           	                                 	                                    	                 	F              	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 39	R	CC	  41.00	    342.3100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	C               	R                  	             	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	F                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 40	R	CC	   8.00	    351.6800	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	                	R                  	             	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	R              	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 40	R	CC	  13.00	    351.7300	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	                   	             	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 41	R	CC	  26.00	    361.4600	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	F               	R                  	R            	C                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	R              	                                  	F                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 42	R	CC	   2.00	    370.8200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	C                             	C                  	F               	F                  	F            	C                              	F                              	                     	R                      	           	                            	                   	                                 	               	               	               	               	F                              	R                	                              	               	                                       	                                         	                	              	R                 	                   	R                                          	                                 	                                    	                 	F              	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 43	R	CC	   1.00	    380.5100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	F                  	F               	F                  	R            	C                              	F                              	                     	                       	           	                            	                   	                                 	               	               	F              	               	                               	                 	                              	               	                                       	                                         	                	              	R                 	                   	R                                          	                                 	                                    	                 	R              	                                  	C                           	R                                  	?                      	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 44	R	CC	  14.00	    390.2400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	F                  	F               	C                  	VA           	C                              	F                              	                     	                       	A          	F                           	                   	                                 	               	               	R              	               	                               	                 	                              	               	                                       	                                         	                	              	R                 	                   	                                           	                                 	                                    	                 	               	                                  	R                           	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 45	R	CC	  19.00	    400.0900	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	R               	F                  	             	                               	R                              	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 46	R	CC	   0.00	    409.6000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	F               	                   	C            	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	R                 	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 47	R	CC	   1.00	    419.2100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	F               	A                  	A            	C                              	R                              	                     	                       	           	R                           	                   	                                 	               	               	               	               	                               	R                	                              	               	                                       	                                         	                	              	                  	                   	                                           	C                                	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 50	R	CC	  15.00	    448.1500	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	R               	                   	             	A                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 51	R	CC	  11.00	    457.7100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	R                  	F               	                   	F            	R                              	R                              	                     	R                      	           	F                           	                   	                                 	               	               	F              	               	                               	R                	                              	               	                                       	                                         	                	              	                  	                   	R                                          	                                 	                                    	                 	?              	R                                 	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 52	R	CC	   1.00	    467.3100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	R               	R                  	             	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	R              	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 54	R	CC	   3.00	    486.6300	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	R               	F                  	F            	A                              	R                              	                     	R                      	           	R                           	                   	                                 	               	               	               	               	R                              	R                	                              	               	                                       	                                         	                	              	                  	                   	A                                          	                                 	                                    	R                	?              	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 55	R	CC	   2.00	    496.3200	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	R               	R                  	R            	A                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	VA                                         	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 57	R	CC	   0.00	    515.5000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	R               	                   	             	                               	                               	?                    	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 58	R	CC	  14.00	    525.3400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	F               	C                  	F            	                               	                               	                     	                       	           	                            	                   	                                 	               	               	C              	               	F                              	                 	                              	               	                                       	                                         	                	              	                  	                   	R                                          	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 59	R	CC	   4.00	    534.8400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	                	F                  	C            	C                              	                               	                     	R                      	           	                            	                   	                                 	               	               	               	               	R                              	                 	                              	               	                                       	                                         	                	              	R                 	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 60	R	CC	  11.00	    544.6100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	R                  	             	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 64	R	CC	  10.00	    583.2000	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	F                             	                   	                	                   	             	                               	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 66	R	CC	   9.00	    602.5900	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	                   	R            	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	?              	               	F                              	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	R                                   	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 68	R	CC	   1.00	    621.9100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	                	                   	             	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 69	R	CC	  21.00	    631.7100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	R                             	                   	C               	C                  	VA           	F                              	F                              	                     	                       	           	                            	                   	F                                	               	               	R              	               	R                              	                 	                              	               	                                       	                                         	                	              	                  	                   	                                           	?                                	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 70	R	CC	   1.00	    641.0100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	F               	C                  	F            	F                              	                               	                     	                       	           	                            	                   	                                 	               	               	               	               	                               	                 	                              	F              	                                       	                                         	                	              	                  	                   	R                                          	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 71	R	CC	  11.00	    650.9100	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	R                  	C               	F                  	R            	F                              	R                              	                     	                       	           	                            	                   	                                 	R              	               	F              	               	                               	                 	                              	F              	                                       	                                         	                	              	                  	                   	                                           	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

  SR	Albian           	                 	                  	              	143	 865	A	 72	R	CC	  14.00	    660.5400	Arnaud-Vanneau	Benthic Foraminifers                         	               	                  	                              	                   	R               	F                  	A            	C                              	                               	                     	                       	           	F                           	                   	                                 	               	               	R              	               	F                              	                 	                              	               	                                       	                                         	                	              	                  	                   	A                                          	                                 	                                    	                 	               	                                  	                            	                                   	                       	                                        	                               	                     	                                       	              	from Leg 143 SR; Ch. 32; Tables 2 & 4; pp. 540 & 549

