Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cytheropteron simplex,Muellerina abyssicola,?Hirschmannia sp.,Thaerocythere sp.,Rabilimis sp.,Pseudocythere caudata,Cytheropteron testudo,Cytheropteron inflatum,?Hermanities sp.,Krithe glacialis,Heterocyprideis sorbyana,Elofsonella concinna,Cytheropteron arcuatum,Cluthia cluthae,Sarsicytheridea punctillata,Sarsicytheridea bradii,Cytheropteron sp.,Cytheropteron hamatum,Cytheropteron carolinae,Argilloecia sp.,Eucythere sp.,Cytheropteron alatum,Comment
  SR,                 ,                 ,                  ,              ,151, 910,D, 11,X, 6,  74.00,     91.9400,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,                     ,                 ,3                ,             ,                     ,                     ,                      ,                ,                ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 11,X,CC,  45.00,     93.1500,Cronin   ,Ostracodes                                   ,               ,                  ,1                    ,2                    ,                 ,6                ,3            ,                     ,                     ,1                     ,13              ,1               ,2                       ,7                   ,                      ,               ,8                          ,9                     ,2                ,1                    ,                       ,               ,             ,                    ,Other taxa = 1; From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 12,X, 4,  74.00,     98.6400,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,                     ,                 ,                 ,             ,                     ,                     ,                      ,                ,1               ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 12,X,CC,  19.00,    101.9900,Cronin   ,Ostracodes                                   ,               ,                  ,4                    ,                     ,                 ,                 ,             ,                     ,1                    ,                      ,                ,2               ,6                       ,1                   ,1                     ,1              ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,Other taxa = 8; From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 13,X,CC,  72.00,    112.7200,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,                     ,                 ,                 ,1            ,                     ,                     ,                      ,1               ,1               ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 14,X,CC,  34.00,    121.0700,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,                     ,                 ,2                ,             ,                     ,                     ,1                     ,                ,                ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 15,X,CC,  57.00,    129.7200,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,                     ,                 ,7                ,2            ,1                    ,1                    ,1                     ,5               ,                ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 17,X,CC,  36.00,    150.5000,Cronin   ,Ostracodes                                   ,               ,                  ,                     ,6                    ,1                ,                 ,             ,                     ,                     ,                      ,                ,                ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,Other taxa = 2; From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 910,D, 18,X,CC,  43.00,    158.1700,Cronin   ,Ostracodes                                   ,               ,                  ,1                    ,                     ,                 ,                 ,             ,                     ,                     ,                      ,                ,                ,                        ,                    ,                      ,               ,                           ,                      ,                 ,                     ,                       ,               ,             ,                    ,From 151SR; Ch 11; Table 3; p. 199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
