Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra lockerii	Pontosphaera spp.	Isthmolithus recurvus	Helicosphaera perch-nielseniae	Helicosphaera paleocarteri	Helicosphaera carteri	Discoaster variabilis	Discoaster druggii	Discoaster deflandrei	Discoaster adamanteus	Dictyococcites bisectus	Dictyococcites antarcticus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Coccolithus miopelagicus	Chiasmolithus spp.	Calcidiscus premacintyrei	Helicosphaera intermedia	Discoaster dilatus	Pyrocyclus spp.	Reticulofenestra Z	Helicosphaera euphratis	Geminilithella rotula	Cruciplacolithus primus	Calcidiscus leptoporus	Reticulofenestra small-sized	Reticulofenestra pseudoumbilicus	Discoaster exilis	Sphenolithus heteromorphus	Rhabdosphaera procera	Dictyococcites productus	Reticulofenestra medium-sized	Helicosphaera walbersdorfensis	Fasciculithus spp.	Calcidiscus macintyrei	Sphenolithus neoabies	Reticulofenestra gelida	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa large	Gephyrocapsa medium-sized	Reticulofenestra asanoi	Gephyrocapsa (small)	Gephyrocapsa parallela	Syracosphaera pulchra	Cribrocentrum reticulatum	Sphenolithus abies	Braarudosphaera bigelowii	Comment
  IR	                 	                 	                  	              	181	1122	C	 30	X	CC	  12.00	    259.1300	nannos   	Nannofossils                                 	A              	G                 	                       	                         	                         	R                	                     	                              	                          	F                    	                     	                  	R                    	                     	R                      	                          	F                          	R                         	C                    	R                       	                  	                         	R                       	                  	               	                  	                       	                     	                       	F                     	C                           	R                               	                 	                          	                     	C                       	                             	                              	                  	                      	                     	                       	F                       	                    	                  	C                        	R                      	A                   	R                     	R                    	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 31	X	CC	  16.00	    266.3400	nannos   	Nannofossils                                 	T              	P                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	                     	                     	                       	                          	                           	                          	R                    	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	                            	                                	                 	                          	                     	                        	                             	                              	                  	                      	                     	R                      	R                       	                    	                  	                         	                       	                    	R                     	                     	                         	                  	                         	       

  IR	                 	                 	                  	              	181	1122	C	 32	X	CC	  16.00	    273.7500	nannos   	Nannofossils                                 	A              	M                 	R                      	                         	R                        	R                	                     	                              	                          	C                    	                     	                  	                     	                     	R                      	                          	                           	R                         	A                    	R                       	                  	                         	                        	                  	               	                  	                       	                     	                       	F                     	A                           	                                	                 	                          	                     	A                       	F                            	                              	                  	R                     	                     	                       	F                       	                    	                  	F                        	R                      	A                   	F                     	                     	R                        	                  	                         	tunicate spicules

  IR	                 	                 	                  	              	181	1122	C	 33	X	CC	   8.00	    287.9800	nannos   	Nannofossils                                 	R              	P                 	                       	                         	                         	                 	                     	                              	                          	                     	                     	                  	R                    	                     	                       	R                         	                           	                          	                     	                        	                  	                         	                        	                  	               	                  	                       	                     	                       	                      	                            	R                               	                 	                          	                     	                        	                             	                              	                  	                      	                     	                       	                        	                    	                  	                         	                       	                    	                      	                     	                         	                  	                         	enriched with diatom fragments

  IR	                 	                 	                  	              	181	1122	C	 34	X	CC	   0.00	    297.7400	nannos   	Nannofossils                                 	F              	M                 	R                      	                         	                         	                 	                     	                              	                          	F                    	                     	                  	                     	                     	                       	R                         	                           	                          	C                    	                        	                  	                         	                        	                  	               	                  	                       	R                    	                       	F                     	C                           	                                	                 	                          	                     	A                       	                             	                              	                  	                      	                     	                       	F                       	                    	                  	F                        	                       	D                   	                      	R                    	                         	                  	                         	       

