Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Protostichocapsa stocki,Diacanthocapsa minima,Archicorys sp.,Paronaella (?) sp.,Dictyomitra regina,Diacanthocapsa amphora,? Stichomitra  campi,? Cromyodruppa  concentrica,Cyrtocalpis sp. aff. C. operosa,Dictyomitra multicostata,Dictyomitra andersoni,Cornutella californica,Tripodictya elegantissima,Triactomma pachyacantha,Theocampe sp.,Siphocampe altamontensis,? Lithomespilus sp.,Archaeodictyomitra  rigida,? Stichomitra  livermorensis,Bathropyramis sp.,Squinabolella putahensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 39,R,CC,   9.00,    350.6100,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 40,R, 3,  55.00,    358.0500,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,                      ,                    ,R                          ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 40,R,CC,  14.00,    362.1200,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,R             ,                  ,                  ,1                     ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 41,R, 3,  50.00,    367.5000,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 41,R, 4, 145.00,    369.9500,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,1                     ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 42,R,CC,   0.00,    378.2500,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,                      ,                    ,1                          ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 43,R, 1,  49.00,    383.4900,Ling     ,Radiolarians                                 ,R              ,M                 ,                       ,                     ,1             ,                  ,                  ,                      ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,1                ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 43,R, 3,  49.00,    386.4900,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 43,R, 5,  49.00,    389.4900,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,              ,                  ,                  ,1                     ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 43,R,CC,  26.00,    392.8900,Ling     ,Radiolarians                                 ,F              ,G                 ,F                      ,                     ,R             ,                  ,                  ,R                     ,                    ,                           ,                               ,                        ,1                    ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,1                ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 44,R, 1,  49.00,    392.9900,Ling     ,Radiolarians                                 ,C              ,G                 ,F                      ,                     ,              ,                  ,                  ,R                     ,                    ,R                          ,                               ,F                       ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 44,R,CC,  14.00,    394.1700,Ling     ,Radiolarians                                 ,A              ,G                 ,F                      ,                     ,1             ,                  ,                  ,R                     ,                    ,                           ,                               ,F                       ,F                    ,                      ,                         ,                       ,             ,1                       ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 45,R, 1,  69.00,    397.6900,Ling     ,Radiolarians                                 ,C              ,G                 ,R                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,R                       ,                     ,                      ,                         ,                       ,             ,1                       ,                   ,                          ,1                           ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 45,R, 2,  69.00,    399.1900,Ling     ,Radiolarians                                 ,R              ,G                 ,R                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 45,R,CC,  38.00,    400.2900,Ling     ,Radiolarians                                 ,A              ,G                 ,C                      ,                     ,F             ,                  ,                  ,R                     ,                    ,C                          ,                               ,R                       ,R                    ,                      ,1                        ,                       ,             ,R                       ,                   ,1                         ,1                           ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 46,R, 1,  34.00,    403.8400,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,              ,                  ,                  ,                      ,                    ,R                          ,                               ,1                       ,                     ,                      ,                         ,                       ,             ,1                       ,                   ,1                         ,1                           ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 46,R, 3,  59.00,    407.0900,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,              ,                  ,                  ,                      ,                    ,R                          ,                               ,                        ,                     ,1                     ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 46,R,CC,  17.00,    408.1500,Ling     ,Radiolarians                                 ,C              ,G                 ,F                      ,                     ,              ,                  ,                  ,                      ,                    ,R                          ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,1                  ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 47,R, 2,  50.00,    415.0000,Ling     ,Radiolarians                                 ,C              ,G                 ,F                      ,                     ,              ,                  ,                  ,                      ,                    ,                           ,                               ,1                       ,                     ,                      ,1                        ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 47,R, 4,  58.00,    418.0800,Ling     ,Radiolarians                                 ,A              ,G                 ,C                      ,                     ,R             ,                  ,                  ,1                     ,                    ,R                          ,                               ,F                       ,R                    ,                      ,1                        ,1                      ,1            ,R                       ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 47,R,CC,   0.00,    420.0100,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,1             ,                  ,                  ,1                     ,                    ,                           ,                               ,1                       ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 48,R, 1,  48.00,    422.9800,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,1             ,                  ,                  ,                      ,                    ,R                          ,                               ,R                       ,1                    ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 48,R, 3,  50.00,    426.0000,Ling     ,Radiolarians                                 ,R              ,M                 ,                       ,                     ,              ,                  ,                  ,                      ,R                   ,1                          ,                               ,1                       ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 48,R, 5,  52.00,    429.0200,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,                     ,              ,                  ,                  ,                      ,R                   ,R                          ,                               ,                        ,                     ,1                     ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 48,R,CC,  13.00,    431.4800,Ling     ,Radiolarians                                 ,C              ,M                 ,F                      ,                     ,1             ,                  ,                  ,                      ,R                   ,R                          ,                               ,R                       ,1                    ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 49,R, 1,  50.00,    432.5000,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,                      ,                    ,1                          ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 49,R, 3,  50.00,    435.5000,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,1                     ,                    ,1                          ,1                              ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 49,R, 5,  50.00,    438.5000,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,                  ,                  ,                      ,                    ,1                          ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 49,R,CC,  25.00,    439.1600,Ling     ,Radiolarians                                 ,R              ,M                 ,1                      ,                     ,              ,1                 ,1                 ,1                     ,R                   ,R                          ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,114, 700,B, 50,R,CC,  25.00,    445.6500,Ling     ,Radiolarians                                 ,R              ,M                 ,R                      ,1                    ,1             ,                  ,                  ,                      ,                    ,                           ,                               ,                        ,                     ,                      ,                         ,                       ,             ,                        ,                   ,                          ,                            ,                 ,                        ,from ODP Leg 114 SR Chapter 17 Table 2 p.319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
