Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus crux,Dictyocha varia,Dictyocha subclinata (long axis),Dictyocha extensa extensa,Distephanus speculum speculum f. varians,Dictyocha varia (cruxid),Dictyocha fibula fibula,Distephanus speculum speculum (5-sided),Dictyocha subclinata (short axis),Dictyocha fibula ausonia,Parathranium tenuipes,Hermesinum adriaticum,Dictyocha extensa (medusid),Distephanus speculum speculum (7-sided),Bachmannocena circulus,Dictyocha extensa extensa (5-sided),Distephanus speculum tenuis,Bachmannocena elliptica,Distephanus speculum speculum (multiwindowed),Dictyocha sp.,Distephanus boliviensis,Dictyocha fibula ausonia (prenauticid),Distephanus quinquangellus,Distephanus crux (bridged),Neonaviculopsis neonautica praenautica,Neonaviculopsis neonautica neonautica,Bachmannocena diodon nodosa f. transenna,Bachmannocena diodon nodosa f. cocoensis,Bachmannocena diodon nodosa,Distephanus crux carolae,Dictyocha extensa longa,Dictyocha delicata bisecta,Ebriopsis antiqua,Dictyocha perlaevis perlaevis,Dictyocha perlaevis flexatella,Dictyocha messanensis,Dictyocha lingii,Distephanus pulchra,Dictyocha aculeata subaculeata,Bachmannocena quadrangula,Dictyocha messanensis (5-sided),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. messanensis    ,              ,138, 850,B,  4,H, 1, 120.00,     32.7000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,6                            ,1               ,               ,                                ,                         ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,             ,                       ,                                      ,2                         ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,110                          ,                              ,179                  ,                ,2                  ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. messanensis    ,              ,138, 850,B,  5,H, 1, 120.00,     42.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                            ,1               ,1              ,                                ,                         ,                                        ,                        ,                       ,15                                     ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,245          ,                       ,                                      ,11                        ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,13                     ,                          ,1                ,7                            ,1                             ,3                    ,1               ,                   ,                              ,                         ,                               ,Aberrant specimens = 3; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. messanensis    ,              ,138, 850,B,  6,H, 4, 120.00,     56.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,41                           ,                ,               ,                                ,58                       ,                                        ,                        ,                       ,                                       ,                                 ,                        ,1                    ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,140          ,1                      ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,5                      ,                          ,                 ,3                            ,49                            ,3                    ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. extensa        ,              ,138, 850,B,  7,H, 4, 120.00,     65.7000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,39                           ,                ,4              ,                                ,95                       ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,1                      ,                                             ,147          ,1                      ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,2                      ,                          ,                 ,11                           ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 1; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 850,B,  9,H, 1, 120.00,     80.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,18                           ,2               ,               ,                                ,60                       ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,195          ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,4                      ,                          ,                 ,19                           ,2                             ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 850,B, 10,H, 1, 120.00,     89.7000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,36                           ,4               ,               ,                                ,52                       ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,202          ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,2                      ,                          ,                 ,4                            ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 850,B, 11,X, 1, 120.00,     99.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,47                           ,2               ,1              ,                                ,64                       ,                                        ,                        ,                       ,                                       ,                                 ,6                       ,                     ,                     ,                           ,1                                      ,                      ,                                   ,                           ,                       ,                                             ,172          ,3                      ,                                      ,1                         ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,3                      ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 850,B, 12,X, 1, 120.00,    108.7000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,53                           ,9               ,2              ,                                ,29                       ,                                        ,                        ,                       ,                                       ,                                 ,1                       ,                     ,                     ,                           ,                                       ,9                     ,                                   ,                           ,26                     ,                                             ,175          ,3                      ,                                      ,2                         ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,1                ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 850,B, 13,X, 1, 120.00,    118.3000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,59                           ,10              ,27             ,                                ,71                       ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,1                                      ,                      ,                                   ,                           ,1                      ,                                             ,125          ,                       ,                                      ,2                         ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,2                      ,2                         ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 1; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. extensa        ,              ,138, 850,B, 14,X, 1, 120.00,    128.0000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,84                           ,3               ,54             ,                                ,121                      ,                                        ,                        ,                       ,                                       ,                                 ,10                      ,1                    ,                     ,                           ,                                       ,                      ,                                   ,                           ,1                      ,1                                            ,26           ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. extensa        ,              ,138, 850,B, 15,X, 1, 120.00,    137.6000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,182                          ,3               ,43             ,                                ,46                       ,                                        ,                        ,9                      ,                                       ,                                 ,3                       ,5                    ,                     ,                           ,                                       ,                      ,                                   ,                           ,2                      ,                                             ,12           ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. extensa        ,              ,138, 850,B, 16,X, 1, 120.00,    147.3000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,132                          ,1               ,98             ,                                ,22                       ,                                        ,                        ,2                      ,                                       ,                                 ,4                       ,3                    ,                     ,                           ,                                       ,                      ,                                   ,                           ,5                      ,                                             ,28           ,                       ,                                      ,                          ,                          ,                                      ,2                                    ,                                        ,                                        ,                           ,6                       ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. extensa        ,              ,138, 850,B, 16,X, 4, 120.00,    151.8000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,68                           ,1               ,               ,                                ,6                        ,                                        ,                        ,1                      ,                                       ,                                 ,                        ,                     ,3                    ,                           ,                                       ,                      ,                                   ,                           ,                       ,                                             ,28           ,                       ,                                      ,                          ,                          ,                                      ,7                                    ,21                                      ,1                                       ,167                        ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 1; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 17,X, 1, 120.00,    156.9000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,52                           ,                ,               ,                                ,81                       ,                                        ,                        ,                       ,                                       ,                                 ,                        ,                     ,                     ,                           ,1                                      ,                      ,                                   ,1                          ,                       ,                                             ,             ,                       ,                                      ,1                         ,                          ,8                                     ,156                                  ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 17,X, 4, 120.00,    161.4000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,24                           ,                ,               ,                                ,28                       ,                                        ,                        ,                       ,1                                      ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,5                          ,                       ,                                             ,40           ,                       ,                                      ,2                         ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 18,X, 1, 120.00,    166.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,184                          ,6               ,7              ,                                ,49                       ,                                        ,                        ,5                      ,                                       ,                                 ,                        ,                     ,                     ,                           ,2                                      ,                      ,                                   ,45                         ,                       ,1                                            ,             ,                       ,                                      ,                          ,1                         ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 19,X, 1, 120.00,    175.4000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,12                           ,22              ,               ,                                ,233                      ,                                        ,                        ,5                      ,                                       ,                                 ,                        ,1                    ,                     ,                           ,                                       ,                      ,1                                  ,18                         ,                       ,                                             ,1            ,4                      ,                                      ,2                         ,2                         ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 20,X, 1, 120.00,    185.0000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,14                           ,2               ,               ,                                ,176                      ,                                        ,                        ,2                      ,                                       ,                                 ,                        ,                     ,                     ,                           ,                                       ,                      ,                                   ,3                          ,                       ,                                             ,2            ,1                      ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 21,X, 1, 121.00,    194.7100,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,17                           ,                ,2              ,                                ,180                      ,                                        ,                        ,2                      ,                                       ,                                 ,64                      ,                     ,                     ,                           ,                                       ,                      ,                                   ,18                         ,                       ,                                             ,             ,                       ,1                                     ,16                        ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 22,X, 1, 121.00,    204.3100,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,10                           ,1               ,               ,                                ,219                      ,                                        ,                        ,31                     ,                                       ,                                 ,16                      ,                     ,                     ,                           ,                                       ,                      ,                                   ,23                         ,                       ,                                             ,             ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 23,X, 1, 120.00,    214.0000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,18                           ,1               ,1              ,                                ,225                      ,                                        ,                        ,15                     ,                                       ,                                 ,9                       ,                     ,                     ,                           ,                                       ,                      ,                                   ,24                         ,                       ,                                             ,3            ,                       ,4                                     ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 24,X, 1, 120.00,    223.7000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,25                           ,4               ,               ,                                ,119                      ,                                        ,                        ,8                      ,                                       ,                                 ,17                      ,                     ,                     ,                           ,                                       ,                      ,                                   ,124                        ,                       ,                                             ,3            ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 25,X, 1, 120.00,    233.3000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,165                          ,                ,1              ,                                ,94                       ,                                        ,                        ,5                      ,3                                      ,                                 ,4                       ,                     ,                     ,                           ,                                       ,                      ,                                   ,18                         ,                       ,                                             ,5            ,5                      ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,Ds. speculum tenuis,              ,138, 850,B, 26,X, 1, 120.00,    243.0000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,147                          ,                ,23             ,                                ,62                       ,                                        ,                        ,17                     ,1                                      ,                                 ,25                      ,2                    ,                     ,2                          ,                                       ,                      ,1                                  ,11                         ,8                      ,1                                            ,2            ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 850,B, 27,X, 1, 120.00,    252.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,172                          ,                ,10             ,                                ,68                       ,                                        ,                        ,32                     ,                                       ,                                 ,15                      ,                     ,                     ,                           ,                                       ,                      ,                                   ,                           ,3                      ,                                             ,             ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 0; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 850,B, 28,X, 1, 119.00,    261.8900,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,42                           ,                ,31             ,                                ,198                      ,                                        ,                        ,7                      ,                                       ,                                 ,20                      ,2                    ,                     ,2                          ,                                       ,                      ,                                   ,                           ,                       ,                                             ,             ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 850,B, 28,X, 4, 120.00,    266.4000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,33                           ,                ,225            ,                                ,38                       ,                                        ,                        ,3                      ,                                       ,                                 ,                        ,                     ,                     ,1                          ,                                       ,                      ,                                   ,                           ,                       ,                                             ,             ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 1; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. varia          ,              ,138, 850,B, 29,X, 1, 119.00,    271.4900,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,54                           ,                ,218            ,                                ,23                       ,                                        ,                        ,1                      ,                                       ,                                 ,                        ,                     ,                     ,3                          ,                                       ,                      ,                                   ,1                          ,                       ,                                             ,             ,                       ,                                      ,                          ,                          ,                                      ,                                     ,                                        ,                                        ,                           ,                        ,                       ,                          ,                 ,                             ,                              ,                     ,                ,                   ,                              ,                         ,                               ,Aberrant specimens = 2; Total count = 300; from ODP 138 SR Chapter 8 Table 7 p 140-141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
