Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia spp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella spp.,Oridorsalis umbonatus,Nuttallides umbonifera,Gyroidinoides altiformis,Globocassidulina subglobosa,Fissurina/Lagena/Oolina/Parafissurina (unspecified taxon or taxa),Epistominella exigua,Eggerella bradyi,Cibicidoides cf. pseudoungerianus,Cibicidoides kullenbergi,Pyrgo murrhina,Miliolina spp.,Melonis barleeanus,Gyroidinoides spp.,Gyroidinoides sp.2,Pullenia bulloides,Gyroidinoides sp.1,Pullenia subcarinata,Planulina wuellerstorfi,Cibicidoides spp.,Uvigerina senticosa,Uvigerina proboscidea,Stilostomella spp.,Sphaeroidina bulloides,Lenticulina spp.,Gyroidinoides sp.3,Eponides pusillus,Pullenia salisburyi sl.,Siphotextularia catenata,Laticarinina pauperata,Eponides tumidulus,Textularia australis,Quinqueloculina venusta,Quinqueloculina cf. weaveri,Cibicidoides bradyi,Cassidulina spp.,Anomalinoides globulosus,Pyrgo elongata,Pyrgo sp.1,Astrononion echolsi,Buliminella sp. 1,Stainforthia complanata,Melonis pompilioides,Gyroidinoides lamarckianus,Cassidulinoides spp.,Pyrulina extensa,Bolivina pseudoplicata,Ehrenbergina trigona,Dorothia brevis,Uvigerina hollicki,Pyrgo lucernula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  2,H, 4,  81.00,      8.6100,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,5                   ,7                 ,                   ,29                   ,339                   ,                        ,16                         ,9                                                                ,108                 ,6               ,                                 ,                        ,1             ,              ,1                 ,                  ,                  ,                  ,                  ,                    ,5                      ,1                ,                   ,                     ,                  ,2                     ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,1             ,          ,                   ,                 ,                       ,2                   ,1                         ,                    ,                ,                      ,                    ,               ,1                 ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  2,H, 5,  81.00,     10.1100,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,3                   ,1                 ,                   ,11                   ,199                   ,                        ,15                         ,6                                                                ,7                   ,4               ,                                 ,                        ,5             ,              ,                  ,                  ,                  ,                  ,                  ,                    ,5                      ,1                ,                   ,1                    ,                  ,                      ,                ,                  ,1                ,1                      ,                        ,                      ,2                 ,                    ,1                      ,1                          ,                   ,1               ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,1                 ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  2,H, 6,  81.00,     11.6100,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                  ,                   ,3                    ,75                    ,                        ,1                          ,6                                                                ,31                  ,                ,                                 ,                        ,              ,2             ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,1                      ,                           ,                   ,                ,                        ,2             ,          ,                   ,                 ,                       ,                    ,1                         ,                    ,                ,1                     ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  2,H,CC,  31.00,     13.3100,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,1                   ,3                 ,                   ,2                    ,60                    ,                        ,5                          ,11                                                               ,18                  ,1               ,                                 ,                        ,1             ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,1                ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,1             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  3,H, 1,  99.00,     13.7900,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,1                   ,                  ,                   ,7                    ,60                    ,                        ,5                          ,6                                                                ,1                   ,1               ,                                 ,                        ,3             ,1             ,3                 ,                  ,                  ,                  ,                  ,                    ,3                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,1                       ,                      ,1                 ,                    ,                       ,                           ,                   ,                ,                        ,1             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  3,H, 2,  99.00,     15.2900,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,1                   ,1                 ,                   ,12                   ,81                    ,2                       ,9                          ,7                                                                ,25                  ,10              ,                                 ,                        ,1             ,1             ,                  ,                  ,                  ,                  ,                  ,                    ,2                      ,1                ,                   ,1                    ,                  ,                      ,                ,                  ,2                ,3                      ,1                       ,                      ,2                 ,1                   ,1                      ,                           ,                   ,3               ,                        ,1             ,          ,                   ,                 ,                       ,                    ,2                         ,                    ,                ,                      ,                    ,               ,1                 ,1              ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  3,H, 3,  99.00,     16.7900,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,3                 ,                   ,24                   ,122                   ,1                       ,25                         ,5                                                                ,11                  ,6               ,1                                ,                        ,              ,1             ,                  ,                  ,                  ,                  ,                  ,                    ,1                      ,3                ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,                       ,                        ,3                     ,1                 ,                    ,                       ,                           ,                   ,1               ,                        ,3             ,          ,                   ,                 ,                       ,                    ,                          ,1                   ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  3,H, 4,  99.00,     18.2900,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,5                 ,                   ,6                    ,77                    ,2                       ,27                         ,15                                                               ,11                  ,4               ,                                 ,                        ,              ,              ,                  ,1                 ,                  ,                  ,                  ,                    ,1                      ,1                ,                   ,                     ,                  ,1                     ,                ,                  ,3                ,1                      ,1                       ,                      ,1                 ,                    ,                       ,                           ,                   ,4               ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,2                   ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  3,H, 5,  99.00,     19.7900,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,2                 ,                   ,5                    ,266                   ,2                       ,23                         ,8                                                                ,31                  ,4               ,3                                ,                        ,2             ,              ,                  ,1                 ,                  ,                  ,                  ,                    ,5                      ,1                ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,                       ,1                       ,3                     ,2                 ,                    ,1                      ,                           ,                   ,                ,                        ,3             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  3,H, 6,  99.00,     21.2900,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,3                 ,                   ,2                    ,68                    ,                        ,5                          ,7                                                                ,7                   ,5               ,                                 ,                        ,              ,1             ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,1                      ,                        ,                      ,2                 ,                    ,                       ,                           ,                   ,                ,                        ,2             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  3,H,CC,  11.00,     22.4600,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,7                   ,1                 ,                   ,3                    ,47                    ,                        ,3                          ,11                                                               ,18                  ,5               ,                                 ,                        ,              ,              ,1                 ,                  ,                  ,                  ,                  ,                    ,1                      ,                 ,                   ,                     ,                  ,2                     ,3               ,                  ,                 ,2                      ,                        ,                      ,1                 ,                    ,                       ,1                          ,                   ,1               ,1                       ,1             ,1         ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  4,H, 1,  79.00,     23.0900,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,1                   ,1                 ,1                  ,10                   ,213                   ,                        ,8                          ,3                                                                ,34                  ,                ,                                 ,                        ,1             ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,2                     ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,1             ,          ,                   ,                 ,                       ,                    ,1                         ,1                   ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  4,H, 2,  79.00,     24.5900,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,                    ,1                 ,                   ,                     ,73                    ,                        ,5                          ,2                                                                ,3                   ,                ,                                 ,                        ,              ,              ,                  ,                  ,                  ,1                 ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,1                       ,                      ,                  ,                    ,                       ,                           ,                   ,                ,                        ,              ,          ,                   ,                 ,                       ,                    ,2                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  4,H, 3,  79.00,     26.0900,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,2                   ,8                 ,                   ,5                    ,120                   ,                        ,7                          ,15                                                               ,34                  ,9               ,                                 ,                        ,4             ,1             ,2                 ,3                 ,                  ,                  ,                  ,                    ,3                      ,1                ,                   ,                     ,                  ,1                     ,                ,                  ,                 ,2                      ,                        ,                      ,3                 ,2                   ,                       ,                           ,                   ,7               ,                        ,2             ,2         ,                   ,                 ,                       ,1                   ,3                         ,1                   ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  4,H, 4,  79.00,     27.5900,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,                  ,                   ,5                    ,64                    ,                        ,10                         ,12                                                               ,2                   ,5               ,                                 ,                        ,7             ,1             ,1                 ,                  ,                  ,1                 ,                  ,                    ,1                      ,                 ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,2                      ,                        ,                      ,                  ,2                   ,                       ,2                          ,                   ,                ,                        ,2             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  4,H, 5,  79.00,     29.0900,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,2                 ,                   ,10                   ,54                    ,                        ,10                         ,6                                                                ,                    ,                ,                                 ,                        ,              ,              ,                  ,                  ,                  ,                  ,                  ,                    ,1                      ,                 ,                   ,                     ,                  ,1                     ,                ,                  ,                 ,                       ,1                       ,1                     ,                  ,                    ,1                      ,1                          ,                   ,2               ,                        ,1             ,          ,                   ,                 ,                       ,                    ,1                         ,                    ,                ,1                     ,1                   ,1              ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  4,H, 6,  79.00,     30.5900,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,                    ,6                 ,                   ,3                    ,75                    ,                        ,8                          ,11                                                               ,38                  ,2               ,                                 ,                        ,              ,2             ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,                 ,                   ,                     ,                  ,                      ,                ,                  ,1                ,                       ,                        ,                      ,1                 ,                    ,                       ,                           ,                   ,                ,1                       ,2             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  5,H, 1,  80.00,     32.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,10                ,                   ,2                    ,38                    ,                        ,12                         ,8                                                                ,2                   ,3               ,                                 ,                        ,3             ,              ,1                 ,                  ,                  ,                  ,                  ,                    ,2                      ,1                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,3                       ,1                     ,                  ,1                   ,1                      ,1                          ,4                  ,                ,                        ,1             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  5,H, 2,  80.00,     34.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,                    ,4                 ,                   ,3                    ,41                    ,2                       ,13                         ,5                                                                ,2                   ,2               ,2                                ,                        ,1             ,1             ,                  ,2                 ,                  ,                  ,                  ,                    ,5                      ,2                ,                   ,                     ,                  ,                      ,1               ,                  ,                 ,1                      ,1                       ,                      ,2                 ,1                   ,                       ,                           ,                   ,2               ,                        ,1             ,          ,                   ,                 ,                       ,                    ,                          ,1                   ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,                  ,              ,110, 672,A,  5,H, 3,  80.00,     35.6000,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,2                   ,14                ,                   ,7                    ,42                    ,2                       ,11                         ,6                                                                ,3                   ,3               ,1                                ,                        ,3             ,              ,                  ,                  ,                  ,5                 ,                  ,                    ,1                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,1                      ,3                       ,                      ,                  ,                    ,1                      ,                           ,                   ,                ,                        ,3             ,          ,                   ,                 ,                       ,1                   ,                          ,                    ,                ,2                     ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  5,H, 4,  80.00,     37.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,6                 ,                   ,8                    ,31                    ,2                       ,7                          ,8                                                                ,9                   ,1               ,5                                ,                        ,4             ,              ,                  ,2                 ,                  ,1                 ,                  ,                    ,1                      ,                 ,                   ,                     ,                  ,                      ,2               ,                  ,                 ,                       ,1                       ,                      ,1                 ,                    ,                       ,                           ,                   ,5               ,                        ,4             ,          ,                   ,                 ,                       ,                    ,2                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  5,H, 5,  68.00,     38.4800,Clark    ,Benthic Foraminifers                         ,               ,                  ,2            ,1                   ,4                 ,1                  ,3                    ,53                    ,3                       ,8                          ,6                                                                ,7                   ,1               ,                                 ,                        ,2             ,              ,                  ,3                 ,                  ,4                 ,3                 ,                    ,3                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,1                       ,                      ,                  ,1                   ,                       ,                           ,                   ,2               ,                        ,              ,          ,                   ,                 ,1                      ,                    ,1                         ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  5,H, 5,  97.00,     38.7700,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,1                   ,1                 ,                   ,9                    ,39                    ,                        ,14                         ,4                                                                ,7                   ,5               ,1                                ,                        ,2             ,              ,                  ,3                 ,1                 ,                  ,5                 ,                    ,1                      ,                 ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,2                 ,1                   ,                       ,                           ,                   ,1               ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,1                   ,1               ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  5,H, 6,  80.00,     40.1000,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,4                   ,1                 ,1                  ,30                   ,180                   ,3                       ,8                          ,14                                                               ,41                  ,5               ,1                                ,                        ,9             ,              ,                  ,                  ,                  ,1                 ,8                 ,                    ,10                     ,                 ,                   ,                     ,                  ,                      ,1               ,                  ,3                ,3                      ,1                       ,                      ,2                 ,                    ,                       ,                           ,                   ,11              ,                        ,4             ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  5,H,CC,  15.00,     41.3700,Clark    ,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,4                 ,                   ,2                    ,32                    ,                        ,22                         ,2                                                                ,8                   ,                ,2                                ,                        ,2             ,              ,                  ,                  ,                  ,                  ,                  ,                    ,                       ,1                ,                   ,                     ,                  ,                      ,                ,                  ,                 ,                       ,                        ,                      ,                  ,                    ,                       ,                           ,                   ,3               ,                        ,              ,          ,                   ,                 ,                       ,                    ,                          ,                    ,                ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,110, 672,A,  6,H, 1,  98.00,     42.2800,Clark    ,Benthic Foraminifers                         ,               ,                  ,             ,1                   ,5                 ,                   ,18                   ,32                    ,2                       ,17                         ,9                                                                ,23                  ,8               ,                                 ,                        ,2             ,3             ,                  ,1                 ,                  ,                  ,                  ,                    ,2                      ,1                ,                   ,                     ,                  ,                      ,                ,                  ,1                ,                       ,                        ,                      ,                  ,2                   ,                       ,                           ,                   ,3               ,                        ,              ,          ,1                  ,                 ,                       ,1                   ,1                         ,                    ,1               ,                      ,                    ,               ,                  ,               ,from ODP 110 SR.Chapter 10.Table 2.pages 144-145.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
