Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sp. A,Syracosphaera spp.,Sphenolithus compactus,Sphenolithus abies,Reticulofenestra umbilica,Reticulofenestra pseudoumbilica,Reticulofenestra producta,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra gelida,Pontosphaera spp.,Neosphaera coccolithomorpha,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster pentaradiatus,Discoaster neohamatus,Discoaster intercalaris,Discoaster hamatus,Discoaster calcaris,Discoaster brouweri,Discoaster braarudii,Discoaster bollii,Discoaster bellus,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Sphenolithus predistentus,Reticulofenestra perplexa,Helicosphaera vedderi,Pontosphaera multipora,Pontosphaera japonica,Helicosphaera intermedia,Braarudosphaera bigelowii,Umbilicosphaera sibogae var. sibogae,Schyphosphaera sp.,Minylitha convallis,Discoaster challengeri,Sphenolithus neoabies,Discoaster pseudovariabilis,Ericsonia formosa,Helicosphaera euphratis,Sphenolithus moriformis,Rhabdosphaera clavigera,Sphenolithus grandis,Umbilicosphaera sibogae var. foliosa,Umbilicosphaera hulburtiana,Gephyrocapsa spp. medium,Emiliania huxleyi,Discoaster quinqueramus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  2,X,CC,  32.00,     11.6500,Okada    ,Nannofossils                                 ,A              ,M                 ,A                    ,                  ,F                     ,C                 ,                         ,A                              ,                         ,C                        ,A                      ,A                      ,R                ,C                          ,C                    ,C                    ,A                    ,R                       ,C                    ,C                      ,rR                ,C                  ,F                  ,C                   ,F                ,F                ,C                    ,F                     ,F                     ,                         ,C                        ,                     ,R                     ,                     ,                        ,                         ,                                    ,                  ,F                  ,F                     ,C                    ,                           ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  3,X, 3, 100.00,     17.8000,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                  ,F                     ,C                 ,                         ,C                              ,C                        ,C                        ,C                      ,A                      ,                 ,C                          ,F                    ,C                    ,A                    ,                        ,C                    ,F                      ,rR                ,C                  ,F                  ,C                   ,C                ,C                ,C                    ,F                     ,F                     ,                         ,F                        ,                     ,R                     ,R                    ,                        ,R                        ,                                    ,                  ,                   ,                      ,C                    ,                           ,rR               ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  3,X,CC,  41.00,     23.6000,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                  ,F                     ,C                 ,                         ,A                              ,A                        ,C                        ,C                      ,A                      ,                 ,C                          ,C                    ,C                    ,C                    ,F                       ,C                    ,F                      ,                  ,C                  ,F                  ,C                   ,F                ,C                ,C                    ,F                     ,R                     ,                         ,C                        ,                     ,R                     ,                     ,                        ,                         ,                                    ,                  ,                   ,                      ,F                    ,R                          ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  4,X, 3,  99.00,     26.9900,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                  ,F                     ,C                 ,                         ,C                              ,A                        ,C                        ,C                      ,A                      ,R                ,C                          ,C                    ,C                    ,C                    ,C                       ,C                    ,F                      ,                  ,F                  ,F                  ,C                   ,F                ,F                ,C                    ,F                     ,                      ,                         ,C                        ,                     ,                      ,                     ,                        ,                         ,                                    ,                  ,                   ,                      ,                     ,                           ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  4,X,CC,  18.00,     32.6700,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,                  ,F                     ,C                 ,                         ,A                              ,C                        ,C                        ,C                      ,A                      ,R                ,F                          ,C                    ,C                    ,C                    ,C                       ,C                    ,F                      ,                  ,F                  ,F                  ,F                   ,C                ,F                ,C                    ,F                     ,                      ,                         ,C                        ,                     ,                      ,                     ,                        ,                         ,R                                   ,R                 ,F                  ,R                     ,                     ,                           ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  5,X, 3,  29.00,     35.8900,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,R                 ,C                     ,C                 ,                         ,C                              ,C                        ,C                        ,C                      ,A                      ,                 ,F                          ,C                    ,C                    ,C                    ,C                       ,C                    ,F                      ,                  ,C                  ,F                  ,C                   ,F                ,C                ,C                    ,F                     ,R                     ,                         ,F                        ,R                    ,                      ,                     ,                        ,                         ,                                    ,                  ,                   ,                      ,                     ,                           ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN8a              ,              ,164, 993,A,  5,X,CC,  35.00,     42.0900,Okada    ,Nannofossils                                 ,C              ,M                 ,C                    ,R                 ,F                     ,C                 ,rR                       ,C                              ,C                        ,C                        ,F                      ,A                      ,                 ,F                          ,C                    ,C                    ,C                    ,C                       ,F                    ,F                      ,                  ,C                  ,F                  ,F                   ,C                ,C                ,C                    ,C                     ,F                     ,                         ,F                        ,R                    ,R                     ,R                    ,R                       ,R                        ,                                    ,                  ,                   ,                      ,                     ,                           ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN7               ,              ,164, 993,A,  6,X, 3,  99.00,     46.1900,Okada    ,Nannofossils                                 ,A              ,M                 ,C                    ,F                 ,                      ,R                 ,                         ,C                              ,C                        ,C                        ,F                      ,A                      ,R                ,C                          ,C                    ,A                    ,C                    ,C                       ,F                    ,R                      ,F                 ,C                  ,F                  ,C                   ,C                ,A                ,F                    ,F                     ,F                     ,rR                       ,F                        ,R                    ,                      ,                     ,                        ,                         ,                                    ,                  ,                   ,                      ,                     ,                           ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,CN7               ,              ,164, 993,A,  6,X,CC,  19.00,     47.2200,Okada    ,Nannofossils                                 ,C              ,M                 ,C                    ,R                 ,F                     ,F                 ,rR                       ,C                              ,C                        ,C                        ,F                      ,A                      ,R                ,C                          ,C                    ,C                    ,C                    ,C                       ,F                    ,F                      ,F                 ,C                  ,F                  ,C                   ,C                ,C                ,F                    ,F                     ,R                     ,                         ,                         ,                     ,                      ,                     ,                        ,                         ,                                    ,                  ,                   ,                      ,                     ,                           ,                 ,                       ,                       ,                       ,                    ,                                    ,                           ,                        ,                 ,                       ,from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data993A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
